Date,Open,High,Low,Close,Volume,OpenInt
20060628,1.22,1.23,1.17,1.23,61523,0
20060629,1.2,1.25,1.2,1.25,214143,0
20060630,1.25,1.28,1.2,1.24,112053,0
20060703,1.23,1.26,1.2,1.21,104003,0
20060704,1.22,1.27,1.2,1.23,174913,0
20060705,1.25,1.26,1.2,1.23,89498,0
20060706,1.21,1.24,1.21,1.23,45456,0
20060707,1.25,1.32,1.21,1.27,124171,0
20060710,1.3,1.5,1.3,1.45,369355,0
20060711,1.43,1.43,1.33,1.42,145778,0
20060712,1.38,1.43,1.36,1.39,47660,0
20060713,1.43,1.43,1.38,1.4,35634,0
20060714,1.38,1.42,1.31,1.36,50062,0
20060717,1.31,1.37,1.27,1.33,118077,0
20060718,1.31,1.37,1.31,1.35,21621,0
20060719,1.3,1.31,1.27,1.3,257165,0
20060720,1.31,1.42,1.3,1.38,119105,0
20060721,1.35,1.37,1.3,1.33,64582,0
20060724,1.31,1.34,1.26,1.34,107605,0
20060725,1.37,1.37,1.3,1.33,34850,0
20060726,1.31,1.36,1.3,1.36,56112,0
20060727,1.35,1.38,1.31,1.35,22848,0
20060728,1.35,1.38,1.31,1.38,50983,0
20060731,1.39,1.39,1.35,1.38,29573,0
20060801,1.37,1.4,1.32,1.37,28089,0
20060802,1.34,1.39,1.3,1.36,89093,0
20060803,1.32,1.35,1.26,1.3,91250,0
20060804,1.31,1.34,1.27,1.29,34910,0
20060807,1.3,1.32,1.25,1.31,25427,0
20060808,1.31,1.33,1.26,1.29,20880,0
20060809,1.28,1.3,1.26,1.29,11900,0
20060810,1.28,1.3,1.26,1.28,47000,0
20060811,1.27,1.3,1.26,1.29,15810,0
20060814,1.26,1.3,1.26,1.26,29380,0
20060815,1.26,1.28,1.26,1.28,9350,0
20060816,1.26,1.29,1.26,1.28,13980,0
20060817,1.26,1.27,1.23,1.26,64361,0
20060818,1.26,1.28,1.24,1.27,8090,0
20060821,1.25,1.31,1.23,1.29,27160,0
20060822,1.26,1.31,1.23,1.29,54735,0
20060823,1.26,1.28,1.25,1.28,8694,0
