Date,Open,High,Low,Close,Volume,OpenInt
20090406,3.4,3.5,3.3,3.4,29971,0
20090407,3.4,3.5,3.2,3.5,11841,0
20090408,3.2,3.5,3.2,3.3,13467,0
20090409,3.5,3.5,3.3,3.5,2884,0
20090414,3.4,3.7,3.4,3.64,12169,0
20090415,3.7,4.4,3.6,4.4,20167,0
20090416,4.4,4.5,4,4.1,22524,0
20090417,4.1,4.3,3.88,3.9,6720,0
20090420,3.9,4.2,3.8,4.1,11584,0
20090421,4,4.2,3.7,3.7,8591,0
20090422,3.9,3.9,3.8,3.9,2512,0
20090423,3.9,4,3.7,3.9,1281,0
20090424,3.9,3.92,3.68,3.91,2439,0
20090427,3.9,4,3.7,3.9,1550,0
20090428,3.9,3.9,3.5,3.6,11124,0
20090429,3.8,3.9,3.6,3.6,3463,0
20090430,3.6,4,3.5,3.65,2906,0
20090504,3.65,4.04,3.65,3.8,3169,0
20090505,3.8,4.04,3.77,3.9,3148,0
20090506,3.8,3.93,3.62,3.76,17918,0
20090507,3.76,3.99,3.76,3.99,2959,0
20090508,3.8,3.99,3.8,3.85,4399,0
20090511,3.85,3.96,3.85,3.96,3684,0
20090512,3.9,3.99,3.85,3.95,2852,0
20090513,3.9,3.95,3.7,3.75,7183,0
20090514,3.75,3.9,3.6,3.75,1055,0
20090515,3.6,3.9,3.6,3.77,4050,0
20090518,3.77,3.8,3.7,3.7,2058,0
20090519,3.75,3.79,3.65,3.77,1643,0
20090520,3.77,3.79,3.46,3.75,19347,0
20090521,3.5,3.75,3.5,3.51,1358,0
20090522,3.5,3.7,3.42,3.5,11453,0
20090525,3.5,3.55,3.42,3.43,3511,0
20090526,3.44,3.58,3.4,3.55,15325,0
20090527,3.5,3.58,3.32,3.36,3539,0
20090528,3.5,3.57,3.36,3.57,3965,0
20090529,3.43,3.59,3.36,3.37,14583,0
20090601,3.5,3.69,3.37,3.4,1000,0
20090602,3.4,3.6,3.36,3.4,5321,0
20090603,3.4,3.4,3.3,3.32,6663,0
20090604,3.3,3.5,3.1,3.28,25222,0
20090605,3.1,3.3,3.1,3.3,2220,0
20090608,3.28,3.35,3.2,3.33,8856,0
20090609,3.33,3.41,3.23,3.41,7990,0
20090610,3.3,3.41,3.3,3.39,2336,0
20090611,3.3,3.45,3.3,3.3,1510,0
20090612,3.3,3.45,3.3,3.45,209,0
20090615,3.35,3.45,3.29,3.33,4994,0
20090616,3.33,3.45,3.3,3.4,8081,0
20090617,3.33,3.35,3.3,3.3,10200,0
20090618,3.32,3.37,3.24,3.37,310,0
20090619,3.3,3.39,3.26,3.26,2058,0
20090622,3.2,3.38,3.11,3.3,6295,0
20090623,3.2,3.2,3.08,3.19,1190,0
20090624,3.12,3.19,3.08,3.08,1080,0
20090625,3.08,3.09,2.83,2.83,3512,0
20090626,2.83,3.2,2.83,3,14890,0
20090629,3.15,3.15,2.87,2.89,6329,0
20090630,2.89,2.95,2.83,2.9,4242,0
20090701,2.83,2.95,2.71,2.88,48601,0
20090702,2.75,2.88,2.61,2.63,37764,0
20090703,2.65,2.74,2.6,2.66,850,0
20090706,2.6,2.7,2.5,2.69,17435,0
20090707,2.5,2.76,2.5,2.76,10011,0
20090708,2.7,2.96,2.59,2.9,18357,0
20090709,2.9,3.45,2.85,3.18,27038,0
20090710,3.18,3.27,3.15,3.27,2095,0
20090713,3.27,3.3,3.2,3.2,4835,0
20090714,3.2,3.39,3.2,3.39,588,0
20090715,3.2,3.38,3.2,3.25,505,0
20090716,3.25,3.38,3.2,3.38,315,0
20090717,3.2,3.38,3.18,3.35,1175,0
20090720,3.23,3.37,3.15,3.15,130,0
20090721,3.22,3.35,3.15,3.19,5995,0
20090722,3.16,3.34,3.13,3.34,550,0
20090723,3.13,3.34,3.13,3.34,1345,0
20090724,3.28,3.39,3.15,3.35,17642,0
20090727,3.26,3.37,3.06,3.31,42677,0
20090728,3.11,3.22,3.05,3.07,12350,0
20090729,3.07,3.28,3.05,3.2,5960,0
20090730,3.05,3.28,3.05,3.18,780,0
20090731,3.1,3.52,3.08,3.5,31508,0
20090803,3.41,3.52,3.32,3.51,2670,0
20090804,3.5,3.51,3.33,3.5,8150,0
20090805,3.5,3.7,3.3,3.65,30289,0
20090806,3.65,3.65,3.44,3.64,7239,0
20090807,3.49,3.7,3.47,3.7,20228,0
