Date,Open,High,Low,Close,Volume,OpenInt
20001120,16.018,16.841,15.949,16.307,52110483,0
20001121,16.367,17.869,16.314,17.533,16880442,0
20001122,17.564,17.945,17.069,17.526,11396846,0
20001123,17.831,18.127,17.374,17.549,5966665,0
20001124,17.374,17.625,17.031,17.144,5682806,0
20001127,16.763,17.526,16.383,17.298,3752756,0
20001128,17.038,17.343,16.916,16.923,2145668,0
20001129,16.763,16.992,16.763,16.841,2525328,0
20001130,16.689,17.336,16.689,16.978,2277689,0
20001201,16.916,17.831,16.916,17.153,2523490,0
20001204,16.879,17.489,16.879,17.183,1348949,0
20001205,17.144,17.671,17.144,17.541,2369947,0
20001206,17.526,17.602,17.313,17.526,1916668,0
20001207,17.374,17.755,17.336,17.701,1116009,0
20001208,17.526,18.242,17.381,17.991,2079526,0
20001211,17.831,18.205,17.777,17.831,1029658,0
20001212,17.61,17.792,17.526,17.526,985038,0
20001213,17.526,17.907,17.144,17.724,1438976,0
20001214,17.526,17.907,17.526,17.533,2317059,0
20001215,17.298,17.45,17.084,17.084,1990681,0
20001218,17.222,17.45,16.992,17.298,1188189,0
20001219,16.819,17.587,16.819,17.267,2897637,0
20001220,17.222,17.526,17.031,17.213,1562466,0
20001221,17.144,17.489,17.008,17.144,1624147,0
20001222,17.144,17.45,17.038,17.267,462992,0
20001227,16.954,17.381,16.954,17.076,506298,0
20001228,17.069,17.526,17.069,17.411,676640,0
20001229,17.374,17.679,17.336,17.564,681759,0
20010102,17.45,18.212,17.45,18.212,1000787,0
20010103,17.869,18.823,17.61,18.105,1708791,0
20010104,18.28,18.287,17.716,17.831,2418110,0
20010108,17.755,18.28,17.755,17.755,951968,0
20010109,17.686,17.824,17.411,17.564,1411940,0
20010110,17.374,17.602,17.298,17.411,978083,0
20010111,17.259,17.404,17.008,17.144,2197900,0
20010112,17.092,17.29,16.422,16.879,2032676,0
20010115,16.932,17.236,16.689,16.832,1992912,0
20010116,16.788,17.489,16.788,16.978,1863517,0
20010117,16.932,17.45,16.932,17.259,2260236,0
20010118,17.374,17.679,17.1,17.236,2609317,0
20010119,17.168,17.336,16.962,16.97,2963647,0
20010122,16.954,17.252,16.954,17.176,1290419,0
20010123,17.014,17.144,16.954,17.138,1483069,0
20010124,17.061,17.252,16.916,17.014,1001181,0
20010125,16.947,17.061,16.689,16.879,1368372,0
20010126,16.879,17.031,16.879,17.023,740026,0
20010129,16.916,17.602,16.916,17.564,1435825,0
20010130,17.526,17.838,17.298,17.716,1395014,0
20010131,17.526,17.9,17.343,17.732,1598555,0
20010201,17.602,18.326,17.602,18.136,2475459,0
20010202,18.212,18.883,18.15,18.433,4169421,0
20010205,18.425,18.662,18.334,18.387,1664304,0
20010206,18.372,18.532,18.136,18.403,1303674,0
20010207,18.273,18.403,18.181,18.212,1131760,0
20010208,18.219,18.364,17.831,17.854,1466535,0
20010209,17.792,18.006,17.716,17.961,1007478,0
20010212,18.114,18.212,17.831,17.93,1739368,0
20010213,17.945,18.036,17.861,17.984,931758,0
20010214,17.907,18.014,17.587,17.777,1939370,0
20010216,17.755,17.9,17.755,17.755,691207,0
20010219,17.755,17.785,17.533,17.61,526247,0
20010220,17.602,17.64,17.389,17.564,1893175,0
20010221,17.519,17.801,17.45,17.662,1961154,0
20010222,17.526,18.242,17.526,18.242,2174934,0
20010223,18.075,18.235,17.831,17.907,761812,0
20010226,17.984,18.052,17.64,17.64,1007349,0
20010227,17.602,18.052,17.564,17.679,1036352,0
20010228,17.557,17.815,17.557,17.815,754724,0
20010301,17.815,17.815,17.381,17.526,1144618,0
20010302,17.519,17.564,17.107,17.267,1544750,0
20010305,17.069,17.267,17.001,17.259,834383,0
20010306,17.084,17.259,16.923,16.984,1146849,0
20010307,16.954,17.061,16.819,17.031,1575590,0
20010308,16.992,17.526,16.992,17.336,1993568,0
20010309,17.267,17.511,17.222,17.466,741733,0
20010312,17.229,17.366,17.229,17.32,792652,0
20010313,17.191,17.381,17.069,17.374,1278346,0
20010315,17.014,17.328,16.841,17.144,2546061,0
20010316,17.107,17.404,16.459,16.459,6510103,0
20010319,16.429,16.665,16.184,16.665,4498422,0
20010320,16.391,16.535,15.751,15.849,3334909,0
20010321,15.622,15.774,14.974,15.201,4276245,0
20010322,14.936,15.201,14.401,14.707,4446850,0
20010323,14.859,15.393,14.288,14.57,2679790,0
20010326,14.668,15.316,14.41,15.179,1925066,0
20010327,15.218,15.232,14.782,15.011,1937925,0
20010328,14.95,15.309,14.813,15.24,1458925,0
20010329,15.24,15.43,15.127,15.37,1489764,0
20010330,15.24,15.53,14.707,14.782,1705379,0
20010402,14.668,15.194,14.592,14.6,1643963,0
20010403,14.668,14.912,14.327,14.401,1226115,0
20010404,14.479,14.479,13.564,13.724,2917978,0
20010405,13.724,13.975,13.526,13.663,2373358,0
20010406,13.792,14.204,13.715,14.082,1870735,0
20010409,14.098,14.6,13.906,14.6,1616009,0
20010410,14.616,14.906,14.479,14.479,1287141,0
20010411,14.501,14.607,14.098,14.105,2245537,0
20010412,14.098,14.204,13.838,14.098,1140815,0
20010417,14.098,14.318,13.982,13.991,1161156,0
20010418,14.067,14.523,13.982,14.052,1604068,0
20010419,14.318,14.401,14.028,14.327,1319290,0
20010420,14.424,14.561,14.098,14.235,1697769,0
20010423,14.249,14.288,13.945,13.998,897638,0
20010424,13.952,14.318,13.952,14.044,1241077,0
20010425,14.211,14.211,14.059,14.173,881495,0
20010426,14.173,14.327,14.021,14.173,2800393,0
20010427,14.288,14.462,14.173,14.379,1237008,0
20010430,14.394,14.668,14.364,14.652,1144095,0
20010502,14.479,14.554,13.587,13.884,5788974,0
20010503,13.754,14.014,13.526,13.746,4984908,0
20010504,13.776,13.776,13.601,13.715,1629395,0
20010508,13.792,13.945,13.67,13.715,1827033,0
20010509,13.335,13.541,13.258,13.449,2962598,0
20010511,14.021,14.241,13.991,13.991,1548950,0
20010514,13.906,14.241,13.854,14.014,1038453,0
20010515,13.914,14.258,13.914,14.18,2077165,0
20010516,14.332,14.332,13.792,14.327,1665748,0
20010517,14.394,14.47,14.059,14.241,1234514,0
20010518,14.044,14.158,13.792,14.089,1689633,0
20010521,14.258,14.302,14.098,14.302,1213647,0
20010522,14.327,14.388,14.135,14.327,1939633,0
20010523,14.379,14.388,14.18,14.227,1366536,0
20010524,14.089,14.371,14.059,14.059,560105,0
20010525,14.249,14.249,13.982,14.059,911942,0
20010528,14.197,14.197,13.922,14.105,524802,0
20010529,14.028,14.158,13.64,13.724,2055643,0
20010530,13.792,13.945,13.715,13.784,1197245,0
20010531,13.715,14.059,13.715,13.861,2104593,0
20010601,13.906,13.998,13.724,13.731,1169815,0
20010604,13.831,13.96,13.792,13.945,278214,0
20010605,13.945,14.318,13.906,14.318,1157480,0
20010606,14.357,14.554,14.189,14.479,1230969,0
20010607,14.44,14.616,14.332,14.448,1307743,0
