Date,Open,High,Low,Close,Volume,OpenInt
20060628,2.7848,2.7848,2.7176,2.7421,41790,0
20060629,2.7357,2.7785,2.693,2.7476,82932,0
20060630,2.7848,2.8276,2.7421,2.7911,58099,0
20060703,2.8457,2.8765,2.6994,2.8521,97136,0
20060704,2.8584,2.9257,2.8457,2.864,52165,0
20060705,2.8765,2.9313,2.803,2.8394,44476,0
20060706,2.9011,2.913,2.8394,2.8584,68666,0
20060707,2.864,2.864,2.8094,2.864,43775,0
20060710,2.8765,2.8765,2.7966,2.8213,58695,0
20060711,2.8213,2.8521,2.7049,2.7476,31312,0
20060712,2.6994,2.8158,2.6321,2.6749,119357,0
20060713,2.6622,2.7239,2.6439,2.7049,36453,0
20060714,2.6376,2.6867,2.6321,2.6502,31879,0
20060717,2.6439,2.6749,2.6195,2.6749,113084,0
20060718,2.6321,2.6622,2.6321,2.6321,19477,0
20060719,2.6321,2.7049,2.6321,2.7049,69261,0
20060720,2.693,2.7848,2.6685,2.7421,160729,0
20060721,2.7421,2.754,2.6502,2.754,126017,0
20060724,2.754,2.864,2.7239,2.803,188547,0
20060725,2.8457,2.8457,2.7722,2.7722,163973,0
20060726,2.7911,2.9195,2.7911,2.8948,255014,0
20060727,2.8948,2.9257,2.883,2.9011,276819,0
20060728,2.9011,2.9075,2.8584,2.8584,159902,0
20060731,2.9257,2.9257,2.8765,2.9011,46097,0
20060801,2.9011,2.9195,2.883,2.9011,33992,0
20060802,2.9011,2.9375,2.9011,2.9257,40770,0
20060803,2.913,2.9375,2.8884,2.9075,25286,0
20060804,2.9257,2.9313,2.9075,2.9195,19489,0
20060807,2.9313,2.9622,2.9075,2.913,49109,0
20060808,2.9257,2.9257,2.8884,2.8884,35418,0
20060809,2.913,2.9257,2.8765,2.9075,21792,0
20060810,2.913,2.9195,2.8584,2.8948,62964,0
20060811,2.8948,2.913,2.754,2.8276,164467,0
20060814,2.8276,2.9075,2.7911,2.8338,61738,0
20060815,2.8703,2.9257,2.5584,2.8884,292235,0
20060816,2.8948,2.8948,2.7603,2.7911,55642,0
20060817,2.7966,2.864,2.7476,2.7911,112469,0
20060818,2.7848,2.8276,2.754,2.754,32459,0
20060821,2.7848,2.8276,2.7176,2.7476,44919,0
20060822,2.754,2.8094,2.7239,2.7476,74054,0
20060823,2.803,2.803,2.754,2.7722,6897,0
20060824,2.693,2.803,2.6749,2.7294,29895,0
20060825,2.7421,2.7421,2.693,2.7294,38112,0
20060828,2.7113,2.7476,2.6439,2.7049,78658,0
20060829,2.7239,2.7294,2.6622,2.7113,46225,0
20060830,2.7113,2.803,2.6749,2.7722,104483,0
20060831,2.803,2.803,2.693,2.7667,69479,0
20060901,2.8094,2.8765,2.754,2.8276,68311,0
20060904,2.8457,2.8521,2.754,2.7966,57525,0
20060905,2.8584,2.8584,2.7294,2.7785,91966,0
20060906,2.754,2.8338,2.754,2.7848,41875,0
20060907,2.8338,2.8338,2.754,2.7667,74558,0
20060908,2.8094,2.8276,2.7421,2.7911,61033,0
20060911,2.8213,2.8213,2.7722,2.7722,18953,0
20060912,2.8094,2.864,2.7785,2.8457,131390,0
20060913,2.864,2.8703,2.8213,2.8338,39020,0
20060914,2.8765,2.8948,2.8276,2.8703,116446,0
20060915,2.8765,2.9622,2.8521,2.9375,153085,0
20060918,2.864,2.9557,2.864,2.913,64833,0
20060919,2.8765,2.9375,2.8094,2.8521,96214,0
20060920,2.8276,2.9313,2.8094,2.9075,38647,0
20060921,2.883,2.9622,2.883,2.9375,67057,0
20060922,2.9375,2.9684,2.913,2.9375,30642,0
20060925,2.9502,2.9622,2.8276,2.8765,34167,0
20060926,2.9075,2.9075,2.8158,2.8703,19067,0
20060927,2.8457,2.9075,2.8394,2.8948,16569,0
20060928,2.8765,2.913,2.8158,2.8703,46077,0
20060929,2.8765,2.9195,2.8338,2.8884,41184,0
20061002,2.883,2.9865,2.8765,2.913,92818,0
20061003,2.913,2.9684,2.9075,2.9257,19442,0
20061004,2.9257,2.9257,2.8276,2.883,70854,0
20061005,2.8703,2.9375,2.8521,2.9011,55305,0
20061006,2.9075,2.9375,2.8765,2.8884,35177,0
20061009,2.9375,3.2375,2.8765,3.1884,873053,0
20061010,3.2193,3.3538,3.1275,3.2311,636946,0
20061011,3.2438,3.5438,3.2257,3.4701,1330036,0
20061012,3.5193,3.7147,3.3357,3.6228,1073475,0
20061013,3.5984,3.7092,3.4457,3.6474,743601,0
20061016,3.6355,3.6355,3.2747,3.4274,285746,0
20061017,3.4274,3.4583,3.2375,3.3047,452181,0
20061018,3.3047,3.4457,3.3047,3.3538,101565,0
20061019,3.3966,3.4337,3.3419,3.3419,70780,0
20061020,3.3665,3.3903,3.2311,3.2985,133979,0
20061023,3.2802,3.3903,3.2011,3.2557,262911,0
20061024,3.2928,3.3665,3.2193,3.2684,52428,0
20061025,3.2438,3.3357,3.2438,3.3111,103235,0
20061026,3.3111,3.372,3.2684,3.372,130408,0
20061027,3.3357,3.3966,3.2985,3.3538,226270,0
20061030,3.3419,3.3601,3.3174,3.3538,78248,0
20061031,3.3419,3.3784,3.2747,3.3538,91988,0
20061101,3.3047,3.4765,3.3047,3.4028,121337,0
20061102,3.4028,3.4583,3.262,3.2928,102720,0
20061103,3.3357,3.3665,3.2501,3.3357,70267,0
20061106,3.3357,3.3357,3.2557,3.2802,50207,0
20061107,3.2985,3.3047,3.2129,3.2747,85267,0
20061108,3.2928,3.2928,3.0175,3.1829,330557,0
20061109,3.2066,3.2066,3.1275,3.1458,132616,0
20061110,3.1211,3.2129,3.1093,3.1829,83462,0
20061113,3.2129,3.2129,3.1584,3.1884,92994,0
20061114,3.2129,3.262,3.1338,3.1829,136303,0
20061115,3.1829,3.2375,3.1338,3.1458,94862,0
20061116,3.1211,3.2438,3.1149,3.1884,114462,0
20061117,3.2066,3.2438,3.1639,3.2066,61111,0
20061120,3.2011,3.2375,3.1458,3.2193,56261,0
20061121,3.1829,3.2557,3.1829,3.2129,40438,0
20061122,3.2747,3.2747,3.1521,3.2311,70801,0
20061123,3.2438,3.2684,3.1521,3.2129,48839,0
20061124,3.1829,3.2501,3.1521,3.1702,71191,0
20061127,3.1829,3.2684,3.1639,3.2011,106742,0
20061128,3.2438,3.262,3.1394,3.1948,175240,0
20061129,3.2129,3.2985,3.1765,3.2438,113625,0
20061130,3.2438,3.4274,3.2193,3.3601,294454,0
20061201,3.3357,3.5128,3.3357,3.3784,219928,0
20061204,3.3665,3.4274,3.3292,3.3665,468860,0
20061205,3.3476,3.3665,3.3357,3.3601,37914,0
