Date,Open,High,Low,Close,Volume,OpenInt
20100621,39.228,49.034,39.228,45.121,48816,0
20100622,46.416,46.416,40.552,41.993,60257,0
20100623,40.992,46.416,39.522,41.238,122460,0
20100624,38.197,43.15,38.197,42.944,62847,0
20100625,40.992,43.15,40.992,41.689,28183,0
20100628,40.757,41.875,40.562,40.992,149008,0
20100629,39.129,41.385,39.006,39.237,77436,0
20100630,38.384,41.09,38.384,40.218,40189,0
20100701,39.041,40.698,38.816,38.816,62463,0
20100702,38.197,40.605,38.197,39.728,44652,0
20100705,37.923,40.453,37.923,39.728,22560,0
20100706,38.247,41.395,38.247,39.884,23667,0
20100707,38.59,40.498,38.59,39.973,25871,0
20100708,37.972,41.022,37.972,40.316,32801,0
20100709,38.668,41.071,38.668,40.708,26745,0
20100712,38.816,40.992,38.816,39.738,10763,0
20100713,38.668,42.072,38.668,40.483,50339,0
20100714,39.973,43.052,39.973,42.17,41303,0
20100715,40.532,44.622,40.532,43.258,64441,0
20100716,41.924,44.474,41.924,43.493,45068,0
20100719,42.16,45.896,42.16,44.141,13719,0
20100720,43.601,44.768,43.248,43.248,5388,0
20100721,41.924,44.911,41.924,43.16,22285,0
20100722,42.16,46.573,42.16,44.282,36282,0
20100723,43.317,45.994,43.317,44.837,10172,0
20100726,42.669,46.013,42.669,43.317,10138,0
20100727,42.885,45.111,42.885,43.719,23810,0
20100728,42.365,44.641,42.365,43.964,12002,0
20100729,42.287,45.014,42.287,44.881,13858,0
20100730,41.601,45.244,41.601,44.563,26775,0
20100802,42.856,45.964,42.856,45.327,24751,0
20100803,43.15,46.092,43.15,45.268,11804,0
20100804,43.405,47.465,43.405,46.985,59539,0
20100805,44.553,51.388,44.553,50.211,104790,0
20100806,47.7,50.495,47.7,49.594,28216,0
20100809,47.976,54.428,47.976,53.997,47221,0
20100810,51.711,55.045,51.711,53.359,78661,0
20100811,51.692,53.879,51.604,52.339,27670,0
20100812,50.408,52.947,50.408,51.721,7457,0
20100813,49.681,53.427,49.681,52.085,29096,0
20100816,49.937,53.398,49.937,52.574,17933,0
20100817,50.045,53.644,50.045,53.114,14552,0
20100818,50.457,53.644,50.457,52.133,10136,0
20100819,49.829,52.947,49.829,50.358,12333,0
20100820,48.445,51.329,48.445,50.025,12487,0
20100823,47.661,50.751,47.661,49.789,5286,0
20100824,47.602,50.015,47.602,48.406,10196,0
20100825,46.21,50.015,46.21,48.416,4982,0
20100826,46.328,49.515,46.328,48.799,9593,0
20100827,46.74,49.799,46.74,49.064,16647,0
20100830,46.896,50.505,46.896,49.779,2918,0
20100831,47.229,51.721,47.229,51.163,12916,0
20100901,48.916,51.447,48.916,50.574,6437,0
20100902,48.358,52.32,48.358,51.614,16048,0
20100903,49.318,52.937,49.318,52.133,8616,0
20100906,49.819,53.506,49.819,52.477,3429,0
20100907,49.956,53.447,49.956,53.045,6475,0
20100908,50.721,53.673,50.721,52.771,3088,0
20100909,50.437,53.663,50.437,53.065,1610,0
20100910,50.721,54.222,50.721,53.752,29403,0
20100913,51.212,54.232,51.212,53.232,19736,0
20100914,50.869,53.888,50.869,52.771,6135,0
20100915,50.408,53.644,50.408,52.379,3712,0
20100916,49.848,53.104,49.848,52.162,6889,0
20100917,49.848,53.928,49.848,53.418,16236,0
20100920,51.054,53.938,51.054,52.438,27424,0
20100921,50.123,52.966,50.123,52.202,5898,0
20100922,52.221,52.379,49.819,51.212,16755,0
20100923,49.819,51.976,49.201,51.005,4982,0
20100924,48.378,51.976,48.378,51.172,11134,0
20100927,49.005,52.123,49.005,51.172,719,0
20100928,48.916,53.251,48.916,51.898,10527,0
20100929,49.564,52.369,49.564,51.231,2293,0
20100930,48.681,51.476,48.681,50.839,2889,0
20101001,48.632,51.486,48.632,50.623,5669,0
20101004,48.378,51.829,48.378,51.427,5795,0
20101005,49.172,51.397,49.172,50.358,3814,0
20101006,48.445,50.995,48.445,49.495,9292,0
20101007,47.318,50.368,47.318,49.328,24381,0
20101008,47.505,50.485,47.505,49.789,6444,0
20101011,50.309,52.359,47.426,50.142,14452,0
20101012,48.24,51.143,48.24,50.515,12259,0
20101013,48.191,52.663,48.191,49.927,30135,0
20101014,47.73,50.172,47.73,48.711,7475,0
20101015,46.583,49.74,46.583,48.544,6668,0
20101018,45.974,49.515,45.974,48.534,4873,0
20101019,46.396,48.818,45.896,46.19,8679,0
20101020,43.885,47.367,43.885,46.171,7632,0
20101021,44.131,48.426,44.131,47.71,9469,0
20101022,45.602,48.348,45.416,47.078,11347,0
20101025,44.719,47.367,44.719,46.151,17657,0
20101026,44.101,47.264,44.101,46.583,6673,0
20101027,44.533,47.108,44.533,45.887,7923,0
20101028,44.16,48.534,44.16,47.641,15837,0
20101029,45.543,50.986,45.543,50.231,31472,0
20101101,48.073,52.261,48.073,51.054,11284,0
20101102,48.622,52.859,48.622,52.761,10679,0
20101103,49.907,53.928,49.907,53.114,26565,0
20101104,50.78,53.251,50.035,50.515,74427,0
20101105,50.505,50.995,50.015,50.221,5328,0
20101108,51.094,51.281,50.132,50.534,11233,0
20101109,50.995,52.574,50.603,51.683,4357,0
20101110,48.77,52.31,48.77,51.545,11657,0
20101111,49.279,51.878,48.75,49.387,11140,0
20101112,48.74,49.584,48.593,48.731,1362,0
20101115,49.348,50.495,48.74,49.819,3933,0
20101116,49.584,49.584,47.926,47.926,2194,0
20101117,48.544,48.691,47.877,47.936,971,0
20101118,45.818,49.133,45.818,48.554,1760,0
20101119,48.613,49.76,48.613,48.642,2675,0
20101122,48.593,49.279,48.593,49.034,1757,0
20101123,48.544,49.034,48.093,48.093,7148,0
20101124,45.984,48.667,45.984,47.848,2132,0
20101125,45.749,48.667,45.749,46.857,4442,0
20101126,44.797,46.691,44.797,46.102,5723,0
20101129,44.082,46.822,44.082,45.828,5166,0
20101130,43.808,46.299,43.808,45.435,6505,0
20101201,43.435,46.396,43.435,46.386,3624,0
20101202,44.072,46.583,44.072,46.401,3876,0
20101203,43.621,46.763,43.621,45.867,3834,0
20101206,43.847,46.75,43.847,45.926,4976,0
20101207,43.895,46.583,43.895,45.994,3944,0
20101208,43.974,48.544,43.974,47.495,13327,0
20101209,45.406,48.765,45.406,47.622,8003,0
20101210,45.523,48.122,45.523,47.887,1112,0
20101213,45.485,48.294,45.485,47.73,1087,0
20101214,45.621,48.25,45.621,47.554,2029,0
20101215,45.465,50.457,45.465,49.661,16507,0
20101216,47.505,50.113,47.505,49.387,8164,0
20101217,47.21,50.015,47.21,49.172,1046,0
20101220,46.995,50.015,46.995,48.731,3437,0
20101221,46.592,49.456,46.592,48.603,3688,0
20101222,46.396,49.034,46.396,48.563,3016,0
20101223,51.299,51.299,48.721,49.456,6378,0
20101227,47.269,50.26,47.269,48.956,2163,0
20101228,46.808,49.917,46.808,49.172,6946,0
20101229,46.72,49.789,46.72,48.897,2360,0
20101230,46.778,49.358,46.778,49.034,4373,0
20110103,46.455,49.819,46.455,48.358,3963,0
20110104,46.22,49.034,46.22,48.348,4255,0
20110105,46.22,49.201,46.22,48.416,1170,0
20110106,46.681,50.388,46.681,49.525,1812,0
20110107,47.357,50.015,47.357,49.456,2649,0
20110110,47.2,50.113,47.2,49.083,3179,0
20110111,46.906,49.878,46.906,49.005,1079,0
20110112,46.583,49.829,46.583,49.387,2485,0
20110113,49.034,50.006,47.21,48.731,5330,0
20110114,47.759,49.495,46.494,47.229,31949,0
20110117,45.004,48.122,45.004,47.367,7322,0
20110118,45.602,48.961,45.602,47.994,23807,0
20110119,45.877,48.348,45.877,47.19,51283,0
20110120,45.111,48.534,45.111,47.318,6333,0
20110121,44.259,48.485,44.259,47.749,10328,0
20110124,45.651,48.319,45.651,47.485,6512,0
20110125,45.102,49.799,44.871,47.789,53678,0
20110126,45.974,49.034,45.974,48.416,21781,0
20110127,46.435,49.348,46.435,48.731,4899,0
20110128,46.583,49.937,46.583,48.583,15129,0
20110131,46.445,49.486,46.445,48.975,2749,0
20110201,46.514,51.015,46.514,49.074,8464,0
20110202,46.896,51.005,46.896,49.594,10844,0
20110203,47.416,50.544,47.416,49.535,2709,0
20110204,47.357,50.702,47.357,49.897,2439,0
20110207,47.7,50.505,47.7,49.691,12351,0
20110208,47.505,50.574,47.505,50.045,5682,0
20110209,47.838,50.505,47.838,49.868,2231,0
20110210,47.828,50.544,47.828,49.623,7506,0
20110211,47.357,49.868,47.357,49.192,1795,0
20110214,46.768,49.779,46.768,49.192,5883,0
20110215,46.768,49.77,46.768,49.192,1802,0
20110216,46.73,49.937,46.73,49.535,14141,0
20110217,46.74,49.77,46.74,49.211,3644,0
20110218,47.044,49.868,47.044,49.192,6704,0
20110221,46.965,50.006,46.965,49.192,2839,0
20110222,46.896,49.427,46.896,49.192,3782,0
20110223,49.103,50.211,46.74,50.015,4087,0
20110224,47.21,50.015,47.21,49.192,2225,0
20110225,46.975,50.015,46.975,49.192,4717,0
20110228,49.888,50.231,49.486,49.486,2604,0
20110301,50.093,50.995,47.308,49.436,4730,0
20110302,49.623,50.349,47.249,49.681,602,0
20110303,47.495,51.299,47.495,50.485,7379,0
20110304,51.133,52.457,48.26,51.074,11020,0
20110307,49.142,52.152,49.142,51.172,4995,0
20110308,48.916,51.525,48.916,51.163,1369,0
20110309,51.163,51.918,48.916,51.319,2358,0
20110310,51.163,51.741,49.318,50.672,5277,0
20110311,51.163,51.163,48.171,49.525,8228,0
20110314,47.823,50.564,47.823,49.72,2752,0
20110315,47.794,49.338,46.097,47.641,25857,0
20110316,47.794,50.652,45.543,48.711,4695,0
20110317,48.735,52.428,46.563,51.163,22677,0
20110318,48.916,53.938,48.916,53.045,11908,0
20110321,50.544,54.781,50.544,54.222,10040,0
20110322,54.232,54.526,52.045,53.644,2794,0
20110323,54.232,54.369,51.281,53.104,4828,0
20110324,53.987,54.477,51.104,54.232,8901,0
20110325,54.33,54.889,51.261,53.506,13691,0
20110328,51.937,54.673,51.937,53.614,9606,0
20110329,51.251,54.281,51.251,53.349,1225,0
20110330,54.115,56.145,50.995,54.576,14048,0
20110331,54.742,55.213,52.182,55.193,8340,0
20110401,54.742,54.919,52.085,54.536,1720,0
20110404,54.742,55.213,52.133,54.624,4464,0
20110405,54.683,55.213,52.162,53.938,4771,0
20110406,54.683,54.683,51.153,53.938,5693,0
20110407,51.339,54.418,51.339,53.771,9413,0
20110408,51.417,54.408,51.417,53.79,10211,0
20110411,54.036,54.919,51.417,54.192,1990,0
20110412,54.438,54.899,52.133,53.614,2515,0
20110413,54.232,54.428,51.251,54.006,3764,0
20110414,54.241,54.428,51.633,54.232,2386,0
20110415,51.506,54.576,51.506,54.016,2689,0
20110418,51.643,54.84,51.643,53.987,836,0
20110419,51.614,54.35,51.614,53.987,83,0
20110420,54.35,54.811,54.056,54.085,3774,0
20110421,51.711,54.438,51.711,54.085,2736,0
20110426,54.35,54.82,51.711,54.115,2311,0
20110427,54.35,55.065,52.085,54.722,2560,0
20110428,54.958,55.428,52.31,55.026,2907,0
20110429,55.311,56.86,52.27,56.154,4906,0
20110502,53.673,57.37,53.673,56.968,4579,0
20110503,54.477,57.144,54.477,56.204,1539,0
20110504,56.095,57.37,53.614,57.272,3326,0
20110505,54.35,57.958,54.35,57.556,5308,0
20110506,55.055,58.694,55.055,57.978,1350,0
