Date,Open,High,Low,Close,Volume,OpenInt
20031022,2.95,2.95,2.95,2.95,700,0
20031204,1.9,1.9,1.9,1.9,1500,0
20031205,1.93,1.93,1.93,1.93,600,0
20031209,1.95,1.95,1.95,1.95,100,0
20031210,1.9,1.9,1.9,1.9,400,0
20031212,2,2,2,2,400,0
20031215,2.15,2.15,2.15,2.15,100,0
20031217,2.25,2.25,2.25,2.25,200,0
20031219,2.25,2.25,2.25,2.25,200,0
20031229,2.5,2.5,2.5,2.5,800,0
20040102,2,2,2,2,200,0
20040109,2.58,2.58,2.58,2.58,1400,0
20040119,2.3,2.3,2.3,2.3,5000,0
20040121,2.2,2.2,2.2,2.2,200,0
20040127,2.2,2.2,2.2,2.2,100,0
20040128,2.3,2.3,2.3,2.3,300,0
20040209,1.95,1.95,1.95,1.95,200,0
20040210,1.95,1.95,1.95,1.95,100,0
20040212,1.95,1.95,1.95,1.95,400,0
20040216,2.12,2.12,2.12,2.12,1200,0
20040224,2.12,2.12,2.12,2.12,100,0
20040225,2.12,2.12,2.12,2.12,100,0
20040315,2.4,2.4,2.4,2.4,700,0
20040318,2.1,2.1,2.1,2.1,600,0
20040323,2.1,2.1,2.1,2.1,300,0
20040324,1.99,1.99,1.99,1.99,100,0
20040407,1.99,1.99,1.99,1.99,100,0
20040408,1.99,1.99,1.99,1.99,200,0
20040429,2,2,2,2,200,0
20040503,2.3,2.3,2.3,2.3,600,0
20040611,2.1,2.1,2.1,2.1,500,0
20040706,1.8,1.8,1.8,1.8,100,0
20040716,1.95,1.95,1.95,1.95,2200,0
20040720,1.99,1.99,1.99,1.99,200,0
20040723,1.92,1.92,1.92,1.92,900,0
20040728,1.94,1.94,1.94,1.94,400,0
20040730,2.12,2.12,2.12,2.12,5000,0
20040802,2.12,2.12,2.12,2.12,9000,0
20040813,1.68,1.68,1.68,1.68,2000,0
20040909,1.75,1.75,1.75,1.75,1800,0
20040910,1.8,1.8,1.8,1.8,1300,0
20041018,1.56,1.56,1.56,1.56,1000,0
20041029,1.45,1.45,1.45,1.45,2000,0
20041103,1.35,1.35,1.35,1.35,100,0
20041118,1.37,1.37,1.37,1.37,200,0
20041129,1.2,1.2,1.2,1.2,1000,0
20041207,1.31,1.31,1.31,1.31,400,0
20041209,1.35,1.35,1.35,1.35,100,0
20041210,1.45,1.45,1.45,1.45,100,0
20041213,1.5,1.5,1.5,1.5,100,0
20041214,1.51,1.51,1.51,1.51,2000,0
20041216,1.5,1.5,1.5,1.5,200,0
20041221,1.42,1.42,1.42,1.42,600,0
20050105,1.04,1.04,1.04,1.04,400,0
20050107,1.28,1.28,1.28,1.28,500,0
20050112,1.4,1.4,1.4,1.4,100,0
20050113,1.28,1.28,1.28,1.28,500,0
20050121,1.28,1.28,1.28,1.28,100,0
20050126,1.55,1.55,1.55,1.55,200,0
20050208,1.93,1.93,1.93,1.93,400,0
20050303,2.3,2.3,2.3,2.3,200,0
20050310,3.47,3.47,3.47,3.47,2600,0
20050314,3.65,3.65,3.65,3.65,4800,0
20050317,2.89,2.89,2.89,2.89,3300,0
20050318,3.1,3.1,3.1,3.1,500,0
20050329,3.57,3.57,3.57,3.57,4400,0
20050401,3.75,3.75,3.75,3.75,1200,0
20050404,3.6,3.6,3.6,3.6,200,0
20050411,3,3,3,3,400,0
20050413,3.45,3.45,3.45,3.45,400,0
20050418,3,3,3,3,100,0
20050420,2.63,2.63,2.63,2.63,400,0
20050426,2.6,2.6,2.6,2.6,200,0
20050429,2.56,2.56,2.56,2.56,900,0
20050519,2.15,2.15,2.15,2.15,200,0
20050524,2.4,2.4,2.4,2.4,1900,0
20050531,2.58,2.58,2.58,2.58,800,0
20050603,3.1,3.1,3.1,3.1,1000,0
20050610,3,3,3,3,100,0
20050613,3,3,3,3,100,0
20050614,2.95,2.95,2.95,2.95,200,0
20050616,2.91,2.91,2.91,2.91,1000,0
20050617,2.88,2.88,2.88,2.88,1000,0
20050704,3,3,3,3,100,0
20050711,2.46,2.46,2.46,2.46,100,0
20050713,2.7,2.7,2.7,2.7,900,0
