Date,Open,High,Low,Close,Volume,OpenInt
20000103,10.436,10.436,10.436,10.436,7009,0
20000104,10.481,10.481,10.436,10.436,9270,0
20000105,10.304,10.304,10.127,10.255,3392,0
20000106,10.22,10.22,10.083,10.083,9270,0
20000107,10.083,10.171,10.083,10.171,21709,0
20000110,10.171,10.237,10.171,10.171,2939,0
20000111,10.127,10.127,10.127,10.127,1810,0
20000112,10.039,10.15,9.949,10.15,16961,0
20000113,10.15,10.15,9.728,9.728,41834,0
20000114,9.973,10.127,9.973,10.127,5654,0
20000117,9.994,10.039,9.994,10.039,3618,0
20000118,10.039,10.039,9.994,9.994,6785,0
20000119,9.994,9.994,9.949,9.949,7914,0
20000120,9.884,9.905,9.818,9.905,4071,0
20000121,9.818,9.818,9.818,9.818,2034,0
20000124,9.905,9.905,9.773,9.773,4523,0
20000125,9.773,9.773,9.773,9.773,677,0
20000126,9.905,9.99,9.818,9.862,10852,0
20000127,9.839,9.839,9.684,9.684,11080,0
20000128,9.728,9.728,9.619,9.619,6105,0
20000131,9.728,9.728,9.596,9.596,2488,0
20000201,9.596,9.728,9.596,9.707,2034,0
20000203,9.596,9.641,9.596,9.641,1131,0
20000204,9.663,9.728,9.645,9.728,6105,0
20000207,9.728,9.728,9.641,9.641,3166,0
20000208,9.552,9.707,9.552,9.663,7236,0
20000209,9.862,9.905,9.818,9.905,3844,0
20000211,9.684,9.684,9.4853,9.641,13115,0
20000214,9.641,9.641,9.596,9.596,3392,0
20000215,9.552,9.552,9.508,9.508,4749,0
20000216,9.3754,9.4192,8.756,8.8443,92713,0
20000217,8.8443,8.8443,8.8224,8.8443,3618,0
20000218,8.8443,8.8443,8.8224,8.8443,7236,0
20000221,8.8356,8.8443,8.6233,8.8443,2715,0
20000222,8.756,9.0211,8.756,8.9773,14021,0
20000223,9.0658,9.0658,8.9773,8.9773,5428,0
20000224,9.0658,9.0658,9.0658,9.0658,1131,0
20000225,9.0658,9.0882,8.9773,9.0658,6558,0
20000229,9.0658,9.198,9.0658,9.198,2034,0
20000301,9.2471,9.4503,9.2471,9.4065,9949,0
20000302,9.2432,9.2432,9.1627,9.1627,5654,0
20000303,9.2199,9.2199,9.198,9.198,5654,0
20000306,9.1092,9.1321,8.9997,8.9997,9949,0
20000307,9.1092,9.1092,9.0658,9.0658,2488,0
20000308,8.8889,8.9773,8.8889,8.8936,2939,0
20000309,8.8936,8.8936,8.8889,8.8889,2939,0
20000310,8.8889,8.8889,8.756,8.8443,3844,0
20000313,8.7118,8.8443,8.7118,8.8003,1583,0
20000314,8.8443,8.9327,8.8443,8.9327,3166,0
