Date,Open,High,Low,Close,Volume,OpenInt
20090407,25.45,25.45,25.45,25.45,100,0
20090415,25.45,25.45,25.45,25.45,290,0
20090422,25.47,25.47,25.45,25.45,60,0
20090429,25.45,25.45,25.45,25.45,750,0
20090508,24.5,25,24.5,25,120,0
20090511,24.5,24.52,23.8,23.8,730,0
20090513,23.8,23.8,23.8,23.8,2130,0
20090514,23.65,23.8,23.6,23.8,200,0
20090518,23.8,23.95,23.8,23.95,262,0
20090519,23.8,23.98,23.8,23.98,50,0
20090602,23.3,23.5,23.3,23.5,790,0
20090603,23.5,23.5,23.5,23.5,200,0
20090604,23.5,23.5,23.3,23.3,458,0
20090608,22.5,23.5,22.5,23.5,100,0
20090609,22.5,23.45,21,23.2,930,0
20090610,23,23,22.75,22.75,100,0
20090612,23.5,23.5,23.5,23.5,1350,0
20090615,23.5,23.5,23.45,23.45,860,0
20090617,23.45,23.45,23,23,1850,0
20090624,23.1,23.5,23.1,23.48,4,0
20090626,23.1,23.49,23.1,23.49,5,0
20090629,23.1,23.11,23.1,23.11,20,0
20090701,23.48,23.48,23.25,23.25,100,0
20090702,23.25,23.25,23.1,23.1,870,0
20090703,23.05,23.5,23.05,23.5,535,0
20090706,24,24.02,23.49,24,1080,0
20090714,24.01,24.01,22.87,24,576,0
20090716,25,25.5,25,25.25,400,0
20090717,24,25.26,24,25,200,0
20090722,24.5,24.5,24,24,500,0
20090724,24,25,23.05,25,524,0
20090730,25,25,24.55,25,134,0
20090803,25.6,25.6,25.6,25.6,80,0
20090805,28,28,25.6,26,230,0
20090807,26.5,26.5,26.5,26.5,40,0
20090810,26,26,25.8,25.81,260,0
20090813,25.8,25.8,25.5,25.8,250,0
20090817,26,26,25.8,26,50,0
20090824,25.8,26,25.4,26,605,0
20090827,26,26,26,26,100,0
20090828,25.9,26,25.8,26,100,0
20090831,25.9,26.5,25.06,26,1680,0
20090901,26,26,25.5,26,180,0
20090903,25.9,25.9,25.9,25.9,42,0
20090904,25.9,25.9,25.7,25.7,500,0
20090909,25.94,25.94,25.9,25.9,2200,0
20090910,25.85,25.85,25.8,25.8,3070,0
20090914,25.7,25.8,25.7,25.7,2500,0
20090915,25.8,25.8,25.7,25.7,1500,0
20090916,25.8,25.8,25.8,25.8,2000,0
20090918,25.8,25.8,25.4,25.7,3030,0
20090921,25.75,25.75,25.5,25.5,6878,0
20090923,25.5,25.5,25.4,25.4,1000,0
20090924,25.55,25.55,25,25.4,580,0
20090928,25.4,25.55,25.4,25.4,840,0
20090929,25.3,25.55,25.25,25.25,2670,0
20091007,25.26,25.26,25.25,25.25,625,0
20091012,25.2,25.2,25,25.2,1007,0
20091015,25.2,25.2,25,25.1,1880,0
20091019,25,25,25,25,200,0
