Date,Open,High,Low,Close,Volume,OpenInt
20070402,28.3,28.4,27.5,28,138500,0
20070403,27.99,28,27.86,28,156100,0
20070404,27.98,27.98,27.4,27.85,22500,0
20070405,27.51,27.6,27.15,27.55,10900,0
20070410,27.5,27.5,27,27.3,25800,0
20070411,27.25,27.25,27,27.25,60800,0
20070412,27,27.1,26.9,27,52700,0
20070413,27,27,26,26,40000,0
20070416,26,27.3,26,27.3,5700,0
20070417,27.2,27.9,27.2,27.9,10100,0
20070418,27.75,28,27.75,27.98,26600,0
20070419,27.7,28.01,27.7,27.8,49800,0
20070420,27.5,27.95,27.5,27.8,4800,0
20070423,27.8,28.5,27.41,28.5,2500,0
20070425,28,28,28,28,200,0
20070426,28,28.45,28,28,1000,0
20070427,27.9,28.2,27.9,28,38100,0
20070430,28.3,28.3,28,28,5000,0
20070502,28,28,27.75,28,33300,0
20070503,27.76,27.76,27.76,27.76,500,0
20070504,27.75,27.75,27.35,27.35,1300,0
20070507,27.3,28,26.97,28,1600,0
20070508,27.99,28,27.99,28,1400,0
20070509,27.9,27.9,27,27,400,0
20070510,27,27.1,27,27.1,600,0
20070511,27,27,25.75,26,4000,0
20070514,26.21,26.46,25.95,25.95,1100,0
20070515,25.95,26,25.95,26,800,0
20070516,26,26,25.2,25.2,4300,0
20070517,25.2,25.2,25.2,25.2,500,0
20070518,25.5,25.5,25.5,25.5,200,0
20070521,25.6,25.93,25.6,25.93,100,0
20070522,26.42,26.5,26.42,26.5,1900,0
20070523,26,26.65,26,26.65,700,0
20070524,26.4,26.4,25.8,25.8,900,0
20070525,26.35,26.35,25.9,26.35,1000,0
20070529,26.49,27,26,26.75,3700,0
20070530,26.9,26.9,26.1,26.55,3400,0
20070531,27.2,27.39,26.4,27.39,4800,0
20070601,27.4,27.8,27.4,27.8,1000,0
20070604,28.24,28.24,27.6,28.2,200,0
20070607,28.2,28.2,27.35,27.35,2600,0
20070608,27.08,27.08,27.08,27.08,400,0
20070611,27.5,27.5,26.85,26.85,200,0
20070613,27.36,27.36,27.36,27.36,100,0
20070615,27.37,27.79,27.01,27.79,200,0
20070618,27.36,28,27.1,28,1400,0
20070619,27.95,28.2,27.95,28.2,9900,0
20070621,28.3,28.3,28.3,28.3,200,0
20070622,28.3,28.8,28.3,28.5,3000,0
20070625,28.45,28.67,28,28.05,7900,0
20070626,28.39,28.39,28.1,28.1,400,0
20070627,28,28.5,27.82,27.82,1600,0
20070628,28.04,28.67,28.04,28.5,4800,0
20070629,28.6,29.8,28.6,29.4,15700,0
20070702,29.02,29.19,28.71,29,6200,0
20070703,28.85,28.95,28.85,28.95,300,0
20070704,29.19,29.19,28.36,28.94,600,0
20070705,28.8,29.09,28.8,29.09,200,0
20070709,28.9,29.3,28.84,28.85,3000,0
20070710,29.11,29.11,28.9,29,13000,0
20070712,28.7,28.95,28.7,28.95,1200,0
20070713,28.8,28.99,28.46,28.46,1500,0
20070716,29,29,29,29,200,0
20070717,28.5,28.5,28.5,28.5,3000,0
20070719,28.51,28.51,28.5,28.5,2400,0
20070720,28.5,28.99,28.5,28.99,200,0
20070725,28.5,28.5,28.2,28.29,8400,0
20070726,28,28,27.4,27.5,77100,0
20070727,27.1,27.1,26.3,27,900,0
20070730,26.61,27.2,26.61,27.2,1700,0
20070731,26.7,27.2,26.61,27,13100,0
20070801,26.49,27,26.49,27,2500,0
20070802,26.75,27,26.75,27,200,0
20070803,26.5,26.5,25.49,25.49,5300,0
20070806,26,26.02,25.75,26.02,2700,0
20070807,25.1,25.1,25.1,25.1,1300,0
20070809,24.8,25.65,22.6,23.45,9200,0
20070810,23.56,23.56,23.13,23.13,2700,0
20070813,23.7,25.65,23,24.5,5800,0
20070814,25,25,23.54,23.94,5200,0
20070815,23.47,23.65,22.95,23.04,33700,0
20070816,22.95,23.22,21.43,21.75,10100,0
20070817,22.12,22.25,21.4,22.2,5000,0
20070820,22.57,22.61,22.3,22.3,1400,0
20070821,22.57,22.57,21.6,21.6,3700,0
20070822,21.41,22.1,21.4,21.7,1700,0
20070823,21.75,22.49,21.75,22.1,4100,0
20070824,22,22.1,22,22,1200,0
20070827,22,22.3,21.95,22,3400,0
20070828,22,22.93,22,22.92,8500,0
20070829,22.6,24.02,22.6,23.7,5200,0
20070830,24.3,25.1,24.3,25.1,2700,0
20070831,25,27,25,27,37900,0
20070903,26.75,26.75,25,25.77,8100,0
20070904,25.5,26.38,24.86,25.51,2700,0
20070906,25,25.89,25,25.89,1200,0
20070907,25.95,26,25.56,25.56,1000,0
20070910,25.22,25.61,25.1,25.26,800,0
20070919,24.44,24.44,24.44,24.44,700,0
20070920,24.59,24.59,23.39,23.79,5900,0
20070926,24.3,24.3,23.52,24,1700,0
20070927,24.1,24.1,23.36,23.5,3500,0
20070928,24.04,24.04,22,22.49,2700,0
20071001,23.74,23.74,21.8,21.8,4200,0
20071002,22.3,22.39,21.76,22.29,400,0
20071003,22,22.29,21.73,21.73,600,0
20071004,22.15,22.3,22,22.29,400,0
20071005,21.9,22.1,21.19,21.19,4200,0
20071008,21.5,21.5,21.33,21.35,5500,0
20071009,21.4,21.4,20.22,20.85,8200,0
20071010,21.2,21.2,20.4,20.6,11200,0
20071011,20.5,20.5,20.2,20.35,4800,0
20071012,20.36,20.4,20.25,20.35,2100,0
20071015,20.45,20.45,20.4,20.4,1300,0
20071016,20.4,20.4,20.35,20.35,1600,0
20071017,20.5,20.51,20.5,20.5,10300,0
20071018,20.5,20.5,20.02,20.25,1600,0
20071019,20.24,20.24,20,20,800,0
20071024,20,20,19.9,20,5800,0
20071026,19.8,19.8,18.96,19.15,2100,0
20071030,19.19,19.2,19.01,19.2,600,0
20071031,19.4,19.4,18.3,18.3,4900,0
20071101,18.66,18.66,17.72,18.01,1700,0
20071102,17.8,17.8,17.3,17.3,2400,0
20071105,17.5,17.5,16.66,17,2900,0
20071106,17.26,17.3,16.65,16.65,3300,0
20071107,16.94,17.68,16.63,17.68,13000,0
20071108,17.68,17.9,16.5,16.66,3700,0
20071109,16.78,16.8,16.26,16.66,200,0
20071112,16.63,16.63,16.2,16.63,1800,0
20071113,16.64,16.64,16.4,16.45,7300,0
20071114,16.35,16.35,16.35,16.35,100,0
20071115,16.03,16.35,16.03,16.35,100,0
20071116,16.39,16.39,15.96,16,12300,0
20071119,15.95,16.36,14.55,14.55,25400,0
20071120,15,15,14.35,14.56,7600,0
20071121,14.5,14.55,11.95,12.8,22200,0
20071122,13.17,13.77,12.45,12.64,18100,0
20071123,12.6,12.75,12.3,12.33,22000,0
20071126,12.69,13.48,12.69,12.82,9800,0
20071127,12.99,12.99,11.72,11.89,32700,0
20071128,12.29,12.52,11.75,11.75,20400,0
20071129,12.13,12.36,11.99,12,19400,0
20071130,12.1,12.33,12,12,14300,0
20071203,12,12.3,11.9,12.18,19800,0
20071204,12.22,12.27,11.8,12,16000,0
20071205,12,12.05,12,12,5800,0
20071206,12.05,12.19,11.9,12,25300,0
20071207,12,13.2,12,13.2,12000,0
20071210,13.29,13.29,13.1,13.24,2700,0
20071211,13.36,14.04,13.01,13.01,13900,0
20071212,13.29,13.29,12.64,12.95,6100,0
20071213,13,13.15,12.69,12.99,6700,0
20071214,12.96,13.45,12.7,13.39,24700,0
20071217,13.21,13.24,12.68,12.7,5700,0
20071218,12.82,12.82,12,12.55,8900,0
20071219,12.5,13.35,12.5,13.2,28700,0
20071220,13.92,14.41,13.01,13.01,62100,0
20071221,13.49,13.6,13,13,57300,0
20071227,13.25,14.24,13.2,13.9,64900,0
20071228,14,14.45,13.93,13.93,40900,0
20080102,15,15.5,15,15.27,38600,0
20080103,15.84,16.45,15.84,16.25,37600,0
20080104,17,17.9,16.99,17.75,39100,0
20080107,18,18,13.98,14.4,83400,0
20080108,14.89,15.8,14.5,14.5,56800,0
20080109,15,15,13.33,14.18,41500,0
20080110,14.6,14.75,14.3,14.7,2500,0
20080111,14.9,14.93,14.37,14.37,6200,0
20080114,14.7,14.9,14.05,14.06,19300,0
20080115,14.2,14.27,13.3,13.51,22800,0
20080116,13.6,13.69,13,13,14700,0
20080117,13.2,13.35,13.12,13.33,3900,0
20080118,13.25,13.55,13.25,13.4,23400,0
20080121,13.3,13.4,12.55,13.4,20700,0
20080122,12.5,13.75,10.7,13.75,36400,0
20080123,13.9,14.15,12.02,13.39,22000,0
20080124,13.6,13.9,13.01,13.65,21100,0
20080125,13.5,13.8,13.45,13.75,9100,0
20080128,13.65,13.9,13.5,13.55,6000,0
20080129,13.85,14.87,13.83,14.87,7900,0
20080130,14.75,15,14.74,14.8,11400,0
20080131,15,15.2,14.57,14.7,9900,0
20080201,14.75,14.75,14.58,14.7,5000,0
20080204,14.7,14.7,14.31,14.5,4500,0
20080205,14.54,14.69,13.52,13.89,12900,0
20080206,12.9,13.34,12.22,13,8000,0
20080207,13.18,13.18,12.69,12.7,5600,0
20080208,12.95,13.25,12.82,13.14,14500,0
20080211,13.3,13.5,13.01,13.01,16800,0
20080212,13.2,13.7,13.2,13.7,12600,0
20080213,13.57,14.25,13.5,13.9,14300,0
20080214,13.9,14.2,13.88,13.98,10100,0
20080215,11.23,11.23,9.68,9.85,135000,0
20080218,9.99,10,8.03,8.79,89000,0
20080219,8.8,9.29,8.8,9.23,39500,0
20080220,9.35,9.35,9.1,9.18,20500,0
20080221,9.11,9.54,9.11,9.45,9000,0
20080222,9.3,9.39,9.15,9.35,5500,0
20080225,9.3,9.3,9.1,9.28,4000,0
20080226,9.27,9.27,9.05,9.18,30500,0
20080227,9.17,9.19,9.1,9.15,8100,0
20080228,9.15,9.2,9.11,9.2,4000,0
20080229,9.2,9.2,9.05,9.15,13000,0
20080303,9,9.19,9,9.15,17700,0
20080304,9.15,9.24,9.06,9.2,8200,0
20080305,9.2,9.2,9,9.06,12300,0
20080306,9.12,9.12,9,9,6600,0
20080307,9.1,9.1,8.92,8.95,24700,0
20080310,8.83,8.99,8.2,8.39,8800,0
20080311,8.3,8.4,8.05,8.05,14600,0
20080312,8.27,8.32,8.1,8.28,7300,0
20080313,8.1,8.25,8.01,8.1,2100,0
20080314,8,8.04,7.82,8,8400,0
20080317,7.84,7.84,7.38,7.48,6900,0
20080318,7.57,7.57,6.75,6.94,38200,0
20080319,7.05,7.05,6.8,6.8,20900,0
20080320,6.84,6.84,6.76,6.8,36900,0
20080325,6.85,7,6.72,6.8,28400,0
20080326,6.91,7.17,6.81,7.17,18000,0
20080327,7.15,7.15,7.06,7.13,9200,0
20080328,7.1,7.13,7.1,7.13,500,0
20080331,7.1,7.17,7.07,7.17,8000,0
20080401,7.1,7.17,7.1,7.17,5200,0
20080402,7.05,7.15,7,7.15,3400,0
20080403,7.09,7.15,7.09,7.15,3200,0
20080404,7.07,7.15,7.05,7.15,3900,0
20080407,7.02,7.15,6.95,7.02,13400,0
20080408,7,7,6.5,6.71,11200,0
20080409,6.74,6.98,6.61,6.9,42900,0
20080410,6.89,6.94,6.89,6.94,12200,0
20080411,6.95,6.98,6.9,6.91,12600,0
20080414,6.9,6.92,6.8,6.9,24400,0
20080415,6.85,6.98,6.85,6.9,1500,0
20080416,6.85,6.85,6.75,6.79,5700,0
20080417,6.8,6.8,6.7,6.7,3600,0
20080418,6.7,6.8,6.7,6.8,6600,0
20080421,6.66,6.81,6.55,6.6,22500,0
20080422,6.59,6.59,6.51,6.52,10900,0
20080423,6.5,6.53,6.17,6.17,3600,0
20080424,6.15,6.3,6,6,19400,0
20080425,6.02,6.05,5.98,6.02,13900,0
20080428,6.03,6.14,5.89,6.12,2100,0
20080429,6,6,5.26,5.39,33900,0
20080430,5.43,5.54,5.43,5.54,7200,0
20080502,5.5,5.54,5.4,5.52,10700,0
20080505,5.49,5.49,5.25,5.39,9700,0
20080506,5.35,5.35,4.52,4.99,43500,0
20080507,5.06,5.2,4.92,5.2,28700,0
20080508,5.25,5.46,5.25,5.43,22200,0
20080509,5.45,5.5,5.06,5.24,26300,0
20080512,5.27,5.32,5.12,5.12,4300,0
20080513,5.3,5.4,5.2,5.2,12000,0
20080514,5.2,5.29,5.07,5.29,9100,0
20080515,5.29,5.64,5.19,5.64,22000,0
20080516,5.7,6.1,5.7,6.03,25600,0
20080519,6.05,6.16,5.95,6.1,15800,0
20080520,6.15,6.7,6.11,6.7,28300,0
20080521,6.7,6.74,6.38,6.42,23300,0
20080522,6.35,6.4,6.19,6.4,15500,0
20080523,6.41,6.42,6.3,6.3,3700,0
20080526,6.38,6.38,6.24,6.32,4300,0
20080527,6.37,6.37,6.23,6.23,2200,0
20080528,6.38,6.38,6.18,6.35,3100,0
20080529,6.35,6.42,6.34,6.42,6200,0
20080530,6.42,6.42,6.2,6.38,4900,0
20080602,6.3,6.44,6.3,6.44,400,0
20080603,6.44,6.45,6.44,6.45,300,0
20080604,6.45,6.45,6.45,6.45,500,0
20080605,6.5,6.5,6.27,6.4,1100,0
20080606,6.33,6.35,6.25,6.25,1400,0
20080609,6.3,6.3,6.25,6.25,1900,0
20080610,6.25,6.32,6.2,6.25,1200,0
20080611,6.15,6.25,5.75,5.9,10200,0
20080612,5.85,5.99,5.6,5.72,4300,0
20080613,5.63,5.73,5.61,5.7,600,0
20080616,5.74,5.74,5.58,5.73,6400,0
20080617,5.65,5.7,5.65,5.7,1500,0
20080618,5.82,5.85,5.81,5.81,7100,0
20080619,5.78,5.91,5.78,5.9,1300,0
20080620,5.92,6,5.85,6,8000,0
20080623,6,6,5.83,5.98,3000,0
20080624,5.85,5.85,5.84,5.84,1700,0
20080625,5.85,5.94,5.83,5.9,2600,0
20080626,5.91,5.98,5.91,5.98,2400,0
20080627,5.98,5.98,5.82,5.82,1900,0
20080630,5.92,5.97,5.85,5.93,8000,0
20080701,5.9,6,5.8,6,11200,0
20080702,5.91,6.07,5.9,6.07,4900,0
20080703,5.96,6,5.88,5.88,3600,0
20080704,5.88,5.92,5.72,5.8,5700,0
20080707,5.8,5.8,5.64,5.73,6200,0
20080708,5.75,5.75,5.35,5.35,13200,0
20080709,5.3,5.3,5.11,5.28,7400,0
20080710,5.2,5.2,5.07,5.18,2700,0
20080711,5.15,5.15,4.64,4.7,11400,0
20080714,4.75,4.96,4.75,4.96,7900,0
20080715,4.88,4.88,4.76,4.76,2200,0
20080716,4.9,5.02,4.83,5.02,3500,0
20080717,5.1,5.61,5.09,5.45,17100,0
20080718,5.45,5.51,5.3,5.5,2000,0
20080721,5.41,5.45,5.4,5.45,600,0
20080722,5.4,5.51,5.4,5.51,3500,0
20080723,5.5,5.55,5.34,5.54,7100,0
