Date,Open,High,Low,Close,Volume,OpenInt
20030721,20.472,20.472,20.472,20.472,135,0
20030818,21.936,21.936,21.936,21.936,271,0
20030908,19.226,19.226,19.226,19.226,135,0
20030911,19.597,19.597,19.597,19.597,135,0
20030912,19.597,19.597,19.597,19.597,407,0
20030930,18.807,18.807,18.807,18.807,135,0
20031121,17.733,17.733,17.733,17.733,679,0
20031229,18.466,18.466,18.466,18.466,679,0
20040209,20.7,20.7,20.7,20.7,135,0
20040211,20.111,20.111,20.111,20.111,544,0
20040227,19.302,19.302,19.302,19.302,135,0
20040422,19.302,19.302,19.302,19.302,135,0
20040426,18.646,18.646,18.646,18.646,135,0
20040506,19.73,19.73,19.73,19.73,815,0
20040526,19.007,19.007,19.007,19.007,544,0
20040527,19.007,19.007,19.007,19.007,271,0
20040528,19.007,19.007,19.007,19.007,271,0
20040601,17.543,17.543,17.543,17.543,543,0
20040602,18.351,18.351,18.351,18.351,271,0
20040603,19.007,19.007,19.007,19.007,271,0
20040604,19.007,19.007,19.007,19.007,1357,0
20040607,18.789,18.789,18.789,18.789,271,0
20040608,18.789,18.789,18.789,18.789,271,0
20040609,19.007,19.007,19.007,19.007,407,0
20040614,19.007,19.007,19.007,19.007,815,0
20040616,19.007,19.007,19.007,19.007,544,0
20040629,18.646,18.646,18.646,18.646,135,0
20040705,19.416,19.416,19.416,19.416,135,0
20040708,18.428,18.428,18.428,18.428,271,0
20040712,18.133,18.133,18.133,18.133,135,0
20040714,18.057,18.057,18.057,18.057,271,0
20040716,18.428,18.428,18.428,18.428,271,0
20040826,18.627,18.627,18.627,18.627,544,0
20040916,19.007,19.007,19.007,19.007,544,0
20041028,18.807,18.807,18.807,18.807,543,0
20041104,19.378,19.378,19.378,19.378,135,0
20041111,19.445,19.445,19.445,19.445,544,0
20041117,20.472,20.472,20.472,20.472,2989,0
20041118,20.652,20.652,20.652,20.652,135,0
20041119,21.194,21.194,21.194,21.194,815,0
20041122,21.936,21.936,21.936,21.936,6927,0
20041129,21.214,21.214,21.214,21.214,815,0
20041130,20.472,20.472,20.472,20.472,2580,0
20041210,21.936,21.936,21.936,21.936,271,0
20041213,21.346,21.346,21.346,21.346,951,0
20041216,21.204,21.204,21.204,21.204,135,0
20050113,21.128,21.128,21.128,21.128,135,0
20050126,22.373,22.373,22.373,22.373,271,0
20050128,22.668,22.668,22.668,22.668,271,0
20050201,22.079,22.079,22.079,22.079,815,0
20050207,22.668,22.668,22.668,22.668,1087,0
20050208,23.4,23.4,23.4,23.4,407,0
20050211,23.324,23.324,23.324,23.324,815,0
20050214,24.132,24.132,24.132,24.132,407,0
20050228,24.855,24.855,24.855,24.855,135,0
20050310,24.855,24.855,24.855,24.855,2038,0
20050314,24.826,24.826,24.826,24.826,2716,0
20050315,24.132,24.132,24.132,24.132,951,0
20050316,24.199,24.199,24.199,24.199,1495,0
20050405,24.855,24.855,24.855,24.855,815,0
20050408,23.904,23.904,23.904,23.904,135,0
20050418,24.132,24.132,24.132,24.132,135,0
20050419,24.313,24.313,24.313,24.313,815,0
20050427,24.494,24.494,24.494,24.494,544,0
20050504,24.494,24.494,24.494,24.494,135,0
20050510,24.656,24.656,24.656,24.656,135,0
20050518,24.494,24.494,24.494,24.494,815,0
20050520,24.494,24.494,24.494,24.494,271,0
20050523,24.674,24.674,24.674,24.674,1358,0
20050603,25.083,25.083,25.083,25.083,407,0
20050606,24.456,24.456,24.456,24.456,2445,0
20050607,25.226,25.226,25.226,25.226,271,0
20050614,26.319,26.319,26.319,26.319,271,0
20050615,24.931,24.931,24.931,24.931,407,0
20050620,25.007,25.007,25.007,25.007,544,0
20050701,25.226,25.226,25.226,25.226,135,0
20050707,25.958,25.958,25.958,25.958,135,0
20050708,25.587,25.587,25.587,25.587,271,0
20050712,25.587,25.587,25.587,25.587,2039,0
20050719,26.357,26.357,26.357,26.357,544,0
20050721,27.926,27.926,27.926,27.926,271,0
20050725,27.707,27.707,27.707,27.707,407,0
20050726,28.525,28.525,28.525,28.525,135,0
20050729,27.707,27.707,27.707,27.707,408,0
20050801,29.248,29.248,29.248,29.248,951,0
20050802,29.248,29.248,29.248,29.248,135,0
20050803,30.712,30.712,30.712,30.712,135,0
20050804,33.27,33.27,33.27,33.27,135,0
20050805,30.854,30.854,30.854,30.854,544,0
20050808,30.56,30.56,30.56,30.56,271,0
20050810,32.975,32.975,32.975,32.975,135,0
20050816,30.712,30.712,30.712,30.712,407,0
20050817,31.055,31.055,31.055,31.055,271,0
20050818,32.1,32.1,32.1,32.1,271,0
20050819,32.862,32.862,32.862,32.862,544,0
20050822,32.832,32.832,32.832,32.832,271,0
20050831,34.354,34.354,34.354,34.354,135,0
20050901,35.39,35.39,35.39,35.39,679,0
20050906,36.93,36.93,36.93,36.93,407,0
20050907,37.33,37.33,37.33,37.33,544,0
20050909,37.425,37.425,37.425,37.425,271,0
20050913,34.734,34.734,34.734,34.734,815,0
20050914,35.827,35.827,35.827,35.827,951,0
20050916,37.291,37.291,37.291,37.291,135,0
20050919,36.227,36.227,36.227,36.227,2174,0
20050920,36.569,36.569,36.569,36.569,135,0
20050921,37.948,37.948,37.948,37.948,135,0
20050922,38.024,38.024,38.024,38.024,135,0
20050923,39.337,39.337,39.337,39.337,815,0
20050927,40.211,40.211,40.211,40.211,135,0
20050928,39.337,39.337,39.337,39.337,271,0
20051003,38.386,38.386,38.386,38.386,135,0
20051005,36.921,36.921,36.921,36.921,679,0
20051006,38.091,38.091,38.091,38.091,679,0
20051007,37.73,37.73,37.73,37.73,544,0
20051010,37.291,37.291,37.291,37.291,544,0
20051014,36.559,36.559,36.559,36.559,2038,0
20051019,35.315,35.315,35.315,35.315,407,0
20051020,35.752,35.752,35.752,35.752,407,0
20051021,34.544,34.544,34.544,34.544,271,0
20051024,34.734,34.734,34.734,34.734,271,0
20051108,34.363,34.363,34.363,34.363,679,0
20051109,34.363,34.363,34.363,34.363,407,0
20051111,33.926,33.926,33.926,33.926,1357,0
20051121,34.002,34.002,34.002,34.002,407,0
20051122,33.859,33.859,33.859,33.859,135,0
20051123,33.812,33.812,33.812,33.812,135,0
20051128,35.315,35.315,35.315,35.315,135,0
20051129,34.144,34.144,34.144,34.144,407,0
20051201,34.135,34.135,34.135,34.135,544,0
20051207,34.591,34.591,34.591,34.591,135,0
20051212,34.363,34.363,34.363,34.363,135,0
20051214,34.658,34.658,34.658,34.658,544,0
20051220,34.363,34.363,34.363,34.363,679,0
20051230,33.631,33.631,33.631,33.631,2852,0
20060103,33.089,33.089,33.089,33.089,408,0
20060105,32.357,32.357,32.357,32.357,271,0
