Date,Open,High,Low,Close,Volume,OpenInt
20000103,11.348,11.681,11.348,11.681,3236,0
20000104,11.468,11.468,11.26,11.26,480,0
20000105,11.473,11.473,11.348,11.348,1318,0
20000106,11.439,12.099,11.439,11.681,12464,0
20000107,11.426,11.426,11.426,11.426,960,0
20000111,11.512,11.72,11.512,11.72,599,0
20000114,11.545,11.545,11.545,11.545,120,0
20000117,11.844,11.969,11.76,11.76,2159,0
20000119,11.598,11.681,11.598,11.681,719,0
20000124,11.515,11.515,11.515,11.515,120,0
20000125,11.299,11.299,11.299,11.299,359,0
20000203,11.426,11.426,11.426,11.426,239,0
20000207,11.432,11.432,11.223,11.348,120,0
20000209,11.382,11.507,11.299,11.299,2038,0
20000210,11.507,11.632,11.507,11.632,719,0
20000211,11.426,11.426,11.426,11.426,239,0
20000214,11.221,11.221,11.221,11.221,959,0
20000218,11.424,11.632,11.424,11.632,18948,0
20000221,11.657,11.681,11.606,11.681,5753,0
20000222,11.681,11.681,11.681,11.681,1198,0
20000223,11.681,11.681,11.681,11.681,1198,0
20000224,11.763,11.763,11.446,11.446,2278,0
20000228,11.352,11.352,11.26,11.26,719,0
20000229,11.466,11.466,11.466,11.466,960,0
20000301,11.341,11.341,11.174,11.299,2159,0
20000302,11.098,11.123,11.098,11.123,1198,0
20000303,11.262,11.27,10.937,10.937,1318,0
20000306,11.133,11.133,11.133,11.133,960,0
20000308,11.299,11.674,11.299,11.466,3478,0
20000309,11.681,11.681,11.681,11.681,1318,0
20000314,11.89,11.907,11.69,11.907,1440,0
20000321,11.853,11.936,11.853,11.936,719,0
20000322,11.921,12.513,11.921,12.504,6113,0
20000323,12.515,12.515,12.515,12.515,1079,0
20000327,12.798,12.798,12.798,12.798,120,0
20000328,12.931,13.014,12.514,12.847,7791,0
20000330,12.848,12.848,12.431,12.681,3356,0
20000331,12.446,12.446,12.446,12.446,1199,0
20000403,13.216,13.216,12.741,12.798,2038,0
20000404,12.748,13.014,12.748,13.014,719,0
20000405,12.781,12.781,12.681,12.681,599,0
20000410,12.514,12.681,12.514,12.681,599,0
20000412,12.367,12.593,12.367,12.593,480,0
20000413,12.098,12.548,12.098,12.515,3476,0
20000417,12.426,12.593,12.426,12.593,600,0
20000418,13.343,13.343,12.859,12.926,1799,0
20000419,12.932,12.932,12.574,12.574,2037,0
20000420,12.593,12.593,12.593,12.593,600,0
20000426,12.631,12.631,12.515,12.515,120,0
20000427,12.723,12.723,12.681,12.681,1199,0
20000503,12.448,12.691,12.448,12.691,359,0
20000504,12.671,12.671,12.671,12.671,359,0
20000505,12.887,12.887,12.887,12.887,599,0
20000511,12.936,13.161,12.927,13.161,2278,0
20000512,13.308,13.308,13.308,13.308,359,0
20000515,13.306,13.515,13.306,13.348,7552,0
20000516,13.381,13.381,13.348,13.348,1318,0
20000517,13.103,13.221,12.62,13.221,6594,0
20000518,12.233,12.233,11.589,11.681,5154,0
20000519,11.473,11.681,11.348,11.681,3116,0
20000522,11.466,11.674,11.466,11.466,960,0
20000523,11.265,11.432,10.848,11.348,10786,0
20000524,11.302,11.51,11.177,11.26,480,0
20000525,11.054,11.054,11.054,11.054,599,0
20000526,11.168,11.168,11.01,11.093,1319,0
20000529,11.427,11.635,11.26,11.26,239,0
20000530,11.26,11.26,11.26,11.26,1798,0
20000531,11.468,11.468,11.426,11.426,1798,0
20000601,11.387,11.387,11.387,11.387,1199,0
20000602,11.426,11.426,11.426,11.426,719,0
20000605,11.424,11.591,11.424,11.466,1199,0
20000606,11.466,11.466,11.466,11.466,600,0
20000613,11.424,11.507,11.299,11.299,1558,0
20000615,11.343,11.343,11.26,11.26,3597,0
20000616,11.05,11.25,11.05,11.25,480,0
20000619,11.044,11.044,11.044,11.044,480,0
20000620,11.011,11.011,10.761,10.761,2038,0
20000621,10.927,10.927,10.927,10.927,120,0
20000622,10.761,10.761,10.761,10.761,120,0
20000627,11.123,11.123,11.123,11.123,120,0
20000629,10.956,10.956,10.956,10.956,959,0
20000630,11.26,11.26,11.26,11.26,960,0
20000703,11.047,11.047,10.639,10.839,6957,0
20000704,11.044,11.044,11.044,11.044,359,0
20000705,10.839,10.839,10.839,10.839,1199,0
20000706,10.839,10.839,10.839,10.839,359,0
20000710,10.848,10.848,10.79,10.79,1798,0
20000711,10.513,10.513,10.506,10.506,2759,0
20000712,10.589,10.672,10.589,10.672,1559,0
20000714,11.256,11.457,11.256,11.457,3239,0
20000717,11.43,11.722,11.43,11.505,3355,0
