Date,Open,High,Low,Close,Volume,OpenInt
20090406,12.113,13.636,12.113,12.967,6782,0
20090407,12.938,15.53,12.822,15.044,3709,0
20090408,14.462,15.335,13.793,14.996,3787,0
20090409,14.918,16.86,14.918,16.073,2936,0
20090414,16.025,16.985,16.025,16.549,1525,0
20090415,16.549,16.811,15.53,16.219,8234,0
20090416,16.17,16.17,15.539,16.015,1373,0
20090417,16.015,16.597,15.491,16.054,2248,0
20090420,16.054,18.344,16.054,18.101,6301,0
20090421,18.539,19.704,17.286,17.616,8511,0
20090422,17.859,18.49,17.471,18.053,4993,0
20090423,18.053,18.053,16.888,17.471,3409,0
20090424,17.471,17.956,17.208,17.364,6182,0
20090427,17.325,17.713,16.985,17.713,44,0
20090428,17.325,18.034,16.976,17.248,1163,0
20090429,17.471,17.471,16.695,17.248,639,0
20090430,17.471,17.616,16.16,16.52,15623,0
20090504,16.52,18.733,16.52,17.131,38078,0
20090505,17.471,18.101,17.035,17.753,3158,0
20090506,17.461,17.665,17.005,17.461,97229,0
20090507,17.461,17.616,17.073,17.568,21874,0
20090508,17.568,17.616,17.248,17.568,1442,0
20090511,17.568,17.956,17.373,17.558,18444,0
20090512,17.471,19.218,17.277,18.548,17054,0
20090513,18.539,18.548,18.228,18.228,1449,0
20090514,18.539,18.539,17.529,17.956,3903,0
20090515,17.956,17.956,17.568,17.956,603,0
20090518,17.956,18.101,17.568,17.956,2219,0
20090519,18.344,19.694,17.956,19.412,3503,0
20090520,19.412,21.256,19.024,20.81,9001,0
20090521,20.674,20.81,19.897,20.48,896,0
20090522,20.48,20.577,19.849,20.577,867,0
20090525,20.577,21.819,19.946,21.819,6033,0
20090526,20.965,21.79,20.189,20.722,2122,0
20090527,20.722,20.722,19.887,19.927,1628,0
20090528,19.897,21.353,19.655,20.567,978,0
20090529,20.024,21.645,20.024,21.498,1997,0
20090601,21.548,22.13,20.965,21.548,2521,0
20090602,21.548,24.75,21.548,24.265,5878,0
20090603,24.265,26.196,24.265,25.595,3868,0
20090604,25.138,26.351,23.789,24.847,4282,0
20090605,25.1,25.168,24.265,24.847,1555,0
20090608,24.945,25.624,24.265,25.624,2926,0
20090609,25.235,25.235,24.265,24.265,1516,0
20090610,24.265,24.964,24.265,24.653,1253,0
20090611,24.653,24.75,24.314,24.75,9994,0
20090612,23.974,25.45,23.974,25.45,2967,0
20090615,25.148,25.45,24.527,24.527,3946,0
20090616,25.138,25.138,23.595,24.217,3891,0
20090617,24.217,24.75,24.022,24.158,2317,0
20090618,24.479,24.75,24.022,24.168,1355,0
20090619,24.265,24.45,23.925,24.168,1013,0
20090622,22.809,23.925,22.809,23.013,1270,0
20090623,23.294,23.537,21.936,22.334,1388,0
20090624,22.334,22.518,21.868,22.334,680,0
20090625,22.334,22.334,21.984,22.324,299,0
20090626,22.13,22.712,22.12,22.12,155,0
20090629,22.324,22.693,21.586,21.586,680,0
20090630,21.858,22.023,21.858,21.936,52,0
20090701,21.936,22.431,21.936,22.431,103,0
20090702,22.431,23.004,22.13,22.731,31,0
20090703,22.731,22.731,22.111,22.111,783,0
20090706,22.111,22.159,21.965,21.965,103,0
20090707,21.965,22.13,18.636,19.694,8475,0
20090708,19.694,20.043,19.315,19.422,1992,0
20090709,19.509,20.13,19.354,19.994,1388,0
20090710,20.13,20.275,19.422,19.897,972,0
20090713,20.275,20.907,19.897,20.373,1830,0
20090714,20.285,21.003,20.189,20.383,1461,0
20090715,20.383,20.868,20.15,20.868,1082,0
20090716,20.868,21.062,20.48,21.062,206,0
20090717,20.868,21.14,20.334,20.528,1906,0
20090720,20.334,20.713,20.092,20.169,201,0
20090721,20.334,21.14,20.334,20.82,2349,0
20090722,20.82,22.226,20.596,21.343,4221,0
20090723,22.188,22.188,20.383,20.606,4688,0
20090724,20.606,21.101,18.966,19.994,15772,0
20090727,20.383,20.868,20.257,20.557,6976,0
20090728,20.557,21.353,20.285,20.557,1550,0
20090730,20.887,21.518,20.587,20.587,688,0
20090731,20.587,21.431,20.587,20.868,5761,0
20090803,20.917,21.353,20.267,20.732,10714,0
20090804,20.732,21.062,20.664,20.664,604,0
20090805,20.664,21.508,20.295,20.645,4853,0
20090806,21.508,21.508,20.82,20.995,5061,0
20090807,20.995,21.693,20.995,21.16,2122,0
20090810,21.15,21.596,21.11,21.11,3419,0
20090811,21.498,21.79,20.936,21.548,4114,0
20090812,21.353,21.984,21.16,21.984,8919,0
20090813,21.984,22.809,21.838,22.469,4061,0
20090814,22.566,22.789,21.538,21.538,4749,0
20090817,22.518,22.712,21.838,21.838,2036,0
20090818,21.838,22.761,21.838,22.334,3857,0
20090819,21.926,22.324,21.926,22.071,8767,0
20090820,22.071,23.294,21.838,22.382,9614,0
20090821,22.712,23.101,22.13,22.324,6477,0
20090824,22.324,23.43,22.324,22.771,3410,0
20090825,22.809,23.78,22.809,23.459,2296,0
20090826,23.459,24.459,23.459,24.265,7835,0
20090827,23.974,24.945,23.78,24.129,5764,0
20090828,24.129,24.605,24.129,24.469,1747,0
20090831,24.469,25.032,24.139,24.139,2023,0
20090901,24.139,24.653,24.071,24.508,6318,0
20090902,24.265,26.255,24.265,26.128,4318,0
20090903,26.128,26.401,25.381,25.381,4375,0
20090904,25.963,25.963,24.265,24.945,3713,0
20090907,25.275,25.653,24.75,25.12,4304,0
20090908,25.12,25.381,25.09,25.235,803,0
20090909,25.235,27.274,24.905,26.896,19263,0
20090910,27.167,32.03,26.701,28.448,7665,0
20090911,28.448,30.545,28.147,29.506,5182,0
20090914,29.904,30.574,28.245,29.603,5357,0
20090915,29.603,30.574,28.439,30.38,3843,0
20090916,28.73,31.369,28.73,30.972,4276,0
20090917,30.972,31.982,30.38,31.972,4959,0
20090918,31.972,31.972,30.603,31.409,4024,0
20090921,31.739,31.739,29.71,30.253,1496,0
20090922,30.263,30.962,30.118,30.303,1152,0
20090923,30.146,30.962,29.235,30.088,1264,0
20090924,30.138,30.574,29.215,29.312,2452,0
20090925,30.37,30.37,29.021,29.293,603,0
20090928,29.73,29.73,28.245,29.215,2275,0
20090929,29.06,29.448,28.865,28.924,931,0
20090930,29.555,29.555,28.147,28.167,2657,0
20091001,29.195,29.312,27.954,28.05,648,0
20091002,27.633,28.147,27.517,27.992,2098,0
20091005,27.972,28.128,27.381,27.662,2831,0
20091006,28.342,28.342,27.662,27.856,1739,0
20091007,28.555,29.593,27.905,29.593,1745,0
20091008,29.245,29.7,28.933,29.341,1803,0
20091009,30.04,30.04,29.118,29.118,266,0
20091012,29.555,29.603,28.924,29.448,1682,0
20091013,29.002,29.661,28.535,29.458,278,0
20091014,28.905,29.895,28.905,29.603,1635,0
20091015,30.04,30.04,28.439,29.118,1760,0
20091016,29.555,29.613,28.633,28.633,344,0
20091019,30.05,30.05,28.293,28.293,1673,0
20091020,29.254,29.254,27.284,27.662,2594,0
20091021,28.07,28.07,25.43,26.866,4015,0
20091022,27.264,27.264,25.235,27.079,5025,0
20091023,27.079,27.371,26.206,26.789,969,0
20091026,26.575,26.983,26.264,26.264,433,0
20091027,27.177,27.177,26.206,26.206,2054,0
