Date,Open,High,Low,Close,Volume,OpenInt
20090406,22.4,25.95,22.2,22.4,178,0
20090407,22.4,25.95,22.2,22.5,25,0
20090408,22.2,25.95,22.2,25,1000,0
20090409,22.4,23.62,22,23.62,231,0
20090417,23.62,23.62,21,23.5,98,0
20090420,23.5,23.95,22.93,23.95,465,0
20090421,23.95,25,23.42,25,1087,0
20090423,24.99,24.99,24.39,24.39,42,0
20090430,24.39,24.89,24,24.89,15,0
20090504,24.89,26,24.49,25.58,260,0
20090505,25.58,25.58,24.69,24.69,20,0
20090507,25.25,25.25,24.47,25,100,0
20090508,25,25,24.11,24.11,100,0
20090511,24.5,24.5,22.5,22.5,100,0
20090512,22.5,23.36,21.99,21.99,15,0
20090515,22.34,23.22,22.34,23.22,72,0
20090518,22.7,23.22,22.5,23.22,44,0
20090520,23.22,24.3,22.8,22.8,267,0
20090526,24.1,24.5,21.15,24.5,2,0
20090527,24.1,24.1,22.5,23,250,0
20090529,23,23.74,23,23.74,41,0
20090601,23.74,24.5,23.36,24.11,300,0
20090608,23.5,23.87,23.12,23.87,500,0
20090612,23.5,23.5,22.67,23,20,0
20090616,23.4,23.5,23,23,50,0
20090622,23.1,23.1,23.1,23.1,100,0
20090629,23.1,23.5,23,23.5,1051,0
20090630,23.5,23.5,23,23.5,1275,0
20090702,23.5,23.5,23.5,23.5,10,0
20090703,23.5,23.5,23.2,23.49,95,0
20090707,23.49,23.49,23.29,23.49,60,0
20090708,23.49,23.49,23.29,23.49,120,0
20090710,23.29,23.29,22.99,23,106,0
20090714,22.8,23,22.8,23,60,0
20090715,23,23,22.8,23,1,0
20090716,23,23,21.16,22.99,41,0
20090717,22.99,23,22.79,23,100,0
20090720,23,23,22.6,22.6,60,0
20090724,22,23,21.8,23,750,0
20090727,23,23.1,22.8,23.1,500,0
20090728,23.1,23.1,22.9,22.9,100,0
20090730,22.7,23.1,22.7,23.1,90,0
20090731,23.1,23.14,22.9,23.14,100,0
20090803,23.14,23.2,23.05,23.06,595,0
20090804,23.06,23.3,23.05,23.3,500,0
20090805,23.3,23.72,23.1,23.5,2250,0
20090806,23.5,23.76,23.3,23.76,514,0
20090810,23.74,23.99,23.74,23.75,80,0
20090813,23.8,24,23.8,24,1100,0
20090814,24,34,23.8,23.81,217,0
20090817,23.81,23.81,23.5,23.5,500,0
20090821,23.2,23.62,23.05,23.62,116,0
20090824,23.62,24.26,23.42,23.5,1502,0
20090825,23.88,23.88,23.38,23.49,630,0
20090831,23.28,23.5,23.08,23.5,250,0
20090903,23.05,23.56,23.05,23.56,20,0
20090904,23.05,23.55,23.05,23.47,100,0
20090907,23.47,23.55,23.47,23.51,20,0
20090908,23.51,23.55,23.49,23.49,5,0
20090910,23.5,23.8,23.5,23.5,835,0
20090911,23.5,23.5,23.3,23.5,200,0
20090914,23.5,23.92,23.05,23.05,573,0
20090915,23.1,23.25,22.7,22.87,760,0
20090916,22.87,23.09,22.38,23.09,313,0
20090917,23.09,23.09,22.59,22.59,230,0
20090918,22.59,22.99,22,22,300,0
20090921,22.79,23,22,22.69,300,0
20090925,22.88,22.95,22,22.95,200,0
20090928,23.29,23.37,22.75,22.75,135,0
20090929,23.09,23.09,22.55,22.96,15,0
20091001,23.09,23.15,22,23.15,22,0
20091002,22.8,23.1,22,23.05,130,0
20091005,23.39,23.39,22,23.06,300,0
20091006,23.4,23.48,22,23.48,400,0
20091007,23.83,23.9,22,23.48,5,0
20091008,22,24.25,22,23.5,375,0
20091009,24.05,24.05,22.86,22.86,214,0
20091012,23.2,23.5,22.66,22.85,425,0
20091013,22.51,22.9,22,22.9,1136,0
20091015,23.04,23.99,22,23.5,305,0
20091016,24.34,24.34,22,22.5,2014,0
20091019,22.83,22.95,22,22.95,170,0
20091020,23.29,23.42,22,23.4,150,0
20091022,23.59,23.59,22,23.05,40,0
20091023,23.44,23.52,22,22.02,202,0
20091026,23.17,23.32,22,23.32,40,0
20091027,23.66,23.74,23.12,23.74,1000,0
20091028,24.09,24.09,23.42,23.42,1760,0
20091029,23.77,25,22.92,22.92,392,0
20091103,23.06,23.06,22.52,22.59,177,0
20091105,22.83,22.9,22.5,22.6,200,0
20091109,22.5,22.9,22.5,22.9,50,0
20091110,22.56,23,22.5,22.5,500,0
20091111,23.35,23.5,22,23.3,1120,0
20091112,22.95,23.5,22,23.5,100,0
20091113,22.75,23.8,22,23.8,150,0
20091116,24.9,24.9,22,24.22,300,0
20091117,24.6,24.6,23.86,24.6,200,0
20091118,24.23,24.6,24.23,24.6,150,0
20091120,23.88,24.7,23.88,24.7,40,0
20091124,24.33,25.02,22,25.02,52,0
20091125,24.64,25.38,22,25.38,1026,0
20091126,25,25.01,22,25,206,0
20091127,25,27.95,24.95,26.6,500,0
20091130,25.81,28,25.81,28,667,0
20091201,27.58,27.7,26.9,27.2,269,0
20091202,26.79,26.79,26.49,26.49,505,0
20091203,26.49,26.95,26.44,26.9,680,0
20091204,27.39,27.4,26.49,27.2,839,0
20091207,27,28,26.11,27.79,1895,0
20091208,26.7,27.6,26.7,27,7,0
20091209,27.19,27.4,26.85,27.19,423,0
20091210,26.78,27.15,26.78,27.15,104,0
20091214,26.51,26.92,26.51,26.9,700,0
20091216,26.92,27.02,26.87,27.02,15,0
20091217,25.67,27.05,25.67,27.05,608,0
20091218,25.7,28.29,25.7,27.05,200,0
20091221,25.7,27.05,25.7,27.05,300,0
20091222,25.7,29,25.7,27.5,1410,0
20091223,25.6,28.6,25.6,28.6,340,0
20091228,30.03,30.03,28.1,28.55,1064,0
20091229,27.12,28.5,27.12,27.9,705,0
20091230,26.51,29.2,26.51,29.2,505,0
20100105,26.51,29,26.51,28.4,540,0
20100106,28.3,28.4,28.3,28.34,178,0
20100108,28.3,28.4,28.15,28.3,360,0
20100111,28.3,28.7,28.3,28.7,662,0
20100112,28.3,30.03,28.3,29.5,4800,0
20100113,28.3,30.5,28.3,30.03,550,0
20100114,28.53,30.6,28.53,30.1,785,0
20100115,29.07,30.495,29,29,900,0
20100118,28.3,30,28.3,29.5,1960,0
20100119,29.5,29.95,28.95,29.45,1050,0
20100120,29.5,29.5,29,29.05,58,0
20100121,29.5,29.5,28.6,28.75,1156,0
20100122,28.3,29.2,28.3,29.2,50,0
20100125,28.3,28.75,28.3,28.7,1100,0
20100126,28.3,28.7,28.3,28.7,400,0
20100128,28.3,28.695,28.3,28.65,325,0
20100129,28.3,28.695,28.3,28.695,410,0
20100201,27.26,30.025,27.26,28.35,3000,0
20100202,27.31,28.75,27.31,28.7,50,0
20100203,27.27,29.5,27.27,28.99,1621,0
20100204,27.54,29.495,27.54,29.495,870,0
20100205,29,30.495,29,29.3,2819,0
20100208,27.84,31,27.84,29.5,1356,0
20100209,28.03,29.8,26.5,26.5,3712,0
20100210,27.5,28,25.18,28,1615,0
20100212,26.44,28.25,26.44,28.21,311,0
20100215,29.66,29.66,27.05,28.4,2977,0
20100216,26.98,29.49,26.98,29,1654,0
20100217,27.55,29.8,27.55,29.5,3870,0
20100218,29,29.985,28.03,29.5,330,0
20100219,28.03,30.695,28.03,30.695,6067,0
20100222,29.16,31.45,29.16,30.9,5513,0
20100223,29.36,32.5,29.36,31.49,2822,0
20100224,29.92,31.8,29.92,31.495,3718,0
20100225,31.31,31.5,29.92,31.09,1044,0
20100226,29.54,31.5,29.54,31.395,1138,0
20100301,29.83,33,29.83,32.3,4943,0
20100302,30.69,33.45,30.69,32.13,9560,0
20100303,30.52,33,30.52,32.4,7288,0
20100304,30.78,32.8,30.78,31.95,4670,0
20100305,30.35,32.3,30.35,31.55,5358,0
20100308,29,31.9,29,29,586,0
20100309,28.21,29.45,27.7,28.25,2666,0
20100310,27.75,28.5,27.75,28.45,270,0
