Date,Open,High,Low,Close,Volume,OpenInt
20090406,2.9021,3.1447,2.9021,2.9649,3114,0
20090407,2.92,3.1087,2.92,3.0189,300,0
20090409,3.0368,3.1087,3.0098,3.0997,390,0
20090414,3.0548,3.0997,3.0098,3.0728,1725,0
20090415,3.0098,3.0728,3.0098,3.0368,556,0
20090416,2.9829,3.1177,2.9649,3.0908,9212,0
20090417,3.0548,3.1447,3.0548,3.1267,1992,0
20090420,3.0728,3.1896,3.0548,3.0548,776,0
20090421,3.0548,3.1267,2.9919,3.0368,1424,0
20090422,2.9919,3.1356,2.9919,3.1356,3005,0
20090424,3.0548,3.1896,3.0548,3.1177,1631,0
20090427,3.0548,3.1177,2.9829,3.0548,1725,0
20090428,3.0098,3.1447,3.0098,3.0997,834,0
20090429,3.0548,3.1896,3.0548,3.1896,824,0
20090430,3.1447,3.2344,3.1447,3.1985,334,0
20090504,3.1896,3.1985,3.0908,3.1447,3061,0
20090505,3.0997,3.3513,3.0997,3.2794,5721,0
20090506,3.1896,3.6388,3.1896,3.6388,10082,0
20090507,3.5759,3.8545,3.5759,3.5849,10752,0
20090508,3.5759,3.6208,3.504,3.5849,4942,0
20090511,3.522,3.5849,3.4591,3.4861,868,0
20090512,3.4142,3.495,3.3243,3.3962,2615,0
20090513,3.3243,3.4142,3.3243,3.4142,556,0
20090514,3.3693,3.54,3.2974,3.54,1558,0
20090515,3.477,3.477,3.2344,3.3063,1613,0
20090518,3.2344,3.504,3.2344,3.2435,8513,0
20090519,3.2794,3.4591,3.1447,3.2704,12956,0
20090520,3.1896,3.2794,3.1447,3.2614,2471,0
20090521,3.1896,3.2614,3.1896,3.2614,668,0
20090522,3.1896,3.8545,3.1896,3.5309,15534,0
20090525,3.4591,3.5849,3.4142,3.495,757,0
20090526,3.4231,3.4591,3.3243,3.3693,3895,0
20090527,3.2884,3.4591,3.2884,3.3513,1202,0
20090528,3.2794,3.3513,3.1985,3.3243,4642,0
20090529,3.2794,3.4591,3.2794,3.3063,2727,0
20090601,3.2344,3.3693,3.2344,3.2614,2838,0
20090602,3.1896,3.4142,3.1896,3.3962,2003,0
20090603,3.3243,3.4142,3.2704,3.3513,1436,0
20090605,3.2344,3.4142,3.2344,3.3693,3372,0
20090608,3.3693,3.4142,3.2704,3.3423,1680,0
20090609,3.2614,3.5489,3.2614,3.4681,3969,0
20090610,3.3782,3.4681,3.2524,3.3513,9839,0
20090611,3.2794,3.3962,3.2794,3.3693,1113,0
20090612,3.3243,3.4591,3.2614,3.3154,535,0
20090615,3.2614,3.3693,3.2344,3.3243,8680,0
20090616,3.2794,3.4411,3.2794,3.4411,6174,0
20090617,3.3693,3.5849,3.3693,3.3693,4307,0
20090618,3.3243,3.522,3.3243,3.504,1503,0
20090619,3.3873,3.5489,3.3873,3.4861,1540,0
20090622,3.4231,3.5939,3.3962,3.3962,1859,0
20090623,3.3243,3.4142,3.3243,3.3962,55,0
20090624,3.3243,3.3693,3.2344,3.3063,283,0
20090625,3.2344,3.4231,3.2344,3.2344,3228,0
20090626,3.2344,3.3693,3.2344,3.3693,2893,0
20090629,3.2794,3.4591,3.2794,3.3243,3005,0
20090630,3.3243,3.4321,3.3243,3.3693,3017,0
20090701,3.3243,3.4052,3.3243,3.3333,2409,0
20090702,3.3243,3.3693,3.3243,3.3243,2059,0
20090703,3.2794,3.3693,3.2794,3.3243,1113,0
20090706,3.2344,3.3693,3.2344,3.3603,223,0
20090707,3.2435,3.3693,3.2344,3.2344,189,0
20090708,3.2794,3.3693,3.2344,3.3243,668,0
20090709,3.2704,3.3693,3.2344,3.2435,77,0
20090710,3.2344,3.3603,3.1985,3.3603,1113,0
20090713,3.2344,3.3243,3.2344,3.3243,1113,0
20090714,3.2344,3.3243,3.2344,3.2344,390,0
20090715,3.2435,3.3423,3.2344,3.3423,556,0
20090717,3.2794,3.5939,3.2704,3.3423,1335,0
20090720,3.3063,3.3513,3.2614,3.3423,557,0
20090721,3.3243,3.3513,3.3243,3.3513,556,0
20090722,3.3513,3.3513,3.2704,3.2704,3339,0
20090723,3.2704,3.3513,3.2704,3.2794,1146,0
20090724,3.2794,3.3063,3.2344,3.2524,6062,0
20090727,3.2794,3.2794,3.2524,3.2704,2327,0
20090728,3.2524,3.2794,3.2344,3.2344,1113,0
20090729,3.2524,3.2794,3.2344,3.2344,891,0
20090730,3.2435,3.2884,3.2435,3.2524,836,0
20090731,3.2435,3.2524,3.2344,3.2344,1565,0
20090803,3.2524,3.4052,3.1896,3.4052,6131,0
20090804,3.2524,3.4681,3.1896,3.4681,1223,0
20090805,3.2435,3.3693,3.1896,3.3243,5298,0
20090806,3.2524,3.2884,3.2255,3.2524,1548,0
20090807,3.2435,3.3333,3.2435,3.3333,479,0
20090810,3.2524,3.3693,3.2344,3.2344,784,0
20090811,3.2435,3.3243,3.2344,3.3243,5287,0
20090812,3.2435,3.2435,3.1985,3.2075,445,0
20090813,3.2344,3.3063,3.2344,3.3063,290,0
20090814,3.2794,3.3693,3.2344,3.3693,3546,0
20090817,3.4142,3.4142,3.2344,3.2435,3003,0
20090818,3.2794,3.2794,3.2435,3.2794,1821,0
20090821,3.2435,3.3693,3.2435,3.2794,1821,0
20090824,3.2435,3.4142,3.2435,3.3693,7996,0
20090825,3.3243,3.4052,3.3243,3.4052,445,0
20090826,3.3243,3.3603,3.3154,3.3603,609,0
20090827,3.3243,3.3423,3.2165,3.3243,5732,0
20090828,3.2614,3.3243,2.6954,3.3243,1613,0
20090831,3.2794,3.4052,3.2794,3.4052,8348,0
20090901,3.3243,3.3693,3.2794,3.2884,10390,0
20090902,3.3243,3.4142,3.2884,3.2974,11464,0
20090904,3.3063,3.3782,3.2794,3.3603,9421,0
20090907,3.2974,3.3693,3.2974,3.3333,10468,0
20090908,3.3243,3.4681,3.3243,3.4681,17786,0
20090909,3.3873,3.3873,3.3333,3.3333,10629,0
20090910,3.3243,3.3873,3.3243,3.3243,15176,0
20090911,3.2884,3.3873,3.2884,3.3243,5776,0
20090914,3.3782,3.3873,3.2344,3.3154,1325,0
20090915,3.2794,3.3693,3.2704,3.2704,479,0
20090916,3.2794,3.4142,3.2794,3.2974,4924,0
20090917,3.2884,3.3693,3.2884,3.3154,10173,0
20090918,3.2884,3.4321,3.2884,3.3693,11308,0
20090921,3.3782,3.3782,3.3603,3.3603,5972,0
20090922,3.3423,3.3782,3.3423,3.3513,1113,0
20090923,3.3782,3.3782,3.3513,3.3513,3150,0
20090924,3.3423,3.4501,3.3423,3.4501,3590,0
20090925,3.4142,3.504,3.4142,3.504,1613,0
20090928,3.4591,3.4591,3.4142,3.4231,5732,0
20090929,3.4142,3.4591,3.3873,3.3873,4591,0
20090930,3.3782,3.4591,3.3782,3.3873,2226,0
20091001,3.3782,3.4591,3.3782,3.4142,2282,0
20091002,3.4142,3.5489,3.4142,3.4142,234,0
20091005,3.4142,3.504,3.4142,3.4142,4563,0
20091006,3.4142,3.477,3.4142,3.4231,2126,0
20091007,3.4142,3.4591,3.4142,3.4231,390,0
20091008,3.4142,3.4591,3.4142,3.4591,2615,0
20091009,3.4142,3.477,3.4142,3.477,334,0
20091012,3.4142,3.513,3.4142,3.4231,1720,0
20091013,3.4142,3.477,3.4142,3.4681,2248,0
20091015,3.4231,3.513,3.4142,3.4231,5419,0
20091016,3.3782,3.4231,3.3423,3.3423,891,0
20091019,3.3243,3.3962,3.3243,3.3423,2902,0
20091020,3.3243,3.3423,3.3243,3.3423,1915,0
20091021,3.3243,3.3962,3.3154,3.3423,3529,0
20091022,3.3243,3.3333,3.2794,3.3333,4930,0
20091023,3.3243,3.4411,3.3243,3.4411,913,0
20091026,3.3243,3.504,3.2614,3.2614,13200,0
20091027,3.2524,3.4231,3.2524,3.4231,1781,0
20091028,3.3693,3.3693,3.3243,3.3243,223,0
20091029,3.2524,3.3243,3.2435,3.2614,3005,0
20091030,3.2794,3.3243,3.2794,3.2794,1113,0
20091102,3.2794,3.4591,3.2794,3.2794,2449,0
20091103,3.2794,3.3513,3.2614,3.3513,7679,0
20091104,3.2344,3.3693,3.2344,3.3603,635,0
20091105,3.2344,3.3693,3.2344,3.2524,278,0
20091106,3.2435,3.3693,3.1896,3.2344,3279,0
20091109,3.2165,3.3513,2.7852,3.0189,16896,0
20091110,2.9649,3.2704,2.9649,3.2344,1558,0
20091111,3.1896,3.3243,3.1896,3.3154,390,0
20091112,3.2344,3.3154,3.2344,3.3154,1224,0
20091113,3.2344,3.3063,3.2165,3.2165,2893,0
20091116,3.2165,3.3063,3.1447,3.2165,834,0
20091117,3.1447,3.3154,3.1447,3.1985,3133,0
20091118,3.1896,3.2794,3.1896,3.1985,578,0
20091119,3.1896,3.2704,3.1896,3.2614,1079,0
20091120,3.2524,3.3154,3.1896,3.1985,779,0
20091123,3.1896,3.3243,3.0548,3.0728,2304,0
20091124,3.0728,3.1356,3.0637,3.0637,77,0
20091125,3.0637,3.1447,3.0548,3.0548,1864,0
20091126,3.0637,3.0908,3.0458,3.0548,2219,0
20091127,3.0548,3.1896,3.0548,3.1896,445,0
20091130,3.0548,3.0997,3.0368,3.0458,334,0
20091201,3.0637,3.0997,3.0189,3.0997,1006,0
20091202,3.0189,3.0997,3.0189,3.0368,46,0
20091203,3.0368,3.0548,3.0189,3.0368,1703,0
20091204,3.0189,3.0368,3.0189,3.0368,1903,0
20091207,3.0368,3.0458,3.0189,3.0458,156,0
20091208,3.0189,3.0548,3.0189,3.0278,1947,0
20091209,3.0189,3.0548,2.9649,3.0098,10266,0
20091210,3.0009,3.0997,2.8751,2.947,9294,0
20091211,2.92,3.0098,2.92,2.9649,4495,0
20091214,2.92,3.1447,2.9021,2.9021,3606,0
20091215,2.8931,3.0098,2.8931,3.0098,3684,0
20091216,2.8751,3.0098,2.8751,3.0098,1670,0
20091217,2.92,3.0548,2.92,3.0548,556,0
20091218,2.92,3.0098,2.92,2.92,1558,0
20091221,2.929,2.929,2.7943,2.8751,23930,0
20091222,2.8571,2.929,2.8571,2.92,1386,0
20091223,2.8571,2.9649,2.8571,2.9649,673,0
20091228,2.92,3.0098,2.92,3.0098,618,0
20091229,2.92,2.929,2.92,2.92,3289,0
20091230,2.8751,2.9649,2.8032,2.9649,819,0
20100104,2.8751,2.929,2.8751,2.8931,445,0
20100105,2.8841,3.2794,2.8841,3.2794,2181,0
20100106,3.2344,3.2344,2.92,3.1177,7235,0
20100107,3.0458,3.2344,3.0458,3.0728,2771,0
20100108,3.0637,3.0647,2.9829,2.9829,461,0
20100111,3.0637,3.2704,3.0637,3.2344,5488,0
20100112,3.0637,3.4142,2.9649,2.9649,3573,0
20100113,3.1447,3.3243,2.9919,3.2344,8997,0
20100114,3.1447,3.1447,2.9649,3.0997,7033,0
20100115,3.0997,3.1447,3.0997,3.1087,3773,0
20100118,3.0997,3.2785,3.0997,3.2785,3301,0
20100119,3.1447,3.2794,3.1447,3.2344,4997,0
20100120,3.2075,3.2794,3.1087,3.2614,501,0
20100121,3.2255,3.3683,3.2255,3.3683,1146,0
20100122,3.2344,3.2794,3.2255,3.2344,1175,0
20100125,3.2255,3.3603,3.2255,3.2794,1224,0
20100126,3.2255,3.3693,3.2255,3.2255,5120,0
20100127,3.1626,3.2794,3.1626,3.1635,501,0
20100128,3.1626,3.2794,3.1626,3.1635,3729,0
20100129,3.1626,3.2794,3.1626,3.1626,4590,0
20100201,3.1447,3.4591,3.1447,3.2794,6789,0
20100202,3.1896,3.2884,3.1896,3.2884,4593,0
20100203,3.2884,3.2884,3.2884,3.2884,4452,0
20100204,3.2344,3.2884,3.2344,3.2344,156,0
20100205,3.2344,3.2884,3.1447,3.1896,6761,0
20100208,3.1447,3.3063,3.1447,3.1455,1180,0
20100209,3.1447,3.1805,3.0548,3.1447,2682,0
20100210,3.1447,3.2344,3.1447,3.2255,3115,0
20100211,3.1896,3.1896,2.929,3.1087,3998,0
20100212,3.0637,3.2066,3.0548,3.2066,4619,0
20100215,3.1447,3.3144,3.1447,3.3144,578,0
20100216,3.1447,3.3243,3.1447,3.3243,1113,0
20100217,3.1626,3.1716,3.1626,3.1626,778,0
20100218,3.1267,3.1716,3.1267,3.1447,612,0
20100219,3.0637,3.1626,3.0197,3.026,14048,0
20100222,3.0189,3.0548,3.0098,3.0548,35592,0
20100223,3.0189,3.0548,2.8571,2.8931,16361,0
20100224,2.8302,3.0278,2.8302,2.9829,5843,0
20100225,2.9829,2.9829,2.7852,2.9209,299,0
20100226,2.92,3.0189,2.7852,3.0189,2270,0
20100301,2.92,3.0098,2.92,3.0098,8348,0
20100302,2.947,3.0098,2.8751,3.0098,784,0
20100303,2.8751,3.0098,2.8751,2.885,445,0
20100304,2.8841,3.0908,2.8841,3.0908,3339,0
20100305,3.0098,3.1447,3.0098,3.1267,7624,0
