Date,Open,High,Low,Close,Volume,OpenInt
20150713,24.85,24.95,24.5,24.9,14595,0
20150714,24.85,24.85,24.75,24.8,9955,0
20150715,24.8,24.895,24.625,24.8,5500,0
20150716,24.79,24.8,24.65,24.75,5179,0
20150717,25,25,24.9,25,1950,0
20150720,24.9,25.275,24.8,25,2768,0
20150721,24.9,25.05,24.5,25,9554,0
20150722,25,25.005,25,25,4490,0
20150723,25,25.06,25,25,23357,0
20150724,25,25,24.8,24.95,10170,0
20150727,24.95,25,24.8,24.8,11134,0
20150728,25,25.15,25,25.15,4468,0
20150730,25.145,25.145,25,25,2283,0
20150803,24.605,24.605,24.51,24.51,262,0
20150804,24.7,24.8,24.7,24.75,982,0
20150805,24.7,24.745,24.5,24.5,1110,0
20150806,24.305,25.04,24.305,24.7,2747,0
20150807,25,25,24.8,24.8,185,0
20150810,24.8,25.495,24.8,25,2093,0
20150811,25.1,25.885,25,25,5520,0
20150812,24.8,25.45,24.7,24.7,3660,0
20150813,24.35,24.8,24.35,24.7,121,0
20150814,24.5,25.095,24.5,25.02,208,0
20150817,24.645,24.645,24.645,24.645,334,0
20150818,24.555,24.57,24.49,24.49,865,0
20150819,24.5,24.5,24.3,24.3,455,0
20150820,24.3,24.3,24,24,472,0
20150821,24,24,23.735,23.735,739,0
20150825,24,24,24,24,100,0
20150827,23.95,23.95,23.4,23.4,1235,0
20150828,23.745,23.75,23.745,23.75,585,0
20150901,23.15,23.55,23.15,23.15,117,0
20150902,23.15,23.15,23.15,23.15,32,0
20150903,23.15,23.15,23.15,23.15,27,0
20150904,23.15,23.5,23.15,23.5,365,0
20150907,23.15,23.5,23,23,755,0
20150908,23,23.8,23,23.5,201,0
20150909,23.15,23.6,23.15,23.5,586,0
20150910,23.15,23.15,23.15,23.15,55,0
20150911,23.1,23.445,23.1,23.4,1016,0
20150914,23.05,23.5,23.05,23.5,40,0
20150915,23.15,23.35,23.15,23.35,1000,0
20150916,23,23,22.99,22.99,19,0
20150918,22.7,22.7,22.7,22.7,20,0
20150921,22.36,22.5,22.36,22.5,240,0
20150922,22.8,23.14,22.8,23,85,0
20150923,23.2,23.2,23.2,23.2,27,0
20150924,23.4,23.8,23.4,23.8,150,0
20150929,23.3,23.62,23.3,23.615,1020,0
20150930,23.5,23.94,23.5,23.94,85,0
