Date,Open,High,Low,Close,Volume,OpenInt
20000114,35.764,36.202,33.989,34.85,7660,0
20000117,34.759,35.232,32.735,32.735,9519,0
20000118,32.347,33.423,32.347,32.347,1973,0
20000119,32.325,32.739,31.49,32.085,4991,0
20000120,32.31,33.335,32.284,33.171,6616,0
20000121,33.565,34.366,33.53,33.53,3251,0
20000124,33.929,36.617,33.929,36.617,10910,0
20000125,36.013,36.013,33.626,34.462,10331,0
20000126,34.894,35.316,33.627,33.627,5223,0
20000127,33.231,34.549,33.171,34.549,4759,0
20000128,34.96,34.96,33.193,33.598,2090,0
20000131,33.516,35.325,33.206,35.325,9516,0
20000201,35.335,37.48,35.326,37.48,5919,0
20000202,38.252,44.248,37.717,42.207,24027,0
20000203,42.701,43.365,41.78,42.624,9055,0
20000204,47.381,55.995,47.381,50.999,68139,0
20000207,50.832,50.832,49.41,49.971,7428,0
20000208,50.4,58.412,49.806,53.416,44338,0
20000209,52.818,55.566,49.691,50.397,18224,0
20000210,49.518,54.059,49.518,52.086,22287,0
20000211,52.711,56.434,52.711,54.279,21472,0
20000214,53.627,55.006,51.499,54.919,16484,0
20000215,55.134,55.134,49.966,51.688,23332,0
20000216,52.303,53.242,45.894,48.418,33197,0
20000217,51.69,51.69,42.386,43.419,67672,0
20000218,43.934,46.199,43.158,43.934,32503,0
20000221,43.157,43.157,40.487,41.78,19967,0
20000222,41.281,41.996,40.489,40.489,8938,0
20000223,40.919,40.919,38.766,39.11,12885,0
20000224,38.771,45.233,38.771,42.992,42597,0
20000225,43.495,44.192,43.064,43.934,9984,0
20000228,43.725,44.637,41.459,44.371,15089,0
20000229,44.373,44.373,42.218,42.391,8124,0
20000301,42.895,44.636,42.895,43.584,8241,0
20000302,45.024,51.692,43.843,51.261,23795,0
20000303,50.828,51.259,46.831,50.397,38537,0
20000306,48.248,50.833,48.248,50.359,11491,0
20000307,48.673,49.956,46.166,46.166,20198,0
20000308,46.72,47.289,42.947,43.506,31339,0
20000309,44.11,44.636,43.506,43.506,13813,0
20000310,43.939,43.939,41.975,42.905,6964,0
20000314,38.771,39.202,38.314,38.771,16249,0
20000315,38.31,38.31,33.683,37.043,43530,0
20000316,34.975,36.155,34.811,34.811,19502,0
20000317,35.324,36.815,35.324,36.393,14624,0
20000320,37.273,40.625,37.273,40.625,18686,0
20000321,41.107,41.107,39.159,39.159,12999,0
20000322,39.624,41.157,39.624,40.838,6964,0
20000323,40.357,40.357,34.912,36.015,6500,0
20000324,36.831,37.718,34.893,35.306,9866,0
20000327,36.372,36.734,34.89,35.743,4643,0
20000328,35.752,35.752,35.537,35.752,3251,0
20000329,35.748,36.17,35.309,36.17,1858,0
20000330,35.333,36.187,33.542,33.937,12420,0
20000331,32.824,38.897,31.876,38.897,24028,0
20000403,38.77,38.77,33.342,34.462,10678,0
20000404,33.688,35.411,33.549,34.549,14392,0
20000405,36.78,39.202,32.446,36.617,41204,0
20000406,36.872,40.576,36.872,40.576,34011,0
20000407,40.528,44.154,40.441,43.594,19616,0
20000410,44.111,44.111,40.957,42.284,10795,0
20000411,41.339,41.339,39.204,39.936,5223,0
20000412,40.012,40.443,39.624,39.624,4063,0
20000413,37.429,38.36,35.327,35.879,28557,0
20000417,34.636,39.633,31.879,39.547,20892,0
20000418,40.806,42.218,39.936,39.936,12999,0
20000419,40.887,42.283,39.629,41.352,26466,0
20000420,40.662,40.662,37.906,38.354,6152,0
20000425,38.78,39.228,38.331,38.693,464,0
20000426,38.675,39.131,38.296,38.296,929,0
20000427,38.747,38.747,37.747,38.014,2903,0
20000428,37.91,38.771,37.694,38.771,10678,0
20000502,40.553,40.733,39.631,40.062,8125,0
20000503,40.062,40.062,39.502,39.839,6152,0
20000504,39.803,40.062,39.372,40.062,10563,0
20000505,40.061,46.317,40.061,45.662,42018,0
20000508,45.117,45.771,44.582,44.798,7312,0
20000511,49.361,51.17,49.361,49.534,11608,0
20000512,49.101,53.408,49.101,50.824,43648,0
20000516,51.255,51.255,50.738,50.824,7313,0
20000517,51.427,52.031,50.393,50.824,7894,0
20000518,50.829,52.982,50.614,52.552,8242,0
20000519,51.93,52.119,49.535,49.621,3366,0
20000522,49.033,49.033,45.346,45.691,9403,0
20000523,46.091,47.211,45.23,46.651,6733,0
20000524,45.489,46.954,45.489,46.738,24142,0
20000525,46.956,46.956,45.664,46.525,29597,0
20000526,45.875,46.004,45.461,45.875,7197,0
20000529,45.405,45.439,44.284,44.371,2089,0
20000530,44.199,45.447,44.199,45.447,3251,0
20000531,44.966,46.302,44.897,46.302,7894,0
20000601,44.927,45.652,44.927,45.652,232,0
20000602,46.008,46.008,44.397,45.836,4062,0
20000605,46.003,46.003,44.367,45.331,21823,0
20000606,44.801,44.801,44.371,44.371,2787,0
20000607,44.795,46.302,44.795,46.302,26352,0
20000608,46.087,47.379,45.656,47.379,8127,0
20000609,47.387,48.249,46.957,47.68,5223,0
20000613,48.241,48.456,47.112,47.379,2669,0
20000614,47.939,48.757,47.594,48.757,3135,0
20000615,48.415,49.621,48.07,49.621,2090,0
20000616,49.895,49.895,48.689,49.145,1161,0
20000619,49.738,50.306,49.738,49.971,1625,0
20000620,49.541,50.127,48.524,48.524,1857,0
20000621,48.33,51.173,47.753,51.173,7661,0
20000622,50.824,51.255,50.135,50.135,696,0
20000623,49.544,49.966,48.958,49.621,2205,0
20000626,48.178,49.324,47.739,47.739,348,0
20000627,47.812,49.104,47.812,48.243,3599,0
20000628,48.248,48.248,46.826,46.826,9169,0
20000629,46.147,46.147,45.053,45.224,3251,0
20000630,44.584,46.799,43.938,44.972,4992,0
20000703,45.501,49.687,44.958,46.224,8939,0
20000704,46.861,48.42,46.861,47.903,5107,0
20000705,47.814,48.418,47.556,47.729,10795,0
20000706,47.214,47.731,46.956,47.214,4178,0
20000710,47.383,47.813,46.952,46.952,4643,0
20000711,47.384,47.384,44.058,44.584,5803,0
