Date,Open,High,Low,Close,Volume,OpenInt
20090406,0.5941,0.8614,0.5941,0.8614,1079,0
20090407,0.5941,0.6564,0.5941,0.6564,97,0
20090409,0.5941,0.8317,0.5941,0.5941,35,0
20090414,0.5941,0.695,0.5941,0.695,101,0
20090415,0.5941,0.7426,0.5941,0.5941,673,0
20090420,0.5941,0.7426,0.5644,0.7426,1046,0
20090421,0.7426,1.0099,0.5941,0.7426,40,0
20090423,0.5941,0.9208,0.5941,0.7426,170,0
20090427,0.5941,0.7723,0.5941,0.7723,1439,0
20090429,0.5347,0.7129,0.5347,0.7129,84,0
20090430,0.6832,0.7723,0.6624,0.7723,269,0
20090512,0.6535,0.8317,0.6535,0.7723,16,0
20090515,0.6535,0.8317,0.6535,0.802,2879,0
20090521,0.7426,1.0396,0.6832,0.8317,673,0
20090522,1.0396,1.0396,0.7129,0.9653,87,0
20090525,1.0396,1.0396,0.6832,0.8317,67,0
20090526,1.0396,1.0396,0.6832,0.8317,87,0
20090608,0.7426,1.0396,0.6267,0.6564,1365,0
20090612,0.5941,0.8614,0.5941,0.8465,1346,0
20090615,0.5941,0.8465,0.5941,0.6832,67,0
20090616,0.5941,0.7426,0.5347,0.7277,673,0
20090617,0.5347,0.802,0.5347,0.698,168,0
20090619,0.5941,0.7396,0.5644,0.7396,673,0
20090630,0.5941,0.802,0.5881,0.6832,269,0
20090714,0.6,0.8911,0.5554,0.802,1683,0
20090717,0.5644,0.802,0.5554,0.802,1717,0
20090720,0.5941,0.6832,0.5347,0.6832,52,0
20090721,0.6832,0.6832,0.5347,0.5347,62,0
20090722,0.5644,0.6832,0.5644,0.6267,10,0
20090723,0.5941,0.7129,0.5941,0.7129,2020,0
20090730,0.6238,0.6832,0.6238,0.6535,357,0
20090731,0.6238,0.6832,0.6238,0.6564,663,0
20090805,0.5941,0.6832,0.5941,0.6564,168,0
20090806,0.5941,0.6832,0.5941,0.6564,384,0
20090807,0.5941,0.7723,0.505,0.7723,7135,0
20090810,0.505,0.8614,0.505,0.6535,4049,0
20090811,0.6832,0.7723,0.5347,0.5941,471,0
20090817,0.6238,0.6832,0.5644,0.5644,673,0
20090818,0.6238,0.7426,0.5525,0.7426,248,0
20090825,0.5941,0.6832,0.5941,0.5941,5049,0
20090826,0.5941,0.7396,0.5347,0.7396,1784,0
20090902,0.5941,0.7396,0.5941,0.7396,3,0
20090903,0.5941,0.7337,0.5941,0.7337,2021,0
20090910,0.5941,0.6832,0.44554,0.5644,5050,0
20090911,0.5941,0.6505,0.41584,0.6505,2356,0
20090916,0.505,0.5941,0.505,0.505,1346,0
20090917,0.505,0.5941,0.44554,0.5941,336,0
20090918,0.44554,0.5941,0.38614,0.505,2114,0
20090921,0.505,0.5941,0.505,0.5941,404,0
20090922,0.47525,0.5941,0.44554,0.5941,1690,0
20090924,0.45149,0.5941,0.39505,0.5644,693,0
20090925,0.45149,0.5941,0.40099,0.48713,2154,0
20091002,0.49604,0.49604,0.32673,0.41584,0,0
20091005,0.44554,0.505,0.35644,0.505,2760,0
20091006,0.5109,0.5109,0.35644,0.44554,774,0
20091008,0.48119,0.5347,0.47525,0.5347,1009,0
20091009,0.5406,0.5941,0.47525,0.5941,639,0
20091012,0.48119,0.48119,0.47525,0.47525,269,0
20091013,0.46931,0.47525,0.46931,0.47525,6379,0
20091014,0.505,0.505,0.44554,0.505,673,0
20091015,0.45149,0.45149,0.38614,0.38614,1346,0
20091016,0.45149,0.45149,0.32673,0.38614,1043,0
20091019,0.42178,0.47525,0.41584,0.47525,883,0
20091020,0.42178,0.505,0.42178,0.505,1784,0
20091022,0.5109,0.5644,0.38614,0.505,3956,0
20091023,0.5109,0.5941,0.41584,0.5941,5057,0
20091026,0.505,0.6832,0.505,0.6832,336,0
20091027,0.6921,0.698,0.5347,0.698,673,0
