Date,Open,High,Low,Close,Volume,OpenInt
20000114,33.315,33.6915,32.34,32.34,4143,0
20000117,33.5946,33.5946,31.9535,32.05,2693,0
20000118,32.9006,32.9006,30.98,30.98,2487,0
20000119,30.9822,31.5613,30.654,31.32,829,0
20000120,31.3213,31.3696,30.4043,31.08,2797,0
20000121,31.0863,31.82,30.8546,31.82,4040,0
20000124,31.3678,32.1496,31.03,31.03,1658,0
20000125,30.5021,30.5021,29.4403,29.45,932,0
20000126,29.4417,30.8897,28.9687,29.49,3419,0
20000127,29.9223,30.8972,29.43,29.43,6941,0
20000128,32.2098,32.6055,31.2735,31.37,6216,0
20000131,31.8167,31.8167,30.1467,30.89,2590,0
20000201,30.4073,32.2414,30.4073,30.89,2590,0
20000202,30.5965,31.33,30.249,31.33,3005,0
20000203,33.8791,35.6455,32.5278,33.3,38851,0
20000204,32.9117,33.7996,31.85,31.85,7874,0
20000207,31.0788,32.7582,31.0788,32.43,4352,0
20000208,33.0444,36.2011,32.8513,34.56,22271,0
20000209,35.4263,36.1503,32.82,32.82,10878,0
20000210,32.4288,34.2529,29.1473,33.78,12641,0
20000211,35.23,35.6161,34.2648,35.23,13054,0
20000214,35.2277,35.2277,33.0368,33.78,6009,0
20000215,34.2723,35.5173,34.2723,34.89,9014,0
20000216,35.71,35.71,33.442,34.05,8496,0
20000217,34.8794,35.7193,33.7885,35.42,8701,0
20000218,36.2698,36.2698,34.3106,35.71,7253,0
20000221,33.5933,35.2054,32.8307,34.8,2383,0
20000222,35.7168,35.7168,33.4,33.4,3937,0
20000223,32.82,33.7853,31.2176,32.82,11292,0
20000224,32.0504,33.315,31.3746,32.34,8287,0
20000225,32.5757,36.2917,31.3788,35.23,21135,0
20000228,38.1269,40.347,37.152,39.43,51490,0
20000229,38.61,40.5405,38.3687,38.61,28490,0
20000301,39.7656,39.7656,37.1596,39.09,13469,0
20000302,40.0569,42.47,39.1014,42.47,28076,0
20000303,42.4843,43.9227,41.741,43.44,12949,0
