Date,Open,High,Low,Close,Volume,OpenInt
20000114,43.7,43.75,42,42.6,3200,0
20000117,42.5,42.5,39.5,40,6200,0
20000118,40.4,42.6,40,42.6,4500,0
20000119,41.8,42.69,40.49,42.69,4600,0
20000120,42,42,41.5,42,1400,0
20000121,42,42,41,41.5,600,0
20000124,42.5,42.8,40.9,41.2,2100,0
20000125,41,41,39.85,40,1000,0
20000126,41.2,41.5,40.18,41.5,3600,0
20000127,41.7,48.2,41.7,48,11700,0
20000128,47.7,50.5,47.7,50,23600,0
20000131,47.5,51.72,47.5,50.16,8600,0
20000201,50.01,51,49.1,49.5,3000,0
20000202,50.9,50.9,49.1,49.1,2900,0
20000203,49.1,49.1,47.2,49,4600,0
20000204,50,50.5,47.7,49.5,8000,0
20000207,46.2,47.11,42.5,44.5,5100,0
20000208,45.83,46.75,44.9,46.75,5400,0
20000209,46.94,47.06,44.7,46.25,2600,0
20000210,46.3,47,45,46.01,2700,0
20000211,46.9,47.35,46.26,47,800,0
20000214,47.2,48,46.5,46.8,4400,0
20000215,46,47,46,46.7,2300,0
20000216,46,48,45.5,45.5,3100,0
20000217,45.7,45.7,44.7,44.7,1900,0
20000218,44.5,50.4,44.5,49.2,16100,0
20000221,48.9,48.9,46.8,47,4200,0
20000222,47,47,45,45,3000,0
20000223,46,46.5,45.1,45.5,6000,0
20000224,44.8,45.5,43.8,44,2900,0
20000225,43.5,47.4,43.5,46.3,6600,0
20000228,43,43.2,41.5,42.5,3500,0
20000229,42.8,43.2,40.9,40.9,5300,0
20000301,41.5,42.21,40.5,41,5000,0
20000302,41.4,41.5,40.48,41,900,0
20000303,46,48,46,47.1,11600,0
20000306,51.79,65,51.79,59.51,38100,0
20000307,59,59.9,53,54,9100,0
20000308,53.2,53.2,51,51.5,3900,0
20000309,52.95,53.9,52.55,53.5,2900,0
20000310,53.5,59.47,53.5,56,13300,0
20000314,52.4,52.5,51.1,51.1,1000,0
20000315,50,50,46.8,48.5,2800,0
20000316,48.5,50.9,48.5,50,2900,0
20000317,52,52,47,48,5900,0
20000320,49.33,50.9,49.33,50.9,2500,0
20000321,51,51.5,49.5,49.5,2200,0
20000322,50,51.5,46.7,49,22800,0
20000323,55,55,51.5,52.55,19000,0
20000324,53.54,54,52,53,3400,0
20000327,52,53.5,52,52,2600,0
20000328,53.5,53.8,52.5,53.5,3000,0
20000329,53.8,54,50.51,53.01,11400,0
20000330,53.5,54.4,52.8,54,3700,0
20000331,52,53,47,50,12600,0
20000403,51.51,54,51.51,52.5,3900,0
20000404,52.55,54,52,52,4200,0
20000405,51.65,51.65,46.7,47.5,2500,0
20000406,49,51,49,49.67,2100,0
20000407,51,51.49,49.55,50,3300,0
20000410,50.9,50.9,50,50.3,1200,0
20000411,50.03,50.03,48.3,48.3,3200,0
20000412,48.35,48.35,46.1,46.95,3500,0
20000413,46.96,46.96,44.3,46.5,3100,0
20000414,45.94,48,45,47.78,2000,0
20000417,38.47,46,38,45,13700,0
20000418,46,49.1,45.05,45.67,6200,0
20000419,45.8,46,45.8,46,400,0
20000420,46.63,48.65,45,45.21,2400,0
20000425,46.71,46.71,44.5,44.5,2000,0
20000426,46.3,47.8,46,46,3200,0
20000427,47.37,47.8,46.5,46.5,2100,0
20000428,48.3,49.5,46.3,47,4200,0
20000502,48.4,48.4,46.55,46.55,2000,0
20000503,46,46.38,46,46,2400,0
20000504,46.5,46.9,45,45,2000,0
20000505,46.35,46.55,45,46,1000,0
20000508,46.16,46.16,45,45.5,1000,0
20000510,45.9,47.4,45.9,47.1,3400,0
20000511,47.4,47.48,46.35,47.48,1900,0
20000512,47.89,48.3,47.05,47.8,600,0
20000515,48.95,49,47.85,47.85,1900,0
20000516,49,49.6,48,49.5,3900,0
20000517,49.85,50.9,49,50.01,3700,0
20000518,47.81,50,47.81,48.82,4600,0
20000519,49.5,49.5,47.07,48.4,4200,0
20000522,48.82,48.82,41.81,44.04,9100,0
20000523,45.3,45.4,44.05,45.21,4300,0
20000524,41.83,43.3,41,41.7,1900,0
20000525,42.85,44.49,42.85,44.49,1800,0
20000526,44.5,45,44,44.45,1600,0
20000529,45.01,45.01,44,44.3,700,0
20000530,44.27,44.77,44.27,44.77,100,0
20000531,45,45,44.29,44.29,600,0
20000601,45,45,40.1,42.95,7500,0
20000602,42.7,43,41.8,41.8,3100,0
20000605,43.15,43.15,42,42.2,3200,0
20000606,43.1,43.2,42.1,42.5,1300,0
20000607,42.6,43.2,41.86,43.2,900,0
20000608,43,43.5,42,42,3200,0
20000609,42,42.7,41.6,42.7,1000,0
20000612,42,42.7,42,42.7,600,0
20000613,42.2,42.2,41,41.5,1000,0
20000614,41.05,42,41.05,42,2900,0
20000615,42,42.1,41.1,41.1,1500,0
20000616,41.5,41.5,41,41.34,1300,0
20000619,42,42.9,41.9,42.7,1200,0
20000620,42.7,42.7,41.65,42.1,1800,0
20000621,42.4,43,41,43,9500,0
20000622,42.53,42.84,41.5,42.7,2400,0
