Date,Open,High,Low,Close,Volume,OpenInt
20040427,3.95,3.95,2.74,2.89,1617600,0
20040428,2.95,3.02,2.85,2.98,946400,0
20040429,3,3.15,2.76,2.79,1153400,0
20040430,2.77,2.82,2.67,2.69,293200,0
20040503,2.7,2.72,2.48,2.7,535800,0
20040504,2.66,2.78,2.65,2.65,280400,0
20040505,2.69,2.75,2.51,2.7,467400,0
20040506,2.75,2.84,2.71,2.79,434000,0
20040507,2.84,2.97,2.68,2.75,352100,0
20040510,2.7,2.85,2.69,2.75,391800,0
20040511,2.75,2.79,2.63,2.68,142200,0
20040512,2.62,2.67,2.56,2.58,55300,0
20040513,2.6,2.6,2.43,2.5,355000,0
20040514,2.46,2.53,2.25,2.35,361300,0
20040517,2.27,2.27,1.96,2.09,742600,0
20040518,2.07,2.19,2.03,2.09,142900,0
20040519,2.1,2.16,2.07,2.07,114900,0
20040520,2.08,2.09,1.96,1.99,372200,0
20040521,1.95,2.05,1.94,1.99,786600,0
20040524,2.03,2.2,2,2.07,593800,0
20040525,2.09,2.16,2.07,2.1,265000,0
20040526,2.13,2.16,2.1,2.12,266000,0
20040527,2.32,2.42,2.2,2.21,957500,0
20040528,2.29,2.37,2.17,2.3,647000,0
20040531,2.3,2.3,2.26,2.29,27000,0
20040601,2.31,2.4,2.24,2.34,477800,0
20040602,2.35,2.52,2.33,2.5,548200,0
20040603,2.51,2.68,2.45,2.59,901000,0
20040604,2.62,2.65,2.52,2.6,183400,0
20040607,2.64,2.68,2.6,2.63,96700,0
20040608,2.64,2.65,2.47,2.53,140700,0
20040609,2.56,2.6,2.52,2.6,77200,0
20040610,2.64,2.64,2.57,2.6,51300,0
20040611,2.56,2.6,2.55,2.58,52100,0
20040614,2.6,2.6,2.56,2.57,27700,0
20040615,2.58,2.58,2.45,2.55,57800,0
20040616,2.52,2.54,2.36,2.47,133500,0
20040617,2.41,2.46,2.3,2.38,154100,0
20040618,2.32,2.35,2.25,2.25,94600,0
20040621,2.25,2.3,2.15,2.18,145300,0
20040622,2.16,2.19,2.08,2.19,287500,0
20040623,2.18,2.26,2.14,2.21,142100,0
20040624,2.26,2.26,2.2,2.22,55700,0
20040625,2.23,2.37,2.23,2.35,79800,0
20040628,2.37,2.47,2.36,2.4,153500,0
20040629,2.4,2.5,2.37,2.43,90800,0
20040630,2.37,2.42,2.33,2.38,27400,0
20040701,2.42,2.45,2.36,2.43,65700,0
20040702,2.47,2.48,2.36,2.4,133400,0
20040705,2.35,2.42,2.31,2.38,41800,0
20040706,2.33,2.35,2.27,2.34,96900,0
20040707,2.35,2.35,2.26,2.31,21300,0
20040708,2.25,2.3,2.23,2.27,141900,0
20040709,2.21,2.27,2.21,2.25,13100,0
20040712,2.25,2.34,2.25,2.32,44100,0
20040713,2.26,2.34,2.26,2.34,22300,0
20040714,2.3,2.39,2.26,2.37,47700,0
20040715,2.42,2.42,2.27,2.27,29400,0
20040716,2.34,2.34,2.25,2.25,15600,0
20040719,2.24,2.39,2.24,2.25,43100,0
20040720,2.26,2.3,2.23,2.29,15700,0
20040721,2.23,2.28,2.22,2.25,55000,0
20040722,2.22,2.25,2.2,2.24,64700,0
20040723,2.25,2.26,2.2,2.2,51400,0
20040726,2.21,2.24,2.14,2.15,57800,0
20040727,2.12,2.17,2.11,2.12,27100,0
20040728,2.11,2.18,2.11,2.13,33100,0
20040729,2.12,2.17,2.11,2.14,34100,0
20040730,2.11,2.16,2.11,2.14,20400,0
20040802,2.19,2.19,2.11,2.16,23800,0
20040803,2.12,2.18,2.12,2.15,26800,0
20040804,2.12,2.17,2.12,2.15,20300,0
20040805,2.13,2.17,2.12,2.12,50900,0
20040806,2.16,2.16,2.1,2.1,36900,0
20040809,2.16,2.16,2.1,2.11,17700,0
20040810,2.1,2.14,2.09,2.09,122800,0
20040811,2.09,2.14,2.09,2.1,92000,0
20040812,2.1,2.13,2.09,2.09,123100,0
20040813,2.09,2.11,2.09,2.09,28000,0
20040816,2.09,2.14,2,2.1,193600,0
20040817,2.1,2.17,2.06,2.13,76400,0
20040818,2.12,2.12,2.09,2.1,26600,0
20040819,2.09,2.1,2.05,2.05,111400,0
20040820,2.04,2.05,1.89,2,103100,0
20040823,2.02,2.15,2.02,2.07,174500,0
20040824,2.06,2.24,2.05,2.11,294400,0
20040825,2.13,2.19,2.13,2.18,100000,0
20040826,2.37,2.53,2.3,2.37,1205600,0
20040827,2.39,2.43,2.37,2.39,397900,0
20040830,2.43,2.49,2.35,2.38,146000,0
20040831,2.35,2.35,2.17,2.17,169000,0
20040901,2.28,2.29,2.18,2.28,177600,0
20040902,2.29,2.29,2.24,2.26,115900,0
20040903,2.3,2.32,2.29,2.3,67600,0
20040906,2.33,2.38,2.3,2.34,78900,0
20040907,2.36,2.36,2.27,2.31,81900,0
20040908,2.25,2.34,2.25,2.31,82700,0
20040909,2.35,2.35,2.25,2.26,23700,0
20040910,2.3,2.34,2.25,2.25,27600,0
20040913,2.32,2.32,2.27,2.29,74700,0
20040914,2.31,2.33,2.27,2.29,58100,0
20040915,2.27,2.34,2.27,2.32,48100,0
