Date,Open,High,Low,Close,Volume,OpenInt
20000202,2.8405,2.8867,2.6557,2.8867,1319856,0
20000203,2.8393,3.1811,2.7366,3.1408,1131058,0
20000204,3.1408,3.5507,3.1408,3.2619,634812,0
20000207,3.3105,3.3105,2.8867,3.0034,298787,0
20000208,3.0483,3.1048,2.8255,2.8694,177539,0
20000209,2.9121,3.1627,2.9121,3.1176,478058,0
20000210,3.0599,3.0599,2.8728,3.0472,117781,0
20000211,3.0022,3.0136,2.8094,2.8867,245091,0
20000214,2.8439,2.8867,2.7135,2.8359,261548,0
20000215,2.7944,2.8058,2.5807,2.6557,146364,0
20000216,2.6557,2.6557,2.3959,2.4826,305716,0
20000217,2.4457,2.6904,2.4457,2.6269,230369,0
20000218,2.6212,2.6212,2.5056,2.5403,170611,0
20000221,2.5784,2.7944,2.5022,2.6789,310046,0
20000222,2.6397,2.7135,2.5299,2.6441,334293,0
20000223,2.6049,2.6557,2.5403,2.6385,145496,0
20000224,2.6557,2.6557,2.4884,2.5403,226903,0
20000225,2.5403,2.7112,2.4884,2.5056,342953,0
20000228,2.5427,2.5427,2.1361,2.2978,313510,0
20000229,2.2643,2.2919,2.1201,2.2285,158486,0
20000301,2.1962,2.2978,2.1016,2.2978,307448,0
20000302,2.3325,2.5749,2.3325,2.5749,466800,0
20000303,2.7135,3.0483,2.7055,2.8867,722283,0
20000306,2.9294,2.9294,2.6546,2.7355,157620,0
20000307,2.7135,2.7689,2.5922,2.7251,30310,0
20000308,2.7251,2.7366,2.5784,2.6904,157620,0
20000309,2.7308,2.8867,2.7308,2.8301,209584,0
20000310,2.829,2.829,2.6569,2.7007,36372,0
20000314,2.695,2.7713,2.6016,2.6557,132503,0
20000315,2.6557,2.695,2.389,2.4826,491915,0
20000316,2.5148,2.6084,2.464,2.5702,100462,0
20000317,2.5749,2.6777,2.5137,2.5137,91798,0
20000320,2.5506,2.5922,2.4688,2.5922,20785,0
20000321,2.5541,2.5784,2.5229,2.5784,98730,0
20000322,2.5784,2.6754,2.5403,2.5427,157620,0
20000323,2.5807,2.5807,2.4318,2.4826,37238,0
20000324,2.4479,2.5391,2.1823,2.5391,230369,0
20000327,2.4987,2.4987,2.2528,2.2575,76213,0
20000328,2.2239,2.3267,2.1615,2.2261,164548,0
20000329,2.2078,2.2112,2.1754,2.2112,67553,0
20000330,2.195,2.195,2.0784,2.1131,71884,0
20000331,2.091,2.3082,2.06,2.2723,51096,0
20000403,2.3059,2.449,2.2723,2.3382,112587,0
20000404,2.3035,2.3035,2.2055,2.2458,34641,0
20000405,2.2748,2.2748,1.9514,1.9514,155022,0
20000406,1.9802,2.09,1.9688,2.09,32043,0
20000407,2.0588,2.1096,2.0321,2.082,24253,0
20000410,2.1131,2.1939,2.1016,2.1016,93533,0
20000411,2.0738,2.0784,2.0369,2.0784,9525,0
20000412,2.0784,2.172,2.0172,2.0772,132503,0
20000413,2.0784,2.2516,2.0784,2.2516,79679,0
20000414,2.2182,2.2182,2.0091,2.0091,99595,0
20000417,1.9791,2.0138,1.9053,1.9283,79679,0
20000418,1.9572,1.9572,1.8475,1.8751,40704,0
20000419,1.9029,1.9029,1.8186,1.8186,22517,0
20000420,1.8209,1.9041,1.7678,1.7898,79679,0
20000425,1.8013,1.9398,1.7435,1.7435,154157,0
20000426,1.7702,2.1246,1.7435,1.9861,449479,0
20000427,1.9572,2.0449,1.8243,1.8533,82275,0
20000428,1.881,2.2331,1.8498,2.2285,628752,0
20000502,2.2493,2.4363,2.1465,2.3786,442551,0
