Date,Open,High,Low,Close,Volume,OpenInt
20130425,30.708,30.922,30.149,30.866,2790868,0
20130426,30.843,30.848,30.01,30.094,706369,0
20130429,30.14,30.164,29.963,30.01,818817,0
20130430,30.047,30.215,29.963,30.047,884154,0
20130502,30.089,30.228,29.87,30.112,341161,0
20130503,30.094,30.094,29.312,29.535,482514,0
20130506,29.312,29.726,28.846,29.107,393796,0
20130507,29.14,29.777,28.153,29.777,647731,0
20130508,29.777,30.149,29.126,29.198,442930,0
20130509,29.359,29.666,28.944,29.453,253251,0
20130510,29.423,29.512,28.335,28.437,519255,0
20130513,28.437,29.684,27.162,28.074,627584,0
20130514,28.138,28.893,27.934,28.192,126842,0
20130515,28.251,28.572,28.13,28.462,111846,0
20130516,28.397,28.567,28.009,28.476,158469,0
20130517,28.521,29.056,28.195,29.056,211205,0
20130520,29.144,29.3,28.846,29.213,50080,0
20130521,28.986,29.591,28.977,29.545,118482,0
20130522,29.493,29.638,28.683,29.056,131499,0
20130523,28.827,29.307,28.401,28.507,102880,0
20130524,28.549,29.163,28.474,28.753,97133,0
20130527,29.08,29.46,28.744,29.116,88241,0
20130528,29.262,29.591,28.884,29.577,130719,0
20130529,29.628,29.638,28.846,28.967,93342,0
20130530,29.033,29.042,28.474,28.577,143140,0
20130531,28.605,29.042,28.242,28.855,118308,0
20130603,29.126,29.312,28.66,28.94,324816,0
20130604,28.99,29.219,28.558,28.772,118909,0
20130605,28.572,29.019,27.772,28.102,138057,0
20130606,28.12,28.521,27.66,27.66,118766,0
20130607,27.846,27.976,26.632,27.255,173209,0
20130610,27.358,27.697,27.013,27.279,140677,0
20130611,27.214,27.483,26.339,26.725,165489,0
20130612,26.53,27.279,26.255,27.044,135956,0
20130613,26.981,27.274,26.25,26.683,84524,0
20130614,26.706,27.265,26.613,26.892,116308,0
20130617,26.985,27,26.348,26.45,186372,0
20130618,26.381,26.52,25.217,26.009,235853,0
20130619,25.967,26.26,25.637,25.72,147670,0
20130620,25.529,25.859,24.538,25.222,344864,0
20130621,25.018,25.115,24.194,24.813,315388,0
20130624,24.571,24.938,23.826,24.239,122594,0
20130625,24.213,24.799,24.008,24.799,94838,0
20130626,24.692,25.398,24.566,25.124,69686,0
20130627,25.003,25.706,24.835,25.423,101086,0
20130628,25.539,25.71,24.999,25.403,127872,0
20130701,25.627,26.055,25.232,25.673,163181,0
20130702,25.464,25.855,24.52,24.98,152182,0
20130703,25.031,25.031,23.356,24.149,407640,0
20130704,24.268,24.268,23.217,23.277,530757,0
20130705,23.301,23.496,22.519,22.984,283864,0
20130708,23.263,23.366,22.3,23.077,218320,0
20130709,23.193,23.771,22.858,23.771,309808,0
20130710,23.668,23.668,22.984,23.542,192193,0
20130711,23.784,24.496,23.482,24.324,171816,0
20130712,24.417,24.622,24.063,24.334,160812,0
20130715,24.287,24.626,23.552,23.977,121963,0
20130716,23.738,24.339,23.655,24.162,118040,0
20130717,24.198,24.35,23.766,24.123,74600,0
20130718,24.198,24.241,23.607,24.101,81908,0
20130719,24.194,24.561,23.449,24.264,143529,0
20130722,24.315,24.585,23.929,23.989,78217,0
20130723,24.315,24.315,23.784,24.055,73000,0
20130724,24.11,24.296,23.64,24.156,77381,0
20130725,24.245,24.399,23.743,23.887,78598,0
20130726,23.914,23.961,23.501,23.715,71661,0
20130729,23.412,24.008,23.273,23.448,170429,0
20130730,23.673,23.849,23.091,23.584,186454,0
20130731,23.417,24.548,23.291,24.352,111550,0
20130801,23.682,25.046,23.077,24.948,240933,0
20130802,24.646,24.948,24.198,24.585,201885,0
20130805,24.618,25.534,24.208,25.299,182894,0
20130806,25.157,25.333,24.897,25.115,180087,0
20130807,24.864,25.306,24.659,24.993,164116,0
20130808,25.157,25.692,24.789,25.487,84768,0
20130809,25.423,25.71,24.938,25.631,125557,0
20130812,25.501,26.437,25.176,26.009,124871,0
20130813,26.236,26.66,25.934,26.52,207777,0
20130814,26.427,26.567,25.873,25.888,94955,0
20130815,25.929,26.05,25.617,25.73,54927,0
20130816,25.771,26.125,25.385,25.567,72706,0
20130819,25.622,26.037,25.403,25.589,127618,0
20130820,25.841,25.916,25.418,25.589,95844,0
20130821,25.627,26.255,25.366,26.148,139720,0
20130822,26.148,26.478,25.813,26.478,82993,0
20130823,26.422,26.762,25.999,26.762,85578,0
20130826,26.678,27.089,26.195,26.938,41566,0
20130827,26.525,26.892,26.055,26.244,131824,0
20130828,26.241,26.53,25.594,25.594,166598,0
20130829,25.571,26.055,25.124,25.776,136276,0
20130830,25.785,26.223,25.622,25.906,103474,0
20130902,26.195,26.381,25.65,26.06,183327,0
20130903,26.25,26.278,25.72,25.882,74320,0
20130904,25.869,26.092,25.473,25.869,191017,0
20130905,26.009,26.102,25.743,25.999,145096,0
20130906,26.045,26.288,25.743,26.195,170369,0
20130909,26.241,26.502,25.952,26.236,80035,0
20130910,26.074,26.246,25.431,26.009,138605,0
20130911,25.896,26.148,25.315,25.708,235214,0
20130912,25.776,26.474,25.566,26.134,237568,0
20130913,26.055,26.167,25.85,26.027,172876,0
20130916,26.102,26.729,26.037,26.729,225020,0
20130917,26.636,26.932,26.288,26.706,247751,0
20130918,26.864,26.864,26.52,26.837,196984,0
20130919,26.92,27.074,26.52,26.797,313805,0
20130920,26.814,27.144,26.153,26.66,2949967,0
20130923,26.874,26.99,25.888,26.014,239562,0
20130924,26.241,26.241,25.776,25.962,165240,0
20130925,26.055,26.182,25.823,26.074,154024,0
20130926,26.236,26.236,25.976,26.004,147385,0
20130927,26.055,26.163,25.669,25.669,144874,0
20130930,25.589,25.673,25.227,25.306,150331,0
20131001,25.357,25.501,25.031,25.199,141281,0
20131002,25.217,25.232,24.901,25.092,63237,0
20131003,25.083,25.501,24.752,24.757,120975,0
20131004,24.961,25.139,24.752,25.036,109410,0
20131007,25.008,25.217,24.473,24.766,133797,0
20131008,24.752,24.948,24.287,24.51,101033,0
20131009,24.399,24.603,23.635,23.766,180480,0
20131010,23.914,24.362,23.877,24.096,176861,0
20131011,24.194,24.515,23.78,24.38,339035,0
20131014,24.342,24.473,23.924,24.231,191136,0
20131015,24.213,24.566,24.128,24.292,252002,0
20131016,24.38,24.496,23.635,23.961,282135,0
20131017,23.91,24.422,23.594,24.422,230059,0
20131018,24.38,25.111,24.045,24.845,282074,0
20131021,25.013,25.264,24.771,24.994,131140,0
20131022,25.292,25.962,24.882,25.403,211958,0
20131023,25.357,25.524,24.905,25.338,202458,0
20131024,25.496,25.738,25.24,25.357,118004,0
20131025,25.39,25.766,25.264,25.376,124152,0
20131028,25.637,25.757,25.199,25.348,152148,0
20131029,25.506,25.753,25.338,25.562,135647,0
20131030,25.818,25.818,25.297,25.31,137569,0
20131031,26.241,26.985,25.589,25.934,347025,0
20131101,26.055,26.264,25.827,25.864,98481,0
20131104,25.952,26.293,25.869,25.962,108955,0
20131105,26.157,26.162,25.106,25.283,155803,0
20131106,25.366,25.951,25.176,25.85,123709,0
