Date,Open,High,Low,Close,Volume,OpenInt
20070504,48.5,48.5,48.5,48.5,600,0
20070510,49,49,49,49,100,0
20070518,45,45,45,45,100,0
20070522,42,42,42,42,200,0
20070523,39.55,39.55,39.55,39.55,300,0
20070525,35.5,36.5,34.5,35.1,555900,0
20070529,35.25,35.62,34.6,35.38,35500,0
20070530,34.98,35.2,34.75,35,24100,0
20070531,35,35,33.5,33.5,84400,0
20070601,33,33,31.22,31.67,94400,0
20070604,31.27,31.5,29,29.52,109700,0
20070605,29.4,30.44,28.79,29.9,55100,0
20070606,29.76,29.76,27.82,28.6,34900,0
20070607,29.12,29.12,28.5,29,200,0
20070608,28.5,31.01,28,30.46,19400,0
20070611,31.02,33.98,31.02,32.8,15000,0
20070612,32.5,32.95,31,31,13100,0
20070613,31.01,32.4,30.85,31.5,16700,0
20070614,31,31.99,29.36,30.68,18900,0
20070615,30.18,31.5,30,31.5,3900,0
20070618,31.1,31.8,31.1,31.6,5200,0
20070619,31.8,31.8,31.3,31.7,6600,0
20070620,31.64,31.7,30.38,31,11700,0
20070621,31.25,31.25,29,30.2,18400,0
20070622,30.82,30.82,29.57,30,7500,0
20070625,29.5,29.75,29.42,29.75,2900,0
20070626,30,30,29.01,29.98,3900,0
20070627,29.99,29.99,29.5,29.77,1000,0
20070628,29.9,30.2,29.25,29.5,16100,0
20070629,30,30,28.6,29.4,10400,0
20070702,29.5,29.5,28.4,28.5,6400,0
20070703,28.9,29,26.32,28,25900,0
20070704,28,28.1,27.7,27.7,3700,0
20070705,28,28.15,27.5,27.7,6000,0
20070706,27.7,27.8,27,27,9500,0
20070709,26.5,27.72,26,27.68,5000,0
20070710,28.1,29.9,28.1,29.7,2700,0
20070711,29.85,29.85,29.4,29.8,200,0
20070712,30,30.31,29.8,29.9,9400,0
20070713,30,30,29.3,29.9,2200,0
20070716,29.9,31.6,29.9,31.4,12300,0
20070717,32,32,30.8,31,1100,0
20070718,30.99,30.99,29.44,29.9,2400,0
20070719,29.9,29.9,29.18,29.45,10300,0
20070720,28.52,29.85,28.36,29.85,3600,0
20070723,29.97,29.97,28.37,28.5,5200,0
20070724,29,29,27.6,28.8,14000,0
20070725,28.05,28.05,27.3,27.4,11500,0
20070726,27.6,27.6,24.52,25,20700,0
20070727,25.35,25.35,22.5,22.6,24700,0
20070730,23.01,23.8,23,23.8,16400,0
20070731,24.23,25.41,24,24.7,3600,0
20070801,25.15,25.2,23,23.5,8200,0
20070802,23.85,23.85,23,23.3,13900,0
20070803,23.3,24.35,23,24.35,5300,0
20070806,24.35,25.75,24,25.25,11000,0
20070807,25.5,25.5,24.3,25,1100,0
20070808,24.5,24.5,23.76,23.76,2100,0
20070809,24.19,24.19,22.27,23.2,5400,0
20070810,24.35,24.35,22.39,23.17,3200,0
20070813,22.65,23.2,21.6,22,10200,0
20070814,22.16,22.16,20.75,20.75,3100,0
20070815,20.5,20.58,19.86,20.58,1200,0
20070816,19.65,20.5,18.5,19.9,14400,0
20070817,19.53,19.53,15.99,17.6,24800,0
20070820,18.8,18.8,16.6,17.9,22400,0
20070821,17.99,18,14.88,15.99,42800,0
20070822,16.25,16.25,14.5,14.7,21300,0
20070823,14.9,14.9,13.5,14,30600,0
20070824,14.39,16,14.35,15.49,44400,0
20070827,16.5,17.4,15.56,16,30700,0
20070828,16.01,17,15.8,15.8,11900,0
20070829,15.5,15.75,15.4,15.63,4500,0
20070830,16.15,16.35,15.9,16.15,7100,0
20070831,16.1,16.3,16,16,12000,0
20070903,16,16.19,15.75,16.19,3500,0
20070904,15.99,16,13.6,14,27100,0
20070905,14.2,14.7,13.65,14.06,21100,0
20070906,14.06,14.5,13.99,14.21,12100,0
20070907,14.65,15,13.1,13.15,10500,0
20070910,13,14.5,12.84,12.84,30100,0
20070911,12.84,13.21,12.5,12.7,9100,0
20070912,12.7,12.76,11.99,12,7300,0
20070913,12,12,10.52,11.38,52700,0
20070914,11.21,13,10.45,10.99,94600,0
20070917,11.25,12.3,11.09,11.75,29300,0
20070918,11.85,12.43,11.6,11.7,16700,0
20070919,11.99,13.07,11.8,12.45,25000,0
20070920,12.5,15.24,12.5,14.78,42600,0
20070921,15.05,16.2,14.26,14.77,13500,0
20070924,15.2,15.2,14.5,15,14000,0
20070925,15,15,14.37,14.37,23700,0
20070926,14.76,15.77,14.75,14.9,15300,0
20070927,15.58,15.7,15,15,8300,0
20070928,15.4,16.85,15.2,15.46,14600,0
20071001,16.14,16.58,15.58,15.7,5200,0
20071002,15.9,16.4,15.9,16.35,11100,0
20071003,16.57,16.7,16.01,16.01,10200,0
20071004,16.2,17.7,16.2,17,65400,0
20071005,17.4,17.8,16.76,17.8,18800,0
20071008,18.25,18.4,17,17.1,23700,0
20071009,17.3,17.3,15.74,16,24500,0
20071010,16.38,16.59,13.6,14.64,38400,0
20071011,14.25,15.25,13.62,14.95,23600,0
20071012,15.14,15.4,14.79,15,3000,0
20071015,15.5,15.5,14.2,14.2,15900,0
20071016,14.45,14.66,14.07,14.48,2000,0
20071017,14.87,14.88,14.45,14.56,5300,0
20071018,15,15.3,14.06,14.44,22200,0
20071019,14.65,15.35,14.65,14.99,12800,0
20071022,15.21,15.47,14.44,14.5,5700,0
20071023,14.5,15.1,14.5,14.88,2300,0
20071024,15,15.5,15,15.2,6100,0
20071025,15.5,15.5,15.2,15.3,6100,0
20071026,15.48,16.65,15.48,16.29,20200,0
20071029,16.5,17.44,16.5,17.3,13500,0
20071030,18.13,18.3,17.5,18,9700,0
20071031,18.21,18.43,17.93,18,11800,0
20071101,18.8,18.8,16.8,16.99,18100,0
20071102,16.8,16.8,15.5,16.25,20600,0
20071105,16.3,17.6,15.5,16.85,75700,0
20071106,18,18.51,17.33,17.5,50800,0
20071107,18.25,18.46,17.63,18.39,27500,0
20071108,18.5,18.5,17.9,18,20400,0
20071109,18.46,18.46,17.8,17.9,7500,0
20071112,18.24,18.24,17.61,17.79,7800,0
20071113,18,18,16.5,16.9,14600,0
20071114,17.02,18.25,17,18.25,34000,0
20071115,18.25,18.3,17.75,17.8,8100,0
20071116,17.75,17.8,17,17.4,8100,0
20071119,17.55,17.9,16.5,17,23600,0
20071120,16.5,17.37,15.5,16.93,41400,0
20071121,16.01,16.9,15.05,15.48,27400,0
20071122,15.2,15.4,14.61,14.61,17200,0
20071123,14.61,15.55,14.61,15.08,8000,0
20071126,15.75,15.85,14.81,14.81,13100,0
20071127,14.75,15.74,13.6,14.5,46300,0
20071128,15.05,16.63,15,16.63,72700,0
20071129,16.8,17.2,15.5,15.71,33600,0
20071130,16.14,17.91,16.12,17.07,30300,0
