Date,Open,High,Low,Close,Volume,OpenInt
20000114,4.5918,4.8481,4.5918,4.7096,12851,0
20000117,4.6815,4.6815,4.6124,4.6815,1880,0
20000118,4.7834,4.7834,4.7003,4.7003,10531,0
20000119,4.6289,4.6704,4.532,4.532,9394,0
20000120,4.5999,5.0778,4.5999,5.0086,68423,0
20000121,5.061,5.1581,5.0125,5.1581,5192,0
20000124,5.1279,5.1902,4.9619,4.9619,17340,0
20000125,4.8913,4.9675,4.8497,4.8497,5917,0
20000126,4.8397,4.8397,4.7843,4.7843,1156,0
20000127,4.8499,5.82,4.8499,5.6814,108681,0
20000128,5.6525,6.5322,5.6317,6.3729,97011,0
20000131,6.3718,6.8082,5.5407,6.4757,92986,0
20000201,6.39,6.5842,6.2585,6.4663,51654,0
20000202,6.4555,6.4555,6.068,6.158,18789,0
20000203,6.2546,6.2823,5.9151,6.13,22811,0
20000204,6.0361,6.3892,6.0292,6.3822,20658,0
20000207,6.6695,8.5534,6.4895,8.2417,138900,0
20000208,8.261,8.261,7.4024,7.7278,116830,0
20000209,7.732,7.732,6.9222,7.1297,45073,0
20000210,7.1042,8.0805,7.0626,8.0735,37405,0
20000211,8.4399,9.949,8.4399,8.7931,108324,0
20000214,9.2271,9.2271,8.4452,8.8398,18636,0
20000215,9.2252,9.3431,9.0734,9.0734,13292,0
20000216,8.9976,9.1291,7.731,8.3539,21962,0
20000217,8.2266,8.2266,7.6107,8.1296,28617,0
20000218,8.079,8.1691,7.8438,7.9615,15311,0
20000221,8.0668,8.0668,7.7278,7.7278,3180,0
20000222,7.6369,7.6369,7.0068,7.2699,35386,0
20000223,7.1489,7.2872,7.1489,7.1765,5202,0
20000224,7.0824,7.0824,6.93,7.027,9523,0
20000225,6.9189,6.9189,6.4554,6.6906,35699,0
20000228,6.6464,7.7542,6.6464,7.6156,52431,0
20000229,7.7299,8.0554,7.619,7.7091,22667,0
20000301,8.999,8.999,8.3553,8.6529,51716,0
20000302,8.7395,8.7673,8.0268,8.0268,48846,0
20000303,7.9092,7.9576,7.7292,7.8399,14307,0
20000306,7.7368,7.8476,7.7091,7.7091,7796,0
20000307,7.6014,8.0795,7.4698,7.9895,15298,0
20000308,7.9639,8.8641,7.7353,8.7463,92851,0
20000309,8.6533,8.6533,8.0787,8.3072,50559,0
20000310,8.3122,8.4368,7.5503,7.5503,36958,0
20000313,7.6532,7.7639,6.8366,6.9336,38730,0
20000314,7.0335,7.4765,6.9712,7.3727,18780,0
20000315,7.2201,7.2964,7.1371,7.1578,5484,0
20000316,6.9291,7.3448,6.9291,7.1578,11834,0
20000317,7.2595,7.3634,7.1555,7.3634,10394,0
20000320,7.3891,7.3891,7.0913,7.1952,26714,0
20000321,7.2162,7.2162,7.0363,7.0363,3903,0
20000322,6.9413,7.0244,6.7057,6.8028,15734,0
20000323,6.7321,6.829,6.5936,6.6906,15176,0
20000324,6.8491,6.9459,6.7523,6.8214,11854,0
20000327,6.9234,7.152,6.8058,7.055,20943,0
20000328,7.13,7.3448,7.13,7.1578,14576,0
20000329,7.1315,7.2699,7.1107,7.2699,5922,0
20000330,7.097,7.097,6.7093,6.7093,9821,0
20000331,6.6719,6.6719,6.6719,6.6719,289,0
20000403,6.577,6.6255,6.4663,6.4663,14155,0
20000404,6.4624,6.4624,6.2272,6.3449,10262,0
20000405,6.2332,6.2332,5.9007,6.0739,31621,0
20000406,6.0383,6.1767,5.7616,6.1767,35276,0
20000407,6.2685,6.6906,6.227,6.6906,14598,0
20000410,6.8151,7.0091,6.6696,6.8775,43316,0
20000411,6.7768,7.0398,6.6799,6.9429,17624,0
20000412,7.1578,7.6429,7.1578,7.1578,57005,0
20000413,7.0671,7.5036,7.0671,7.5036,53836,0
20000414,7.4319,7.6674,7.3418,7.4942,55441,0
20000417,7.0654,7.6404,7.0169,7.5503,43309,0
20000418,7.9631,8.1016,7.8039,8.1016,32638,0
20000419,8.3782,8.4958,8.1912,8.2604,14299,0
20000420,8.3301,8.3301,8.0809,8.1016,9820,0
20000425,8.0774,8.1465,8.0082,8.0082,3034,0
20000426,8.079,8.079,7.7329,7.9615,12856,0
20000427,7.8159,7.8159,7.6633,7.7465,7360,0
20000428,7.7886,7.7886,7.5876,7.5876,2020,0
20000502,7.615,8.4664,7.5664,8.3072,29613,0
20000503,8.3072,8.3556,8.1687,8.3072,11845,0
20000504,8.3072,8.3072,8.3072,8.3072,3034,0
20000505,8.2067,8.4006,8.2067,8.4006,4043,0
20000508,8.3781,8.572,8.3781,8.4474,9821,0
20000510,7.7563,7.7563,7.5,7.597,18050,0
20000511,7.8485,8.4305,7.807,8.3819,15591,0
20000512,8.6585,8.8871,8.43,8.5408,22809,0
20000515,8.7425,8.8325,8.6457,8.8118,17624,0
20000516,8.8311,8.8865,8.7757,8.8865,4331,0
20000517,8.8057,8.9304,8.681,8.681,10248,0
20000518,8.7848,8.7848,8.5633,8.681,5778,0
20000519,8.6515,8.7277,8.3539,8.3539,4767,0
20000522,8.2366,8.2366,8.195,8.195,1299,0
20000523,8.1497,8.2675,8.0735,8.0735,5343,0
20000524,7.8386,7.8386,7.4926,7.7278,3035,0
20000525,8.0985,8.0985,7.8493,7.8493,5490,0
20000526,7.7309,7.7309,7.6064,7.6064,867,0
20000529,7.6053,7.6053,7.5223,7.5223,578,0
20000530,7.6151,7.6358,7.4558,7.5597,7945,0
20000531,7.7721,7.9521,7.7721,7.9521,5202,0
20000601,7.9505,7.9505,7.625,7.625,722,0
20000602,7.5177,8.0923,7.5177,8.0923,18058,0
20000605,8.2574,9.1295,8.2574,9.1295,48255,0
20000606,9.2058,11.074,9.1153,10.036,154162,0
20000607,10.035,10.381,9.759,10.381,26441,0
20000608,10.157,10.157,9.921,10.129,23398,0
20000609,10.039,10.226,9.921,10.129,10110,0
20000612,10.223,10.223,10.023,10.064,5631,0
20000613,10.057,10.153,9.89,10.036,2889,0
20000614,9.898,9.925,9.0734,9.0734,12128,0
20000615,9.1156,9.1295,8.4719,9.1295,37997,0
20000616,9.1662,9.512,9.1246,9.512,13134,0
20000619,9.604,9.604,9.3963,9.4659,7221,0
20000620,9.462,9.462,9.1855,9.1855,1155,0
20000621,9.0942,9.0942,9.0596,9.0734,722,0
20000622,8.9986,8.9986,8.9986,8.9986,722,0
20000623,9.0037,9.3499,9.0037,9.2319,11407,0
20000626,9.2319,9.3634,9.2319,9.2319,3610,0
20000627,9.2319,9.2319,9.2319,9.2319,867,0
20000628,9.3006,9.765,9.3006,9.765,11407,0
20000629,9.628,9.628,9.3721,9.3721,4764,0
20000630,9.3528,9.4843,9.3528,9.4843,6928,0
20000703,9.3441,9.3441,9.3441,9.3441,867,0
20000704,9.2319,9.2319,9.2319,9.2319,2454,0
20000705,9.1202,9.3489,9.1202,9.1202,4621,0
20000706,8.9973,9.2252,8.9973,9.0734,5635,0
20000710,9.3093,9.3441,8.9145,8.9145,7369,0
20000711,8.8871,8.8871,8.423,8.5408,8518,0
20000712,8.6647,8.6647,8.4709,8.4847,11415,0
20000714,9.85,9.946,8.998,9.1295,44355,0
20000717,9.1202,9.3489,9.1202,9.1202,11841,0
20000718,9.23,9.4659,9.1197,9.4659,6644,0
20000719,9.2319,9.2319,9.1214,9.2319,5342,0
20000720,9.2058,9.3441,9.116,9.3441,14591,0
20000721,9.3489,9.3489,9.1202,9.1202,8088,0
20000724,9.3837,9.3837,9.1202,9.1202,3610,0
20000725,9.003,9.003,8.7743,8.7743,5631,0
20000726,8.7882,8.7882,8.7743,8.7743,7797,0
20000727,8.7706,8.7706,8.5284,8.6529,12135,0
20000728,8.6547,8.6547,8.2946,8.4193,8089,0
20000731,8.4242,8.4242,8.1888,8.2511,7224,0
20000801,8.5413,8.7837,8.5413,8.7837,2887,0
20000802,8.5408,8.5408,8.5408,8.5408,2166,0
20000803,8.4668,8.4668,7.8438,7.9615,8812,0
20000804,8.1895,8.1895,8.1203,8.1203,2022,0
20000808,8.3017,8.4193,8.1841,8.4193,10551,0
20000810,8.5408,8.5408,8.3122,8.5408,4186,0
20000811,8.53,8.5992,8.4193,8.4193,3469,0
20000814,8.5339,8.5339,8.3539,8.3539,6502,0
20000815,8.3123,8.4716,8.3123,8.3539,1011,0
20000816,8.5339,8.5339,8.167,8.167,11270,0
20000817,8.0735,8.0735,8.0735,8.0735,1301,0
20000818,8.0887,8.1857,8.0679,8.1857,722,0
20000821,8.3109,8.4286,8.3109,8.4286,2599,0
20000822,8.5284,8.6529,8.4313,8.6529,9534,0
20000823,8.3072,8.4249,8.1895,8.3072,11123,0
20000824,8.6903,9.4659,8.6903,9.4659,32204,0
20000825,9.462,10.064,9.3441,10.064,24995,0
20000828,10.163,10.619,10.163,10.205,36522,0
20000829,10.387,10.437,9.924,9.924,25847,0
20000830,10.007,10.007,9.558,9.606,19492,0
20000831,9.813,9.924,9.529,9.737,9242,0
20000901,9.695,10.146,9.695,9.924,4910,0
20000904,9.972,10.269,9.972,10.269,12564,0
20000905,10.335,10.335,10.127,10.335,3467,0
20000906,10.613,12.461,10.613,11.513,157455,0
20000907,11.664,11.664,10.923,11.082,29452,0
20000908,11.079,11.079,10.159,10.269,39857,0
20000911,10.42,10.565,10.239,10.475,15600,0
20000912,10.153,10.23,9.918,10.223,13437,0
20000914,10.384,11.699,10.384,11.541,46946,0
20000915,11.7,12.69,11.7,11.998,45643,0
20000918,12.516,12.516,11.541,11.541,31202,0
20000919,11.422,11.422,10.743,10.896,15891,0
20000920,11.279,11.307,10.503,10.503,10543,0
20000921,10.65,10.65,10.386,10.615,2166,0
20000922,10.462,10.462,9.894,10.157,8089,0
20000925,10.309,10.655,10.164,10.503,12268,0
20000926,10.386,10.615,10.2,10.615,18918,0
20000927,10.96,11.299,10.96,11.064,16032,0
