Date,Open,High,Low,Close,Volume,OpenInt
20161221,0.038,0.039,0.038,0.039,400,0
20161222,0.038,0.039,0.038,0.039,5100,0
20161223,0.038,0.04,0.011,0.04,18000,0
20161227,0.041,0.041,0.041,0.041,3810,0
20161229,0.021,0.04,0.021,0.03,29000,0
20161230,0.025,0.048,0.025,0.048,20300,0
20170102,0.025,0.025,0.024,0.024,1000,0
20170104,0.03,0.047,0.03,0.047,11237,0
20170105,0.023,0.044,0.023,0.044,9530,0
20170112,0.036,0.036,0.036,0.036,2750,0
20170124,0.035,0.04,0.028,0.04,30026,0
20170126,0.023,0.041,0.023,0.024,10420,0
20170216,0.032,0.05,0.032,0.05,2366,0
20170221,0.041,0.041,0.032,0.032,34,0
20170224,0.032,0.05,0.032,0.05,10000,0
20170228,0.032,0.049,0.032,0.049,1990,0
20170301,0.034,0.035,0.034,0.035,5630,0
20170302,0.036,0.045,0.036,0.045,50,0
20170303,0.032,0.048,0.032,0.048,18000,0
20170308,0.032,0.08,0.032,0.032,29250,0
20170313,0.099,0.099,0.099,0.099,25250,0
20170317,0.04,0.041,0.04,0.041,2725,0
