Date,Open,High,Low,Close,Volume,OpenInt
19961004,18.603,19.43,18.289,18.555,2041335,0
19961007,18.351,18.711,18.351,18.43,1252884,0
19961008,18.196,18.414,18.108,18.133,1259282,0
19961009,17.992,18.164,17.899,17.899,1455994,0
19961010,17.555,17.79,17.392,17.523,1392343,0
19961011,17.648,18.43,17.586,18.048,2573579,0
19961014,18.524,19.462,18.524,18.988,2967965,0
19961015,19.071,19.618,19.04,19.384,2586373,0
19961016,19.43,19.54,18.868,18.914,1500774,0
19961017,19.306,19.54,19.181,19.503,1164924,0
19961018,19.791,21.416,19.791,21.26,2140171,0
19961021,21.698,22.04,21.103,21.675,1732032,0
19961022,21.182,21.369,20.556,20.698,1169401,0
19961023,20.665,21.212,20.4,20.4,620205,0
19961024,20.243,20.649,19.759,19.994,769578,0
19961025,19.852,20.547,19.633,20.243,902640,0
19961028,20.837,21.384,20.759,21.285,939423,0
19961029,21.182,21.305,20.916,21.024,870014,0
19961030,21.197,21.572,21.182,21.384,1039540,0
19961031,21.103,21.416,20.791,20.869,998277,0
19961101,21.228,21.547,21.088,21.103,585979,0
19961104,21.212,21.305,20.869,20.869,434687,0
19961105,21.04,21.305,21.024,21.291,444283,0
19961106,21.416,21.806,21.276,21.447,735354,0
19961107,21.806,22.199,21.494,21.885,1302782,0
19961108,22.199,22.354,20.884,21.338,1869251,0
19961111,22.199,23.283,21.963,22.807,1255123,0
19961112,22.745,22.979,22.442,22.807,701449,0
19961113,22.432,22.822,22.276,22.463,1033462,0
19961114,22.635,22.698,22.432,22.51,427652,0
19961115,22.541,22.776,22.37,22.4,526808,0
19961118,22.276,22.354,21.806,22.04,253008,0
19961119,21.963,22.04,21.009,21.182,473709,0
19961120,21.26,21.806,21.26,21.572,921192,0
19961121,21.963,22.083,21.651,21.806,722560,0
19961122,21.651,21.885,21.494,21.572,335851,0
19961125,21.494,21.963,21.103,21.769,571266,0
19961126,22.04,22.276,21.853,21.885,363358,0
19961127,21.806,21.885,21.26,21.354,262923,0
19961128,21.494,21.728,21.447,21.463,121865,0
19961129,21.572,21.995,21.572,21.963,263243,0
19961202,21.916,22.04,21.588,21.704,195753,0
19961203,21.853,21.885,21.675,21.806,103633,0
19961204,21.651,21.728,21.447,21.651,157370,0
19961205,21.728,22.979,21.728,22.416,803803,0
19961206,22.199,22.199,21.26,21.728,565189,0
19961209,21.931,22.354,21.759,21.885,211427,0
19961210,22.118,22.15,21.665,21.665,146816,0
19961211,21.635,21.635,21.103,21.26,283395,0
19961212,21.26,21.338,21.065,21.166,300667,0
19961213,21.103,21.291,21.015,21.15,106192,0
19961216,21.305,21.305,20.979,20.979,124105,0
19961217,20.415,20.649,20.165,20.368,433727,0
19961218,20.478,21.103,20.431,20.884,735994,0
19961219,21.112,21.182,20.728,21.024,145535,0
19961220,21.166,21.228,20.946,20.946,151612,0
19961223,20.869,20.869,20.609,20.635,122187,0
19961227,19.978,20.227,19.978,20.227,304186,0
19961230,20.243,20.712,20.165,20.556,72607,0
19970102,20.322,20.556,20.322,20.4,65570,0
19970103,20.478,20.775,20.478,20.635,147454,0
19970106,21.024,21.095,20.869,21.024,91159,0
19970107,20.916,21.321,20.853,21.276,172084,0
19970108,21.416,22.01,21.416,21.885,391826,0
19970109,22.199,22.199,21.698,21.869,146816,0
19970110,21.744,21.916,21.26,21.463,285315,0
19970113,21.494,21.557,21.369,21.369,49578,0
19970114,21.369,21.463,20.979,21.057,256526,0
19970115,20.946,21.338,20.901,21.212,322097,0
19970116,21.305,22.651,21.305,22.166,596535,0
19970117,22.666,22.745,22.432,22.666,345126,0
19970120,22.666,22.916,22.51,22.541,99476,0
19970121,22.745,22.745,22.432,22.698,194794,0
19970122,23.119,23.761,23.119,23.37,400462,0
19970123,23.448,23.589,23.238,23.417,196392,0
19970124,22.901,23.135,22.901,22.901,139778,0
19970127,22.807,22.916,22.448,22.51,105554,0
19970128,22.354,22.619,22.199,22.228,216864,0
19970129,22.199,22.199,21.776,21.947,189995,0
19970130,21.463,22.51,21.463,22.199,749427,0
19970131,22.822,22.979,22.432,22.666,277637,0
19970203,22.759,22.901,22.666,22.698,59494,0
19970204,22.729,22.729,22.48,22.51,71648,0
19970205,22.635,22.666,22.541,22.666,83803,0
19970206,22.603,22.745,22.37,22.698,97236,0
19970207,22.745,22.901,22.666,22.807,107153,0
19970210,22.603,22.745,22.51,22.619,83482,0
19970211,22.698,23.026,22.698,22.745,94678,0
19970212,22.979,23.167,22.822,23.041,232856,0
19970213,23.214,23.214,22.822,22.963,68449,0
19970214,23.056,23.066,22.822,22.979,71648,0
19970217,22.822,22.979,22.822,22.885,19832,0
19970218,22.87,23.119,22.822,22.822,141378,0
19970219,22.901,23.135,22.776,22.947,98517,0
19970220,22.901,22.901,22.776,22.776,80924,0
19970221,22.448,22.947,22.448,22.776,89880,0
19970224,22.666,23.056,22.666,22.901,114828,0
19970225,23.135,24.151,23.089,23.949,354722,0
19970226,24.276,24.856,24.151,24.807,534483,0
19970227,24.697,25.417,24.697,25.073,357602,0
19970228,25.011,25.12,24.777,25.011,115468,0
19970303,25.152,25.433,25.152,25.371,82523,0
19970304,25.62,25.839,25.449,25.496,213984,0
19970305,25.48,25.901,25.449,25.699,154812,0
19970306,25.95,26.653,25.558,25.636,174323,0
19970307,25.558,25.558,24.777,25.417,204069,0
19970310,25.402,25.684,25.277,25.277,121546,0
19970311,25.465,25.872,25.465,25.512,167606,0
19970312,25.496,25.995,25.48,25.48,128583,0
19970313,25.198,25.542,25.011,25.13,115149,0
19970314,25.168,25.433,25.011,25.043,83164,0
19970317,25.402,25.402,24.949,25.043,90519,0
19970318,25.011,25.168,24.901,25.011,136579,0
19970319,24.714,25.699,24.697,25.48,302586,0
19970320,25.636,25.808,25.245,25.324,187437,0
19970321,25.558,26.418,25.558,25.793,184877,0
19970324,26.074,26.231,25.433,25.433,102354,0
19970325,25.465,25.48,24.908,25.057,139138,0
19970326,25.168,25.714,25.105,25.333,237654,0
19970327,25.48,25.668,24.933,25.011,152893,0
19970401,24.074,24.48,23.916,24.214,177201,0
19970402,24.151,24.51,23.464,23.526,134980,0
19970403,23.761,23.792,23.214,23.293,229978,0
19970404,23.293,23.839,23.293,23.448,342568,0
19970407,23.714,24.074,23.244,23.603,654431,0
19970408,23.745,23.916,23.056,23.151,452919,0
19970409,23.293,24.846,23.293,24.276,904559,0
19970410,24.371,24.777,24.323,24.464,290432,0
19970411,24.401,24.777,24.074,24.074,208227,0
19970414,23.839,24.293,23.682,23.87,231897,0
19970415,24.308,25.231,24.308,24.856,385110,0
19970416,25.198,25.245,24.542,24.697,170805,0
19970417,24.62,24.886,24.464,24.62,117707,0
19970418,24.62,24.839,24.558,24.697,144896,0
19970421,24.62,24.684,24.229,24.229,51498,0
19970422,24.229,24.464,23.916,24.27,321137,0
19970423,24.697,24.746,23.916,23.996,143617,0
19970424,23.839,24.229,23.839,24.057,224541,0
19970425,24.229,24.386,23.949,23.949,96277,0
19970428,24.151,24.386,24.074,24.114,79004,0
19970429,24.386,24.823,24.276,24.386,135301,0
19970430,24.542,24.542,23.682,23.839,105873,0
19970502,23.761,23.996,23.636,23.761,122506,0
19970505,23.996,24.464,23.761,24.355,205349,0
19970506,24.51,24.62,23.996,24.229,181041,0
19970507,24.074,24.454,23.682,24.214,86362,0
19970509,24.074,24.074,23.682,23.682,71327,0
19970512,23.619,23.761,23.567,23.652,91479,0
19970513,23.761,23.823,23.458,23.526,147135,0
19970514,23.448,23.682,23.37,23.603,169205,0
19970515,23.51,23.682,22.901,23.176,347366,0
19970516,23.26,23.745,22.87,22.916,839627,0
19970520,23.214,23.214,22.416,22.432,187437,0
19970521,22.51,23.104,22.51,22.657,314740,0
19970522,22.979,23.198,22.676,22.901,225500,0
19970523,23.135,23.182,22.901,23.135,132422,0
19970526,22.979,23.36,22.947,23.214,29107,0
19970527,23.135,23.526,23.135,23.214,97556,0
19970528,23.574,23.996,23.448,23.776,131462,0
19970529,23.776,23.776,23.682,23.682,6717,0
19970530,23.682,23.682,22.51,22.885,161208,0
19970602,22.822,23.37,22.745,23.26,75486,0
19970603,23.214,23.603,23.056,23.526,113551,0
19970604,23.603,24.856,23.603,24.308,297789,0
