Date,Open,High,Low,Close,Volume,OpenInt
20090406,0.56,0.56,0.485,0.485,30,0
20090407,0.53,0.53,0.485,0.485,750,0
20090415,0.48,0.51,0.46,0.46,6021,0
20090416,0.5,0.505,0.46,0.47,681,0
20090417,0.51,0.51,0.425,0.47,1000,0
20090424,0.51,0.545,0.465,0.51,1500,0
20090430,0.51,0.51,0.43,0.43,1000,0
20090504,0.47,0.505,0.465,0.465,1050,0
20090506,0.47,0.48,0.425,0.48,1000,0
20090508,0.48,0.485,0.44,0.485,50,0
20090603,0.48,0.485,0.445,0.445,2,0
20090605,0.48,0.59,0.405,0.59,3570,0
20090609,0.55,0.6,0.55,0.56,3420,0
20090616,0.56,0.56,0.52,0.52,2223,0
20090622,0.485,0.485,0.44,0.45,2050,0
20090626,0.45,0.45,0.41,0.41,100,0
20090630,0.42,0.48,0.42,0.48,2950,0
20090710,0.48,0.48,0.44,0.44,723,0
20090713,0.47,0.475,0.435,0.44,36,0
20090717,0.47,0.475,0.435,0.44,1000,0
20090720,0.47,0.475,0.395,0.4,23,0
20090721,0.44,0.515,0.425,0.515,1043,0
20090722,0.52,0.52,0.47,0.475,2500,0
20090731,0.47,0.475,0.435,0.475,5038,0
20090804,0.47,0.47,0.42,0.423,5321,0
20090806,0.42,0.5,0.39,0.5,3077,0
20090811,0.5,0.55,0.46,0.55,3031,0
20090813,0.55,0.609,0.51,0.609,3500,0
20090814,0.61,0.61,0.51,0.51,143,0
20090902,0.55,0.55,0.5,0.54,100,0
20090907,0.54,0.55,0.5,0.55,300,0
20090914,0.54,0.541,0.5,0.54,13,0
20090915,0.54,0.54,0.485,0.485,1000,0
20090916,0.48,0.485,0.44,0.445,1000,0
20091012,0.451,0.451,0.41,0.41,100,0
20091015,0.451,0.451,0.395,0.395,40,0
20091016,0.451,0.461,0.405,0.461,520,0
20091019,0.467,0.467,0.42,0.421,100,0
20091020,0.467,0.467,0.42,0.421,100,0
20091022,0.427,0.46,0.38,0.46,500,0
20091104,0.453,0.46,0.42,0.42,1636,0
20091116,0.42,0.42,0.38,0.38,25,0
20091207,0.42,0.42,0.38,0.42,50,0
20091211,0.38,0.42,0.38,0.38,50,0
20091215,0.3,0.3,0.26,0.3,20,0
20091216,0.26,0.38,0.22,0.3,2500,0
20091217,0.296,0.38,0.22,0.3,1000,0
20091218,0.296,0.42,0.22,0.42,7563,0
20091222,0.374,0.46,0.34,0.46,8500,0
20091223,0.453,0.51,0.38,0.51,2000,0
20091228,0.517,0.52,0.38,0.46,52,0
20100104,0.453,0.46,0.38,0.46,4000,0
20100108,0.406,0.41,0.38,0.41,150,0
20100113,0.406,0.41,0.38,0.41,240,0
20100119,0.406,0.41,0.406,0.41,5000,0
20100121,0.406,0.41,0.406,0.41,25,0
20100128,0.406,0.41,0.406,0.41,20,0
20100201,0.406,0.5,0.406,0.5,10380,0
20100202,0.53,0.6,0.53,0.6,2850,0
20100203,0.535,0.8,0.535,0.77,30118,0
20100204,0.762,0.78,0.6,0.65,30086,0
20100205,0.644,0.69,0.6,0.66,12191,0
20100208,0.653,0.653,0.64,0.641,200,0
20100210,0.634,0.65,0.6,0.65,10000,0
20100211,0.644,0.7,0.64,0.689,800,0
20100212,0.682,0.7,0.64,0.64,3000,0
20100215,0.634,0.7,0.61,0.64,11500,0
20100222,0.634,0.7,0.634,0.7,35,0
20100223,0.634,0.7,0.63,0.7,200,0
20100225,0.634,0.64,0.634,0.64,200,0
20100301,0.634,0.66,0.634,0.66,3000,0
20100302,0.653,0.653,0.64,0.64,13,0
