Date,Open,High,Low,Close,Volume,OpenInt
20070305,9.873,10.355,9.647,9.969,89706,0
20070306,9.994,10.21,9.777,9.825,190884,0
20070307,9.825,10.018,9.753,9.873,492834,0
20070308,10.018,10.442,9.984,10.229,738094,0
20070309,10.457,10.548,10.21,10.398,389280,0
20070312,10.403,10.586,10.235,10.335,270119,0
20070313,10.307,10.379,10.062,10.114,204403,0
20070314,10.114,10.249,9.969,10.182,348050,0
20070315,10.19,10.355,10.138,10.286,403461,0
20070316,10.187,10.355,10.187,10.311,638410,0
20070319,10.235,10.542,10.196,10.437,185435,0
20070320,10.548,10.548,10.361,10.509,154323,0
20070321,10.422,10.957,10.422,10.909,320809,0
20070322,10.98,11.193,10.895,11.13,368422,0
20070323,11.169,11.328,11.03,11.154,723675,0
20070326,10.909,11.043,10.846,10.885,110469,0
20070327,10.962,11.076,10.837,11.005,192031,0
20070328,10.885,11.076,10.745,10.899,101396,0
20070329,10.837,11.053,10.826,10.962,144887,0
20070330,11.074,11.126,10.885,11.048,226105,0
20070402,11.111,11.14,10.895,11.03,217441,0
20070403,10.98,11.236,10.98,11.193,175253,0
20070404,11.126,11.304,11.126,11.247,254814,0
20070405,11.14,11.28,11.005,11.173,63042,0
20070410,11.222,11.539,11.063,11.197,268049,0
20070411,11.294,11.313,11.173,11.212,170160,0
20070412,11.222,11.247,11.082,11.178,278409,0
20070413,11.101,11.217,11.053,11.092,286610,0
20070416,11.01,11.144,11,11.082,299416,0
20070417,11.005,11.111,10.957,11.034,353178,0
20070418,11.087,11.087,10.869,10.903,137501,0
20070419,10.909,10.922,10.664,10.72,424323,0
20070420,10.869,10.895,10.619,10.798,554535,0
20070423,10.826,10.942,10.812,10.889,230201,0
20070424,10.885,11.015,10.727,10.948,603129,0
20070425,10.865,10.932,10.668,10.755,420575,0
20070426,10.837,11.126,10.764,10.903,858389,0
20070427,10.885,11,10.846,10.922,295030,0
20070430,10.957,11.03,10.875,10.991,194419,0
20070502,10.98,11.097,10.948,11.043,641792,0
20070503,10.98,11.076,10.818,10.948,546887,0
20070504,11.03,11.087,10.895,11.03,316309,0
20070507,10.909,11.164,10.909,11.106,482165,0
20070508,11.015,11.197,10.837,11.126,555155,0
20070509,11.197,11.319,11.053,11.289,953850,0
20070510,11.294,11.8,11.197,11.401,2427532,0
20070511,11.477,12.017,11.434,11.881,1704500,0
20070514,12.036,12.103,11.197,11.375,1688914,0
20070515,11.227,11.409,10.846,11.289,1550380,0
20070516,11.13,11.559,11.13,11.375,1447772,0
20070517,11.414,11.535,11.346,11.381,402980,0
20070518,11.463,11.497,11.366,11.414,449793,0
20070521,11.559,11.713,11.497,11.679,1204243,0
20070522,11.559,11.583,11.184,11.442,750162,0
20070523,11.463,11.549,11.439,11.486,640553,0
20070524,11.448,11.453,11.313,11.414,806823,0
20070525,11.366,11.395,11.126,11.164,850994,0
20070529,11.463,11.704,11.269,11.361,2192639,0
20070530,11.375,11.992,11.343,11.728,1097127,0
20070531,11.742,12.097,11.742,11.949,3730410,0
20070601,12.021,12.064,11.805,12.045,1209941,0
20070604,12.161,12.233,11.858,12.026,806817,0
20070605,12.088,12.108,11.864,11.94,753987,0
20070606,11.8,11.977,11.372,11.53,714875,0
20070607,11.583,11.67,11.269,11.361,398068,0
20070608,11.222,11.583,11.01,11.381,528296,0
20070611,11.568,11.742,11.51,11.564,328622,0
20070612,11.627,11.627,11.332,11.52,285627,0
20070613,11.559,11.602,11.343,11.559,320742,0
20070614,11.646,12.012,11.607,11.929,761418,0
20070615,11.968,12.045,11.8,11.897,919508,0
20070618,12.088,12.088,11.708,11.805,411036,0
20070619,11.858,11.858,11.588,11.655,279860,0
20070620,11.872,11.949,11.767,11.796,375532,0
20070621,11.866,11.892,11.51,11.8,716259,0
20070622,11.872,11.872,11.352,11.51,599367,0
20070625,11.486,11.655,11.361,11.635,589871,0
20070626,11.635,11.689,11.39,11.583,600911,0
20070627,11.596,11.679,11.51,11.621,553642,0
20070628,11.704,11.704,11.574,11.66,591371,0
20070629,11.767,11.77,11.554,11.713,362876,0
20070702,11.742,12.088,11.602,11.848,850164,0
20070703,11.992,12.07,11.752,11.901,657124,0
20070704,11.92,11.992,11.775,11.843,569874,0
20070705,11.872,11.872,11.617,11.752,562276,0
20070706,11.728,11.818,11.646,11.809,695284,0
20070709,11.848,12.238,11.805,12.084,821023,0
20070710,12.137,12.291,11.848,11.988,641116,0
20070711,11.944,12.07,11.747,12.07,506791,0
20070712,12.084,12.122,11.877,12.064,440891,0
20070713,12.185,12.185,11.885,12.021,438048,0
20070716,12.079,12.137,11.824,11.954,661803,0
20070717,11.974,12.007,11.848,11.897,607679,0
20070718,11.92,11.992,11.588,11.92,1293840,0
20070719,12.012,12.021,11.685,11.977,1158592,0
20070720,11.944,12.017,11.468,11.992,2072364,0
20070723,12.08,12.08,11.462,11.728,1461997,0
20070724,11.816,11.816,11.229,11.241,1531934,0
20070725,10.945,11.204,10.73,11.185,1617918,0
20070726,11.261,11.306,10.882,10.926,860298,0
20070727,10.674,10.989,10.642,10.667,969136,0
20070730,10.662,11.196,10.597,11.015,1039249,0
20070731,11.015,11.153,10.887,11.122,373786,0
20070801,10.831,11.096,10.725,10.875,513717,0
20070802,10.851,11.015,10.687,10.825,733899,0
20070803,10.737,10.843,10.283,10.396,1960965,0
20070806,10.157,10.509,9.929,10.239,1207349,0
20070807,10.22,10.402,9.974,10.22,765703,0
20070808,10.314,10.882,9.967,10.2,3799419,0
20070809,10.036,10.283,9.974,10.093,959209,0
20070810,9.778,10.226,9.507,10.093,1667401,0
20070813,10.087,10.188,9.589,9.961,721687,0
20070814,10.075,10.125,9.91,10.087,399240,0
20070815,10.111,10.301,9.873,10.118,686706,0
20070816,9.967,10.111,9.5,9.689,927568,0
20070817,9.4625,10.182,9.4625,10.055,1297748,0
20070820,10.252,10.756,10.125,10.631,1320559,0
20070821,10.692,10.743,10.441,10.718,516304,0
20070822,10.567,11.229,10.535,10.97,1051139,0
20070823,11.102,11.102,10.415,10.649,1280171,0
20070824,10.718,10.932,10.705,10.869,595677,0
20070827,10.914,10.982,10.774,10.887,350630,0
20070828,10.882,11.064,10.535,10.61,423722,0
20070829,10.679,10.725,10.415,10.529,595050,0
20070830,10.529,10.679,10.472,10.579,723204,0
20070831,10.579,10.901,10.579,10.843,689326,0
20070903,10.843,10.882,10.679,10.838,277631,0
20070904,10.887,11.115,10.73,11.064,449401,0
20070905,11.09,11.09,10.762,10.825,171415,0
20070906,10.869,10.996,10.793,10.901,298557,0
20070907,10.851,10.977,10.711,10.743,297663,0
20070910,10.737,10.756,10.516,10.579,186248,0
20070911,10.654,10.725,10.592,10.692,218186,0
20070912,10.718,10.786,10.421,10.573,262375,0
20070913,10.573,10.838,10.573,10.743,615557,0
20070914,10.649,10.768,10.597,10.654,173825,0
20070917,10.674,10.711,10.08,10.169,437013,0
20070918,10.106,10.301,10.099,10.22,328230,0
20070919,10.604,10.662,10.169,10.295,533289,0
20070920,10.232,10.377,9.974,10.169,414656,0
20070921,10.157,10.163,9.873,10.163,1029903,0
20070924,10.882,11.544,10.762,11.33,6584368,0
20070925,11.348,11.442,11.053,11.367,1388339,0
20070926,11.38,11.455,11.204,11.38,1238281,0
20070927,11.348,11.469,11.348,11.43,1245356,0
20070928,11.424,12.673,11.424,12.516,2628721,0
20071001,13.247,13.247,12.385,12.61,4560682,0
20071002,12.68,12.807,12.245,12.403,1781478,0
20071003,12.332,12.648,12.181,12.578,828883,0
20071004,12.617,12.617,12.364,12.585,728315,0
20071005,12.604,12.712,12.44,12.54,763260,0
20071008,12.604,12.61,12.465,12.54,505866,0
20071009,12.54,12.565,12.364,12.452,751734,0
20071010,12.578,12.578,12.415,12.509,283741,0
20071011,11.486,12.174,11.273,11.979,5703485,0
20071012,11.992,12.27,11.841,12.131,780663,0
20071015,12.086,12.168,11.91,11.954,663980,0
20071016,11.979,11.986,11.765,11.884,765156,0
20071017,11.917,12.251,11.77,11.809,1218812,0
20071018,11.544,11.671,11.04,11.297,2019847,0
20071019,11.286,11.803,11.102,11.279,1422449,0
20071022,11.286,11.286,10.756,11.19,1175468,0
20071023,10.977,11.166,10.409,10.692,1286676,0
20071024,10.662,10.774,10.522,10.548,614135,0
20071025,10.579,11.166,10.535,10.964,748321,0
20071026,11.072,11.084,10.585,10.813,758885,0
20071029,10.843,10.907,10.711,10.831,303078,0
20071030,10.793,10.989,10.774,10.806,503616,0
20071031,10.996,10.996,10.774,10.831,1283298,0
20071101,10.926,10.964,10.61,10.698,459444,0
20071102,10.604,10.907,10.604,10.907,424398,0
20071105,10.774,10.806,10.692,10.762,361203,0
20071106,10.762,11.04,10.711,10.781,588150,0
20071107,10.749,11.652,10.749,11.015,2624388,0
20071108,11.084,11.639,10.887,11.185,1875067,0
20071109,11.147,11.355,10.662,11.053,1244891,0
20071112,11.033,11.109,10.597,10.8,471946,0
20071113,10.597,10.756,10.402,10.698,661915,0
20071114,10.851,11.532,10.756,11.438,2582161,0
20071115,11.513,11.551,11.153,11.318,1085505,0
20071116,11.102,11.286,10.875,11.015,1151957,0
20071119,10.977,11.102,10.698,10.762,617853,0
20071120,10.093,10.34,8.6986,9.797,6553420,0
20071121,10.031,10.188,9.967,10.15,3832644,0
20071122,10.13,10.22,9.715,10.068,961356,0
20071123,10.232,10.554,10.036,10.503,957876,0
20071126,10.441,10.592,10.346,10.39,831132,0
20071127,10.34,10.377,10.093,10.157,559576,0
20071128,10.175,10.252,10.08,10.169,1154611,0
20071129,9.974,10.111,9.715,10.011,3817602,0
20071130,10.043,10.22,9.854,10.055,2421726,0
20071203,10.138,10.485,10.087,10.477,3350273,0
20071204,10.371,10.642,10.269,10.509,765550,0
20071205,10.535,10.851,10.458,10.774,1150926,0
20071206,10.725,11.102,10.679,11.015,1628617,0
20071207,11.008,11.04,10.793,10.907,309769,0
20071210,10.863,10.996,10.73,10.926,750222,0
20071211,10.887,11.134,10.851,10.926,2223511,0
20071212,10.725,10.882,10.567,10.649,528096,0
20071213,10.718,11.412,10.631,10.977,2434271,0
20071214,10.982,11.059,10.485,10.679,758574,0
20071217,10.541,10.631,10.252,10.535,486318,0
20071218,10.485,10.756,10.477,10.604,366383,0
20071219,10.662,10.662,10.226,10.377,311469,0
20071220,10.592,10.649,9.936,10.194,1172998,0
20071221,10.182,10.346,9.683,9.986,1535010,0
20071227,10.087,10.212,9.809,9.816,376594,0
20071228,9.974,10.118,9.803,10.087,368371,0
20080102,9.879,10.08,9.79,9.873,939255,0
20080103,9.949,10.138,9.689,10.111,699287,0
20080104,9.967,10.055,9.854,9.967,1086247,0
20080107,9.967,10.031,9.873,9.998,1420280,0
20080108,10.017,10.188,9.998,10.13,821211,0
20080109,10.106,10.106,9.683,9.715,727751,0
20080110,9.784,9.898,9.2095,9.2095,1244197,0
20080111,9.2349,9.595,9.1784,9.4625,929665,0
20080114,9.525,9.967,9.3985,9.3985,806507,0
20080115,9.4691,9.532,9.2424,9.248,1195717,0
20080116,9.154,9.4361,8.9828,9.3797,1904585,0
20080117,9.3929,9.4813,9.1277,9.2612,1791548,0
20080118,9.3421,9.4879,9.0844,9.2857,1170347,0
20080121,9.2226,9.3364,8.018,8.6044,2150815,0
20080122,8.2006,8.6484,7.8856,8.5667,1333941,0
20080123,8.7685,8.7685,7.4812,7.6964,1945147,0
20080124,8.0752,8.119,7.7214,7.9231,1489171,0
20080125,8.1948,8.2772,7.9803,8.0433,881956,0
20080128,7.6964,8.018,7.6205,8.018,732909,0
20080129,8.0365,8.0492,7.8982,7.9803,679176,0
20080130,7.967,8.0878,7.8222,7.8918,370121,0
20080131,7.9357,8.0433,7.841,7.9803,343328,0
20080201,8.0677,8.3967,8.018,8.3773,699426,0
20080204,8.4724,8.4724,8.1317,8.2705,307731,0
20080205,8.2958,8.3773,7.9044,8.0113,603566,0
20080206,7.8661,8.156,7.8535,8.1501,230108,0
