Date,Open,High,Low,Close,Volume,OpenInt
20000111,1.4036,1.4036,1.4036,1.4036,77714,0
20000112,1.4036,1.4036,1.4036,1.4036,25944,0
20000113,1.4036,1.4036,1.4036,1.4036,12971,0
20000114,1.4036,1.4036,1.4036,1.4036,12953,0
20000117,1.3841,1.3841,1.3841,1.3841,14450,0
20000118,1.4133,1.4133,1.4133,1.4133,12946,0
20000125,1.3647,1.3647,1.3647,1.3647,77957,0
20000128,1.3548,1.3548,1.3548,1.3548,77999,0
20000201,1.3287,1.3287,1.2574,1.2574,312132,0
20000202,1.2561,1.2788,1.2561,1.2671,260383,0
20000204,1.2637,1.2671,1.2637,1.2671,134531,0
20000207,1.3144,1.3144,1.2964,1.2964,51845,0
20000218,1.2219,1.2219,1.2184,1.2184,182215,0
20000221,1.2281,1.2281,1.2281,1.2281,51795,0
20000222,1.1879,1.2245,1.1879,1.2087,40541,0
20000225,1.1988,1.1988,1.1988,1.1988,26018,0
20000306,1.1801,1.1815,1.1586,1.1697,181298,0
20000307,1.1502,1.1502,1.1502,1.1502,1449,0
20000308,1.1759,1.1918,1.1759,1.1794,182150,0
20000309,1.1988,1.1988,1.1988,1.1988,52038,0
20000310,1.1988,1.1988,1.1988,1.1988,51948,0
20000314,1.1947,1.1988,1.1947,1.1988,78056,0
20000315,1.1864,1.2065,1.1864,1.1892,95296,0
20000316,1.2087,1.2087,1.2087,1.2087,52124,0
20000317,1.2215,1.2671,1.2215,1.2671,234344,0
20000320,1.3141,1.3647,1.3141,1.3647,1321492,0
20000321,1.3785,1.3785,1.3326,1.3647,466076,0
20000322,1.3654,1.3939,1.3654,1.3939,700137,0
20000323,1.3904,1.4133,1.3904,1.4133,30207,0
20000324,1.4133,1.4251,1.4133,1.4133,155350,0
20000327,1.3945,1.3945,1.3743,1.3743,259714,0
20000328,1.3841,1.3841,1.3841,1.3841,52019,0
20000329,1.3904,1.4133,1.3904,1.4133,109321,0
20000330,1.4071,1.4071,1.4036,1.4036,33232,0
20000331,1.4043,1.4133,1.4043,1.4133,129459,0
20000403,1.4328,1.4328,1.4328,1.4328,51932,0
20000404,1.4349,1.4696,1.4231,1.4231,570447,0
20000406,1.4133,1.4133,1.4133,1.4133,31645,0
20000410,1.4319,1.501,1.4319,1.501,441752,0
20000412,1.4958,1.4958,1.4523,1.4523,105554,0
20000413,1.4803,1.5497,1.4692,1.5303,389038,0
20000414,1.5287,1.5287,1.4475,1.4523,505110,0
20000418,1.4328,1.4328,1.4328,1.4328,25966,0
20000419,1.4295,1.4523,1.4295,1.4523,26028,0
20000420,1.4333,1.5595,1.4333,1.5595,457139,0
20000426,1.4816,1.5052,1.4816,1.4816,207314,0
20000428,1.4697,1.4697,1.4489,1.4523,264609,0
20000502,1.4412,1.4523,1.4412,1.4523,91225,0
20000503,1.4551,1.4551,1.4523,1.4523,103662,0
20000504,1.4641,1.4752,1.4523,1.4523,227013,0
20000505,1.4743,1.5205,1.4743,1.5205,195322,0
20000508,1.5344,1.6181,1.5344,1.6181,261761,0
20000510,1.6668,1.7037,1.6668,1.696,141104,0
20000511,1.6862,1.6862,1.6862,1.6862,25970,0
