Date,Open,High,Low,Close,Volume,OpenInt
20000105,0.9846,0.9897,0.9846,0.9867,108198,0
20000111,0.9733,0.9733,0.9733,0.9733,6012,0
20000112,0.9818,0.9897,0.9768,0.9897,24043,0
20000117,0.9818,0.9818,0.9818,0.9818,6012,0
20000119,0.9818,0.9818,0.9796,0.9796,26049,0
20000128,0.9647,0.9647,0.9647,0.9647,18035,0
20000201,0.9542,0.9599,0.9542,0.9567,42076,0
20000208,0.9398,0.9398,0.9398,0.9398,2002,0
20000210,0.9124,0.9124,0.9124,0.9124,18035,0
20000211,0.8919,0.8919,0.8769,0.8769,18035,0
20000218,0.8984,0.8984,0.8898,0.8984,240439,0
20000221,0.8898,0.8984,0.8898,0.8984,6012,0
20000223,0.9149,0.9193,0.9149,0.9193,12023,0
20000224,0.8885,0.9153,0.8863,0.9153,48087,0
20000225,0.8839,0.8839,0.8813,0.8813,36066,0
20000228,0.8819,0.8819,0.8819,0.8819,12023,0
20000229,0.8649,0.8683,0.8624,0.8649,84153,0
20000301,0.852,0.857,0.8425,0.8425,36066,0
20000302,0.8294,0.8294,0.8085,0.8085,56102,0
20000303,0.8085,0.8085,0.8058,0.8058,36066,0
20000306,0.807,0.807,0.7986,0.7986,24043,0
20000307,0.7986,0.7986,0.7986,0.7986,12023,0
20000309,0.7986,0.7986,0.7986,0.7986,12023,0
20000310,0.7986,0.8036,0.7986,0.8036,18035,0
20000313,0.815,0.815,0.815,0.815,12023,0
20000314,0.815,0.84,0.815,0.84,36066,0
20000315,0.8485,0.8525,0.8485,0.8525,30055,0
20000316,0.8525,0.8729,0.8525,0.8729,52094,0
20000317,0.8819,0.8819,0.8819,0.8819,6012,0
20000320,0.8903,0.9897,0.8903,0.9638,542992,0
20000321,0.9482,0.9733,0.9149,0.9149,623138,0
20000322,0.9599,0.9647,0.9318,0.9482,186341,0
20000323,0.9662,0.9897,0.9662,0.9892,238435,0
20000324,0.9892,0.9892,0.9542,0.9557,156285,0
20000327,0.9647,0.9733,0.9532,0.9532,52094,0
20000328,0.9482,0.9482,0.9482,0.9482,42076,0
20000329,0.9647,0.9647,0.9482,0.9482,50089,0
20000331,0.9567,0.9567,0.9318,0.9318,144263,0
20000403,0.9318,0.9318,0.9318,0.9318,18035,0
20000404,0.9482,0.9638,0.9482,0.9638,42076,0
20000406,0.9647,0.9647,0.9647,0.9647,24043,0
20000407,0.9647,0.9647,0.9647,0.9647,24043,0
20000410,0.9818,0.9892,0.9818,0.9892,6012,0
20000411,0.9818,0.9818,0.9733,0.9796,30055,0
20000412,0.9947,0.9947,0.9668,0.9668,18035,0
20000413,0.9683,0.9683,0.9683,0.9683,12023,0
20000417,0.9651,0.9651,0.9647,0.9647,20038,0
20000419,0.9696,0.9696,0.9696,0.9696,2002,0
20000425,0.9897,1.0067,0.9897,1.0067,14026,0
20000426,0.9982,0.9982,0.9818,0.9818,114210,0
20000427,0.9917,0.9932,0.9818,0.9818,58104,0
20000428,0.9818,0.9818,0.9818,0.9818,24043,0
20000502,0.9942,1.0315,0.9942,1.0147,118214,0
20000503,1.0176,1.0567,1.0176,1.0315,136248,0
20000505,1.0671,1.0671,1.0581,1.0581,18035,0
20000508,1.0645,1.0815,1.0616,1.0815,24043,0
20000510,1.0896,1.0896,1.0896,1.0896,14026,0
20000512,1.0815,1.0815,1.0656,1.0656,54099,0
20000515,1.0815,1.0815,1.0645,1.0645,18035,0
20000516,1.078,1.098,1.078,1.098,26049,0
20000517,1.098,1.098,1.0819,1.0831,34064,0
20000522,1.1145,1.1145,1.1145,1.1145,8015,0
20000523,1.123,1.123,1.1064,1.1064,8015,0
20000524,1.108,1.1314,1.108,1.108,56102,0
20000530,1.098,1.098,1.098,1.098,6012,0
20000605,1.1145,1.123,1.1145,1.1145,60110,0
20000606,1.123,1.136,1.1145,1.1145,66121,0
20000607,1.135,1.1554,1.1314,1.1314,26049,0
20000608,1.1288,1.1288,1.1288,1.1288,18035,0
20000609,1.1314,1.1314,1.1314,1.1314,12023,0
20000612,1.1314,1.1314,1.1314,1.1314,12023,0
20000614,1.1479,1.1644,1.1479,1.1644,16028,0
20000616,1.1479,1.1479,1.1479,1.1479,20038,0
20000619,1.1479,1.1563,1.1479,1.1563,82151,0
20000620,1.1544,1.1544,1.1369,1.1369,132240,0
20000621,1.1479,1.1479,1.1395,1.1395,36066,0
20000623,1.1364,1.1364,1.1314,1.1314,14026,0
20000626,1.1314,1.1314,1.1288,1.1288,30055,0
20000627,1.1364,1.1364,1.1364,1.1364,10017,0
20000628,1.1563,1.1563,1.1563,1.1563,6012,0
20000629,1.1479,1.1479,1.1479,1.1479,24043,0
20000630,1.1338,1.1338,1.1239,1.1239,20038,0
20000703,1.1145,1.1194,1.0481,1.0645,124227,0
20000704,1.0691,1.1154,1.0691,1.098,172316,0
20000705,1.1145,1.1145,1.0819,1.1064,164301,0
20000706,1.098,1.103,1.0815,1.0815,52094,0
20000710,0.9982,0.9982,0.9967,0.9982,44078,0
20000711,0.9982,0.9982,0.9982,0.9982,18035,0
20000712,0.9982,0.9982,0.9967,0.9967,24043,0
20000718,0.9818,0.9832,0.9818,0.9832,24043,0
20000719,0.9897,0.9897,0.9398,0.9398,68125,0
20000721,0.9398,0.9647,0.9398,0.9482,132240,0
20000724,0.9567,0.9567,0.9567,0.9567,6012,0
20000726,0.9482,0.9567,0.9482,0.9482,128233,0
20000727,0.9482,0.9482,0.9482,0.9482,6012,0
20000728,0.9318,0.9482,0.9318,0.9482,14026,0
20000731,0.9318,0.9516,0.9318,0.9482,150274,0
20000801,0.9482,0.9482,0.9482,0.9482,54099,0
20000802,0.9482,0.9482,0.9482,0.9482,198361,0
20000803,0.9482,0.9482,0.9448,0.9482,194354,0
20000804,0.9562,0.9562,0.9562,0.9562,36066,0
20000807,0.9567,0.9647,0.9567,0.9567,188344,0
20000808,0.9567,0.9567,0.9398,0.9398,26049,0
20000809,0.9572,0.9572,0.9572,0.9572,12023,0
20000814,0.9482,0.9647,0.9482,0.9482,90165,0
20000816,0.9482,0.9482,0.9482,0.9482,6012,0
20000817,0.9482,0.9482,0.9482,0.9482,6012,0
20000818,0.9482,0.9516,0.9482,0.9516,30055,0
20000821,0.9498,0.9498,0.9493,0.9498,10017,0
20000825,0.9482,0.9482,0.9268,0.9398,593084,0
20000828,0.9318,0.9398,0.9149,0.9149,148271,0
20000829,0.9099,0.9149,0.8898,0.9069,1745190,0
20000830,0.9069,0.9149,0.9069,0.9149,42076,0
20000831,0.8984,0.9283,0.8984,0.9283,32061,0
20000901,0.9318,0.9318,0.9318,0.9318,42076,0
20000904,0.9318,0.9656,0.9318,0.9318,154282,0
20000905,0.9482,0.9482,0.9482,0.9482,64115,0
20000906,0.9482,0.9482,0.9398,0.9398,18035,0
20000907,0.9398,0.9398,0.9398,0.9398,2002,0
20000908,0.9318,1.0161,0.9318,1.0161,122221,0
20000911,0.9733,0.9733,0.9482,0.9482,348638,0
20000912,0.9482,0.9482,0.9398,0.9398,42076,0
20000918,0.9318,0.9683,0.9318,0.9647,128233,0
20000920,0.9482,0.9482,0.9482,0.9482,20038,0
20000921,0.9318,0.9318,0.9318,0.9318,10017,0
20000922,0.9482,0.9488,0.9482,0.9482,32061,0
20000925,0.9458,0.9458,0.9458,0.9458,2002,0
20000926,0.9373,0.9482,0.9373,0.9482,6012,0
20000928,0.9567,0.9632,0.9567,0.9632,24043,0
20000929,0.9482,0.9482,0.9392,0.9392,32061,0
20001004,0.9482,0.9516,0.9482,0.9516,4009,0
20001005,0.9562,0.9567,0.9562,0.9567,66121,0
20001010,0.9482,0.9567,0.9482,0.9567,84153,0
20001011,0.9398,0.9398,0.9398,0.9398,6012,0
20001012,0.9318,0.9318,0.9318,0.9318,6012,0
20001023,0.9199,0.9318,0.9199,0.9318,8015,0
20001025,0.9233,0.9318,0.9233,0.9318,60110,0
20001106,0.9398,0.9398,0.9398,0.9398,12023,0
