Date,Open,High,Low,Close,Volume,OpenInt
20010611,30.962,30.971,30.47,30.627,7510148,0
20010612,30.435,30.442,29.061,29.562,2032508,0
20010613,29.475,30.609,29.475,30.609,599761,0
20010614,30.399,30.575,30.012,30.161,237199,0
20010618,30.003,30.18,29.123,29.247,112292,0
20010619,29.307,29.651,29.158,29.43,222197,0
20010620,29.044,30.354,29.036,30.092,99563,0
20010621,30.354,30.707,30.003,30.354,112405,0
20010622,30.354,30.619,30.003,30.092,23867,0
20010625,30.267,30.267,29.132,29.132,34437,0
20010626,29.475,29.475,28.859,29.017,138546,0
20010627,29.22,29.343,28.393,29.079,81491,0
20010628,28.595,28.595,27.714,27.714,391430,0
20010629,28.244,29.739,27.935,29.212,299483,0
20010702,28.859,29.915,28.595,29.036,24435,0
20010703,29.079,30.092,29.079,29.088,77741,0
20010704,28.947,29.518,27.892,29.036,115133,0
20010705,28.912,28.912,28.507,28.595,31710,0
20010706,28.419,29.448,27.011,29.299,55691,0
20010709,29.272,29.985,28.155,28.859,48531,0
20010710,29.387,29.387,28.463,28.771,67513,0
20010711,28.683,28.683,28.375,28.375,37846,0
20010712,28.419,28.419,27.935,27.935,32392,0
20010716,28.155,28.155,27.539,28.119,20344,0
20010717,27.979,27.979,27.275,27.628,67285,0
20010718,27.795,27.795,27.055,27.144,72286,0
20010719,27.011,27.979,27.011,27.275,82174,0
20010720,27.275,27.714,26.615,27.1,61374,0
20010723,27.1,27.363,26.395,26.835,147981,0
20010724,26.405,27.407,26.395,27.275,129113,0
20010725,27.188,27.452,25.955,25.965,49781,0
20010726,26.044,26.484,25.955,26.299,96267,0
20010727,26.387,26.528,24.636,25.085,113883,0
20010730,25.506,26.211,25.076,26.176,99676,0
20010731,26.176,26.615,25.955,26.615,128089,0
20010801,26.414,27.144,26.414,27.144,60351,0
20010802,27.275,28.155,26.835,27.714,94221,0
20010803,28.147,28.683,27.714,27.935,55350,0
20010806,28.137,28.155,27.733,27.733,78081,0
20010807,28.331,28.551,27.962,28.049,32846,0
20010808,28.595,29.299,28.463,29.123,157073,0
20010809,29.212,29.299,28.595,29.036,51144,0
20010810,28.638,29.686,28.638,29.405,26709,0
20010813,29.168,29.475,28.595,28.595,13525,0
20010814,28.427,29.036,28.427,29.036,16479,0
20010815,29.036,29.212,28.815,29.212,2386,0
20010816,29.212,29.475,29.036,29.14,23414,0
20010817,29.14,29.695,29.036,29.44,29891,0
20010820,29.036,29.168,28.595,28.595,28868,0
20010821,28.155,28.155,26.395,27.055,86834,0
20010822,27.275,28.815,27.275,28.419,22958,0
20010823,28.595,29.518,27.714,28.947,60123,0
20010824,28.155,29.036,28.155,29.036,13639,0
20010827,29.036,29.475,28.155,29.343,14775,0
20010828,29.326,29.387,28.859,29.387,16594,0
20010829,29.466,29.475,29.036,29.036,11479,0
20010830,29.475,30.354,29.212,29.562,62624,0
20010831,29.695,29.871,29.387,29.871,65578,0
20010903,29.562,29.871,29.299,29.299,12275,0
20010904,29.562,29.562,28.683,29.123,19207,0
20010905,29.036,29.036,27.495,27.628,45803,0
20010906,28.147,28.147,26.748,27.714,39552,0
20010907,27.935,27.979,25.692,27.275,24662,0
20010910,26.835,27.275,26.395,27.055,47507,0
20010911,26.826,27.055,22.877,22.885,111497,0
20010912,23.316,23.765,20.237,21.776,272546,0
20010913,22.085,22.261,20.501,20.764,57509,0
20010914,21.116,21.116,20.016,20.325,162868,0
20010917,19.972,20.237,18.565,19.181,149571,0
20010918,19.709,19.709,17.685,18.916,161050,0
20010919,18.916,19.796,18.388,18.741,353697,0
20010920,19.356,19.356,18.608,18.741,89446,0
20010921,18.345,18.345,15.661,17.597,138319,0
20010925,18.345,18.468,16.91,18.196,315963,0
20010926,18.477,20.227,18.037,19.972,247087,0
20010927,19.621,20.237,19.577,20.061,71150,0
20010928,19.929,20.325,19.885,19.972,64330,0
20011001,20.237,20.237,18.961,19.858,20458,0
20011002,19.709,19.885,17.817,18.081,62169,0
20011004,18.124,20.985,18.124,20.676,109905,0
20011005,20.589,21.555,20.061,20.149,217651,0
20011008,20.061,20.237,18.697,19.709,232312,0
20011009,19.532,19.99,19.356,19.796,82627,0
20011010,19.709,20.07,19.532,20.07,72626,0
20011011,20.237,21.265,20.016,21.265,210264,0
20011012,21.099,21.336,20.676,20.764,214581,0
20011015,20.615,20.852,20.412,20.852,70353,0
20011017,19.726,20.606,19.726,20.501,113087,0
20011018,20.412,20.501,20.016,20.061,71831,0
20011019,19.796,20.325,19.796,20.325,52054,0
20011022,20.078,20.589,19.894,20.456,30232,0
20011023,20.281,21.512,20.281,20.668,48644,0
20011024,20.589,21.116,20.245,21.116,50121,0
20011025,21.029,21.221,20.369,20.589,78877,0
20011026,20.501,20.632,19.269,19.885,132068,0
20011029,20.061,20.149,19.621,19.972,58078,0
20011030,19.577,19.709,19.093,19.093,158663,0
20011031,18.916,19.137,18.213,18.468,135477,0
20011101,18.477,18.565,18.213,18.302,209923,0
20011102,18.565,18.565,18.388,18.451,72626,0
20011105,18.345,18.829,18.345,18.653,50236,0
20011106,18.486,18.741,18.345,18.574,79787,0
20011107,18.582,18.582,18.213,18.302,68877,0
20011108,18.424,19.621,18.213,19.436,396772,0
20011109,19.445,20.589,19.269,20.589,95131,0
20011112,20.237,20.888,19.321,20.852,161618,0
20011113,20.852,21.073,20.545,21.064,32733,0
20011114,21.108,21.116,20.501,20.94,130477,0
20011115,21.029,21.803,20.94,21.23,128317,0
20011116,20.852,22.436,20.746,22.436,151048,0
20011119,22.647,23.229,22.348,23.14,137978,0
20011120,23.229,23.316,21.644,22.005,174007,0
20011121,21.996,22.656,21.996,22.612,34665,0
20011122,22.523,24.021,22.523,23.977,144344,0
20011123,23.844,23.977,23.492,23.492,113883,0
20011126,23.756,23.844,23.544,23.756,53305,0
20011127,23.756,23.844,23.14,23.501,117293,0
20011128,23.492,23.492,22.877,23.14,78763,0
20011129,23.14,23.977,23.053,23.651,81378,0
20011130,23.431,23.668,23.229,23.668,55464,0
20011203,23.431,23.668,23.229,23.668,55464,0
20011204,23.104,23.756,23.104,23.756,21822,0
20011205,23.756,23.932,23.492,23.492,20003,0
20011206,23.447,23.536,23.018,23.352,124567,0
20011207,23.14,23.756,22.877,23.219,113428,0
20011210,23.008,23.668,22.877,23.097,81946,0
20011211,23.097,23.14,22.744,22.877,169119,0
20011212,22.877,23.229,22.877,22.964,80014,0
20011213,23.053,23.229,22.699,22.877,44666,0
20011214,22.699,22.699,21.996,22.199,85583,0
20011217,22.401,22.612,22.217,22.312,119225,0
20011219,22.454,23.14,22.454,22.877,27960,0
20011220,22.877,23.378,22.877,23.229,15570,0
20011221,23.14,23.475,22.92,23.104,24550,0
20011227,23.14,23.544,22.964,23.36,11479,0
20011228,23.229,23.536,23.14,23.316,15457,0
20020102,23.316,23.536,23.229,23.324,37279,0
20020103,23.536,23.756,23.316,23.756,32618,0
20020104,23.668,25.076,23.668,24.812,92289,0
20020107,24.636,24.856,24.547,24.566,28187,0
20020108,24.794,24.812,22.788,23.967,59440,0
20020109,24.152,24.152,23.097,23.756,154117,0
20020110,23.756,23.756,23.316,23.316,50008,0
20020111,23.289,23.623,23.229,23.526,12957,0
20020114,23.623,24.636,23.623,23.985,277207,0
20020116,23.756,23.756,23.299,23.316,52621,0
20020117,23.281,23.756,23.229,23.343,49440,0
20020118,23.492,23.668,23.14,23.14,17958,0
20020121,23.053,23.387,22.974,23.352,35573,0
20020122,23.403,23.403,22.964,23.272,28299,0
20020123,23.229,23.403,22.877,22.877,76150,0
20020124,23.14,24.592,23.14,23.844,107518,0
20020125,23.977,25.515,23.977,24.759,162301,0
20020128,24.724,25.076,24.724,24.777,32164,0
20020129,25.005,25.076,24.856,24.945,49440,0
20020130,25.076,25.076,24.46,24.582,28868,0
20020131,25.076,25.076,23.756,24.724,32392,0
20020201,24.636,24.768,24.547,24.768,39324,0
20020204,24.68,25.515,24.68,25.515,15457,0
20020205,25.278,25.339,24.837,24.926,63077,0
20020206,24.901,24.945,24.213,24.724,45234,0
20020207,24.636,24.724,24.503,24.547,19207,0
20020208,24.68,24.68,24.399,24.636,35459,0
20020211,24.46,25.252,24.46,25.076,31369,0
20020212,25.207,25.647,25.199,25.515,67285,0
20020213,25.604,26.299,25.515,26.044,38643,0
20020214,25.955,26.835,25.955,26.307,108882,0
20020215,26.484,26.879,26.22,26.264,51144,0
20020218,26.571,27.055,26.571,26.835,35234,0
20020219,26.589,26.589,25.955,26,87288,0
20020220,26.299,26.299,25.868,25.868,51827,0
20020221,26.07,26.5,25.894,26.395,59215,0
20020222,25.955,25.955,25.339,25.339,17615,0
20020225,25.278,25.647,25.199,25.207,22276,0
20020226,25.384,27.275,25.367,26.044,100813,0
20020227,26.044,26.615,25.955,25.955,33870,0
20020228,26.131,26.395,26.044,26.351,26140,0
20020301,26.176,26.264,24.724,25.955,54555,0
20020304,27.232,27.232,26.131,26.528,57395,0
20020305,26.712,27.495,26.712,27.267,44666,0
20020306,27.144,28.947,27.1,28.155,73990,0
20020307,28.155,28.155,27.1,27.452,54667,0
20020308,27.452,27.539,26.791,27.275,119793,0
20020311,27.275,27.275,26.835,26.923,53417,0
20020312,26.835,26.923,26.395,26.615,160367,0
20020313,26.484,26.65,25.78,26.105,62510,0
20020314,26.088,26.395,25.692,25.824,54782,0
20020315,26,26.395,26,26.395,24095,0
20020318,26.484,26.484,26.052,26.387,23186,0
20020319,25.427,25.427,23.756,25.427,202081,0
20020320,25.419,25.604,24.547,24.724,75581,0
20020321,24.46,24.724,24.46,24.46,31597,0
20020322,24.645,24.645,24.371,24.46,84674,0
20020325,24.547,24.547,24.196,24.503,32505,0
20020326,24.415,24.503,23.879,24.091,46030,0
20020327,23.844,23.844,22.444,23.229,187418,0
20020328,23.272,23.932,22.788,23.053,67171,0
20020402,23.053,23.053,21.574,22.261,178098,0
20020403,22.057,22.189,20.676,21.996,180031,0
20020404,21.996,22.656,21.477,22.542,152299,0
20020405,22.409,24.768,22.409,24.284,146844,0
20020408,24.327,24.327,23.58,23.687,117179,0
20020409,23.809,24.592,23.809,24.292,46257,0
20020410,24.512,25.076,24.292,24.53,139798,0
20020411,24.75,24.75,23.756,24.248,75696,0
20020412,24.196,24.363,23.492,23.492,67398,0
20020415,23.712,23.932,23.316,23.316,95357,0
20020416,23.501,24.46,23.492,24.24,46371,0
20020417,24.46,24.636,24.028,24.503,41711,0
20020418,24.636,24.988,24.196,24.768,76263,0
20020419,24.539,24.945,23.756,24.099,108086,0
20020422,24.196,24.636,24.108,24.248,38302,0
20020423,24.327,24.415,23.403,23.756,115020,0
20020424,23.677,23.677,22.788,22.788,107177,0
20020425,22.885,22.885,21.336,21.909,259135,0
20020426,21.909,22.243,21.909,21.996,59783,0
20020429,21.961,22.154,21.89,21.943,85924,0
20020430,21.996,21.996,21.82,21.874,58873,0
20020502,21.996,22.788,21.909,22.479,119793,0
20020503,22.322,22.348,21.918,22.348,44326,0
20020506,22.164,22.312,21.555,21.732,38643,0
20020507,21.555,21.555,20.589,20.852,133887,0
20020508,20.843,21.469,20.843,21.38,124567,0
20020509,21.336,21.336,20.774,21.116,53530,0
20020510,21.116,21.38,21.029,21.294,22504,0
20020513,21.23,21.909,21.134,21.644,92062,0
20020514,21.451,22.04,21.451,21.855,71489,0
20020515,21.996,22.173,21.82,22.129,79560,0
20020516,21.996,22.419,21.953,21.996,48531,0
20020517,21.996,22.305,21.934,22.129,75468,0
20020520,21.996,22.261,21.82,21.847,54327,0
20020521,21.864,22.436,21.864,22.129,5796,0
20020522,22.33,22.454,22.085,22.217,75012,0
20020523,22.419,22.419,22.129,22.129,22844,0
20020524,22.173,22.877,22.173,22.699,34097,0
20020527,22.436,22.877,22.436,22.798,21708,0
20020529,23.58,23.993,23.113,23.316,183440,0
20020530,23.492,23.536,22.436,22.639,67966,0
20020531,22.305,23.008,22.305,22.639,77400,0
20020603,22.523,22.937,22.523,22.568,55350,0
20020604,22.436,23.14,22.436,22.699,116269,0
20020605,22.744,22.744,22.436,22.559,32961,0
20020606,22.348,23.316,22.348,23.316,20571,0
20020607,23.018,23.078,22.832,22.92,17958,0
20020610,22.699,22.964,22.699,22.699,19207,0
20020611,22.489,22.877,22.489,22.788,21253,0
20020612,22.699,22.964,22.691,22.77,20344,0
20020613,22.577,22.656,22.392,22.392,61828,0
20020614,22.261,22.559,22.173,22.173,50121,0
20020617,22.181,22.744,22.181,22.436,111951,0
20020618,22.436,22.436,22.261,22.33,72514,0
20020619,22.348,22.348,21.599,21.732,71377,0
20020620,21.909,21.996,21.336,21.909,80354,0
20020621,21.732,21.732,21.099,21.294,29777,0
20020624,20.456,22.877,20.456,21.116,235837,0
20020625,20.852,21.996,20.764,21.996,72399,0
20020626,21.795,21.795,20.852,21.037,184349,0
20020627,20.448,20.852,20.325,20.676,97745,0
20020628,20.685,21.116,20.676,20.852,104677,0
20020701,21.046,21.046,20.676,20.852,170142,0
20020702,20.764,20.782,20.412,20.606,59896,0
20020703,20.72,20.94,20.509,20.695,83197,0
20020704,20.852,20.985,20.764,20.861,93539,0
20020705,20.896,21.205,20.896,21.205,102858,0
20020708,21.294,21.555,21.294,21.469,44098,0
20020709,21.294,21.555,21.294,21.539,32392,0
20020710,21.539,21.723,21.336,21.336,83310,0
20020711,21.294,21.38,20.764,20.764,126612,0
20020712,20.95,21.205,20.809,21.143,66376,0
20020715,21.029,21.294,20.826,20.852,32050,0
20020716,20.764,20.888,20.474,20.704,76604,0
20020717,20.888,21.029,20.676,20.915,47963,0
20020718,20.852,21.064,20.589,20.774,47507,0
20020719,20.676,20.791,20.456,20.676,80469,0
20020722,20.518,20.589,20.105,20.227,103427,0
20020723,20.051,20.316,19.198,19.277,92062,0
20020724,19.269,19.269,16.278,17.008,414504,0
20020725,17.783,18.388,17.597,17.641,73876,0
20020726,17.658,18.371,17.632,18.177,57395,0
