Date,Open,High,Low,Close,Volume,OpenInt
20150408,0.121,0.122,0.121,0.122,3400,0
20150409,0.121,0.122,0.121,0.122,100,0
20150410,0.121,0.122,0.121,0.122,7,0
20150414,0.121,0.122,0.121,0.122,50,0
20150417,0.121,0.122,0.121,0.122,1000,0
20150514,0.12,0.121,0.12,0.121,130,0
20150528,0.12,0.121,0.12,0.121,50,0
20150529,0.12,0.13,0.12,0.13,30,0
20150714,0.107,0.108,0.107,0.108,20,0
20150721,0.105,0.106,0.105,0.106,50,0
20150805,0.103,0.105,0.103,0.105,480,0
20150819,0.103,0.104,0.103,0.103,7000,0
20150922,0.062,0.15,0.062,0.15,10000,0
20151022,0.101,0.102,0.101,0.102,37,0
20151119,0.07,0.08,0.07,0.08,10004,0
20151123,0.07,0.12,0.07,0.12,10000,0
20160104,0.083,0.084,0.083,0.084,39,0
20160105,0.083,0.084,0.083,0.084,5,0
20160108,0.083,0.083,0.083,0.083,5000,0
20160126,0.022,0.024,0.022,0.024,480,0
20160127,0.031,0.085,0.031,0.085,3000,0
20160208,0.034,0.035,0.034,0.035,50,0
20160225,0.034,0.035,0.034,0.035,9,0
20160226,0.034,0.035,0.034,0.035,50,0
20160330,0.034,0.035,0.034,0.035,10469,0
20160331,0.035,0.18,0.035,0.15,13469,0
20160405,0.095,0.096,0.095,0.095,418,0
20160614,0.08,0.081,0.08,0.081,1,0
20160620,0.08,0.11,0.08,0.1,5018,0
20160627,0.1,0.1,0.1,0.1,5696,0
20160704,0.07,0.07,0.07,0.07,100,0
20160708,0.06,0.071,0.06,0.071,1000,0
20160802,0.071,0.071,0.071,0.071,100,0
20160818,0.08,0.082,0.08,0.082,10,0
20160913,0.08,0.082,0.08,0.082,10,0
20160919,0.08,0.082,0.08,0.082,33,0
20160922,0.08,0.085,0.08,0.085,50,0
20160923,0.08,0.082,0.08,0.082,10,0
20160930,0.08,0.082,0.08,0.082,3,0
20161004,0.08,0.082,0.08,0.082,1,0
20161006,0.08,0.082,0.08,0.082,20,0
20161025,0.08,0.082,0.08,0.082,5,0
20161118,0.081,0.081,0.081,0.081,6000,0
20161201,0.08,0.082,0.08,0.082,30,0
20161212,0.081,0.082,0.081,0.082,30,0
20161229,0.081,0.081,0.07,0.07,75,0
20170112,0.06,0.06,0.06,0.06,3,0
20170118,0.06,0.07,0.06,0.07,1999,0
20170131,0.07,0.07,0.07,0.07,50,0
20170223,0.04,0.06,0.04,0.06,25,0
20170224,0.05,0.055,0.05,0.055,150,0
20170309,0.05,0.05,0.05,0.05,15,0
20170310,0.04,0.07,0.04,0.06,3560,0
20170314,0.12,0.12,0.12,0.12,6300,0
20170315,0.1,0.12,0.1,0.12,2110,0
20170316,0.105,0.105,0.105,0.105,10870,0
