Date,Open,High,Low,Close,Volume,OpenInt
20090406,2.9249,3.1874,2.9061,3.0936,8107,0
20090407,2.7936,3.1405,2.7748,3.0936,107,0
20090408,2.9155,3.103,2.8592,2.9061,1973,0
20090409,2.803,3.1217,2.803,2.9155,107,0
20090414,2.7561,3.0842,2.7561,2.8217,854,0
20090415,2.7561,2.9999,2.7561,2.9249,656,0
20090416,2.7936,3.0374,2.7936,2.8311,107,0
20090417,2.7842,2.9999,2.7842,2.9061,2133,0
20090420,2.7655,3.0749,2.7655,3.0374,5448,0
20090421,2.7842,3.0749,2.7842,2.8123,2758,0
20090422,2.7655,2.953,2.7655,2.8873,1067,0
20090423,2.8123,2.9999,2.8123,2.9999,107,0
20090424,2.9061,2.9999,2.8123,2.9999,3576,0
20090427,2.7936,3.1874,2.7936,2.9999,7718,0
20090428,2.803,3.0655,2.803,2.9061,5317,0
20090429,2.8405,3.0936,2.8405,2.9061,15202,0
20090430,2.8405,2.9811,2.8405,2.8873,5169,0
20090505,2.728,2.9811,2.728,2.9811,3840,0
20090506,2.7373,3.0655,2.7373,2.9717,7776,0
20090507,2.6343,3.0936,2.6343,2.9999,5014,0
20090508,2.7093,3.0186,2.7093,3.0186,107,0
20090511,2.9155,2.9155,2.8123,2.8967,1120,0
20090512,2.6343,2.9624,2.6343,2.9624,13016,0
20090513,2.8592,2.8967,2.8123,2.8592,1600,0
20090514,2.7373,2.8498,2.7373,2.8405,384,0
20090515,2.7093,2.8967,2.7093,2.8123,1031,0
20090518,2.6062,2.8967,2.6062,2.7187,419,0
20090519,2.6999,2.8217,2.6624,2.8123,14104,0
20090520,2.6624,2.9905,2.6624,2.8592,6498,0
20090521,2.7093,2.9061,2.7093,2.9061,1115,0
20090522,2.7373,2.953,2.7373,2.953,1067,0
20090525,2.9999,3.1874,2.7373,2.9999,5627,0
20090526,3.0374,3.1405,2.9999,3.0936,2771,0
20090527,3.0467,3.1405,2.9999,2.9999,646,0
20090528,2.8873,3.0467,2.8873,2.953,2437,0
20090529,2.9155,3.0467,2.9061,2.9999,2027,0
20090601,2.9999,3.0467,2.953,3.0467,107,0
20090602,2.9342,3.0467,2.9155,3.0186,6426,0
20090603,2.9624,3.0467,2.9624,3.0467,213,0
20090604,2.8498,3.0467,2.8498,3.0467,743,0
20090605,2.8686,3.0467,2.8686,3.0092,1386,0
20090608,2.8498,3.2999,2.8498,3.2999,17159,0
20090609,2.878,3.4686,2.878,3.2811,2608,0
20090610,3.1499,3.5811,3.1499,3.5623,2774,0
20090611,3.3561,3.5998,3.3561,3.5998,470,0
20090612,3.3186,3.6092,3.3186,3.4686,320,0
20090616,3.3655,3.5154,3.328,3.3749,5,0
20090617,3.3749,3.4686,3.2811,3.328,6348,0
20090618,3.178,3.3561,3.1686,3.3561,107,0
20090622,3.0749,3.3749,3.0749,3.3749,1386,0
20090623,3.0467,3.3749,3.0467,3.3749,54,0
20090625,3.1405,3.2905,3.1405,3.2905,640,0
20090626,3.1405,3.3749,3.1405,3.3749,54,0
20090629,3.1124,3.4124,3.1124,3.4124,1311,0
20090630,3.1405,3.5623,3.1405,3.4405,9709,0
20090701,3.1124,3.4405,2.9999,3.3655,3628,0
20090702,3.2624,3.2811,2.953,2.953,1416,0
20090703,2.8217,3.2811,2.8217,3.2811,71,0
20090706,2.9155,3.2811,2.7187,3.2811,208,0
20090709,2.9811,3.1405,2.9811,3.0936,1814,0
20090713,2.9249,3.178,2.9249,2.9999,107,0
20090714,3.0842,3.2249,3.0092,3.1874,5120,0
20090715,3.103,3.2249,2.9061,2.953,6435,0
20090716,3.0749,3.0749,2.9061,2.9061,924,0
20090717,2.9436,3.0467,2.7655,2.9061,2382,0
20090720,2.6999,3.0467,2.6999,2.8217,426,0
20090721,2.6812,3.0374,2.6812,2.8217,620,0
20090722,3.0374,3.0842,2.9249,3.0467,171,0
20090723,2.9811,3.0842,2.9624,3.0842,107,0
20090724,2.9436,3.1686,2.9436,3.0467,1223,0
20090727,3.0467,3.1686,3.0092,3.0467,2081,0
20090728,2.9155,3.1592,2.9155,2.9999,107,0
20090729,2.9624,3.1686,2.9624,3.0186,480,0
20090730,2.9342,3.1686,2.9342,3.1686,107,0
20090731,3.0467,3.1686,2.953,2.9999,1173,0
20090803,3.0467,3.1874,3.0467,3.178,1866,0
20090804,2.8967,3.1686,2.8967,3.1686,107,0
20090805,2.9061,3.1874,2.9061,3.1874,107,0
20090806,2.9249,3.0467,2.728,2.953,10128,0
20090807,2.8123,2.9905,2.8123,2.9905,107,0
