Date,Open,High,Low,Close,Volume,OpenInt
20061004,12.5,12.78,12.38,12.78,18200,0
20061005,12.7,13,12.7,12.87,11900,0
20061006,12.85,12.85,12.62,12.7,3400,0
20061009,12.6,12.6,12.1,12.25,8200,0
20061010,12.17,12.25,11.7,11.8,3800,0
20061011,11.8,11.8,10.62,11.49,3800,0
20061012,11.3,11.9,10.26,11.7,27800,0
20061013,11.8,11.8,11.25,11.25,2700,0
20061016,11.5,11.6,11.25,11.55,7200,0
20061017,11.54,11.63,11.52,11.52,7600,0
20061018,11.63,11.79,11.63,11.77,26800,0
20061019,11.5,11.5,11.15,11.35,4500,0
20061020,11.61,11.61,10.2,10.95,13800,0
20061023,10.8,10.8,9.7,9.7,35400,0
20061024,9.81,10.6,9.81,10.25,22100,0
20061025,10.3,10.59,10.05,10.59,7200,0
20061026,10.61,10.7,10.5,10.7,4000,0
20061027,10.5,10.77,10.5,10.77,11800,0
20061030,10.69,10.97,10.67,10.97,6600,0
20061031,11.26,12.2,11.26,12.15,37700,0
20061101,12.16,12.31,12.01,12.3,16300,0
20061102,12.3,12.6,12.11,12.56,57800,0
20061103,12.59,12.63,12.25,12.25,8900,0
20061106,12.55,12.71,12.49,12.68,13100,0
20061107,12.6,12.67,12.6,12.67,2100,0
20061108,12.85,12.85,12.41,12.85,5600,0
20061109,12.79,12.85,12.79,12.84,300,0
20061110,12.5,12.79,12.5,12.76,1300,0
20061113,12.6,12.69,12.51,12.69,9300,0
20061114,12.65,12.65,12.31,12.55,4200,0
20061115,12.55,12.55,12.55,12.55,200,0
20061116,12.58,12.58,12.58,12.58,300,0
20061117,12.52,12.52,12.1,12.5,2800,0
20061120,12.45,12.45,12.45,12.45,400,0
20061122,12.5,12.5,12,12.45,1400,0
20061124,12.2,12.5,12.2,12.5,100,0
20061127,12.2,12.45,12.05,12.45,600,0
20061129,12.5,12.5,12.5,12.5,100,0
20061130,12.35,12.57,12.28,12.57,14700,0
20061201,12.2,12.29,11.6,12.04,12600,0
20061204,11.99,12.05,11.85,12.05,24700,0
20061205,12.03,12.15,11.68,12.13,1900,0
20061206,12.29,12.4,12.29,12.4,200,0
20061213,12.35,12.35,12.35,12.35,300,0
20061214,12.35,12.35,12.35,12.35,300,0
20061215,12,12.53,12,12.53,3300,0
20061218,12.5,12.5,12.1,12.49,700,0
20061220,12.1,12.1,12.1,12.1,300,0
20061222,12.05,12.05,12,12,800,0
20061227,12.04,12.04,11.9,12,600,0
20061228,12.1,12.1,12.1,12.1,500,0
20061229,12.25,12.5,11.65,12.5,300,0
20070102,12.5,12.55,11.75,12.4,2100,0
20070104,11.51,11.8,11.51,11.8,1100,0
20070105,11.85,12.22,11.85,12.22,2000,0
20070108,11.7,11.7,11.7,11.7,700,0
20070109,11.85,12.21,11.85,12.21,2400,0
20070111,11.71,12.15,11.56,12.15,1300,0
20070112,11.9,11.9,11.9,11.9,100,0
20070115,12,12.34,12,12.21,4700,0
20070116,12.12,12.5,12.12,12.5,7100,0
20070117,12.54,12.7,12.5,12.69,4400,0
20070118,12.75,12.78,12.45,12.45,2800,0
20070119,12.65,12.74,12.45,12.74,1000,0
20070122,12.65,12.7,12.5,12.5,2500,0
20070123,12.5,12.5,12.32,12.32,500,0
20070124,12.75,12.85,12.45,12.85,1200,0
20070129,12.4,12.9,12.4,12.9,400,0
20070130,12.75,12.75,12.45,12.45,1500,0
20070201,12.8,12.87,12.8,12.87,2700,0
20070202,12.87,12.9,12.87,12.9,1500,0
20070205,12.95,12.95,12.9,12.9,400,0
20070206,12.65,12.9,12.65,12.89,500,0
20070207,12.7,12.96,12.55,12.8,2900,0
20070208,12.9,12.9,12.55,12.55,700,0
20070212,12.65,12.65,12.4,12.65,800,0
20070213,12.5,12.65,12.3,12.65,1100,0
