Date,Open,High,Low,Close,Volume,OpenInt
20000103,37.548,37.758,37.117,37.758,1311,0
20000104,37.072,38.426,37.072,38.426,1093,0
20000105,37.986,38.436,37.072,37.713,4042,0
20000106,35.7,35.7,34.783,34.783,4479,0
20000107,34.783,34.783,34.188,34.326,1420,0
20000110,33.868,35.195,32.083,34.499,19775,0
20000111,34.225,34.783,32.852,33.841,9723,0
20000112,33.291,34.783,32.862,34.783,7866,0
20000113,34.335,34.783,34.326,34.646,3277,0
20000114,34.783,35.122,34.783,35.122,3605,0
20000117,34.783,35.855,34.783,35.516,29060,0
20000118,35.241,35.607,35.058,35.607,6008,0
20000119,35.607,35.881,35.607,35.881,10378,0
20000120,36.157,37.529,36.157,37.529,10597,0
20000121,37.255,37.529,35.928,37.529,18790,0
20000124,37.163,37.96,37.163,37.163,1202,0
20000125,33.868,36.981,33.868,33.868,27640,0
20000126,35.131,36.065,35.131,36.065,5353,0
20000127,35.7,35.7,35.607,35.7,2076,0
20000128,36.157,36.312,36.065,36.157,6227,0
20000131,35.7,36.073,35.195,36.073,5899,0
20000201,36.532,37.529,36.532,37.529,3168,0
20000202,36.88,37.072,36.705,36.705,1529,0
20000203,36.651,39.049,36.651,38.353,14312,0
20000204,38.445,41.228,38.445,41.191,9068,0
20000207,42.143,47.654,42.106,47.507,12672,0
20000208,47.405,47.69,46.73,47.654,3823,0
20000209,48.477,54.088,48.477,51.718,16934,0
20000210,51.718,53.072,50.573,52.175,12127,0
20000211,53.091,61.328,53.091,55.837,25674,0
20000214,56.771,57.731,54.921,57.731,7211,0
20000215,56.743,61.768,56.743,61.713,6445,0
20000216,64.074,65.905,64.074,64.899,2732,0
20000217,63.781,70.271,63.618,70.271,7100,0
20000218,69.063,69.063,66.574,67.974,1857,0
20000221,67.553,67.553,58.124,58.124,6664,0
20000222,57.668,60.414,55.837,60.414,17697,0
20000223,59.773,63.159,59.773,61.787,9613,0
20000224,62.701,64.074,61.42,61.42,20757,0
20000225,61.787,61.923,61.328,61.328,11362,0
20000228,61.328,61.328,54.866,58.124,18573,0
20000229,59.498,60.871,59.498,60.092,13436,0
20000301,60.047,60.642,59.682,60.414,9285,0
20000302,60.414,60.414,59.773,59.773,1640,0
20000303,59.04,61.796,59.04,59.498,46103,0
20000306,59.406,59.498,57.668,59.04,12455,0
20000307,59.04,59.571,57.576,59.36,19664,0
20000308,59.498,59.956,58.811,58.811,10924,0
20000309,59.498,59.498,58.582,58.582,2184,0
20000310,58.124,59.498,58.124,59.498,9068,0
20000314,57.283,58.271,56.412,58.079,2732,0
20000315,57.668,58.124,57.082,58.124,1202,0
20000316,58.124,59.498,58.124,59.498,7320,0
20000317,59.49,59.498,57.228,59.498,19883,0
20000320,59.498,59.498,58.124,58.124,14202,0
20000321,57.484,57.484,51.058,51.223,14202,0
20000322,51.251,54.738,51.251,53.091,13874,0
20000323,52.633,57.512,52.633,57.346,6556,0
20000324,56.935,56.935,54.683,54.921,5025,0
20000327,55.617,55.617,54.454,54.454,1748,0
20000328,54.015,54.015,53.547,53.547,1311,0
20000329,54.006,54.006,51.261,52.175,16496,0
20000330,52.175,53.091,51.352,53.081,15076,0
20000331,52.623,53.091,52.175,53.091,3933,0
20000403,53.091,53.091,51.352,51.352,2184,0
20000404,51.352,51.352,45.466,47.415,19337,0
20000405,46.683,46.683,37.658,38.903,12236,0
20000406,39.268,44.303,39.268,43.938,13764,0
20000407,44.852,45.767,42.29,43.297,8957,0
20000410,43.938,46.134,43.938,45.474,21849,0
20000411,44.395,44.852,43.763,44.852,3715,0
20000412,44.852,44.852,44.395,44.395,13764,0
20000413,44.395,44.395,40.367,40.367,10269,0
20000417,32.761,34.783,30.756,30.756,24581,0
20000418,34.326,35.333,32.587,34.235,34414,0
20000419,37.986,39.013,36.157,36.614,47195,0
20000420,36.614,40.734,36.614,40.734,33321,0
20000425,40.367,40.367,37.895,38.436,3823,0
20000426,39.36,39.452,38.894,39.406,5790,0
20000427,39.36,39.452,39.36,39.36,3387,0
20000428,39.36,40.322,39.36,40.322,547,0
20000502,41.291,46.317,41.291,45.759,19446,0
20000503,46.491,56.752,46.491,56.752,15840,0
20000504,57.96,59.47,50.766,52.175,26110,0
20000505,52.633,52.633,52.175,52.633,547,0
20000508,52.633,52.633,50.344,50.344,4698,0
20000510,47.094,47.599,42.775,43.938,25454,0
20000511,43.938,44.569,41.832,42.106,8302,0
20000512,41.511,42.106,40.734,41.191,6336,0
20000516,43.938,45.704,43.938,43.938,7211,0
20000517,45.767,46.454,44.569,44.569,9505,0
20000518,45.127,45.127,44.485,44.852,110,0
20000519,45.31,45.31,43.48,43.938,7866,0
20000522,43.497,45.31,43.497,43.899,8522,0
20000523,43.581,44.203,43.581,43.938,2732,0
20000524,43.938,44.852,43.938,44.12,1748,0
20000525,43.938,43.938,43.022,43.388,17042,0
20000526,43.022,43.297,42.29,42.335,24581,0
