Date,Open,High,Low,Close,Volume,OpenInt
20000114,25.499,25.67,24.78,25.249,18567,0
20000117,24.996,26.815,24.738,26.559,7425,0
20000118,26.163,26.812,25.639,26.046,13444,0
20000119,26.529,26.529,25.514,25.514,4737,0
20000120,25.887,26.41,25.653,26.41,9732,0
20000121,25.906,26.414,25.773,26.164,3713,0
20000124,26.427,29.942,26.427,28.38,58630,0
20000125,27.39,30.202,27.39,30.202,27016,0
20000126,30.716,40.354,30.693,40.088,57491,0
20000127,38.917,39.05,35.691,38.01,24328,0
20000128,37.75,39.311,35.484,36.71,17156,0
20000131,35.148,35.64,33.195,33.195,39561,0
20000201,34.421,34.851,32.852,34.101,44693,0
20000202,34.617,37.483,34.617,36.445,26124,0
20000203,37.744,39.048,36.837,38.532,46225,0
20000204,39.049,46.858,39.049,45.819,36494,0
20000207,45.55,48.158,42.95,44.254,21513,0
20000208,44.647,44.647,42.953,43.437,6275,0
20000209,45.145,48.167,43.911,46.863,24710,0
20000210,46.803,46.803,42.953,45.553,24457,0
20000211,47.637,56.977,47.637,56.749,47123,0
20000214,56.444,66.41,56.444,64.825,42892,0
20000215,65.083,67.692,65.083,65.091,34698,0
20000216,66.909,66.909,62.481,62.481,13317,0
20000217,63.002,63.784,61.956,62.737,5634,0
20000218,62.742,70.037,62.742,67.819,40331,0
20000221,66.378,67.683,66.378,66.784,2049,0
20000222,67.694,72.247,67.694,68.99,17668,0
20000223,68.99,71.005,68.99,68.99,6530,0
20000224,69.017,71.016,68.986,70.29,37900,0
20000225,70.547,71.071,68.728,70.29,5890,0
20000228,68.989,68.989,59.648,61.959,23303,0
20000229,61.953,61.953,56.424,58.118,28042,0
20000301,60.393,60.658,58.44,59.448,34572,0
20000302,59.882,61.178,52.071,54.672,59793,0
20000303,59.877,64.297,59.877,63.18,6403,0
20000306,63.775,63.775,58.574,60.659,8707,0
20000307,59.88,63.261,59.88,61.723,25992,0
20000308,61.174,61.174,59.878,60.394,5506,0
20000309,60.873,60.873,58.835,60.069,1152,0
20000310,60.915,65.077,60.915,63.781,9092,0
20000314,66.39,66.39,61.703,61.703,3201,0
20000315,59.872,59.872,49.494,52.062,39314,0
20000316,49.99,53.114,49.99,51.029,16388,0
20000317,49.608,56.574,49.608,55.45,14981,0
20000320,57.116,62.481,57.116,62.481,6786,0
20000321,60.764,62.482,58.577,59.881,16516,0
20000322,61.578,62.476,56.775,58.572,11012,0
20000323,59.885,59.885,48.035,51.551,14979,0
20000324,51.552,54.153,51.552,53.372,12163,0
20000327,53.399,54.672,52.852,54.672,4609,0
20000328,54.566,59.352,54.566,58.572,28426,0
20000329,59.872,65.073,58.701,62.215,21001,0
20000330,60.913,62.217,58.57,59.094,12678,0
20000331,57.662,67.69,57.662,65.346,28809,0
20000403,65.605,66.386,61.443,62.481,11779,0
20000404,59.093,59.093,55.446,56.749,17544,0
20000405,56.236,58.97,46.863,46.863,38793,0
20000406,48.556,51.937,46.861,51.157,18053,0
20000407,53.359,53.882,51.016,52.062,46358,0
20000410,52.071,60.139,52.071,59.615,18950,0
20000411,57.242,57.242,52.063,53.313,8323,0
20000412,52.067,53.105,50.763,50.763,2305,0
20000413,50.767,53.633,50.767,52.595,6146,0
20000414,51.446,51.806,49.463,49.463,2049,0
20000417,48.167,48.816,46.082,46.863,12419,0
20000418,49.722,51.019,46.075,46.075,12165,0
20000419,48.191,49.339,46.73,46.863,50701,0
20000420,46.863,47.645,46.863,46.863,3841,0
20000425,47.381,47.639,44.257,45.553,7427,0
20000426,44.773,47.116,44.773,46.726,27658,0
20000427,47.509,48.156,45.549,46.322,10757,0
20000428,46.819,48.748,45.553,45.553,9603,0
20000502,46.524,50.655,46.524,50.241,4865,0
20000503,49.989,51.809,49.114,50.723,7682,0
20000504,51.51,52.205,50.245,51.806,4097,0
20000505,52.587,55.976,52.587,54.672,15107,0
20000508,55.712,55.712,50.768,53.657,16900,0
20000511,49.724,50.825,49.724,50.763,1024,0
20000512,50.763,51.021,46.858,49.069,9347,0
20000515,48.685,49.325,44.521,46.342,13827,0
20000516,47.114,47.513,46.075,46.075,8067,0
20000517,45.814,45.939,43.628,44.963,6147,0
20000518,44.769,44.769,43.863,44.254,2818,0
20000519,44.37,44.51,40.605,41.91,6275,0
20000522,41.65,41.915,35.667,37.745,42382,0
20000523,38.544,38.95,36.161,36.435,14212,0
20000524,35.866,35.866,33.578,34.101,9093,0
20000525,35.736,41.399,35.736,41.063,22916,0
20000526,40.747,41.091,37.748,38.818,15235,0
20000529,39.049,43.211,39.049,42.954,10627,0
20000530,43.983,51.395,42.959,50.044,10242,0
20000531,50.711,52.602,50.625,52.062,35727,0
20000601,52.329,54.672,52.329,54.672,10371,0
20000602,55.582,59.878,55.192,58.315,33804,0
20000605,58.577,58.577,54.672,54.672,19846,0
20000606,55.977,55.977,54.672,54.938,640,0
20000607,54.666,56.75,54.666,55.736,3970,0
20000608,57.014,58.576,56.491,57.272,8450,0
20000609,57.275,58.056,56.494,56.494,1280,0
20000612,56.887,56.887,55.716,55.716,2817,0
20000613,56.488,56.488,54.668,54.692,3586,0
20000614,55.978,56.494,55.713,56.494,4865,0
20000615,56.622,57.558,56.489,57.036,4097,0
20000616,57.405,58.318,57.272,57.272,6403,0
20000619,58.316,58.316,57.011,57.223,3457,0
20000620,57.535,58.315,56.753,58.315,33548,0
20000621,57.536,59.332,57.536,57.794,7298,0
20000622,57.534,57.534,56.621,57.144,2433,0
20000623,57.014,57.014,55.452,55.687,4737,0
20000626,55.709,55.709,52.069,54.928,4865,0
20000627,53.372,54.153,53.372,53.372,2817,0
20000628,53.893,54.673,53.369,54.15,7298,0
20000629,54.147,54.147,51.546,52.811,22279,0
20000630,53.107,55.973,47.64,55.45,20743,0
20000703,52.714,52.714,50.762,51.777,14213,0
20000704,51.542,51.542,44.255,46.075,11652,0
20000705,46.729,48.815,46.729,47.385,10371,0
20000706,46.864,47.872,46.217,46.342,15748,0
20000710,46.077,50.504,43.21,45.553,28426,0
20000711,45.531,46.546,41.392,42.954,14468,0
20000712,42.435,42.958,40.092,41.654,9731,0
20000714,45.037,47.818,44.779,47.513,16515,0
20000717,47.565,52.578,47.565,52.062,41747,0
20000718,52.963,53.9,51.76,51.806,6785,0
20000719,52.578,52.844,50.524,52.062,11269,0
20000720,51.441,53.628,51.441,53.628,3201,0
20000721,53.366,55.647,52.796,55.647,15108,0
20000724,56.281,56.281,53.11,53.579,9218,0
20000725,53.573,53.573,50.762,51.777,3073,0
20000726,50.847,50.847,47.645,48.035,2817,0
20000727,48.418,50.76,47.637,50.752,3073,0
20000728,49.985,52.328,49.594,49.985,11907,0
20000731,51.003,51.488,49.605,50.565,1024,0
20000801,51.159,53.901,50.769,52.377,5121,0
20000802,53.106,54.668,53.067,53.106,5635,0
20000803,54.144,54.144,50.769,51.551,7426,0
20000804,50.24,52.692,50.24,50.763,8067,0
20000807,51.495,51.941,50.769,51.551,1793,0
20000808,51.235,52.328,49.985,49.985,1921,0
20000809,49.983,52.279,49.437,52.279,4097,0
20000810,52.718,52.718,50.772,50.772,4737,0
20000811,50.769,51.941,50.769,51.551,1793,0
20000814,51.505,53.106,51.076,53.106,4481,0
20000815,51.821,54.672,51.821,54.672,7938,0
20000816,54.675,54.675,53.112,53.816,10370,0
20000817,54.124,57.006,54.124,57.006,32779,0
20000818,56.93,57.328,55.461,55.844,20230,0
20000821,56.939,56.955,55.65,55.854,14851,0
20000822,56.237,56.651,53.511,54.987,4993,0
20000823,54.675,54.675,53.503,53.816,1280,0
20000824,53.576,54.864,53.106,53.146,7170,0
20000825,53.146,55.824,52.521,55.824,50834,0
20000828,54.277,54.668,53.106,53.106,17798,0
20000829,53.338,53.346,52.33,52.486,10499,0
20000830,52.718,57.794,52.561,57.794,14725,0
20000831,57.016,62.015,57.016,59.359,15491,0
20000901,60.528,64.824,60.138,61.309,12420,0
20000904,62.478,63.024,61.306,62.087,8451,0
20000905,61.308,62.323,60.996,61.151,6658,0
20000906,61.699,62.402,61.309,61.309,3073,0
20000907,60.141,61.313,59.359,60.531,10626,0
20000908,61.699,61.699,61.309,61.309,2689,0
20000911,61.301,61.301,59.356,60.138,3073,0
20000912,60.138,60.918,60.138,60.138,3841,0
20000914,60.049,62.087,59.822,62.087,4481,0
20000915,61.544,63.379,61.309,61.309,4097,0
20000918,61.7,63.106,61.349,61.387,13188,0
20000919,61.464,61.464,53.889,56.622,9092,0
20000920,57.796,57.796,49.595,52.368,24199,0
20000921,52.247,52.247,49.279,50.123,6019,0
20000922,50.126,52.329,48.877,52.329,2305,0
20000925,54.11,57.016,53.892,57.016,5634,0
20000926,55.493,55.493,53.885,53.885,4737,0
20000927,53.969,56.234,53.969,54.672,3201,0
20000928,55.913,55.913,53.5,54.141,2817,0
20000929,55.058,55.292,54.668,55.292,2177,0
20001002,55.136,56.385,54.824,56.385,1793,0
20001004,55.455,55.455,54.518,54.682,2561,0
20001005,55.45,56.232,55.45,55.529,1664,0
20001006,55.425,56.55,50.763,50.763,31883,0
20001009,51.156,51.156,42.174,44.244,38924,0
20001010,44.516,45.922,39.674,42.954,15750,0
20001011,42.179,42.179,36.008,39.055,55180,0
20001012,38.657,40.141,37.095,38.266,21512,0
20001013,38.812,42.944,33.58,42.944,44562,0
20001016,43.567,43.567,41.575,41.575,9731,0
20001017,41.004,42.16,40.223,41.004,6785,0
20001018,40.613,41.004,38.661,41.004,27784,0
20001019,40.417,46.859,40.417,45.298,13189,0
20001020,46.076,50.747,43.258,47.326,23561,0
20001023,46.863,47.534,44.778,46.863,7042,0
20001025,47.246,47.246,43.732,43.732,19849,0
20001026,42.951,44.512,42.17,43.732,28172,0
20001027,43.733,46.075,42.952,46.075,10756,0
20001030,45.294,45.294,43.732,43.732,3329,0
20001101,44.075,44.075,42.56,42.56,13446,0
20001102,42.331,42.408,40.847,40.847,6403,0
20001103,41.395,41.395,37.723,39.832,11267,0
20001106,40.419,41.59,39.833,41.004,17029,0
20001107,40.376,40.61,39.986,40.61,25609,0
20001108,40.616,41.632,39.055,39.055,26630,0
20001109,39.048,39.048,36.314,38.266,7683,0
20001110,38.345,39.516,37.486,38.266,14726,0
20001113,38.039,38.039,36.399,36.71,7298,0
20001115,36.71,36.71,29.29,30.064,40713,0
20001116,30.143,31.001,24.426,27.877,112693,0
20001117,26.56,26.794,21.942,24.372,95756,0
20001120,25.381,27.333,25.295,27.021,52628,0
20001121,26.591,29.286,26.591,29.286,19592,0
20001122,29.683,31.246,26.168,26.637,48007,0
20001123,27.337,30.343,26.564,29.68,11523,0
20001124,29.679,29.679,27.961,28.508,6658,0
20001127,29.088,29.127,26.16,26.785,20745,0
20001128,26.824,26.824,23.74,25.77,19080,0
20001129,24.602,25.461,23.493,24.992,15621,0
20001130,25.578,25.578,24.212,24.992,18821,0
20001201,25.737,25.768,24.988,25.347,6531,0
20001204,24.988,25.379,23.426,23.426,8068,0
20001205,23.429,24.991,22.336,24.834,46096,0
20001206,25.576,28.122,25.382,26.154,39567,0
