Date,Open,High,Low,Close,Volume,OpenInt
20040123,1.83,1.83,1.83,1.83,1202,0
20040211,2.3123,2.3123,2.23,2.23,13130,0
20040212,2.2609,2.3247,2.2153,2.27,12066,0
20040213,2.2365,2.2365,2.2,2.2,12379,0
20040216,2.2,2.2,2.2,2.2,2191,0
20040218,2.1209,2.13,2.1209,2.13,1313,0
20040219,2.1808,2.1992,2.1808,2.19,27392,0
20040220,2.1491,2.1491,2.14,2.14,7217,0
20040223,2.14,2.14,2.14,2.14,2187,0
20040224,2.1265,2.1265,2.09,2.09,4821,0
20040225,2.1109,2.12,2.0472,2.12,19233,0
20040226,2.0726,2.1,2.0543,2.1,14238,0
20040301,2.09,2.09,2.09,2.09,5369,0
20040302,2.1,2.1,2.1,2.1,1095,0
20040303,2.1218,2.14,2.1218,2.14,12079,0
20040305,2.1,2.1,2.1,2.1,17852,0
20040308,2.15,2.15,2.15,2.15,2195,0
20040309,2.1227,2.15,2.068,2.15,10977,0
20040310,2.1136,2.15,2.1136,2.15,16246,0
20040311,2.1691,2.1691,2.0962,2.16,10094,0
20040312,2.1218,2.14,2.1218,2.14,4942,0
20040315,2.1056,2.1056,2.06,2.06,8777,0
20040316,2.05,2.05,2.05,2.05,4390,0
20040317,2.0543,2.1,2.0543,2.1,16648,0
20040318,2.0937,2.0937,2.0209,2.03,19773,0
20040319,2.0937,2.0937,2.03,2.03,10106,0
20040322,2.0573,2.0937,2.03,2.03,6371,0
20040323,2.07,2.07,2.07,2.07,546,0
20040324,2.1,2.1,2.1,2.1,2081,0
20040325,2.1,2.1,2.1,2.1,6024,0
20040326,2.1274,2.1365,2.1,2.1,8214,0
20040329,2.0573,2.0573,2.03,2.03,7140,0
20040330,2.0635,2.1,2.0635,2.1,21467,0
20040331,2.0539,2.2,2.0539,2.2,21361,0
20040401,2.2557,2.2831,2.2009,2.21,4052,0
20040402,2.207,2.28,2.207,2.28,2193,0
20040405,2.28,2.28,2.28,2.28,4057,0
20040406,2.25,2.25,2.25,2.25,3280,0
20040408,2.28,2.3712,2.2253,2.28,13706,0
20040413,2.2327,2.4331,2.2327,2.26,55196,0
20040414,2.188,2.27,2.188,2.27,34663,0
20040415,2.27,2.27,2.2244,2.27,7678,0
20040416,2.2153,2.27,2.1697,2.27,16893,0
20040419,2.2768,2.35,2.1946,2.35,18373,0
20040420,2.3134,2.35,2.3134,2.35,15420,0
20040421,2.3509,2.36,2.2689,2.36,22498,0
20040422,2.3244,2.37,2.3153,2.37,8557,0
20040423,2.337,2.41,2.337,2.41,32863,0
20040426,2.29,2.29,2.29,2.29,21921,0
20040427,2.2786,2.47,2.2786,2.47,40815,0
20040428,2.5629,2.5629,2.151,2.27,123126,0
20040429,2.3149,2.3149,2.1411,2.26,116724,0
20040430,2.1735,2.21,2.1735,2.21,6132,0
20040503,2.1444,2.19,2.0531,2.19,36384,0
20040504,2.196,2.26,2.196,2.26,37159,0
20040505,2.1934,2.23,2.1477,2.23,37530,0
20040506,2.2583,2.2583,2.1851,2.24,39156,0
20040507,2.2217,2.2857,2.2217,2.24,13781,0
20040510,2.1943,2.24,2.176,2.24,9516,0
20040511,2.1835,2.22,2.1286,2.22,28897,0
20040512,2.0988,2.19,1.9893,2.19,98521,0
20040513,2.1178,2.2,2.1178,2.2,19061,0
20040514,2.25,2.25,2.25,2.25,1098,0
20040517,2.1295,2.23,2.102,2.23,35232,0
20040518,2.1635,2.2091,2.1087,2.2,52910,0
20040519,2.24,2.24,2.1943,2.24,26688,0
20040520,2.2344,2.3074,2.207,2.28,25768,0
20040521,2.2083,2.2083,2.1626,2.19,58082,0
20040524,2.1991,2.1991,1.9619,2.19,47562,0
20040525,2.1544,2.2,2.0996,2.2,25634,0
20040526,2.1909,2.2,2.1361,2.2,27605,0
20040528,2.1261,2.19,2.1079,2.19,7562,0
20040531,2.2,2.2,2.2,2.2,1095,0
20040601,2.1295,2.23,2.1295,2.23,39390,0
20040602,2.2283,2.2374,2.1004,2.21,38435,0
20040603,2.19,2.19,2.19,2.19,3288,0
20040607,2.19,2.19,2.19,2.19,6575,0
20040611,2.19,2.19,2.19,2.19,1096,0
20040616,2.1809,2.19,2.1809,2.19,5479,0
20040617,2.1552,2.21,2.0091,2.21,80484,0
20040618,2.14,2.14,2.14,2.14,82360,0
20040621,2.1,2.1,2.1,2.1,10952,0
20040622,2.0927,2.1382,2.0199,2.12,26377,0
20040623,2.0797,2.18,2.0797,2.18,30149,0
20040624,2.1535,2.19,2.1535,2.19,9096,0
20040625,2.1917,2.21,2.1735,2.21,11607,0
20040628,2.1943,2.24,2.1943,2.24,2953,0
20040629,2.1432,2.28,2.1432,2.28,8662,0
20040630,2.1896,2.29,2.1896,2.29,16989,0
20040701,2.3438,2.3712,2.28,2.28,25110,0
20040702,2.31,2.31,2.31,2.31,219,0
20040708,2.1943,2.24,2.1943,2.24,13125,0
20040712,2.1353,2.19,2.1353,2.19,3945,0
20040713,2.2265,2.2265,2.1535,2.19,27507,0
20040714,2.1718,2.19,2.1718,2.19,2192,0
20040716,2.19,2.19,2.19,2.19,6027,0
20040719,2.23,2.23,2.23,2.23,109,0
20040720,2.19,2.19,2.19,2.19,9534,0
20040721,2.1909,2.2,2.1909,2.2,20814,0
20040722,2.2,2.2,2.2,2.2,2300,0
20040728,2.21,2.21,2.21,2.21,4380,0
20040729,2.16,2.16,2.16,2.16,2194,0
20040730,2.2,2.2,2.2,2.2,8764,0
20040802,2.16,2.16,2.16,2.16,4938,0
20040803,2.19,2.19,2.19,2.19,1096,0
20040804,2.19,2.19,2.19,2.19,1753,0
20040805,2.16,2.16,2.16,2.16,1420,0
20040806,2.19,2.19,2.19,2.19,5918,0
20040809,2.19,2.19,2.19,2.19,2849,0
20040811,2.1851,2.24,2.1851,2.24,1531,0
20040812,2.1564,2.1564,2.12,2.12,2198,0
20040816,2.1851,2.24,2.1851,2.24,1859,0
20040819,2.2,2.2,2.2,2.2,4382,0
20040823,2.1917,2.21,2.1369,2.21,7446,0
20040824,2.15,2.15,2.15,2.15,1756,0
20040825,2.19,2.19,2.19,2.19,13151,0
20040826,2.1577,2.24,2.1577,2.24,438,0
20040830,2.1706,2.2982,2.1706,2.28,13596,0
20040831,2.321,2.65,2.321,2.65,21668,0
20040901,2.7276,2.91,2.7276,2.91,5152,0
20040902,2.9447,2.9812,2.89,2.89,1426,0
20040906,2.9691,3.0514,2.96,2.96,4269,0
20040907,3.0066,3.0431,2.97,2.97,32719,0
20040908,2.9217,2.9491,2.9217,2.94,16867,0
20040909,2.9383,2.9565,2.92,2.92,16986,0
20040910,2.9167,2.9167,2.7435,2.78,21394,0
20040913,2.74,2.74,2.5847,2.74,21788,0
20040914,2.6839,2.83,2.6839,2.83,39216,0
20040915,2.7718,2.79,2.7718,2.79,15794,0
20040916,2.8,2.8,2.7362,2.8,3838,0
20040917,2.7253,2.78,2.7253,2.78,1755,0
20040920,2.78,2.78,2.78,2.78,3511,0
20040921,2.78,2.78,2.78,2.78,6583,0
20040923,2.74,2.74,2.74,2.74,16423,0
20040924,2.74,2.74,2.7217,2.74,3832,0
20040927,2.74,2.74,2.74,2.74,13139,0
20040928,2.74,2.74,2.74,2.74,1752,0
20040929,2.74,2.74,2.74,2.74,17409,0
20040930,2.7336,2.77,2.7336,2.77,38960,0
20041001,2.8238,3.0157,2.8238,2.97,28013,0
20041004,3.04,3.04,3.04,3.04,1095,0
20041005,2.9974,2.9974,2.97,2.97,38519,0
20041006,2.74,2.74,2.6943,2.74,62737,0
20041007,2.7391,2.7391,2.6752,2.73,7119,0
20041008,2.6511,2.6511,2.56,2.56,22721,0
20041011,2.6304,2.74,2.6304,2.74,21350,0
