Date,Open,High,Low,Close,Volume,OpenInt
20110415,18.62,21.154,18.62,21.154,4231323,0
20110418,20.745,21.349,20.233,20.472,481999,0
20110419,20.413,20.759,19.984,20.662,147463,0
20110420,20.413,20.564,20.311,20.472,268331,0
20110421,20.272,21.159,20.116,21.159,128685,0
20110426,21.008,21.3,20.774,20.959,135579,0
20110427,20.862,21.349,20.793,20.959,161719,0
20110428,21.203,21.286,20.818,21.203,63537,0
20110429,21.062,21.3,20.56,21.203,62518,0
20110502,21.13,21.627,20.959,21.193,29690,0
20110503,21.144,22.909,20.959,21.305,166147,0
20110504,21.261,21.32,20.438,20.647,63686,0
20110505,20.579,20.974,20.277,20.686,28284,0
20110506,20.599,21.203,20.355,21.164,99616,0
20110509,20.876,21.218,20.599,20.672,10502,0
20110510,20.608,21.076,20.491,21.018,35712,0
20110511,20.837,21.037,20.657,20.94,5228,0
20110512,20.793,20.876,20.569,20.852,8170,0
20110513,20.662,21.261,20.472,21.213,28305,0
20110516,21.081,21.291,20.599,20.793,22018,0
20110517,20.657,20.959,20.287,20.384,34482,0
20110518,20.521,21.154,20.033,21.154,82916,0
20110519,20.959,21.154,20.735,21.008,13968,0
20110520,20.774,21.378,20.657,21.378,47095,0
20110523,20.906,21.398,20.677,20.862,37663,0
20110524,20.657,20.862,20.282,20.599,8339,0
20110525,20.491,20.842,20.472,20.569,12129,0
20110526,20.179,20.784,20.179,20.482,17649,0
20110527,20.384,20.784,19.838,20.394,33714,0
20110530,20.135,21.169,20.135,21.008,15254,0
20110531,20.837,21.851,20.394,21.851,75368,0
20110601,22.222,22.753,20.472,22.275,81451,0
20110602,22.051,22.373,22.032,22.1,30085,0
20110603,21.958,22.612,21.856,22.382,49951,0
20110606,22.222,23.387,22.168,23.133,50429,0
20110607,23.172,23.504,22.626,22.967,59507,0
20110608,23.128,23.128,22.051,22.451,19518,0
20110609,22.451,22.963,22.08,22.753,39223,0
20110610,22.451,22.763,22.29,22.573,57929,0
20110613,22.451,23.055,22.202,22.889,33787,0
20110614,22.558,23.348,22.558,23.348,24557,0
20110615,22.914,23.543,22.914,23.299,73734,0
20110616,22.909,23.299,22.421,22.421,30989,0
20110617,22.314,22.909,22.08,22.616,246235,0
20110620,22.446,22.665,22.29,22.616,40497,0
20110621,22.29,22.704,22.129,22.616,55626,0
20110622,22.456,22.626,22.227,22.421,39730,0
20110623,22.236,22.616,22.08,22.227,8169,0
20110624,22.119,22.616,21.997,21.997,20751,0
20110627,21.919,22.407,21.754,21.919,17205,0
20110628,21.978,22.714,21.573,21.978,74676,0
20110629,22.095,22.636,22.095,22.144,24790,0
20110630,22.285,23.055,22.285,22.343,82656,0
20110701,22.85,23.689,22.797,22.85,54861,0
20110704,23.469,24.088,22.704,23.469,43455,0
20110705,23.08,23.625,22.69,23.08,33257,0
20110706,23.172,23.708,22.451,23.172,91005,0
20110707,22.524,23.201,22.48,22.524,68085,0
20110708,23.006,23.494,22.714,23.006,69718,0
20110711,23.07,23.445,22.334,23.123,47854,0
20110712,22.714,23.499,22.324,22.714,76441,0
20110713,22.894,23.387,22.685,22.894,40888,0
20110714,22.967,23.221,22.402,22.914,38647,0
20110715,22.431,23.104,22.227,22.982,39689,0
20110718,22.655,23.235,22.451,22.655,29324,0
20110719,22.621,23.348,22.329,22.621,30505,0
20110720,22.748,23.196,22.421,22.782,44009,0
20110721,22.421,23.494,22.197,22.319,57990,0
20110722,22.909,23.182,22.626,22.733,63102,0
20110725,22.972,23.396,22.87,22.87,52152,0
20110726,23.528,23.528,23.036,23.065,48837,0
20110727,23.557,23.664,22.958,23.036,23697,0
