Date,Open,High,Low,Close,Volume,OpenInt
20000103,6.3871,6.3871,6.168,6.3414,6356,0
20000104,6.314,6.314,6.314,6.314,658,0
20000105,6.2046,6.2046,6.2046,6.2046,1095,0
20000106,6.3414,6.3414,6.2958,6.2958,1535,0
20000107,6.6153,6.7702,6.4783,6.5877,17207,0
20000110,6.8432,6.9709,6.7064,6.7064,3617,0
20000111,6.7246,6.7246,6.6153,6.7064,5150,0
20000112,6.7064,6.8067,6.7064,6.7064,2521,0
20000113,6.6607,6.8432,6.6607,6.752,3835,0
20000114,6.752,7.0257,6.752,7.0257,15563,0
20000117,6.9802,7.044,6.825,7.044,5699,0
20000118,6.8798,7.0257,6.7338,6.7338,3397,0
20000119,6.8432,6.8432,6.8432,6.8432,2411,0
20000120,6.8432,6.8432,6.8432,6.8432,3287,0
20000121,6.752,6.9345,6.752,6.9345,2411,0
20000124,6.7702,6.7702,6.7702,6.7702,220,0
20000126,6.5513,6.7428,6.5513,6.7428,4164,0
20000127,6.8524,6.8524,6.8524,6.8524,4932,0
20000128,6.8524,6.9345,6.8524,6.8524,6576,0
20000131,7.0713,7.0713,6.9163,7.0713,7672,0
20000201,7.2083,7.2083,7.2083,7.2083,2521,0
20000202,7.2814,7.2814,7.2083,7.2083,220,0
20000203,6.9345,6.9345,6.9345,6.9345,1095,0
20000204,6.9709,6.9709,6.7977,6.9345,8438,0
20000207,7.044,7.044,6.9345,6.9345,6576,0
20000208,6.8889,7.2265,6.8889,7.1171,46249,0
20000209,7.2083,7.2538,7.1626,7.1626,42086,0
20000210,7.2538,7.2538,7.1171,7.1171,17317,0
20000211,7.2995,7.6189,7.2995,7.6189,2193,0
20000214,7.6189,7.6189,7.409,7.5276,10082,0
20000215,7.3451,7.6644,7.3451,7.3907,18742,0
20000216,7.5731,7.5731,7.3725,7.4363,3506,0
20000217,7.4363,7.4363,7.4363,7.4363,5807,0
20000218,7.3907,7.3907,7.3451,7.3451,658,0
20000221,7.482,7.482,7.2995,7.3907,1095,0
20000222,7.1626,7.1626,6.9345,6.9345,1863,0
20000223,7.0166,7.1534,6.9345,7.044,7452,0
20000224,6.752,6.8432,6.5695,6.6153,6686,0
20000225,6.6516,6.7338,6.1865,6.6607,18084,0
20000228,6.9345,6.9345,6.6425,6.752,5150,0
20000229,6.9345,6.9345,6.8889,6.8889,658,0
20000301,6.9163,7.2995,6.6974,6.8432,4822,0
20000302,6.9437,7.2083,6.9437,7.1809,2740,0
20000303,7.1171,7.1171,7.0713,7.0988,5260,0
20000306,6.9892,6.9892,6.8432,6.8432,2082,0
20000307,6.752,6.752,6.752,6.752,1095,0
20000308,6.7885,6.9345,6.752,6.9345,2631,0
