Date,Open,High,Low,Close,Volume,OpenInt
20000404,18.27,18.511,17.598,18.27,112518,0
20000405,18.656,18.944,18.078,18.463,41493,0
20000406,18.299,18.656,18.27,18.27,12167,0
20000407,18.319,18.463,18.078,18.27,12375,0
20000410,18.27,18.27,18.078,18.27,17055,0
20000411,17.79,17.886,17.502,17.549,19551,0
20000412,17.502,18.078,17.502,17.972,23606,0
20000413,17.694,18.511,17.598,18.27,16743,0
20000414,18.27,18.319,17.838,18.27,6863,0
20000417,17.982,18.463,17.694,18.463,13831,0
20000418,18.127,18.27,17.694,17.741,6136,0
20000419,18.078,18.078,17.549,17.578,2287,0
20000420,18.299,18.511,18.078,18.454,12479,0
20000425,18.559,19.136,18.223,19.04,17366,0
20000426,19.232,20.656,18.27,18.607,81322,0
20000427,19.069,19.713,18.848,18.848,12271,0
20000428,19.232,19.28,18.761,18.944,9048,0
20000502,19.954,23.319,19.954,22.81,69363,0
20000503,22.117,25.002,21.733,24.04,71546,0
20000504,24.521,26.252,23.944,24.521,57820,0
20000505,24.636,24.636,22.983,23.56,17886,0
20000508,23.098,23.435,21.733,23.435,20695,0
20000510,23.127,23.137,22.117,22.117,9255,0
20000511,22.117,23.185,21.886,23.175,19446,0
20000512,23.752,24.021,22.887,23.463,18302,0
20000515,23.896,24.04,23.329,23.367,7799,0
20000516,23.915,23.915,23.079,23.367,7695,0
20000517,23.088,24.992,23.079,24.992,23503,0
20000518,25.002,26.926,24.761,26.434,35462,0
20000519,26.444,26.636,25.022,25.627,16327,0
20000522,25.002,25.002,24.04,24.906,10295,0
20000523,24.56,24.81,24.242,24.761,7695,0
20000524,24.04,24.185,23.8,24.185,5512,0
20000525,24.291,24.521,24.04,24.233,2703,0
20000526,23.868,25.175,23.675,24.242,8216,0
20000529,24.992,24.992,24.04,24.04,936,0
20000530,24.714,24.714,24.04,24.04,2703,0
20000531,24.521,24.521,24.04,24.521,4992,0
20000601,24.05,24.521,24.05,24.512,6031,0
20000602,24.521,26.685,24.521,25.482,17782,0
20000605,26.444,28.368,25.868,28.271,59899,0
20000606,28.368,31.157,28.271,30.771,31717,0
20000607,30.436,30.771,29.811,30.291,30158,0
20000608,30.743,30.868,27.118,28.368,18822,0
20000609,28.849,28.849,27.502,27.887,10919,0
20000612,28.368,28.656,27.887,28.271,11127,0
20000613,28.127,30.003,27.887,29.329,13103,0
20000614,30.291,36.445,30.291,35.292,137581,0
20000615,35.388,36.061,32.695,34.33,56260,0
20000616,34.138,34.138,32.695,33.656,9255,0
20000619,34.138,37.887,33.368,37.791,55117,0
20000620,38.465,39.907,36.061,38.706,46381,0
20000621,38.388,42.792,36.541,42.792,52412,0
20000622,43.272,44.427,41.35,42.494,37645,0
20000623,41.83,42.792,39.907,41.734,25894,0
20000626,42.696,43.754,42.022,42.551,13207,0
20000627,42.869,43.272,36.541,37.974,31717,0
20000628,37.022,37.417,33.176,36.061,36086,0
20000629,36.061,36.349,30.05,31.06,41700,0
20000630,31.349,33.656,30.743,33.647,31198,0
20000703,33.945,36.244,33.647,35.878,17574,0
20000704,38.465,40.869,37.022,38.465,33277,0
20000705,39.129,39.129,35.388,35.58,16119,0
20000706,35.772,36.349,33.176,34.916,13312,0
20000710,34.234,35.099,33.705,34.81,10503,0
20000711,34.291,34.81,33.272,33.656,5200,0
20000712,34.07,34.07,31.733,32.301,18719,0
20000714,29.819,31.445,29.329,30.195,24439,0
20000717,31.493,32.887,30.532,32.214,21318,0
20000718,32.695,32.935,30.387,30.387,10086,0
20000719,30.771,32.214,30.003,31.012,15079,0
20000720,30.83,31.445,30.012,30.146,4992,0
20000721,30.291,30.291,28.031,28.56,17158,0
20000724,28.656,28.656,26.107,26.444,22774,0
20000725,26.348,30.358,25.964,29.089,24542,0
20000726,29.147,29.811,27.887,28.271,8319,0
20000727,27.743,28.849,25.964,26.926,7799,0
20000728,26.205,26.877,25.194,25.964,13726,0
20000731,24.916,25.482,24.81,25.29,11856,0
20000801,24.954,25.482,22.983,25.482,33901,0
20000802,25.482,26.887,25.482,25.964,18614,0
20000803,25.964,25.964,24.618,25.386,10815,0
20000804,25.002,26.31,25.002,25.964,3848,0
20000807,25.588,26.205,24.665,25.194,6343,0
20000808,25.059,26.685,25.059,26.685,11544,0
20000809,26.926,29.089,26.425,28.945,11959,0
20000810,29.089,32.185,28.849,31.253,32029,0
20000811,31.253,31.733,30.436,31.233,10919,0
20000814,30.771,32.695,30.771,32.503,11023,0
20000815,33.464,34.522,30.483,30.771,28910,0
20000816,31.012,31.012,28.849,29.329,14247,0
20000817,29.233,29.811,28.416,29.233,11335,0
20000818,29.378,30.262,29.329,29.425,8736,0
20000821,30.099,30.099,27.695,27.695,9774,0
20000822,27.406,28.656,27.3,27.695,9048,0
20000823,27.887,28.175,27.598,27.695,11335,0
20000824,27.406,27.887,27.406,27.887,1248,0
20000825,27.695,27.887,27.406,27.502,6136,0
20000828,27.349,28.079,27.118,28.079,2808,0
20000829,27.983,28.089,27.118,27.166,7383,0
20000830,27.118,28.464,26.973,27.695,13935,0
20000831,27.887,33.176,27.406,31.743,51891,0
20000901,32.349,32.887,31.493,31.733,21526,0
20000904,32.436,34.138,31.589,34.138,11544,0
20000905,34.763,34.763,33.368,33.752,12479,0
20000906,33.176,34.234,33.176,33.848,3535,0
20000907,33.176,35.003,33.176,35.003,6863,0
20000908,35.012,35.772,35.012,35.772,12063,0
20000911,35.099,36.051,34.859,36.051,5927,0
20000912,35.676,36.061,35.147,35.147,4160,0
20000914,34.618,35.099,33.897,35.099,7175,0
20000915,35.099,35.099,34.138,35.099,2287,0
20000918,34.426,34.426,32.791,32.791,5096,0
20000919,32.791,32.887,31.253,31.282,7071,0
20000920,31.733,32.406,31.012,31.012,3952,0
20000921,30.771,30.771,28.464,29.617,10086,0
20000922,28.849,29.811,28.368,29.811,5304,0
20000925,30.06,30.483,29.811,30.483,1768,0
20000926,29.907,30.733,29.907,30.291,936,0
20000927,30.291,30.291,30.003,30.003,1975,0
20000928,29.378,30.31,29.329,30.31,2808,0
20000929,30.464,30.464,29.147,29.425,1041,0
20001002,28.522,29.262,28.522,28.849,2184,0
20001004,29.57,31.253,28.896,31.157,22254,0
20001005,31.349,32.214,31.002,31.253,4784,0
20001006,31.253,31.253,28.849,28.896,4888,0
20001009,28.993,28.993,27.416,28.175,5616,0
20001010,29.32,30.291,28.945,29.57,13414,0
20001011,28.896,28.896,27.406,27.435,8736,0
20001012,27.647,29.089,26.733,28.127,13831,0
20001013,27.647,29.714,27.31,29.329,9360,0
20001016,29.811,30.483,28.704,28.704,8736,0
20001017,28.849,29.329,28.368,28.368,1873,0
20001018,28.771,29.31,28.271,28.887,3535,0
20001019,29.041,29.811,29.041,29.811,1768,0
20001020,29.916,31.329,29.916,31.329,6551,0
20001023,31.253,31.541,30.771,30.771,1144,0
20001025,29.811,30.291,28.368,28.368,3744,0
20001026,28.926,29.233,28.368,28.368,520,0
20001027,29.233,29.811,29.137,29.137,3848,0
20001030,28.849,30.291,28.849,29.811,5408,0
20001101,29.329,29.329,28.753,28.753,208,0
20001102,28.849,29.32,28.849,29.137,729,0
20001103,28.849,29.617,28.368,29.137,14143,0
20001106,29.714,30.532,29.329,30.532,3744,0
20001107,30.05,31.493,29.954,31.493,3120,0
20001108,31.06,31.695,30.387,30.579,11335,0
20001109,30.291,30.916,29.811,29.811,4160,0
20001110,30.291,30.291,27.983,28.849,9152,0
20001113,28.127,28.127,26.926,27.022,8840,0
20001115,28.849,28.849,28.127,28.8,2287,0
20001116,28.512,28.512,27.502,27.502,5512,0
20001117,27.406,27.695,26.926,26.926,1456,0
20001120,27.406,27.435,26.926,26.926,5408,0
20001121,27.118,27.791,26.829,27.118,9879,0
20001122,26.926,27.022,25.915,26.926,11544,0
20001123,26.54,28.426,25.772,27.897,24334,0
20001124,28.175,28.753,27.983,28.271,2184,0
20001127,28.724,28.849,27.887,28.271,624,0
20001128,28.271,28.291,27.887,28.175,3848,0
20001129,27.887,29.233,27.887,28.849,7383,0
