Date,Open,High,Low,Close,Volume,OpenInt
20050719,22.379,22.693,22.325,22.379,50738,0
20050720,22.467,22.693,22.467,22.693,37052,0
20050721,22.647,22.918,22.647,22.693,58860,0
20050722,22.765,22.81,22.379,22.513,31488,0
20050725,22.657,22.783,22.603,22.657,69210,0
20050726,22.738,22.738,22.297,22.379,35940,0
20050727,21.803,21.803,21.435,21.659,112602,0
20050728,21.722,21.885,21.344,21.417,48625,0
20050729,21.344,21.561,20.85,21.102,102811,0
20050801,21.443,21.443,21.21,21.344,29151,0
20050802,21.525,21.57,21.075,21.255,123507,0
20050803,21.517,21.705,21.21,21.344,46066,0
20050804,21.39,21.776,21.255,21.705,56857,0
20050805,21.659,21.659,21.3,21.479,9235,0
20050808,21.839,21.839,21.57,21.731,41281,0
20050809,21.83,21.83,21.57,21.57,31713,0
20050810,21.705,22.647,21.705,22.289,94021,0
20050811,22.513,22.738,22.163,22.558,66092,0
20050812,22.558,22.558,21.939,21.947,23032,0
20050815,22.18,22.379,21.885,22.279,20251,0
20050816,22.279,22.279,22.082,22.154,14909,0
20050817,22.154,22.216,21.848,21.974,18693,0
20050818,21.939,21.947,21.578,21.75,8012,0
20050819,21.75,21.839,21.139,21.337,44173,0
20050822,21.344,21.39,21.3,21.39,2559,0
20050823,21.471,21.659,21.471,21.606,2893,0
20050824,21.606,21.606,21.354,21.552,2003,0
20050825,21.606,21.606,21.435,21.498,15911,0
20050826,21.561,21.74,21.561,21.74,7232,0
20050829,21.794,22.109,21.659,21.659,16801,0
20050830,21.75,21.75,21.453,21.479,12239,0
20050831,21.651,21.659,21.344,21.462,6231,0
20050901,21.471,21.471,21.21,21.337,12018,0
20050902,21.471,21.525,21.21,21.525,22031,0
20050905,21.462,21.525,21.229,21.479,48625,0
20050906,21.479,21.57,20.77,20.77,82449,0
20050907,20.724,20.842,19.925,20.582,102477,0
20050908,20.68,20.752,20.32,20.582,32824,0
20050909,20.717,20.805,20.582,20.627,50849,0
20050912,20.985,21.031,20.724,20.752,31378,0
20050913,21.021,21.021,20.311,20.311,19917,0
20050914,20.617,20.617,20.221,20.473,34492,0
20050915,20.311,20.311,19.483,19.593,117165,0
20050916,19.862,19.908,18.936,19.521,320005,0
20050919,19.448,19.754,19.099,19.593,30041,0
20050920,19.773,19.943,19.422,19.682,68764,0
20050921,19.773,19.773,19.323,19.673,23256,0
20050922,16.725,17.615,16.07,16.537,593390,0
20050923,16.537,16.986,16.447,16.537,469772,0
20050926,16.887,16.942,16.447,16.447,189488,0
20050927,16.627,16.77,16.42,16.501,226206,0
20050928,16.564,16.581,16.267,16.339,119167,0
20050929,16.357,16.357,15.684,15.809,302202,0
20050930,15.952,16.077,15.458,15.557,354276,0
20051003,15.719,15.844,15.593,15.809,23810,0
20051004,15.989,16.042,15.684,15.907,186930,0
20051005,15.693,15.863,15.593,15.819,80670,0
20051006,15.819,15.819,15.026,15.639,134077,0
20051007,15.512,15.755,15.368,15.647,78110,0
20051010,15.639,15.835,15.593,15.719,107263,0
20051011,15.684,15.728,15.549,15.593,57858,0
20051012,15.684,15.709,15.602,15.674,26704,0
20051013,15.639,15.639,15.054,15.278,47512,0
20051014,15.414,15.504,15.143,15.504,58305,0
20051017,15.549,15.719,15.539,15.719,86566,0
20051018,15.639,15.719,15.278,15.458,22477,0
20051019,15.395,15.395,14.38,14.83,92240,0
20051020,15.054,15.054,14.766,14.874,39055,0
20051021,15.098,15.098,14.82,14.991,42948,0
20051024,15.009,15.639,15.009,15.485,46175,0
20051025,15.647,15.684,15.188,15.359,100586,0
20051026,15.233,15.639,15.233,15.45,42948,0
20051027,15.584,15.584,15.233,15.27,63867,0
20051028,15.332,15.368,15.009,15.054,31713,0
20051031,15,15.278,14.739,15.278,93242,0
20051101,15.404,15.674,15.278,15.655,17135,0
20051102,15.674,15.674,15.278,15.504,7567,0
20051103,15.639,15.844,15.504,15.549,55077,0
20051104,15.773,15.773,15.512,15.549,48290,0
20051107,15.647,15.701,15.233,15.233,58860,0
20051108,15.351,15.549,15.181,15.242,124397,0
20051109,15.278,15.368,15.162,15.198,19249,0
20051110,15.278,15.278,14.515,14.83,43283,0
20051111,14.847,15.181,14.83,15.162,25925,0
20051114,15.261,15.261,15.009,15.098,30711,0
20051115,15.009,15.278,14.919,15.098,52740,0
20051116,15.171,15.278,15.117,15.188,57970,0
20051117,15.278,15.278,15.026,15.188,25034,0
20051118,15.233,15.377,15.018,15.188,51517,0
20051121,15.107,15.252,15.026,15.098,12128,0
20051122,15.018,15.181,14.83,15.143,35161,0
20051123,14.972,15.171,14.972,15.098,10125,0
20051124,15.098,15.171,15.036,15.171,15244,0
20051125,15.216,15.351,15.207,15.323,42059,0
20051128,15.368,16.464,15.368,16.133,82115,0
20051129,16.177,16.366,15.907,16.347,59862,0
20051130,16.393,16.968,16.393,16.807,121059,0
20051201,16.977,17.147,16.581,16.716,51517,0
20051202,16.986,16.986,16.634,16.879,45285,0
20051205,16.851,16.942,16.807,16.906,33269,0
20051206,16.906,17.166,16.906,17.147,63867,0
20051207,17.201,17.381,17.041,17.176,33936,0
20051208,17.255,17.318,17.031,17.22,41169,0
20051209,17.255,17.615,17.211,17.436,86566,0
20051212,17.525,17.633,17.354,17.364,84229,0
20051213,17.525,17.525,17.282,17.282,21141,0
20051214,17.471,17.525,17.327,17.481,17692,0
20051215,17.516,17.516,16.906,17.255,22699,0
20051216,17.436,17.481,17.076,17.184,14243,0
20051219,17.229,17.508,17.229,17.508,46287,0
20051220,17.508,17.652,17.282,17.463,43283,0
20051221,17.525,17.652,16.896,17.22,26371,0
20051222,17.453,17.499,17.255,17.399,6007,0
20051223,17.265,17.265,16.924,16.986,24590,0
20051227,17.184,17.184,16.869,16.959,16133,0
20051228,16.807,17.255,16.807,17.147,20030,0
20051229,17.166,17.598,16.986,17.598,35940,0
20051230,17.579,17.704,17.436,17.679,18025,0
20060102,17.749,17.938,17.525,17.795,12351,0
20060103,17.885,18.11,17.778,17.966,42615,0
20060104,18.056,18.245,17.948,18.155,56190,0
20060105,18.146,18.2,17.704,17.704,36495,0
20060106,17.704,17.885,17.615,17.804,6119,0
20060109,17.956,18.155,17.839,17.885,49736,0
20060110,17.966,17.975,17.381,17.615,37274,0
20060111,17.525,17.885,17.525,17.885,31601,0
20060112,17.885,18.02,17.795,17.931,38610,0
20060113,17.885,17.975,17.624,17.966,18804,0
20060116,17.966,17.966,17.885,17.894,6676,0
20060117,17.931,17.956,17.885,17.931,15021,0
20060118,17.885,17.885,17.399,17.704,21252,0
20060119,17.525,18.056,17.354,18.056,31043,0
20060120,17.975,18.065,17.749,17.921,21141,0
20060123,17.839,17.839,17.525,17.741,5675,0
20060124,17.795,17.849,17.704,17.839,9124,0
20060125,17.839,17.839,17.544,17.822,3672,0
20060126,17.858,18.325,17.759,18.325,29710,0
20060127,18.379,18.873,18.379,18.631,92796,0
20060130,18.649,18.649,18.514,18.55,39834,0
20060131,18.514,18.568,18.343,18.514,27594,0
20060201,18.514,18.739,18.299,18.424,38610,0
20060202,18.29,18.668,18.245,18.649,19139,0
20060203,18.469,18.649,18.245,18.577,23366,0
20060206,18.577,18.712,18.469,18.586,23810,0
20060207,18.802,18.901,18.523,18.766,23144,0
20060208,18.774,18.784,18.379,18.784,53854,0
20060209,18.774,18.784,18.352,18.658,22810,0
20060210,18.658,18.766,18.613,18.649,31378,0
20060213,18.693,18.774,18.622,18.739,19360,0
20060214,18.774,18.774,18.11,18.245,24033,0
20060215,18.11,18.604,18.11,18.416,26148,0
20060216,18.416,18.416,18.126,18.334,21586,0
20060217,18.136,18.334,18.136,18.334,19583,0
20060220,18.352,19.161,18.172,19.161,139752,0
20060221,19.241,19.512,18.873,18.963,126066,0
20060222,18.981,19.233,18.703,19.233,55967,0
20060223,19.143,19.233,18.919,19.053,11571,0
20060224,19.143,19.233,18.873,19.188,17579,0
20060227,19.225,19.225,18.919,19.036,15577,0
20060228,19.053,19.099,18.864,18.873,9903,0
20060301,18.703,18.963,18.604,18.703,20361,0
20060302,18.693,18.693,17.795,18.181,69876,0
20060303,18.101,18.29,17.831,17.975,25925,0
20060306,18.126,18.433,17.984,18.406,17692,0
20060307,18.388,18.388,17.839,18.082,20251,0
20060308,18.11,18.136,17.66,17.687,16356,0
20060309,17.759,17.966,16.896,17.255,64646,0
20060310,17.255,17.885,17.255,17.562,29041,0
20060313,17.749,17.813,17.525,17.704,21586,0
20060314,17.704,18.236,17.704,18.11,15466,0
20060315,18.11,18.11,17.481,17.569,25257,0
20060316,17.534,17.975,17.525,17.822,19139,0
20060317,17.975,17.975,17.885,17.975,35828,0
20060320,18.126,18.281,17.795,18.047,29485,0
20060321,18.2,18.281,17.984,18.155,16468,0
20060322,18.164,18.164,17.993,18.119,23256,0
20060323,18.146,18.334,18.119,18.164,30265,0
20060324,18.245,18.245,17.975,18.245,12462,0
20060327,18.245,18.245,17.885,18.119,7121,0
20060328,18.245,18.245,18.11,18.245,7455,0
20060329,18.236,18.281,18.155,18.155,25702,0
20060330,18.306,18.334,18.02,18.181,12462,0
20060331,18.155,18.316,18.029,18.29,10125,0
20060403,18.343,18.343,18.155,18.316,25257,0
20060404,18.208,18.334,17.749,17.948,29041,0
20060405,17.975,18.11,17.903,18.056,10459,0
20060406,18.146,18.146,17.749,18.11,31043,0
20060407,18.11,18.2,18.02,18.146,36607,0
20060410,18.082,18.208,18.082,18.208,31266,0
20060411,18.155,18.245,17.615,17.966,53965,0
20060412,17.894,17.894,17.094,17.768,47512,0
20060413,17.606,17.948,17.525,17.849,19471,0
20060418,17.687,17.839,17.525,17.704,16246,0
20060419,17.858,18.065,17.741,17.885,17358,0
20060420,17.885,17.931,17.704,17.831,12685,0
20060421,17.858,18.101,17.795,18.101,19027,0
20060424,18.155,18.155,17.849,18.056,19027,0
20060425,17.903,18.873,17.839,18.873,94465,0
20060426,18.963,19.099,18.594,18.873,90794,0
20060427,19.008,19.008,18.613,18.784,36384,0
20060428,18.864,18.864,18.271,18.729,26371,0
20060502,18.784,19.143,18.676,19.143,35049,0
20060503,19.225,19.305,19.008,19.233,152436,0
20060504,19.188,19.395,19.036,19.386,147541,0
20060505,19.404,19.638,19.143,19.593,35272,0
20060508,19.763,19.862,19.323,19.565,40391,0
20060509,19.737,19.773,19.413,19.583,36384,0
20060510,19.682,19.754,19.422,19.754,22031,0
20060511,19.862,19.862,19.547,19.682,73214,0
20060512,19.682,19.862,19.323,19.483,54076,0
20060515,19.422,19.773,19.008,19.233,64758,0
20060516,19.152,19.233,19.099,19.233,9569,0
20060517,19.278,19.835,18.927,19.251,42059,0
20060518,19.008,19.171,18.245,18.774,61642,0
20060519,18.873,19.171,18.784,19,24924,0
20060522,18.919,19.008,15.907,17.795,182256,0
20060523,17.795,18.2,17.723,17.975,95913,0
20060524,17.975,17.975,17.749,17.786,16801,0
20060525,17.795,17.795,17.704,17.795,13352,0
20060526,17.795,18.065,17.381,18.065,76998,0
20060529,18.2,18.334,18.11,18.334,11795,0
20060530,18.361,18.361,18.029,18.245,7788,0
20060531,18.065,18.146,17.489,17.966,16022,0
20060601,18.101,18.406,17.804,18.406,13352,0
20060602,18.416,18.622,18.253,18.568,14909,0
20060605,18.622,18.729,18.442,18.729,2671,0
20060606,18.558,18.729,18.245,18.245,11683,0
20060607,18.406,18.684,17.615,17.975,20919,0
20060608,17.885,17.966,17.544,17.544,9458,0
20060609,17.525,18.155,17.525,17.993,10347,0
20060612,17.975,18.172,17.975,18.155,12128,0
20060613,17.975,17.975,17.085,17.516,45285,0
20060614,17.516,17.525,17.176,17.525,31266,0
20060619,18.146,18.424,18.065,18.424,13464,0
