Date,Open,High,Low,Close,Volume,OpenInt
20060628,7.6673,7.733,7.5883,7.6293,4323,0
20060629,7.7243,7.95,7.713,7.8257,67248,0
20060630,7.9723,8.3293,7.9273,8.2953,26805,0
20060703,8.5593,8.5823,8.4037,8.5143,26223,0
20060704,8.5347,8.5347,8.3133,8.386,23613,0
20060705,8.379,8.4917,8.2727,8.458,14568,0
20060706,8.3903,8.4917,8.3903,8.4873,11427,0
20060707,8.4037,8.4917,8.3563,8.458,9690,0
20060710,8.4693,8.4693,8.2687,8.4083,12837,0
20060711,8.4133,8.4693,8.2593,8.3903,8064,0
20060712,8.424,8.4693,8.3113,8.363,7440,0
20060713,8.2663,8.363,8.153,8.2777,11451,0
20060714,8.187,8.2777,7.862,7.9677,46437,0
20060717,7.9387,8.0627,7.758,7.8437,26631,0
20060718,7.7803,7.9837,7.713,7.9157,11955,0
20060719,7.8823,8.1147,7.8823,8.074,7674,0
20060720,7.9723,8.3453,7.9723,8.2953,6252,0
20060721,8.3,8.3723,8.018,8.255,27450,0
20060724,8.2207,8.3563,8.2207,8.3407,10218,0
20060725,8.3407,8.3563,8.2457,8.334,8118,0
20060726,8.3113,8.5347,8.2457,8.4963,15153,0
20060727,8.474,8.537,8.4263,8.4917,7518,0
20060728,8.474,8.5347,8.411,8.4467,17967,0
20060731,8.537,8.537,8.4017,8.5143,18819,0
20060801,8.4917,8.5323,8.334,8.5007,29901,0
20060802,8.4803,8.5257,8.3563,8.442,34203,0
20060803,8.4917,8.5143,8.3453,8.3677,20979,0
20060804,8.3563,8.458,8.3227,8.4083,13596,0
20060807,8.4017,8.5257,8.3697,8.4803,10875,0
20060808,8.4467,8.5257,8.379,8.4133,32298,0
20060809,8.4017,8.4693,8.379,8.395,18126,0
20060810,8.3677,8.5143,8.3677,8.4803,23565,0
20060811,8.4693,8.5257,8.4133,8.4533,11748,0
20060814,8.4467,8.537,8.4467,8.4917,20430,0
20060815,8.5323,8.6927,8.4693,8.627,53760,0
20060816,8.6727,8.8647,8.605,8.7967,24990,0
20060817,8.8193,9.149,8.7967,9.068,42576,0
20060818,9.124,9.2573,8.966,9.0003,40680,0
20060821,9.0227,9.1693,8.8717,8.9777,37734,0
20060822,9.0003,9.0227,8.8757,8.989,30456,0
20060823,8.989,8.989,8.8193,8.8717,13005,0
20060824,8.8193,8.9187,8.6953,8.8533,16500,0
20060825,8.818,9.1777,8.7717,8.9583,26928,0
20060828,8.9837,9.0583,8.7483,8.795,36633,0
20060829,8.83,8.9377,8.7717,8.9117,15735,0
20060830,8.888,9.329,8.888,9.2617,33183,0
20060831,9.2963,9.329,9.1703,9.25,10311,0
20060901,9.215,9.308,9.215,9.2567,8001,0
20060904,9.2963,9.308,9.1333,9.2803,9708,0
20060905,9.2847,9.308,9.2617,9.2803,20043,0
20060906,9.2733,9.329,9.1613,9.2803,8286,0
20060907,9.2733,9.2847,9.145,9.1913,16599,0
20060908,9.215,9.2357,9.098,9.14,9054,0
20060911,9.1797,9.2333,9.11,9.2107,6867,0
20060912,9.11,9.2107,9.098,9.14,3690,0
20060913,9.098,9.1683,9.098,9.1333,9912,0
20060914,9.098,9.1683,8.9837,9.145,22623,0
20060915,9.0307,9.145,9.0307,9.117,3285,0
20060918,9.098,9.2263,9.04,9.187,13761,0
20060919,9.1683,9.238,9.1217,9.238,3045,0
20060920,9.308,9.308,9.1193,9.25,7557,0
20060921,9.2617,9.2943,9.1567,9.245,5397,0
20060922,9.215,9.2847,9.11,9.1333,11580,0
20060925,9.203,9.203,9.04,9.0703,21306,0
20060926,9.0633,9.1683,9.0283,9.1333,14163,0
20060927,9.14,9.2263,9.0747,9.14,11835,0
20060928,9.1703,9.203,9.098,9.145,8295,0
20060929,9.1217,9.203,9.0633,9.0747,23352,0
20061002,9.0517,9.203,9.0517,9.1633,6348,0
