Date,Open,High,Low,Close,Volume,OpenInt
20030714,2.1502,2.3005,2.1502,2.2563,11076,0
20030715,2.2959,2.2959,2.2032,2.2253,27349,0
20030716,2.2209,2.2209,2.0129,2.1898,57413,0
20030717,2.2077,2.2077,2.1412,2.1811,6781,0
20030718,2.1457,2.2563,2.1457,2.2121,15372,0
20030721,2.2341,2.2563,2.2341,2.2563,16501,0
20030722,2.2563,2.3005,2.2563,2.3005,50180,0
20030723,2.3005,2.3447,2.2873,2.3359,63969,0
20030724,2.3447,2.3802,2.3138,2.3802,67811,0
20030725,2.2563,2.3669,2.2563,2.3669,62839,0
20030728,2.3669,2.3802,2.3005,2.3802,91997,0
20030729,2.3447,2.3845,2.3447,2.3669,46564,0
20030730,2.3845,2.4288,2.3669,2.4288,30741,0
20030731,2.4332,2.4775,2.3845,2.4553,54023,0
20030801,2.5039,2.5218,2.4775,2.5039,167495,0
20030804,2.5218,2.7562,2.5084,2.566,93580,0
20030805,2.6545,2.6545,2.566,2.61,34132,0
20030806,2.6323,2.6323,2.5525,2.61,36393,0
20030807,2.6323,2.6545,2.5218,2.5218,67584,0
20030808,2.5218,2.61,2.5218,2.566,14918,0
20030811,2.566,2.5881,2.4995,2.5218,27576,0
20030812,2.5438,2.5881,2.5394,2.5614,37296,0
20030813,2.566,2.566,2.4995,2.5218,27124,0
20030814,2.4995,2.5394,2.4995,2.535,36618,0
20030815,2.5218,2.5394,2.4775,2.4995,41816,0
20030818,2.4775,2.5305,2.4775,2.5305,27803,0
20030819,2.5218,2.5394,2.5039,2.5218,31872,0
20030820,2.5218,2.5881,2.5039,2.557,15823,0
20030821,2.5614,2.5881,2.4995,2.5394,47016,0
20030822,2.566,2.61,2.5305,2.5438,57866,0
20030825,2.61,2.61,2.5438,2.5483,25768,0
20030826,2.5881,2.5881,2.5438,2.5438,42269,0
20030827,2.566,2.566,2.535,2.535,32776,0
20030828,2.535,2.5749,2.535,2.566,29612,0
20030829,2.566,2.5836,2.5438,2.566,21248,0
20030901,2.5438,2.6986,2.5438,2.566,55606,0
20030902,2.5749,2.5881,2.566,2.5881,9494,0
20030903,2.6058,2.7208,2.5881,2.7208,148959,0
20030904,2.7164,2.7164,2.6323,2.6677,169528,0
20030905,2.6986,2.7828,2.6986,2.765,481461,0
20030908,2.7784,2.9642,2.765,2.8977,202304,0
20030909,2.942,2.942,2.8092,2.8889,102621,0
20030910,2.8315,2.9111,2.7916,2.9111,109854,0
20030911,2.8491,2.942,2.796,2.9331,65776,0
20030912,2.942,2.942,2.8977,2.9198,16275,0
20030915,2.942,3.0305,2.9198,2.9642,34132,0
20030916,2.9861,3.0305,2.9198,3.0084,19665,0
20030917,3.0084,3.0526,2.995,3.0084,13564,0
20030918,2.9995,3.0526,2.9642,3.0084,23509,0
20030919,2.995,2.995,2.942,2.9818,33906,0
20030922,3.0084,3.0305,2.765,2.765,72559,0
20030923,2.7916,2.8491,2.7916,2.796,21248,0
20030924,2.8756,2.9907,2.8136,2.9154,31872,0
20030925,2.8756,2.9198,2.765,2.765,35036,0
20030926,2.765,2.765,2.5881,2.619,67133,0
20030929,2.6323,2.6633,2.5881,2.6545,32776,0
20030930,2.6677,2.6677,2.566,2.6545,34584,0
20031001,2.566,2.6588,2.5218,2.6545,35036,0
20031002,2.6633,2.7871,2.6545,2.7429,40461,0
20031003,2.818,2.8756,2.7871,2.8711,14241,0
20031006,2.8756,2.9022,2.7871,2.8711,11980,0
20031007,2.8711,2.8711,2.7517,2.765,4746,0
20031008,2.8666,2.8666,2.6545,2.6766,36845,0
20031009,2.7429,2.8092,2.7208,2.765,29158,0
20031010,2.7429,2.7871,2.7031,2.7605,19665,0
20031013,2.8359,2.8359,2.734,2.765,18986,0
20031014,2.7871,2.8315,2.7031,2.8315,33453,0
20031015,2.7605,2.9154,2.7605,2.8315,89285,0
20031016,2.8756,2.9861,2.8756,2.942,78662,0
20031017,2.9861,3.0305,2.9198,2.9861,105786,0
20031020,2.9861,2.9861,2.942,2.942,3390,0
20031021,2.9642,3.0084,2.9331,2.9331,14467,0
20031022,2.9642,2.9861,2.9286,2.9861,10171,0
20031023,2.9198,2.9198,2.765,2.8315,38201,0
20031024,2.8092,2.8711,2.7694,2.7694,6328,0
20031027,2.7694,2.8491,2.7694,2.8092,47016,0
20031028,2.8536,2.9597,2.8536,2.9242,77079,0
20031029,2.9597,2.9642,2.9242,2.9242,29385,0
20031030,2.942,2.942,2.8536,2.8536,17858,0
20031031,2.8756,2.9198,2.8536,2.8536,2260,0
20031103,2.8536,2.8756,2.765,2.7871,14692,0
20031104,2.7871,2.8315,2.7871,2.8092,7459,0
20031105,2.8315,2.8315,2.7871,2.7871,7007,0
20031106,2.7871,2.8315,2.765,2.8315,5200,0
20031107,2.8536,2.8536,2.7916,2.796,7007,0
20031110,2.7871,2.8269,2.7562,2.8225,18986,0
20031111,2.796,2.8269,2.7605,2.8092,44982,0
20031112,2.8092,2.8269,2.7694,2.818,6103,0
20031113,2.8269,2.8536,2.7739,2.8225,21474,0
20031114,2.765,2.7739,2.765,2.765,5877,0
20031117,2.7562,2.7694,2.7517,2.765,5651,0
20031118,2.7871,2.7871,2.7562,2.7562,4295,0
20031119,2.7517,2.7871,2.7473,2.7871,9268,0
20031120,2.7694,2.8092,2.7694,2.8092,13564,0
20031121,2.7694,2.8315,2.7694,2.8315,16953,0
20031124,2.7871,2.8315,2.7871,2.8315,31646,0
20031125,2.7473,2.7871,2.6986,2.7694,155740,0
20031126,2.765,2.8269,2.7429,2.818,26672,0
20031127,2.765,2.7784,2.7208,2.7784,34809,0
20031128,2.7517,2.8092,2.7473,2.7871,18986,0
20031201,2.8092,2.8623,2.7871,2.8536,17858,0
20031202,2.8623,2.942,2.8623,2.8846,22378,0
20031203,2.8889,2.9509,2.8889,2.9198,5426,0
20031204,2.8977,2.942,2.8447,2.8756,30063,0
20031205,2.8756,2.8977,2.8756,2.8977,24638,0
20031208,2.8536,2.9198,2.8536,2.9198,20344,0
20031209,2.9198,2.9198,2.8756,2.8756,9945,0
20031210,2.8756,2.8756,2.8136,2.8269,11754,0
20031211,2.8269,2.8756,2.8092,2.8756,15145,0
20031212,2.8536,2.8536,2.8004,2.8004,6555,0
20031215,2.8315,3.004,2.8092,2.942,99909,0
20031216,2.9642,3.0925,2.942,3.0746,165685,0
20031217,3.119,3.2075,3.1145,3.1543,192810,0
20031218,3.1411,3.1677,3.0172,3.0172,48146,0
20031219,3.057,3.119,3.0526,3.0925,41590,0
20031222,3.1013,3.119,3.0526,3.0968,14015,0
20031223,3.0615,3.0615,2.9861,3.057,62161,0
20031229,3.0526,3.0746,3.0526,3.0746,11076,0
20031230,3.0791,3.0791,3.0526,3.0526,43625,0
20040102,3.0526,3.0968,3.0349,3.0968,11076,0
20040105,3.0968,3.0968,3.0438,3.0746,51310,0
20040106,3.0746,3.0746,3.0526,3.0526,25316,0
20040107,3.1057,3.1057,3.0658,3.0746,16727,0
20040108,3.0746,3.0746,3.0084,3.0746,47467,0
20040109,3.0526,3.0746,3.026,3.0526,12659,0
20040112,3.0084,3.1411,3.0084,3.1411,98326,0
20040113,3.1411,3.1764,3.119,3.119,53120,0
20040114,3.1632,3.1632,3.0791,3.1588,51761,0
20040115,3.1764,3.1764,3.0968,3.1764,77758,0
20040116,3.1721,3.2296,3.1411,3.1411,52667,0
20040119,3.1632,3.2516,3.1455,3.2516,62161,0
20040120,3.2606,3.2606,3.2339,3.2339,9945,0
20040121,3.2296,3.3092,3.2296,3.2738,13564,0
20040122,3.2826,3.3579,3.1677,3.3181,81148,0
20040123,3.3622,3.4065,3.2606,3.3843,37522,0
20040126,3.3622,3.3843,3.3181,3.3224,8363,0
20040127,3.3843,3.3843,3.3181,3.3579,5651,0
20040128,3.3843,3.3843,3.3181,3.3269,3617,0
20040129,3.3579,3.3888,3.3136,3.3181,6781,0
20040130,3.3711,3.3711,3.2383,3.2782,8363,0
20040202,3.2915,3.2959,3.2339,3.2427,6555,0
20040203,3.3224,3.3224,3.1941,3.2427,11980,0
20040204,3.2252,3.2826,3.1721,3.2296,9719,0
20040205,3.2075,3.2516,3.1632,3.1852,6103,0
20040206,3.1632,3.2694,3.1057,3.203,27124,0
20040209,3.2427,3.2427,3.1411,3.1632,125224,0
20040210,3.15,3.15,3.0746,3.0968,45208,0
20040211,3.119,3.1411,3.0968,3.1013,51989,0
20040212,3.1411,3.1852,3.0791,3.1101,65551,0
20040213,3.1808,3.2252,3.1232,3.2252,20344,0
20040216,3.2119,3.3446,3.1588,3.3402,59222,0
20040217,3.3402,3.4021,3.3003,3.3181,37296,0
20040218,3.3711,3.3756,3.3181,3.3622,4972,0
20040219,3.3622,3.3622,3.2959,3.2959,1356,0
20040220,3.2561,3.3888,3.2561,3.2959,30063,0
20040223,3.3534,3.4507,3.2959,3.4507,42495,0
20040224,3.4507,3.4507,3.1721,3.3932,56962,0
20040225,3.4109,3.4287,3.3224,3.3446,11980,0
20040226,3.3667,3.4507,3.3622,3.4021,21248,0
20040227,3.4287,3.4905,3.3491,3.4198,30289,0
20040301,3.5083,3.5437,3.4729,3.526,53345,0
20040302,3.5349,3.5437,3.4949,3.5392,46790,0
20040303,3.4949,3.5172,3.4729,3.4949,14918,0
20040304,3.5172,3.526,3.4374,3.4463,26898,0
20040305,3.4507,3.4507,3.4242,3.4507,16727,0
20040308,3.4905,3.4949,3.3977,3.4287,8363,0
20040309,3.4374,3.4507,3.3977,3.4065,34358,0
20040310,3.3843,3.4287,3.3843,3.4065,25542,0
20040311,3.3843,3.3843,3.1897,3.3446,33906,0
20040312,3.3843,3.3843,3.1632,3.2694,30063,0
20040315,3.3047,3.3047,2.973,2.973,58770,0
20040316,2.9642,3.1677,2.9642,3.0968,59448,0
20040317,3.1632,3.3181,3.1232,3.265,46112,0
20040318,3.3047,3.3181,3.1852,3.2075,40009,0
20040319,3.2472,3.265,3.1232,3.265,30289,0
20040322,3.2516,3.2516,3.0526,3.0526,63065,0
20040323,3.0438,3.1852,3.0438,3.1588,12885,0
20040324,3.1057,3.1632,3.0305,3.1322,49502,0
20040325,3.1588,3.2959,3.1411,3.15,224908,0
20040326,3.2296,3.3622,3.2296,3.3402,79340,0
20040329,3.3622,3.3888,3.2561,3.3579,20796,0
20040330,3.3181,3.3667,3.3181,3.3269,31419,0
20040331,3.3843,3.3843,3.3622,3.3843,5651,0
20040401,3.4021,3.4774,3.4021,3.4065,34358,0
20040402,3.4507,3.4905,3.3622,3.4507,35488,0
20040405,3.4729,3.4729,3.4198,3.4596,22604,0
20040406,3.4507,3.4949,3.4507,3.4507,19891,0
20040407,3.4861,3.4861,3.3224,3.3224,57188,0
20040408,3.3181,3.3269,3.1852,3.2339,44529,0
20040413,3.2959,3.2959,3.2383,3.2959,15145,0
20040414,3.2516,3.2915,3.2339,3.2738,8137,0
20040415,3.3181,3.3181,3.2339,3.2339,10850,0
20040416,3.2959,3.2959,3.2427,3.2427,7459,0
20040419,3.265,3.2959,3.2516,3.2738,14467,0
20040420,3.2959,3.3402,3.2561,3.2738,22153,0
20040421,3.2561,3.3181,3.2516,3.3181,18309,0
20040422,3.3181,3.3622,3.3181,3.3224,15597,0
20040423,3.3622,3.3622,3.2516,3.2606,24412,0
20040426,3.3047,3.3269,3.2163,3.2738,89511,0
20040427,3.2738,3.3136,3.119,3.1232,91093,0
20040428,3.1941,3.2075,3.1277,3.1632,22604,0
20040429,3.2075,3.2694,3.1941,3.2296,24638,0
20040430,3.2738,3.3181,3.2119,3.2826,39557,0
20040503,3.2163,3.2694,3.119,3.1721,63290,0
20040504,3.1852,3.203,3.1808,3.1852,69846,0
20040505,3.2472,3.2826,3.1986,3.265,15145,0
20040506,3.2738,3.2738,3.1852,3.2075,6328,0
20040507,3.1897,3.2296,3.1852,3.2252,8814,0
20040510,3.1808,3.2296,3.1588,3.1852,9040,0
20040511,3.1455,3.1455,3.0968,3.1411,36166,0
20040512,3.1411,3.2208,3.1411,3.15,25994,0
20040513,3.2075,3.2075,3.1455,3.1455,4068,0
20040514,3.2075,3.2296,3.1941,3.2296,7912,0
20040517,3.2296,3.2296,3.0968,3.1455,15823,0
20040518,3.1411,3.1897,3.1411,3.1852,8137,0
20040519,3.203,3.2075,3.1543,3.1543,2712,0
20040520,3.1632,3.1677,3.1543,3.1677,1582,0
20040521,3.2075,3.2075,3.1677,3.2075,27124,0
20040524,3.1941,3.2296,3.1941,3.2296,31419,0
20040525,3.2296,3.2296,3.1941,3.2075,58995,0
20040526,3.2296,3.2296,3.1411,3.1411,44529,0
20040527,3.2119,3.3136,3.2119,3.2738,40235,0
20040528,3.3181,3.4021,3.2782,3.4021,155514,0
20040531,3.3402,3.4463,3.3181,3.4463,16953,0
20040601,3.3843,3.4418,3.3224,3.3622,54250,0
20040602,3.3622,3.3622,3.2296,3.3136,9945,0
20040603,3.0746,3.1588,2.9774,3.0968,30515,0
20040604,3.0968,3.2075,3.0526,3.0968,40687,0
20040607,3.119,3.2296,3.0968,3.1852,27576,0
20040608,3.1852,3.2163,3.1411,3.2163,8589,0
20040609,3.1764,3.2296,3.1632,3.1632,15145,0
20040610,3.1632,3.1632,3.0791,3.119,4295,0
20040611,3.1897,3.2252,3.1897,3.203,6781,0
20040614,3.2075,3.2075,3.1632,3.1808,13110,0
20040615,3.1632,3.1986,3.1632,3.1677,9494,0
20040616,3.1808,3.2075,3.1632,3.1764,9040,0
20040617,3.1411,3.203,3.1411,3.1852,4746,0
20040618,3.1852,3.1852,3.1764,3.1764,21926,0
20040621,3.1852,3.1852,3.15,3.1808,16727,0
20040622,3.1411,3.1764,3.1411,3.1764,8137,0
20040623,3.1455,3.1455,3.0968,3.1411,5426,0
20040624,3.1455,3.1852,3.119,3.1632,25768,0
20040625,3.1101,3.1411,3.0925,3.0925,56510,0
20040628,3.1455,3.203,3.0968,3.1632,13790,0
20040629,3.2075,3.2075,3.1411,3.1632,6328,0
20040630,3.1941,3.2075,3.1632,3.2075,19440,0
20040701,3.1543,3.2119,3.1543,3.2119,4068,0
20040702,3.2516,3.2516,3.1852,3.2119,7912,0
20040705,3.1455,3.2075,3.057,3.1411,52441,0
20040706,3.1411,3.1411,3.088,3.119,14918,0
20040707,3.0968,3.1366,3.0968,3.1145,2034,0
20040708,3.1057,3.1632,3.1013,3.1588,9719,0
20040709,3.1322,3.1322,3.0746,3.0968,19212,0
20040712,3.15,3.15,3.0615,3.0615,36618,0
20040713,3.0615,3.119,3.0615,3.088,35036,0
20040714,3.0968,3.0968,3.0084,3.0835,34358,0
20040715,3.0746,3.1588,3.0216,3.0968,128164,0
20040716,3.088,3.1411,3.0526,3.1145,27349,0
20040719,3.0746,3.0968,3.0526,3.0526,6328,0
20040720,3.0526,3.088,3.0084,3.0746,1131,0
20040721,3.0925,3.0925,3.0128,3.0128,2712,0
20040722,3.057,3.057,2.8846,2.9642,134041,0
20040723,2.8977,2.9642,2.8977,2.9597,7459,0
20040726,2.9552,2.9642,2.9111,2.9552,13790,0
