Date,Open,High,Low,Close,Volume,OpenInt
20070309,36,36,34.02,34.39,88500,0
20070312,34.4,34.7,34.25,34.5,32200,0
20070313,34.45,34.79,34,34.25,23200,0
20070314,33.9,34.2,33.2,33.85,35800,0
20070315,34,34,33.32,34,25400,0
20070316,34,34.39,33.96,34.29,8000,0
20070319,34.4,34.4,33.25,34.15,10600,0
20070320,34.1,34.1,33.41,34,1100,0
20070321,34,34.38,33.33,34.25,6500,0
20070322,34.3,34.34,33.57,33.98,5800,0
20070323,33.98,34.25,33.4,34.25,2400,0
20070326,33.31,34,33.3,33.9,3300,0
20070327,33.99,33.99,33.42,33.95,1400,0
20070328,33.95,33.95,33.46,33.7,700,0
20070329,33.7,34.25,33.7,33.98,11000,0
20070330,33.95,34.6,33.9,34.4,29000,0
20070402,34.5,34.5,34,34.5,2200,0
20070403,34,34.05,33.4,34,4200,0
20070404,34.17,34.19,33.55,34.19,1300,0
20070405,34,35,34,34.74,8500,0
20070410,34.75,35.49,34.5,35.49,20300,0
20070411,35.5,35.5,34.9,35.3,21500,0
20070412,35.1,35.3,35,35.3,5000,0
20070413,35.5,35.9,35.5,35.69,16900,0
20070416,35.7,35.89,35,35.3,9000,0
20070417,35.5,35.6,35.25,35.3,3000,0
20070418,35.55,35.55,35.22,35.49,8900,0
20070419,35.45,35.75,35.21,35.25,3900,0
20070420,35.7,35.7,35.25,35.4,5600,0
20070423,35.7,35.7,35.2,35.2,8100,0
20070424,35.3,35.45,34.95,35,20400,0
20070425,35,35,34.6,34.99,3200,0
20070426,35,35,34.77,35,3400,0
20070427,35,35,34.6,35,5900,0
20070430,34.61,35,34.51,34.6,9400,0
20070502,34.6,34.75,34.41,34.41,5800,0
20070503,34.9,34.9,34.24,34.25,9900,0
20070504,34.22,34.61,33.76,34,13000,0
20070507,34.1,34.49,33.91,33.91,19400,0
20070508,33.95,33.95,33.35,33.35,16300,0
20070509,33.5,33.97,33,33.25,8900,0
20070510,33.1,34.27,33.1,33.96,52100,0
20070511,33.51,34,32.99,34,2500,0
20070514,34,34.4,33.76,34,15600,0
20070515,34.01,34.5,34,34.5,2300,0
20070516,34.1,34.59,34.1,34.22,2600,0
20070517,34.1,34.1,34.1,34.1,2100,0
20070518,34.2,34.25,34.2,34.2,800,0
20070521,34,34.5,34,34.45,21200,0
20070522,34.45,35.05,34,34.7,21100,0
20070523,34.6,34.65,34.05,34.33,4700,0
20070524,34,34.45,33,34.11,15900,0
20070525,34.1,34.45,34,34.45,11900,0
20070529,34.01,34.3,34,34,1300,0
20070530,34.1,34.48,33.55,33.55,3500,0
20070531,33.65,34.5,33.51,34.5,4600,0
20070601,34.45,34.55,33.9,34.4,2100,0
20070604,33.95,34.4,33.71,34.4,1300,0
20070605,34,34.25,33.8,33.8,6200,0
20070606,33.8,34,33.35,33.85,5700,0
20070607,34,34,33.8,33.9,2000,0
20070608,33.8,34,33,33.99,15600,0
20070611,33.65,33.65,33.2,33.2,500,0
20070612,33.2,33.79,33.01,33.5,5200,0
20070613,33.2,33.4,32.5,33,6800,0
20070614,33,33.5,33,33.5,18400,0
20070615,33.5,33.5,33,33,17900,0
20070618,33,33.48,32.5,33.48,5900,0
20070619,33,33.2,32.85,32.85,2700,0
20070620,33.3,33.33,33.2,33.33,1500,0
20070621,33.5,33.85,32.35,33.4,8400,0
20070622,33.5,33.5,33,33.25,2600,0
20070625,33.48,33.5,33.3,33.3,2400,0
20070626,33.5,33.5,32.3,33,6000,0
20070627,33.2,33.2,30.5,31.5,18700,0
20070628,31.49,31.5,31.17,31.49,2500,0
20070629,31.5,31.6,29.37,29.98,72900,0
20070702,30.01,31.34,30.01,30.6,7200,0
20070703,30.95,32.46,30.95,31.75,40300,0
20070704,31.99,33.19,31.75,32.75,21100,0
20070705,33.8,34.5,33.5,33.65,22100,0
20070706,34,34.7,34,34.7,30400,0
20070709,34.75,35.2,34.75,35,7200,0
20070710,35.15,35.39,33.8,34.47,7600,0
20070711,34.05,35.5,34.05,35.5,7600,0
20070712,35.5,35.69,35.1,35.55,2900,0
20070713,35.8,36,35.01,35.48,5200,0
20070716,36,36,35.51,35.9,600,0
20070717,35.9,35.9,35.5,35.5,300,0
20070718,35,35.1,34.6,34.99,2100,0
20070719,35,35.95,34.8,35.5,3000,0
20070720,34.81,35.8,34.81,35,1600,0
20070723,35,35.55,35,35.07,1200,0
20070724,35.59,35.6,35.59,35.59,400,0
20070725,35.05,35.2,34.8,34.8,3300,0
20070726,35.09,35.09,34.5,34.8,200,0
20070727,34.5,34.5,33.95,33.95,1500,0
20070730,33.95,34,33.95,34,1700,0
20070731,34.3,34.3,34,34.25,1100,0
20070801,34.5,34.5,34,34,2400,0
20070802,34.3,34.5,34,34.5,300,0
20070806,34,34.3,33.95,34.3,1100,0
20070807,34.3,34.3,33.5,33.5,2800,0
20070808,34.09,34.09,33.9,34,2900,0
20070809,33.7,34.08,33.5,34,1400,0
20070810,33.5,34.25,32.5,34.25,6300,0
20070813,34,34.2,33.5,34.19,1500,0
20070814,34,34,33.5,34,2200,0
20070815,33.01,33.3,33,33,4900,0
20070816,32.6,33.3,32.55,33.3,1100,0
20070817,33.28,33.28,32.3,32.7,7400,0
20070820,32.8,32.8,30.33,31.8,8100,0
20070821,31.89,31.89,30.88,30.88,1500,0
20070822,31,31.05,30.61,31.05,4100,0
20070823,31,31.2,30.8,30.8,3100,0
20070824,31,31.5,31,31.5,5100,0
20070827,31.5,32,31.5,32,4200,0
20070828,31.8,31.8,31.5,31.55,1300,0
20070829,31.7,31.7,31,31.2,7800,0
20070830,31,31.55,31,31.3,5900,0
