Date,Open,High,Low,Close,Volume,OpenInt
20060628,6.2088,6.2608,6.1559,6.1873,16942,0
20060629,6.2401,6.2773,6.2401,6.2715,446,0
20060630,6.2715,6.3128,6.2608,6.2922,7800,0
20060703,6.3657,6.3945,6.2814,6.2814,2615,0
20060704,6.2814,6.3441,6.2715,6.2989,12890,0
20060705,6.2814,6.3235,6.2814,6.3128,1723,0
20060706,6.2814,6.4285,6.2814,6.4285,3571,0
20060707,6.4285,6.5647,6.3441,6.4911,2688,0
20060710,6.4492,6.4911,6.407,6.4805,0,0
20060711,6.4911,6.554,6.4705,6.5391,7292,0
20060712,6.5391,6.5432,6.4705,6.5186,4895,0
20060713,6.5186,6.5333,6.4705,6.5186,3793,0
20060714,6.5186,6.5308,6.2814,6.4911,4527,0
20060717,6.4911,6.4911,6.3863,6.4177,8470,0
20060718,6.3863,6.4285,6.3863,6.4177,1840,0
20060719,6.397,6.4177,6.3863,6.4177,603,0
20060720,6.4177,6.4177,6.3863,6.4177,0,0
20060721,6.4177,6.4391,6.3863,6.4177,0,0
20060724,6.4177,6.4391,6.3863,6.4177,645,0
20060725,6.397,6.4655,6.397,6.4655,4788,0
20060726,6.4911,6.5333,6.4492,6.5333,10691,0
20060727,6.4911,6.5333,6.4492,6.4805,3313,0
20060728,6.4911,6.5118,6.4391,6.4655,3684,0
20060731,6.4391,6.4655,6.397,6.4243,4309,0
20060801,6.407,6.4285,6.407,6.4285,2945,0
20060802,6.4285,6.4475,6.407,6.4449,938,0
20060803,6.4391,6.4449,6.4285,6.4449,33,0
20060804,6.4449,6.4764,6.4391,6.4764,3867,0
20060807,6.4764,6.4764,6.4391,6.4655,3498,0
20060808,6.4391,6.4655,6.4391,6.4655,0,0
20060809,6.4391,6.4655,6.3441,6.3863,5893,0
20060810,6.3863,6.3863,6.3441,6.3715,736,0
20060811,6.3715,6.3863,6.3235,6.355,1289,0
20060814,6.355,6.3657,6.2814,6.3657,1582,0
20060815,6.3235,6.3657,6.2401,6.3029,6997,0
20060816,6.3029,6.3319,6.1981,6.2188,9207,0
20060817,6.2188,6.2814,5.947,6.0469,6874,0
20060818,6.0469,6.1981,5.9677,6.1353,11480,0
20060821,6.1353,6.2376,6.051,6.1146,13550,0
20060822,6.1353,6.2088,6.1146,6.2088,3536,0
20060823,6.2088,6.2088,6.1353,6.1774,29464,0
20060824,6.1774,6.1981,6.1353,6.1832,22,0
20060825,6.1353,6.1981,6.051,6.1039,2209,0
20060828,6.1039,6.1666,5.9883,6.1246,5991,0
20060829,6.1246,6.1353,6.0196,6.0684,17751,0
20060830,6.0196,6.1981,6.0196,6.146,2209,0
20060831,6.146,6.2295,6.1353,6.1981,5414,0
20060901,6.1981,6.2401,6.1559,6.1981,6224,0
20060904,6.1981,6.2401,6.1204,6.1411,8706,0
20060905,6.1519,6.1559,6.1519,6.1559,1326,0
20060906,6.1559,6.1559,5.7372,6.1246,17060,0
20060907,6.0684,6.1246,6.0411,6.0411,0,0
20060908,5.9634,6.0411,5.7999,6.0196,20257,0
20060911,6.0098,6.0098,5.9008,6.0098,1472,0
20060912,5.9841,6.0724,5.9321,5.9841,5524,0
20060913,5.9634,5.9841,5.8165,5.8165,1605,0
20060914,5.7751,5.9743,5.5951,5.9743,7918,0
20060915,5.947,5.947,5.8586,5.9156,6076,0
20060918,5.8628,5.9883,5.8586,5.9568,1418,0
20060919,5.9428,6.0724,5.9428,6.0056,118630,0
20060920,6.0056,6.0221,5.5951,5.9948,135756,0
20060921,5.9841,6.0931,5.9677,5.9948,129651,0
