Date,Open,High,Low,Close,Volume,OpenInt
20090407,2.222,2.222,1.511,1.511,0,0
20090408,2.222,2.222,1.778,1.956,31,0
20090414,1.956,1.956,1.511,1.956,10,0
20090415,1.956,2.044,1.778,2.044,13,0
20090420,1.956,2.133,1.778,1.778,1,0
20090421,2.044,2.133,1.778,2.044,1,0
20090422,2.044,2.044,1.511,2.044,1,0
20090430,2.133,2.133,1.778,1.778,11,0
20090504,2.133,3.111,2.133,3.111,99,0
20090505,3.111,5.333,3.111,5.333,2716,0
20090507,5.333,6.4,5.333,6.4,112,0
20090508,4.444,4.444,3.644,3.644,3,0
20090511,3.644,7.111,3.644,7.111,550,0
20090512,7.111,7.111,3.822,3.822,137,0
20090513,3.822,5.244,3.022,3.822,56,0
20090514,3.822,3.822,3.111,3.111,1445,0
20090515,3.111,3.111,1.778,2.933,301,0
20090518,2.933,3.111,2.933,3.111,175,0
20090519,3.111,3.111,3.111,3.111,293,0
20090520,3.111,4,3.111,4,6,0
20090521,4,4,1.778,1.778,0,0
20090522,1.778,3.644,1.511,3.644,34,0
20090525,3.644,4,1.778,1.778,0,0
20090527,4,4,1.422,3.733,0,0
20090528,3.733,3.733,1.511,1.511,17,0
20090604,1.511,1.511,0.978,0.978,350,0
20090605,1.244,4.444,1.244,4.444,2614,0
20090608,2.933,2.933,1.778,1.778,0,0
20090609,3.111,3.111,1.778,1.778,42,0
20090615,3.111,3.111,3.111,3.111,451,0
20090616,3.111,3.111,1.778,1.778,1,0
20090617,2.756,2.756,1.511,1.511,1687,0
20090618,1.511,2.667,1.511,2.667,68,0
20090619,2.667,2.667,2.667,2.667,74,0
20090622,2.578,2.578,1.778,1.778,33,0
20090629,2.667,3.289,1.333,3.289,78,0
20090701,3.022,3.289,1.778,1.867,396,0
20090702,1.867,3.022,1.6,3.022,2,0
20090703,3.022,3.022,2.133,2.133,225,0
20090706,2.133,2.311,1.867,2.311,3,0
20090707,2.311,3.022,2.044,2.311,65,0
20090709,2.311,2.311,2.311,2.311,14,0
20090715,2.311,2.311,2.311,2.311,67,0
20090717,1.867,1.956,1.778,1.956,70,0
20090720,1.956,1.956,1.778,1.778,50,0
20090721,1.956,2.044,1.956,2.044,2,0
20090722,2.044,2.044,1.778,1.778,0,0
20090723,2.222,2.667,2.222,2.4,56,0
20090724,2.4,3.556,2.4,2.4,15,0
20090727,3.467,3.556,3.2,3.467,285,0
20090728,3.467,3.467,2.578,2.578,75,0
20090729,3.467,3.467,1.778,1.867,0,0
20090730,2.578,2.933,2.311,2.933,17,0
20090803,2.756,3.2,2.756,3.2,337,0
20090804,3.2,3.289,2.756,2.756,241,0
20090805,3.2,3.2,3.2,3.2,0,0
20090806,3.2,3.289,2.933,3.289,563,0
20090807,3.289,3.289,3.289,3.289,2,0
20090810,3.289,3.733,3.2,3.289,268,0
20090812,3.289,3.378,3.022,3.289,1,0
20090819,3.289,3.378,3.289,3.378,1,0
20090820,3.378,3.378,2.844,2.844,116,0
20090821,3.289,3.289,3.289,3.289,23,0
20090824,3.289,3.289,3.289,3.289,65,0
20090826,3.289,3.467,3.289,3.289,1171,0
20090827,3.467,3.556,3.467,3.467,126,0
20090828,3.467,3.467,2.667,2.667,0,0
20090831,2.756,3.644,2.756,2.756,11,0
20090901,2.756,3.2,2.756,3.2,13,0
20090903,3.2,3.2,2.667,2.667,1,0
20090904,3.2,3.2,3.2,3.2,11,0
20090907,3.2,3.378,2.667,3.2,257,0
20090908,3.2,3.2,3.2,3.2,112,0
20090910,3.2,3.556,3.2,3.556,430,0
20090911,3.556,4.444,3.556,4.444,146,0
20090914,4.444,4.444,3.556,3.556,337,0
20090915,3.556,3.556,3.556,3.556,1,0
20090916,3.556,6.044,3.556,6.044,1,0
20090917,3.556,6.667,3.556,4,205,0
20090918,4,5.333,4,5.333,454,0
20090921,5.067,5.333,4.889,4.978,247,0
20090922,5.333,5.778,5.067,5.067,83,0
20090924,5.422,5.422,5.422,5.422,15,0
20090925,5.422,5.422,5.422,5.422,0,0
20090928,5.422,5.422,5.156,5.422,20,0
20090929,5.422,7.111,5.422,7.022,1223,0
20090930,7.111,9.6,6.756,8,4026,0
20091001,8.089,14.133,8,14.133,3726,0
20091002,10.667,12.978,8,8,2978,0
20091005,11.022,11.022,9.156,9.156,227,0
20091006,9.244,9.244,7.556,7.644,405,0
20091007,7.733,7.733,7.2,7.644,704,0
20091008,7.289,8.8,6.933,8,653,0
20091009,8.089,8.622,8,8,258,0
20091012,8.089,8.089,6.844,6.844,145,0
20091013,7.2,8.711,3.733,7.556,988,0
20091014,8.711,8.711,5.778,6.222,166,0
20091015,7.644,8.8,5.778,7.556,58,0
20091016,8.889,8.889,6.133,6.133,225,0
20091019,6.222,6.311,5.156,5.333,1,0
20091020,6.4,8.889,4.622,8.889,125,0
20091021,4.978,6.933,4.978,6.933,42,0
20091022,6.311,8.444,4.978,7.111,102,0
20091023,7.911,7.911,5.6,6.311,1,0
20091026,7.556,7.644,6.222,7.556,45,0
20091027,6.311,6.933,5.511,6.933,22,0
20091028,6.311,6.311,5.422,5.867,66,0
20091029,5.867,7.822,5.333,7.556,358,0
20091030,7.467,8.444,5.778,8.444,33,0
20091102,7.467,7.733,5.333,5.689,361,0
20091103,7.733,7.733,5.867,7.556,28,0
20091104,7.467,7.556,4.444,5.778,136,0
20091105,5.778,8.444,5.778,7.378,76,0
20091109,5.867,7.111,5.867,7.111,56,0
20091110,6.222,7.111,4.444,5.956,7,0
20091111,7.467,7.467,4.444,5.956,12,0
20091112,5.867,6.222,5.333,6.044,25,0
20091116,5.867,6.4,5.867,6.4,11,0
20091117,6.222,6.222,6.222,6.222,0,0
20091118,6.222,6.222,6.222,6.222,0,0
20091119,6.222,6.222,6.222,6.222,118,0
20091120,6.222,6.222,6.222,6.222,51,0
20091123,6.222,6.222,6.222,6.222,1,0
20091124,6.222,7.467,6.222,7.467,189,0
20091126,6.222,6.222,6.222,6.222,90,0
20091127,6.222,7.289,6.222,7.289,33,0
20091130,6.222,7.111,6.222,7.111,12,0
20091201,7.022,7.022,6.222,6.222,11,0
20091203,6.222,7.556,5.778,7.556,33,0
20091204,5.778,13.511,5.778,13.511,4335,0
20091207,13.778,17.244,13.422,14.667,7072,0
20091208,14.489,15.022,13.867,14.933,450,0
20091209,14.667,14.667,12.444,12.444,1361,0
20091210,13.6,13.6,8.8,10.4,4614,0
20091211,10.222,10.578,8.889,10.044,95,0
20091214,9.867,11.911,8.889,11.822,381,0
20091215,11.911,11.911,8.978,11.822,149,0
20091216,8.978,11.556,8.978,10.667,464,0
20091217,9.6,14.222,8.978,11.822,230,0
20091218,10.667,12.889,8.978,9.867,447,0
20091221,8.889,11.911,8.889,9.867,588,0
20091222,8.889,12.889,8.889,11.644,1334,0
20091223,12.889,12.889,11.111,11.556,678,0
20091228,12.711,13.333,10.578,10.578,467,0
20091229,9.511,10.578,8.978,9.867,1701,0
20091230,8.889,9.156,8.8,8.8,304,0
20100104,7.911,11.467,7.911,11.467,1395,0
20100105,12.444,12.444,10.044,10.222,1018,0
20100106,12.178,13.333,10.311,10.667,538,0
20100107,9.6,13.333,8.444,9.689,2076,0
20100108,8.711,8.889,7.644,8,2772,0
20100111,8,8,8,8,275,0
20100112,8,8,1.778,1.778,858,0
20100113,1.484,1.778,1.484,1.778,5,0
20100114,1.511,1.52,1.511,1.52,183,0
20100115,1.556,1.6,1.556,1.6,13,0
20100118,1.653,1.796,1.653,1.796,497,0
20100119,1.778,2.009,1.778,2.009,172,0
20100120,2.222,2.667,2.222,2.667,48,0
20100121,2.8,2.88,2.667,2.88,532,0
20100122,2.933,3.111,2.933,3.111,473,0
20100125,3.396,3.396,2.96,3.111,313,0
20100126,2.933,3.111,2.933,3.111,616,0
20100127,3.111,3.111,2.933,3.022,58,0
20100128,2.658,3.022,2.222,2.649,444,0
20100201,1.778,1.956,1.6,1.956,2930,0
20100202,1.778,2.222,1.778,1.778,522,0
20100203,1.733,2.311,1.733,2.311,496,0
20100204,2.542,3.022,2.507,2.667,2448,0
20100205,2.667,2.711,2.623,2.623,563,0
20100208,2.996,2.996,2.978,2.978,829,0
20100209,2.622,2.844,2.622,2.844,115,0
20100211,2.622,2.667,2.533,2.533,3,0
20100215,2.578,2.667,1.956,2.596,380,0
20100216,2.711,2.711,2.667,2.667,45,0
20100218,2.578,2.578,2.578,2.578,12,0
20100223,2.578,2.578,2.489,2.578,149,0
20100224,2.578,2.579,2.578,2.579,45,0
20100226,2.498,3.111,2.489,3.111,311,0
20100301,3.111,3.111,2.489,2.667,58,0
20100302,2.578,2.844,2.578,2.844,227,0
20100303,2.578,2.667,2.578,2.667,112,0
20100304,2.222,2.667,2.222,2.578,70,0
20100305,2.4,2.4,2.4,2.4,1,0
20100308,2.311,2.4,2.311,2.311,589,0
20100309,2.311,2.364,2.222,2.364,56,0
20100311,2.444,2.444,2.444,2.444,171,0
20100312,2.444,2.444,2.444,2.444,394,0
20100315,1.209,1.867,1.209,1.867,118,0
20100317,2,2.044,1.973,2.044,171,0
20100319,2.071,2.133,2.071,2.133,500,0
20100324,2.071,2.072,2.071,2.072,33,0
20100326,2.071,2.072,2.071,2.072,2,0
20100329,1.867,2.222,1.867,2.222,532,0
20100330,2.071,2.213,1.867,2.213,2,0
20100401,2.071,2.071,2.071,2.071,1,0
20100408,1.778,2.045,1.778,2.045,36,0
20100412,2.044,2.268,1.778,2.268,33,0
