Date,Open,High,Low,Close,Volume,OpenInt
20151013,73.238,74.36,73.238,73.765,183,0
20151014,73.394,73.394,70.41,71.19,7300,0
20151015,72.068,72.068,71.151,71.678,2797,0
20151016,71.297,72.136,70.8,71.19,3047,0
20151019,71.668,71.678,70.751,70.751,2098,0
20151020,70.449,71.453,70.234,70.234,3037,0
20151021,71.434,71.57,68.157,68.157,4425,0
20151022,69.123,69.679,68.713,68.752,3120,0
20151023,67.777,68.83,65.982,68.752,204429,0
20151026,68.947,70.117,68.85,69.727,16372,0
20151027,69.708,69.727,68.128,68.255,6779,0
20151028,68.167,68.869,67.777,68.869,7705,0
20151029,69.23,69.24,67.631,68.508,3212,0
20151030,68.752,68.937,67.299,68.284,6104,0
20151102,68.284,69.727,68.079,69.727,4654,0
20151103,68.762,69.971,68.586,69.874,2654,0
20151104,70.02,70.02,68.947,68.947,2544,0
20151105,69.922,70.03,69.24,70.02,5004,0
20151106,69.727,70.02,69.483,69.727,5776,0
20151109,69.727,70.205,69.366,69.435,2150,0
20151110,69.24,69.708,68.85,69.24,2717,0
20151111,69.23,69.718,69.201,69.718,5904,0
20151112,69.727,71.19,69.718,70.702,8383,0
20151113,71.18,71.717,69.249,69.249,6859,0
20151116,69.142,69.718,68.508,69.679,1481,0
20151117,69.718,70.459,69.718,70.459,3879,0
20151118,70.264,71.18,70.225,70.225,5755,0
20151119,70.225,71.19,70.225,70.702,4372,0
20151120,71.19,71.775,69.737,70.507,7814,0
20151123,71.18,73.14,70.966,72.75,4346,0
20151124,72.731,72.789,71.775,72.351,3792,0
20151125,71.736,72.653,71.18,72.653,5675,0
20151126,72.653,72.799,71.97,72.799,8756,0
20151127,72.653,72.653,71.658,72.438,7897,0
20151130,72.438,74.116,72.438,74.116,16198,0
20151201,74.116,75.091,73.54,74.311,8007,0
20151202,73.14,73.628,71.678,72.653,17153,0
20151203,71.687,72.838,71.678,71.678,10302,0
20151204,71.678,72.741,70.8,72.263,18661,0
20151207,72.097,72.653,71.668,72.653,2500,0
20151208,72.165,72.165,71.034,71.083,2900,0
20151209,71.678,71.678,70.8,71.19,2032,0
20151210,60.463,60.463,55.879,58.707,184067,0
20151211,58.707,59.761,57.537,58.415,28618,0
20151214,58.62,59.644,57.401,58.025,22854,0
20151215,58.239,59.205,58.239,59.146,10995,0
20151216,59.829,59.829,58.025,58.152,28159,0
20151217,58.902,60.463,58.844,60.336,8497,0
20151218,59.322,60.95,58.815,60.95,7223,0
20151221,60.463,63.388,58.873,62.657,17137,0
20151222,62.725,63.769,61.926,63.769,11337,0
20151223,63.369,63.379,61.926,61.926,9463,0
20151228,61.643,62.111,60.57,60.629,4481,0
20151229,60.629,61.438,60.609,61.194,3032,0
20151230,61.477,61.477,59.683,59.731,4236,0
20160104,60.395,61.106,58.99,60.755,5553,0
20160105,60.755,61.438,60.004,60.95,7278,0
20160106,60.365,61.106,59,59.293,6321,0
20160107,59,59.205,56.377,56.796,21659,0
20160108,57.293,57.293,54.485,55.675,16177,0
20160111,55.392,56.562,54.836,54.836,6050,0
20160112,55.44,55.44,53.149,54.807,8505,0
20160113,54.699,55.343,53.783,54.124,7249,0
20160114,54.319,54.426,53.568,54.124,5716,0
20160115,55.187,55.187,53.89,54.417,5457,0
20160118,55.002,55.002,53.831,54.104,4524,0
20160119,55.099,57.537,55.07,56.474,10597,0
20160120,55.489,55.489,53.802,53.802,5964,0
20160121,55.041,55.041,54.124,54.807,3296,0
20160122,55.099,56.542,55.099,55.86,6116,0
20160125,55.684,55.938,54.417,55.089,1548,0
20160126,54.738,55.08,54.738,55.08,1623,0
20160127,55.089,55.587,54.807,55.099,11262,0
20160128,54.67,55.05,54.621,54.709,1128,0
20160129,55.041,55.284,54.758,55.099,6492,0
20160201,54.69,55.44,54.69,54.972,3671,0
20160202,54.904,55.07,54.026,54.612,5931,0
20160203,54.612,55.177,53.636,54.612,6386,0
20160204,54.134,54.612,53.861,53.929,1633,0
20160205,54.28,54.28,53.841,54.124,226,0
20160208,53.831,54.124,51.735,51.832,6234,0
20160209,52.564,52.564,49.18,50.126,6492,0
20160210,50.223,51.9,50.223,51.491,7353,0
20160211,50.467,51.091,49.775,49.882,6710,0
20160212,49.55,50.213,49.443,49.54,2221,0
20160215,50.223,51.003,50.223,50.711,3176,0
20160216,51.198,51.198,50.223,50.233,2984,0
20160217,50.877,52.037,50.243,51.822,3164,0
20160218,52.174,52.651,52.174,52.388,4475,0
20160219,52.222,52.895,51.852,52.174,2325,0
20160222,51.979,53.627,51.979,53.627,6123,0
20160223,53.627,53.929,53.188,53.636,2453,0
20160224,53.344,53.344,51.569,51.569,2684,0
