Date,Open,High,Low,Close,Volume,OpenInt
20000103,72.973,72.973,71.077,71.172,4853,0
20000104,70.793,71.267,70.129,71.267,25429,0
20000105,69.94,69.94,68.234,68.993,17621,0
20000106,69.191,69.892,67.571,68.234,12873,0
20000107,68.424,68.47,67.571,68.045,18466,0
20000110,67.571,68.944,67.571,68.708,29335,0
20000111,68.726,71.077,68.47,70.318,46218,0
20000112,70.888,71.029,69.579,71.029,27541,0
20000113,70.508,71.077,68.897,70.603,8125,0
20000114,70.139,70.651,68.897,70.651,8441,0
20000117,70.157,72.025,70.129,71.93,13402,0
20000118,73.731,73.731,68.708,69.173,13190,0
20000119,68.993,69.94,68.234,69.94,26590,0
20000120,69.94,69.94,67.665,68.708,19415,0
20000121,68.708,69.181,67.759,69.181,16568,0
20000124,67.855,68.14,66.917,67.523,72704,0
20000125,67.665,70.508,67.286,69.087,17621,0
20000126,68.708,70.983,68.708,70.129,72069,0
20000127,70.129,70.699,69.22,69.655,19943,0
20000128,69.655,69.655,68.944,68.944,3905,0
20000131,68.708,68.708,67.334,67.334,13402,0
20000201,67.759,67.759,66.434,66.718,49805,0
20000202,66.434,66.434,64.633,64.68,26908,0
20000203,65.627,65.627,61.695,62.358,16249,0
20000204,61.6,63.022,57.81,59.704,52759,0
20000207,58.283,58.757,55.914,57.335,93280,0
20000208,57.819,61.884,57.819,60.178,47168,0
20000209,59.704,60.321,57.335,58.663,40097,0
20000210,57.525,58.567,57.525,57.999,34821,0
20000211,57.904,58.283,57.335,57.81,41469,0
20000214,57.382,58.803,56.008,56.861,15405,0
20000215,57.999,58.757,57.81,58.757,25429,0
20000216,58.189,58.283,56.861,57.81,18782,0
20000217,58.757,59.231,55.914,57.288,27858,0
20000218,56.861,57.145,54.113,54.966,49278,0
20000221,55.346,57.051,55.346,56.625,9392,0
20000222,56.388,56.767,55.44,55.44,10341,0
20000223,55.914,57.335,55.914,56.814,14879,0
20000224,57.335,57.619,56.15,56.15,12557,0
20000225,56.672,56.672,53.355,54.966,18888,0
20000228,54.019,55.251,54.019,54.966,16568,0
20000229,55.914,56.008,55.06,55.44,28068,0
20000301,55.914,56.15,54.492,55.914,33028,0
20000302,55.914,55.914,54.492,54.492,25641,0
20000303,54.966,55.44,54.36,54.36,17516,0
20000306,54.36,54.966,54.255,54.966,7808,0
20000307,54.966,56.682,54.966,55.914,12030,0
20000308,56.388,56.388,54.966,54.966,7175,0
20000309,55.44,55.44,54.019,54.492,14245,0
20000310,54.019,54.492,51.176,51.176,16883,0
20000313,51.27,53.071,50.702,51.649,18994,0
20000314,51.649,52.882,51.365,52.882,23215,0
20000315,52.123,53.061,52.123,52.123,9287,0
20000316,52.597,54.492,52.597,54.492,22582,0
20000317,56.861,56.861,54.586,54.966,35666,0
20000320,55.346,57.81,55.346,57.429,10553,0
20000321,57.81,61.032,57.145,60.699,34400,0
20000322,61.58,63.496,61.58,62.358,57402,0
20000323,62.263,62.547,59.894,60.178,8863,0
20000324,59.988,61.126,59.704,59.988,30073,0
20000327,60.463,60.463,59.704,60.178,5697,0
20000328,59.515,60.889,58.283,59.62,27753,0
20000329,59.704,59.704,55.535,55.535,30707,0
20000330,56.056,56.861,55.127,55.914,25641,0
20000331,56.767,56.861,55.535,55.81,11502,0
20000403,55.715,55.904,54.88,55.155,38937,0
20000404,55.155,55.155,53.639,54.208,46851,0
20000405,54.872,55.155,54.019,54.966,54132,0
20000406,54.966,54.966,54.776,54.966,28806,0
20000407,54.586,54.966,53.45,54.966,21631,0
20000410,54.492,55.108,54.208,55.06,25852,0
20000411,54.966,54.966,53.071,54.255,29335,0
20000412,54.492,54.966,54.492,54.919,39464,0
20000413,54.492,56.104,54.492,55.108,36616,0
20000414,55.62,59.61,54.445,59.6,32290,0
20000417,55.535,59.515,55.535,58.947,44952,0
20000418,59.136,60.369,58.757,58.947,9075,0
20000419,59.704,60.653,59.695,60.595,39042,0
20000420,60.842,60.908,59.988,60.178,27858,0
20000425,60.178,61.032,59.894,60.273,19838,0
20000426,60.653,61.212,60.643,61.172,17727,0
20000427,61.172,61.306,60.842,61.032,20786,0
20000428,61.222,61.362,60.842,61.316,46007,0
20000502,62.406,63.959,62.406,63.496,27224,0
20000503,63.969,64.443,62.831,64.443,21105,0
20000504,63.533,63.875,63.316,63.362,5275,0
20000505,63.969,64.433,63.685,64.206,17200,0
20000508,63.78,64.065,63.125,63.496,9919,0
20000510,62.737,62.737,60.51,60.653,27753,0
20000511,59.894,59.894,55.63,56.861,30495,0
20000512,58.189,60.178,58.189,59.704,13929,0
20000515,60.178,62.263,59.894,62.074,26695,0
20000516,62.52,63.921,62.31,63.447,34927,0
20000517,63.496,63.496,60.852,60.852,27753,0
20000518,62.169,63.486,62.074,63.486,9708,0
20000519,62.784,63.496,62.747,63.022,13190,0
20000522,63.477,64.642,63.258,63.875,24903,0
20000523,63.496,64.396,63.496,64.349,27119,0
20000524,63.685,63.685,60.748,60.748,9497,0
20000525,61.362,61.6,61.23,61.6,4958,0
20000526,61.457,61.457,57.81,58.757,9075,0
20000529,59.62,61.41,59.62,61.41,11819,0
20000530,60.937,61.316,60.653,61.126,8969,0
20000531,61.41,61.41,59.231,59.704,20471,0
20000601,59.231,59.704,58.851,58.851,6753,0
20000602,59.704,59.704,58.757,59.165,8547,0
20000605,59.866,59.866,57.335,58.663,43474,0
20000606,58.189,58.33,56.482,56.861,82201,0
20000607,56.814,56.814,54.966,56.814,25852,0
20000608,55.06,56.577,53.639,55.82,64578,0
20000609,56.293,56.577,55.117,55.866,25324,0
20000612,55.914,56.008,55.478,55.914,2216,0
20000613,55.459,55.82,53.735,54.208,30601,0
20000614,54.692,55.155,53.355,53.355,34294,0
20000615,54.255,55.251,54.019,54.823,29757,0
20000616,55.155,55.914,54.966,55.346,33343,0
20000619,55.203,56.008,55.203,56.008,34821,0
20000620,55.914,55.96,55.09,55.411,20260,0
20000621,55.904,55.914,54.492,54.492,17621,0
20000622,54.332,54.398,53.735,54.398,4853,0
20000623,54.586,56,54.539,55.914,75763,0
20000626,55.914,57.335,55.914,56.861,45058,0
20000627,56.861,58.803,56.861,58.803,24058,0
20000628,57.81,61.126,57.81,60.576,22158,0
20000629,60.653,61.41,60.178,60.653,22582,0
20000630,60.558,61.496,60.463,61.126,36933,0
20000703,61.222,61.222,58.473,58.473,13929,0
20000704,58.947,58.947,58.189,58.757,11397,0
20000705,58.757,58.993,57.81,57.81,6331,0
20000706,58.473,58.757,55.914,57.81,31657,0
20000710,57.999,59.704,57.999,59.704,8547,0
20000711,59.041,59.657,58.709,59.411,13613,0
20000712,59.704,60.225,58.757,59.704,43474,0
20000714,61.496,61.506,60.558,61.202,12030,0
20000717,60.842,60.842,58.283,59.657,51072,0
20000718,59.42,59.961,59.136,59.961,5697,0
20000719,59.894,61.022,59.704,61.022,18360,0
20000720,60.699,62.169,60.699,62.169,19415,0
20000721,61.6,61.979,58.757,58.757,16462,0
20000724,58.473,58.851,58.283,58.757,15302,0
20000725,59.231,59.704,58.757,59.704,18255,0
20000726,59.704,61.164,59.62,59.799,16568,0
20000727,60.653,61.79,60.653,61.6,18466,0
20000728,61.979,62.547,61.79,61.884,19943,0
20000731,62.263,63.885,62.263,62.263,38831,0
20000801,63.496,64.149,63.447,63.875,17410,0
20000802,63.496,64.633,63.496,63.817,22264,0
20000803,64.443,65.39,64.253,65.39,16568,0
20000804,66.176,67.192,65.201,65.296,39570,0
20000807,64.917,65.581,63.685,63.695,30601,0
20000808,64.301,64.301,59.988,60.662,46324,0
20000809,61.79,64.443,61.79,63.865,27753,0
20000810,63.78,63.969,63.401,63.401,3376,0
20000811,63.022,64.443,63.022,64.443,8758,0
20000814,63.496,63.496,61.032,61.6,21420,0
20000815,62.263,62.263,61.41,62.074,3060,0
20000816,61.126,61.6,60.178,60.718,14561,0
20000817,60.463,61.222,59.894,60.178,24691,0
20000818,60.178,60.178,58.283,58.757,31761,0
20000821,58.709,59.041,56.956,57.335,73230,0
20000822,57.81,58.283,56.596,58.283,62151,0
20000823,57.145,57.999,56.861,57.81,38620,0
20000824,58.189,58.567,57.335,58.283,63524,0
20000825,58.757,58.757,58.283,58.672,22052,0
20000828,58.283,58.757,57.81,58.283,12557,0
20000829,58.283,58.614,57.335,57.429,8019,0
20000830,57.382,58.663,57.382,58.283,20154,0
20000831,57.856,59.041,57.856,57.856,23109,0
20000901,57.81,58.851,57.619,58.283,59197,0
20000904,58.094,58.653,57.429,58.473,10553,0
20000905,57.999,58.757,57.714,58.235,24375,0
20000906,58.567,58.803,58.094,58.378,11606,0
20000907,58.33,58.33,57.572,57.619,25219,0
20000908,58.189,58.189,57.429,57.856,19098,0
20000911,58.283,58.283,56.577,56.861,94018,0
20000912,56.861,56.861,54.966,55.44,17516,0
20000914,54.776,55.44,54.019,54.019,17516,0
20000915,54.047,54.586,53.639,53.639,12979,0
20000918,54.682,56.122,54.019,55.317,27330,0
20000919,54.672,55.44,54.586,55.06,29546,0
20000920,55.06,55.914,55.06,55.06,17939,0
20000921,55.535,55.724,53.829,54.019,34610,0
20000922,54.492,56.264,53.923,56.264,17832,0
20000925,55.914,55.914,53.829,54.862,25748,0
20000926,54.776,54.776,54.019,54.303,9181,0
20000927,53.923,54.492,53.545,54.019,96339,0
20000928,54.398,54.398,53.488,53.497,7386,0
20000929,53.735,54.019,53.166,53.166,11185,0
20001002,53.166,54.208,53.166,54.019,8969,0
20001004,53.781,54.019,53.261,53.45,29441,0
20001005,53.555,54.398,53.555,54.019,3692,0
