Date,Open,High,Low,Close,Volume,OpenInt
20000103,15.936,16.5,15.936,15.936,22845,0
20000104,15.312,15.798,14.799,15.798,16511,0
20000105,15.199,15.796,14.874,14.874,54460,0
20000106,14.943,15.225,14.943,15.14,6675,0
20000107,15.221,15.366,14.999,15.366,14408,0
20000110,15.455,15.669,15.224,15.651,21198,0
20000111,15.236,15.517,15.09,15.09,72130,0
20000112,15.143,15.374,15.143,15.228,13348,0
20000113,15.647,15.647,15.084,15.297,45687,0
20000114,15.366,15.511,15.008,15.11,32097,0
20000117,15.218,15.218,14.74,15.149,71940,0
20000118,15.152,15.152,14.623,14.658,41584,0
20000119,14.805,14.805,14.583,14.805,15100,0
20000120,14.805,14.805,14.78,14.805,21771,0
20000121,14.661,15.088,14.661,14.943,41224,0
20000124,15.08,15.225,14.797,14.943,87483,0
20000125,14.805,14.951,14.669,14.805,76787,0
20000126,15.072,15.072,14.654,14.953,87877,0
20000127,15.374,15.518,14.946,15.228,195298,0
20000128,15.371,15.371,15.088,15.14,132802,0
20000131,15.14,15.26,15.088,15.14,160323,0
20000201,15.155,15.513,14.942,15.513,342003,0
20000202,15.28,15.648,15.221,15.366,76611,0
20000203,15.256,15.794,15.11,15.11,100975,0
20000204,15.366,15.366,14.982,15.366,74386,0
20000207,15.644,15.644,15.081,15.081,24957,0
20000208,15.087,15.199,14.96,15.199,67810,0
20000209,15.081,15.081,14.663,15.081,117287,0
20000210,14.943,15.088,14.661,14.943,106455,0
20000211,14.829,15.084,14.658,14.658,54236,0
20000214,14.918,14.918,14.432,14.432,27403,0
20000215,14.434,14.52,14.093,14.52,62755,0
20000216,14.523,14.891,14.523,14.805,62389,0
20000217,14.879,15.648,14.683,15.366,87974,0
20000218,15.112,15.513,14.942,15.513,5973,0
20000221,15.518,15.655,14.946,15.287,17563,0
20000222,14.794,14.802,14.368,14.658,61265,0
20000223,14.663,15.372,14.663,15.346,24356,0
20000224,15.2,15.225,14.687,14.687,17450,0
20000225,15.225,15.225,14.797,14.943,6910,0
20000228,14.802,14.802,14.374,14.52,11356,0
20000229,14.917,14.943,14.662,14.687,99426,0
20000301,14.795,14.795,14.086,14.146,8785,0
20000302,14.143,14.143,13.802,13.802,24368,0
20000303,13.834,13.834,13.237,13.723,11593,0
20000306,13.661,13.942,13.635,13.635,9604,0
20000307,13.515,13.515,13.378,13.378,4217,0
20000308,13.383,13.58,13.213,13.221,58893,0
20000309,13.035,13.376,12.89,13.103,115272,0
20000310,13.126,13.518,12.493,12.493,51291,0
20000313,12.5,13.098,12.5,12.67,8076,0
20000314,12.951,13.378,12.951,13.378,15929,0
20000315,13.807,13.807,13.38,13.517,9838,0
20000316,14.085,14.794,13.804,14.658,12299,0
20000317,15.517,15.517,14.544,15.218,53629,0
20000320,14.936,15.081,14.936,15.081,22848,0
20000321,15.217,15.507,14.936,15.081,76044,0
20000322,15.514,16.506,15.514,15.651,51297,0
20000323,16.626,16.626,15.798,16.507,48597,0
20000324,16.653,16.653,15.798,15.798,29742,0
20000327,16.224,16.37,16.224,16.37,8783,0
20000328,16.309,16.309,15.651,15.651,24828,0
20000329,15.936,16.508,15.672,15.739,23419,0
20000330,16.5,16.5,15.936,15.936,8786,0
20000331,16.224,16.506,15.968,16.37,20611,0
20000403,16.507,16.507,15.654,15.798,23537,0
20000404,15.944,15.944,15.654,15.798,56909,0
20000405,15.936,15.936,15.509,15.936,31866,0
20000406,15.513,15.513,15.369,15.513,47787,0
20000407,15.372,16.371,15.372,15.798,28337,0
20000410,16.226,16.226,15.603,15.798,87823,0
20000411,16.074,16.475,16.005,16.005,30224,0
20000412,16.079,17.359,16.079,17.078,39819,0
20000413,16.797,17.088,16.515,17.088,12296,0
20000414,16.8,16.995,16.508,16.586,95896,0
20000417,15.796,16.881,15.514,16.881,20261,0
20000418,16.367,16.879,15.795,16.221,51302,0
20000419,16.795,16.879,16.077,16.419,24713,0
20000420,16.218,16.414,15.936,15.936,1991,0
20000425,16.506,17.077,16.223,16.881,13585,0
20000426,16.396,16.652,16.165,16.507,21312,0
20000427,16.51,16.569,16.27,16.27,5035,0
20000428,16.506,16.591,16.42,16.498,9954,0
20000502,16.783,16.783,15.988,16.329,5623,0
20000503,15.71,15.71,15.71,15.71,469,0
20000504,15.796,17.479,15.796,17.078,73194,0
20000505,17.364,18.082,16.596,16.596,67086,0
20000508,16.8,16.8,16.509,16.655,23768,0
20000510,15.999,16.229,15.999,16.084,18849,0
20000511,16.222,16.419,16.077,16.419,13586,0
20000512,16.653,16.653,16.423,16.448,2108,0
20000515,16.09,16.157,15.798,15.798,38174,0
20000516,15.938,16.647,14.658,14.658,143966,0
20000517,15.366,15.938,15.221,15.366,44982,0
20000518,15.631,15.828,15.631,15.828,15102,0
20000519,16.333,16.333,15.369,15.513,29515,0
20000522,15.511,15.511,15.366,15.366,4920,0
20000523,15.653,16.362,15.653,16.311,18736,0
20000524,16.217,16.371,15.739,15.798,31968,0
20000525,15.884,15.884,15.798,15.798,1756,0
20000526,15.934,15.943,15.661,15.661,11243,0
20000529,15.936,15.936,15.936,15.936,6912,0
20000530,15.936,15.987,15.792,15.936,36903,0
20000531,16.033,16.229,15.956,15.956,6791,0
20000601,16.228,16.459,16.143,16.143,11239,0
20000602,15.65,16.221,15.65,16.221,3514,0
20000605,16.373,16.655,15.8,16.655,29506,0
20000606,16.647,16.793,16.076,16.084,8903,0
20000607,16.797,17.36,16.241,16.241,3279,0
20000608,16.373,16.655,15.86,15.877,9835,0
20000609,16.161,16.161,16.032,16.084,3514,0
20000612,16.054,16.089,16.054,16.054,1053,0
20000613,16.22,16.793,16.22,16.793,60560,0
20000614,16.224,16.395,16.224,16.37,21782,0
20000615,16.368,16.368,15.941,16.359,39703,0
20000616,15.973,16.084,15.657,16.084,3160,0
20000619,16.065,16.065,15.646,15.936,6678,0
20000620,15.386,15.651,15.386,15.651,351,0
20000621,16.01,16.01,14.661,14.943,17099,0
20000622,15.084,15.435,15.084,15.435,6326,0
20000623,15.081,15.336,15.081,15.081,45345,0
20000626,14.654,15.217,14.654,15.081,7850,0
20000627,15.081,15.286,14.799,14.953,54132,0
20000628,15.164,15.301,15.027,15.258,21784,0
20000629,15.015,15.091,14.579,15.031,19436,0
20000630,14.688,15.081,14.688,15.081,17215,0
20000703,15.088,15.225,15.088,15.14,820,0
20000704,16.5,16.5,15.936,15.936,11597,0
20000705,15.795,16.077,15.369,15.513,26118,0
20000706,15.655,15.945,15.655,15.936,2811,0
20000710,15.657,16.084,15.657,16.084,59591,0
20000711,16.047,16.073,15.792,15.936,16870,0
20000712,15.955,16.074,15.955,16.074,469,0
20000714,15.93,16.084,15.657,16.084,16155,0
20000717,15.792,15.852,15.792,15.808,3162,0
20000718,15.667,16.025,15.658,16.025,23179,0
20000719,15.657,16.084,15.657,16.084,14166,0
20000720,15.94,16.162,15.94,16.093,125793,0
20000721,16.169,16.229,15.973,16.084,41327,0
20000724,16.196,16.793,16.076,16.734,458219,0
20000725,16.652,16.738,16.507,16.507,208675,0
20000726,16.643,16.789,16.388,16.507,10896,0
20000727,16.652,16.797,16.439,16.439,6441,0
20000728,16.734,16.75,16.451,16.734,31275,0
20000731,16.507,16.507,16.507,16.507,2108,0
20000801,16.515,16.652,15.653,16.507,85017,0
20000802,16.507,16.507,16.183,16.507,23186,0
20000803,16.502,16.929,16.229,16.793,82230,0
20000804,16.794,17.357,16.623,16.93,112796,0
20000807,16.45,16.988,16.45,16.793,51540,0
20000808,16.797,16.804,16.37,16.37,16278,0
20000810,16.617,16.617,15.942,16.37,22250,0
20000811,16.373,16.655,16.373,16.655,4215,0
20000814,16.992,16.992,16.37,16.37,4567,0
20000815,16.506,17.078,16.506,17.078,55863,0
20000816,16.991,17.222,16.923,17.137,250281,0
20000817,17.134,17.159,16.929,16.989,34087,0
20000818,17.07,17.216,17.07,17.216,41828,0
20000821,17.081,18.217,17.081,17.943,126458,0
20000822,18.074,18.356,18.074,18.16,238823,0
20000823,18.207,18.582,18.181,18.582,236061,0
20000824,18.164,18.506,17.933,17.933,57965,0
20000825,18.298,18.298,17.607,17.658,35134,0
20000828,17.802,17.896,17.648,17.648,31155,0
20000829,17.932,17.932,17.787,17.796,41925,0
20000830,17.931,17.957,17.786,17.786,32792,0
20000831,17.899,17.933,17.507,17.933,10656,0
20000901,18.001,18.215,17.932,17.992,26114,0
20000904,18.185,18.211,17.981,18.16,5154,0
20000905,18.19,18.19,17.737,17.933,20727,0
20000906,17.932,17.975,17.582,17.599,23890,0
20000907,17.355,17.875,17.355,17.56,38424,0
20000908,17.504,17.845,17.393,17.845,57975,0
20000911,17.849,17.849,17.455,17.678,14169,0
20000912,17.781,17.815,17.67,17.815,3865,0
20000914,17.588,17.785,17.358,17.648,22839,0
20000915,17.333,17.333,16.658,16.94,3512,0
20000918,16.99,16.99,16.221,16.221,8433,0
20000919,16.591,16.761,16.155,16.625,60898,0
20000920,16.507,16.507,16.507,16.507,8432,0
20000921,16.077,16.794,16.077,16.478,29517,0
20000922,16.928,17.501,16.536,17.501,56930,0
20000925,17.933,18.386,17.558,17.933,68504,0
20000926,17.736,17.83,17.216,17.216,40422,0
20000927,17.272,17.502,16.606,16.606,18389,0
20000928,17.649,17.649,16.651,17.078,34196,0
20000929,16.8,17.363,16.8,17.363,43909,0
20001004,17.355,17.355,16.365,16.921,22842,0
20001005,16.594,17.363,16.218,17.363,46367,0
20001006,17.099,17.099,16.076,16.084,44862,0
20001009,16.215,16.421,16.053,16.37,24593,0
20001010,15.796,17.009,15.796,17.009,13118,0
20001011,17.085,17.085,16.94,16.94,3512,0
20001012,16.94,16.957,16.803,16.94,84283,0
20001023,17.184,17.304,17.184,17.304,4686,0
20001025,16.925,17.411,16.925,17.216,106853,0
20001026,17.352,17.471,17.216,17.216,200349,0
20001027,17.081,17.568,17.081,17.363,219542,0
20001030,17.358,17.648,16.811,16.94,106344,0
20001101,17.507,17.933,17.507,17.933,1874,0
20001102,17.648,17.699,17.503,17.648,92409,0
20001103,17.703,17.933,17.703,17.933,150708,0
20001106,17.755,18.635,17.755,18.071,126402,0
20001107,18.213,18.588,18.213,18.494,291273,0
20001108,18.385,18.529,18.359,18.504,505329,0
20001109,18.504,18.786,18.469,18.504,383652,0
20001110,18.679,18.858,18.559,18.858,105025,0
20001113,18.791,18.791,17.792,18.219,240476,0
20001115,17.078,17.222,16.796,17.078,49422,0
20001116,17.073,17.636,17.073,17.235,77902,0
20001117,17.356,17.637,17.211,17.57,54468,0
20001120,17.545,17.596,17.511,17.511,7493,0
20001121,17.93,17.93,17.648,17.845,32090,0
20001122,17.931,18.213,17.786,17.786,28459,0
20001123,17.393,18.298,16.795,17.137,189027,0
20001124,17.222,17.445,17.078,17.078,77528,0
20001127,17.355,17.501,17.134,17.501,47441,0
20001128,17.644,17.781,17.218,17.747,27647,0
20001129,17.653,18.08,17.363,17.363,55734,0
20001130,17.648,17.93,17.077,17.393,34083,0
20001201,16.797,17.497,16.797,17.216,18629,0
20001204,17.352,17.352,17.07,17.216,4335,0
20001205,17.079,17.343,17.079,17.343,9135,0
20001206,17.104,17.361,16.652,17.088,54687,0
20001207,17.226,17.363,16.8,17.363,19904,0
20001208,17.362,17.619,17.225,17.619,25175,0
20001211,16.8,17.363,16.552,16.655,17445,0
20001212,16.895,16.895,16.647,16.793,17571,0
20001213,16.789,16.984,16.763,16.763,62800,0
20001214,16.931,16.931,16.29,16.29,24713,0
20001215,16.353,16.507,16.293,16.507,91690,0
20001218,16.644,16.644,16.414,16.448,62562,0
20001219,16.369,16.651,16.223,16.625,302500,0
20001220,16.229,16.289,16.016,16.084,127609,0
20001221,15.088,16.37,15.088,16.37,15809,0
20001222,16.366,16.793,16.366,16.793,6208,0
20001227,17.5,17.509,16.928,17.304,118196,0
20001228,17.222,17.308,17.078,17.078,28106,0
20001229,17.081,17.363,17.081,17.363,4215,0
20010102,17.355,17.525,16.962,17.432,207342,0
20010103,16.937,16.937,16.271,16.596,29504,0
20010104,17.079,17.079,16.507,16.507,13466,0
20010108,16.841,16.841,16.704,16.704,1757,0
20010109,16.943,17.481,16.943,17.481,22483,0
20010110,17.327,17.327,16.678,16.96,65377,0
20010111,16.647,17.048,16.647,17.048,3514,0
20010112,16.795,17.648,16.795,17.648,114194,0
20010115,17.593,17.593,17.029,17.422,61475,0
20010116,17.166,17.363,17.166,17.166,9484,0
20010117,17.079,17.737,17.079,17.737,291466,0
20010118,17.357,17.904,17.357,17.904,85384,0
20010119,17.792,18.356,17.655,17.963,176080,0
