Date,Open,High,Low,Close,Volume,OpenInt
20151109,20.35,20.35,20.075,20.14,52351,0
20151110,20.15,20.46,20,20.04,234246,0
20151111,20.1,20.65,19.725,19.95,993785,0
20151112,19.91,20.175,19.9,20,55636,0
20151113,19.91,19.995,19.85,19.9,87008,0
20151116,19.82,19.89,19.7,19.85,255346,0
20151117,19.9,20.09,19.71,20.07,18495,0
20151118,20.14,20.2,20,20,10692,0
20151119,20.05,20.2,19.5,19.74,297182,0
20151120,19.8,20.05,19.59,20.05,72581,0
20151123,20,20.15,19.85,19.88,12844,0
20151124,19.755,19.8,19.49,19.61,136899,0
20151125,19.75,19.98,19.49,19.765,147571,0
20151126,19.58,19.7,19.44,19.7,138735,0
20151127,19.51,22.2,19.5,20.175,334674,0
20151130,19.9,20.7,19.66,19.8,91377,0
20151201,19.8,19.805,19.35,19.77,206376,0
20151202,19.65,20,19.57,20,21177,0
20151203,19.755,20.745,19.755,20.6,50356,0
20151204,20.685,20.805,20.2,20.3,39531,0
20151207,20.5,22,20.5,21.8,191581,0
20151208,21.7,21.895,21.095,21.49,73826,0
20151209,21.5,21.5,20.825,21.365,52732,0
20151210,21.705,21.705,20.25,20.88,33724,0
20151211,20.855,20.9,20.455,20.74,13058,0
20151214,21.27,21.31,20.545,20.65,66941,0
20151215,20.35,21.3,20.2,20.6,38509,0
20151216,21,21.075,20.735,20.825,8898,0
20151217,21.15,21.15,20.16,20.5,98580,0
20151218,20.48,20.78,20.16,20.21,16265,0
20151221,20.38,20.78,20.325,20.4,10903,0
20151222,20.765,20.765,20.46,20.46,11181,0
20151223,20.655,20.97,20.215,20.97,26164,0
20151228,20.99,20.99,20.415,20.825,6990,0
20151229,20.79,20.8,20.475,20.65,8270,0
20151230,20.515,20.845,19.9,20.135,57228,0
20160104,20.14,20.3,19.9,20.3,11000,0
20160105,20.35,20.5,20,20.5,15763,0
20160106,20.5,20.5,20.165,20.2,6463,0
20160107,20.02,20.025,19.675,19.7,27208,0
20160108,20.05,20.095,19.4,19.4,8687,0
20160111,19.305,19.9,19.3,19.7,21448,0
20160112,20,20,19.61,19.8,14261,0
20160113,20,20,19.505,19.55,52549,0
20160114,19.47,19.55,18.225,18.5,32222,0
20160115,18.3,18.625,17.4,17.5,51402,0
20160118,17.8,17.8,17.43,17.5,11010,0
20160119,17.9,17.9,17.265,17.5,28392,0
20160120,17.5,17.71,16.63,17.015,36618,0
20160121,17,17.2,16.8,16.95,9005,0
20160122,17.2,17.45,16.955,17.105,88193,0
