Date,Open,High,Low,Close,Volume,OpenInt
20141111,26.281,26.425,25.713,25.995,1092749,0
20141112,26.071,27.237,25.966,27.218,251638,0
20141113,27.276,27.371,26.869,27.094,96716,0
20141114,27.141,27.907,26.865,26.879,46364,0
20141117,27.08,27.242,26.908,27.047,41556,0
20141118,27.141,27.237,26.999,26.999,45728,0
20141119,27.146,27.475,26.946,27.189,99904,0
20141120,27.333,27.333,27.012,27.012,57852,0
20141121,27.189,27.228,26.951,27.008,60345,0
20141124,27.189,27.189,26.958,27.057,47979,0
20141125,27.18,27.204,27.004,27.025,16600,0
20141126,27.047,27.189,26.974,26.979,45812,0
20141127,27.047,27.674,27.047,27.572,112869,0
20141128,27.519,28.671,27.171,27.422,83591,0
20141201,27.524,28.021,27.295,27.715,82309,0
20141202,27.955,28.225,27.711,27.955,95182,0
20141203,28.097,30.2,27.955,29.659,167280,0
20141204,30.009,30.63,29.842,30.487,110743,0
20141205,30.525,31.252,30.487,31.041,86479,0
20141208,31.339,32.503,31.156,31.954,103394,0
20141209,32.173,32.173,30.874,31.347,65417,0
20141210,31.252,31.849,30.248,31.639,56732,0
20141211,31.595,31.82,31.127,31.564,39821,0
20141212,31.442,32.038,31.349,31.802,85375,0
20141215,31.968,33.086,31.538,32.316,117934,0
20141216,32.589,33.439,32.037,33.261,136259,0
20141217,33.401,34.405,33.177,34.025,93545,0
20141218,34.405,34.433,33.21,33.745,73014,0
20141219,33.688,34.185,31.873,33.301,77664,0
20141222,33.67,33.928,33.072,33.734,29879,0
20141223,33.943,34.883,33.497,34.382,44145,0
20141229,34.596,34.596,33.56,34.065,25043,0
20141230,34.022,34.166,33.449,33.449,21793,0
20150102,33.258,33.645,33.087,33.231,31128,0
20150105,33.334,33.688,31.092,31.139,51479,0
20150106,31.228,32.493,30.707,31.473,82764,0
20150107,31.471,32.389,31.471,31.944,56792,0
20150108,31.992,33.861,31.849,33.611,132215,0
20150109,33.861,34.304,32.536,33.201,100530,0
20150112,33.569,34.395,33.167,34.065,79877,0
20150113,34.166,34.214,33.647,34.048,56634,0
20150114,33.88,35.074,33.76,34.604,101511,0
20150115,34.883,37.272,34.788,36.913,164630,0
20150116,36.742,38.032,36.376,37.179,170189,0
20150119,37.79,38.457,37.177,38.276,135955,0
20150120,38.457,38.945,36.025,36.715,175606,0
20150121,36.985,37.333,35.227,36.539,140578,0
20150122,36.317,37.129,36.317,37.06,85944,0
20150123,36.842,37.654,36.746,37.209,107669,0
20150126,37.272,38.955,37.005,38.797,136754,0
20150127,38.801,38.801,37.803,38.185,61021,0
20150128,38.371,38.466,37.177,38.228,85475,0
20150129,38.027,38.589,37.931,38.544,32021,0
20150130,38.691,39.119,37.951,38.633,53970,0
20150202,38.61,39.292,38.323,39.023,74659,0
20150203,39.041,40.044,38.754,39.142,99099,0
20150204,39.184,39.328,38.323,38.812,48283,0
20150205,38.706,39.033,38.271,38.933,54053,0
20150206,39.033,39.033,38.497,38.658,26529,0
20150209,38.706,38.892,35.666,38.033,201796,0
20150210,37.941,39.184,37.941,38.983,30958,0
20150211,38.706,39.184,38.29,38.522,78908,0
20150212,38.419,38.658,37.373,38.445,75456,0
20150213,38.304,38.514,38.008,38.283,69881,0
20150216,38.419,38.466,37.752,38.212,34966,0
20150217,37.999,38.338,37.497,38.194,27746,0
20150218,38.055,38.397,38.055,38.323,45026,0
20150219,38.371,39.088,38.095,38.657,106331,0
20150220,38.562,40.378,38.509,39.71,183688,0
20150223,40.33,40.665,39.738,40.398,119596,0
20150224,40.474,41.095,40.33,40.951,87938,0
20150225,40.904,41.535,40.096,40.771,120141,0
20150226,40.809,40.885,38.4,40.119,174369,0
20150227,40.091,41.057,39.556,40.295,76391,0
20150302,40.761,40.957,39.709,40.8,130614,0
20150303,40.999,42.146,40.713,41.274,171255,0
20150304,41.477,42.582,41.224,41.787,130359,0
20150305,41.955,43.675,41.669,43.268,136961,0
20150306,43.037,44.345,42.671,43.814,187441,0
20150309,44.01,44.172,43.704,43.944,75746,0
20150310,43.962,44.345,43.105,43.105,78454,0
20150311,43.579,44.239,42.628,44.004,113726,0
20150312,43.962,44.249,43.566,43.781,46028,0
20150313,43.819,44.306,43.532,44.227,69624,0
20150316,44.201,45.027,44.153,44.482,84435,0
20150317,44.727,45.074,42.638,43.532,106010,0
20150318,43.532,43.843,40.345,42.863,174614,0
20150319,42.863,45.085,42.385,44.921,127067,0
20150320,45.061,45.983,44.774,45.922,99198,0
20150323,45.804,46.351,44.02,45.094,127184,0
20150324,44.918,45.085,43.484,44.434,136909,0
20150325,44.44,44.918,43.451,43.868,92827,0
20150326,43.962,44.951,41.392,44.86,144747,0
20150327,44.726,45.572,43.006,44.477,173120,0
20150330,44.728,45.109,43.9,44.251,130162,0
20150331,44.365,44.44,42.118,43.053,183484,0
20150401,42.843,43.962,42.762,43.104,63545,0
20150402,43.016,43.756,43.016,43.444,66041,0
20150407,44.201,44.201,43.274,43.962,116702,0
20150408,44.235,44.235,43.322,43.886,94670,0
20150409,44.153,44.249,43.484,44.192,110073,0
20150410,44.249,44.249,43.847,44.01,71778,0
20150413,44.201,44.277,43.685,43.828,87996,0
20150414,43.771,43.771,43.011,43.566,75911,0
20150415,43.785,44.392,43.675,44.167,92322,0
20150416,43.982,44.182,43.36,43.584,46511,0
20150417,43.455,43.642,42.356,42.438,78677,0
20150420,42.261,43.288,42.156,42.92,52733,0
20150421,43.274,43.704,43.107,43.594,52718,0
20150422,43.475,43.819,43.15,43.389,66035,0
20150423,43.657,43.657,43.006,43.193,56025,0
20150424,43.15,43.541,43.15,43.246,41545,0
20150427,43.341,43.341,42.59,42.815,37541,0
20150428,43.078,43.102,41.157,41.75,111862,0
20150429,42.065,42.065,39.049,39.542,172598,0
20150430,39.757,39.891,39.054,39.432,145836,0
20150504,39.982,41.114,39.374,40.895,67602,0
20150505,40.956,41.453,39.743,39.772,79167,0
20150506,39.662,41.047,39.379,39.681,62295,0
20150507,39.413,39.728,37.846,39.356,125810,0
20150508,39.819,40.617,39.422,40.015,93956,0
20150511,40.139,40.33,38.912,39.332,64489,0
20150512,38.897,39.518,38.276,38.677,112928,0
20150513,39.8,39.939,39.198,39.332,102509,0
20150514,39.508,39.523,38.878,39.499,50457,0
20150515,39.585,39.585,38.744,39.088,65119,0
20150518,39.184,39.422,38.993,39.422,91326,0
20150519,39.949,40.999,39.666,40.378,180549,0
20150520,42.051,43.15,41.076,42.767,1844294,0
20150521,42.911,44.482,42.772,44.23,610760,0
20150522,44.416,44.492,43.341,43.484,212079,0
20150526,43.766,43.962,42.333,42.815,192706,0
20150527,42.681,43.198,42.151,42.863,174235,0
20150528,42.92,43.575,42.529,42.706,181735,0
20150529,42.873,43.006,41.955,42.49,153213,0
20150601,42.815,43.67,42.395,43.36,100489,0
20150602,43.857,43.857,43.212,43.422,149452,0
20150603,43.742,44.44,43.15,43.866,144110,0
20150604,43.599,43.8,42.777,43.203,99141,0
20150605,42.911,43.374,42.257,42.94,39306,0
20150608,42.968,43.092,41.846,41.969,42977,0
20150609,41.811,42.404,40.999,42.333,83231,0
20150610,42.433,43.771,42.103,43.599,117017,0
20150611,43.627,44.268,43.579,43.847,113843,0
20150612,43.637,44.119,42.28,42.6,120604,0
20150615,42.328,43.216,41.396,41.846,131978,0
20150616,41.339,42.395,41.095,42.118,99452,0
20150617,42.247,42.529,40.718,40.857,170205,0
20150618,40.809,40.875,39.279,40.388,343376,0
20150619,40.555,42.338,40.368,41.085,945864,0
20150622,41.859,42.983,41.63,42.983,144753,0
20150623,43.327,44.235,42.868,43.982,157740,0
20150624,43.866,43.943,43.13,43.355,186646,0
20150625,42.997,43.006,42.156,42.509,114017,0
20150626,42.509,43.021,41.888,42.495,80700,0
20150629,40.34,41.955,39.996,41.525,148130,0
20150630,41.233,42.194,40.713,41.324,139503,0
20150701,41.286,42.663,41.286,42.051,109850,0
20150702,41.803,42.299,41.606,41.778,86917,0
20150703,41.927,42.222,41.664,42.055,49214,0
20150706,41.477,42.132,41.372,41.884,65523,0
20150707,41.745,42.214,40.33,40.33,113855,0
20150708,40.617,40.617,38.993,39.097,181065,0
20150709,39.088,39.652,38.749,39.465,140904,0
20150710,40.531,41.793,39.752,40.149,164575,0
20150713,40.646,41.568,40.187,40.345,103688,0
20150714,40.484,40.746,39.222,40.239,214295,0
20150715,41.955,42.529,41.023,41.85,227449,0
20150716,42.242,43.198,42.051,42.385,113685,0
20150717,42.624,42.853,42.171,42.529,39724,0
20150720,42.538,43.761,42.538,43.68,82476,0
20150721,43.398,43.977,43.011,43.168,101198,0
20150722,43.016,43.069,42.423,42.724,72064,0
20150723,43.193,43.193,41.803,42.356,76074,0
20150724,42.376,42.519,41.41,41.611,84415,0
20150727,41.401,41.477,39.906,39.906,101401,0
20150728,40.163,41.286,40.101,40.655,60663,0
20150729,41.129,41.157,39.967,40.431,88406,0
20150730,40.809,40.913,39.341,40.206,94497,0
20150731,40.091,41.477,39.475,41.267,111934,0
20150803,41.095,42.81,40.139,42.232,110421,0
20150804,42.486,42.767,42.232,42.438,102700,0
20150805,42.815,43.198,42.179,42.433,66093,0
20150806,42.347,42.796,41.826,42.075,40843,0
20150807,42.051,42.356,41.382,41.42,54819,0
20150810,41.811,41.85,40.708,41.038,110853,0
20150811,41.095,41.143,40.034,40.292,90008,0
20150812,39.949,39.962,36.962,37.936,218321,0
20150813,39.308,39.566,38.801,39.231,133007,0
20150814,40.139,40.684,38.959,39.084,132660,0
20150817,40.115,40.115,38.902,39.542,94849,0
20150818,39.642,39.949,39.179,39.452,73956,0
20150819,39.374,39.538,38.725,38.811,81712,0
20150820,38.686,38.691,36.794,37.134,158633,0
20150821,35.361,37.401,34.902,36.035,255513,0
20150824,34.563,35.351,32.164,33.655,261884,0
20150825,34.468,35.657,33.928,35.212,212853,0
20150826,35.141,36.287,34.788,35.619,206463,0
20150827,36.698,37.286,36.231,36.632,246875,0
20150828,36.904,37.048,35.643,35.924,145763,0
20150831,36.221,36.947,35.371,35.877,180254,0
20150901,35.361,35.777,34.458,34.978,108331,0
20150902,35.313,35.361,34.601,34.922,107635,0
20150903,35.447,35.724,34.673,35.361,234918,0
20150904,35.208,35.293,34.692,34.836,156375,0
20150907,35.217,35.457,35.012,35.361,94321,0
20150908,35.552,35.848,35.179,35.404,222884,0
20150909,36.087,37.23,35.934,36.612,170842,0
20150910,36.46,36.603,36.145,36.35,134703,0
20150911,36.498,36.498,35.724,36.13,101806,0
20150914,36.216,36.36,35.457,35.83,110389,0
20150915,35.838,35.944,35.361,35.562,147627,0
20150916,35.6,35.848,35.485,35.562,96600,0
20150917,35.782,36.517,35.38,35.696,183057,0
20150918,30.286,33.416,29.928,32.484,2232962,0
20150921,32.886,32.972,29.852,32.695,379669,0
20150922,32.972,33.043,29.913,30.1,427158,0
