Date,Open,High,Low,Close,Volume,OpenInt
20001023,23.317,23.317,22.327,22.604,119583,0
20001025,23.018,23.268,22.993,23.144,21009,0
20001026,23.119,23.119,23.021,23.07,2020,0
20001027,23.021,23.144,23.021,23.144,3636,0
20001030,23.352,23.939,23.292,23.939,24644,0
20001101,24.407,24.624,24.259,24.567,46458,0
20001102,24.569,25.372,24.51,24.927,130491,0
20001103,25.112,25.223,24.63,24.868,99384,0
20001106,24.89,26.475,24.89,25.866,187453,0
20001107,25.767,26.097,25.377,25.71,75952,0
20001108,25.767,27.287,25.767,27.228,63428,0
20001109,27.154,28.564,27.139,28.209,131704,0
20001110,28.466,28.714,28.342,28.547,79991,0
20001113,28.515,28.763,28.459,28.459,234721,0
20001115,28.973,29.308,28.85,29.209,117563,0
20001116,29.209,29.331,28.8,28.986,106251,0
20001117,29.209,29.209,28.956,28.961,12928,0
20001120,28.714,28.719,26.98,26.98,66255,0
20001121,26.739,26.739,25.248,25.4,87667,0
20001122,25.171,25.248,24.05,24.876,52116,0
20001123,24.791,25.744,24.691,25.744,63428,0
20001124,25.744,26.586,25.619,26.486,25856,0
20001127,26.602,27.778,26.602,27.6,76760,0
20001128,27.354,27.989,27.354,27.723,13736,0
20001129,27.723,27.723,27.104,27.416,42419,0
20001130,27.476,27.673,26.238,26.413,40400,0
20001201,26.53,26.658,22.278,23.536,681137,0
20001204,23.689,24.01,23.689,24.001,79588,0
20001205,24.222,24.259,23.998,24.259,24644,0
20001206,24.204,24.381,23.763,24.01,20603,0
20001207,23.861,24.04,23.638,23.638,36360,0
20001208,23.763,23.887,23.638,23.887,25047,0
20001211,24.407,24.407,23.824,24.259,29492,0
20001212,24.01,24.01,23.638,23.763,16160,0
20001213,23.763,23.763,23.515,23.515,37975,0
20001214,23.392,23.539,23.392,23.392,49288,0
20001215,23.268,23.475,22.773,23.475,44440,0
20001218,24.01,24.01,23.169,23.415,58580,0
20001219,23.612,23.703,23.515,23.539,21815,0
20001220,23.638,24.259,23.614,23.911,90493,0
20001221,23.887,24.01,23.701,24.01,49692,0
20001222,24.01,24.01,23.415,23.515,11716,0
20001227,23.441,23.441,23.268,23.271,19796,0
20001228,23.271,23.292,22.922,22.922,19796,0
20001229,22.823,23.65,22.823,23.31,25451,0
20010102,23.268,23.268,22.797,23.084,10504,0
20010103,23.292,23.515,23.268,23.33,24239,0
20010104,23.638,23.638,22.574,22.773,107867,0
20010108,22.79,22.869,22.648,22.71,18179,0
20010109,22.699,22.699,22.104,22.104,39592,0
20010110,21.881,21.906,21.46,21.535,74738,0
20010111,21.559,21.559,20.99,21.04,64639,0
20010112,21.064,21.357,20.694,20.841,47671,0
20010115,21.04,21.416,21.04,21.416,130895,0
20010116,21.659,21.659,21.126,21.211,15755,0
20010117,21.402,21.869,21.402,21.783,113524,0
