Date,Open,High,Low,Close,Volume,OpenInt
20000103,31.271,32.095,31.271,32.003,1309,0
20000104,32.095,32.095,30.81,31.086,9269,0
20000105,30.72,30.903,28.426,29.344,10251,0
20000106,30.353,30.353,28.426,29.161,5780,0
20000107,29.161,29.161,27.519,28.702,34459,0
20000110,28.565,29.619,28.565,29.161,15813,0
20000111,29.712,29.712,29.161,29.206,27261,0
20000112,29.619,32.086,29.253,31.638,52781,0
20000113,31.178,31.775,30.995,31.638,18757,0
20000114,31.408,31.408,30.81,30.995,10360,0
20000117,30.261,31.178,29.527,29.527,11559,0
20000118,29.436,29.802,29.206,29.527,17557,0
20000119,30.261,30.261,27.968,29.206,12541,0
20000120,30.261,30.261,27.51,28.152,90948,0
20000121,28.426,28.967,27.968,28.702,19629,0
20000124,28.702,29.574,28.611,29.527,13522,0
20000125,29.069,29.344,27.556,27.556,6979,0
20000126,29.712,29.712,27.51,28.198,12760,0
20000127,27.51,27.51,26.685,26.822,19302,0
20000128,27.51,27.51,25.676,25.676,33369,0
20000131,25.63,25.676,24.759,24.85,127480,0
20000201,25.218,25.584,23.851,23.851,46020,0
20000202,24.025,24.485,23.292,24.117,58560,0
20000203,23.979,24.896,23.934,24.759,45693,0
20000204,25.126,25.493,23.842,23.842,46347,0
20000207,25.493,25.493,22.787,23.062,49618,0
20000208,23.384,24.3,22.832,23.384,49073,0
20000209,23.384,23.585,22.934,22.934,61069,0
20000210,22.926,23.384,22.375,23.384,22574,0
20000211,23.384,23.384,22.008,22.926,52890,0
20000214,23.246,23.246,21.237,21.549,32170,0
20000215,22.466,22.466,21.192,21.641,65757,0
20000216,22.008,23.842,21.916,23.384,181462,0
20000217,23.842,24.53,23.659,23.659,122354,0
20000218,24.3,24.3,22.466,22.971,92258,0
20000221,23.796,23.796,23.622,23.631,10360,0
20000222,23.017,23.751,22.926,23.384,64666,0
20000223,23.796,24.072,22.282,22.926,60306,0
20000224,23.384,23.384,21.825,22.466,53327,0
20000225,22.651,23.384,22.558,22.926,10577,0
20000228,22.558,22.651,21.549,22.42,42093,0
20000229,21.734,23.292,21.734,22.926,36860,0
20000301,23.384,24.117,23.2,23.842,78190,0
20000302,23.475,23.842,22.926,23.475,44929,0
20000303,23.659,23.751,22.926,22.926,46892,0
20000306,23.842,23.842,22.053,22.558,19957,0
20000307,22.328,23.155,22.101,22.926,36096,0
20000308,23.155,23.374,22.926,22.926,16903,0
20000309,22.926,24.3,22.926,23.934,172955,0
20000310,24.3,24.714,23.842,24.025,36315,0
20000313,24.3,24.668,23.934,24.3,34787,0
20000314,24.668,25.493,24.3,25.218,39259,0
20000315,25.218,27.327,25.218,25.483,21484,0
20000316,26.043,26.043,25.218,25.668,5671,0
20000317,25.905,25.905,25.171,25.218,14395,0
20000320,25.859,26.043,24.622,24.943,37623,0
20000321,25.769,25.769,24.85,25.171,51691,0
20000322,25.218,25.749,25.034,25.676,45802,0
20000323,25.42,26.043,25.218,25.769,18429,0
20000324,25.63,26.135,25.584,25.859,63141,0
20000327,26.135,26.593,25.493,25.951,13087,0
20000328,26.455,26.455,24.85,24.85,11885,0
20000329,25.676,26.455,25.401,25.676,33478,0
20000330,25.859,26.135,25.676,26.135,10687,0
20000331,26.227,27.327,26.227,27.052,22574,0
20000403,27.418,27.418,26.502,26.593,25844,0
20000404,26.86,26.96,26.135,26.868,102616,0
20000405,26.96,26.96,25.676,25.676,9814,0
20000406,26.363,26.593,24.943,24.943,31079,0
20000407,26.135,26.318,25.493,25.795,56271,0
20000410,26.135,26.96,25.676,26.593,22574,0
20000411,26.409,26.593,25.723,26.135,58778,0
20000412,26.96,26.96,26.135,26.593,31843,0
20000413,25.813,26.868,25.813,26.135,23337,0
