Date,Open,High,Low,Close,Volume,OpenInt
20090406,0.171,0.171,0.16,0.171,180,0
20090407,0.171,0.171,0.17,0.171,25,0
20090409,0.172,0.172,0.16,0.17,27,0
20090414,0.169,0.19,0.16,0.171,4548,0
20090415,0.169,0.171,0.16,0.17,250,0
20090416,0.171,0.19,0.16,0.17,1923,0
20090417,0.17,0.19,0.13,0.13,9072,0
20090420,0.129,0.171,0.129,0.17,59,0
20090423,0.13,0.18,0.13,0.17,2212,0
20090424,0.13,0.171,0.13,0.17,297,0
20090427,0.129,0.171,0.129,0.16,20007,0
20090429,0.121,0.17,0.12,0.16,105,0
20090430,0.121,0.18,0.1,0.12,2526,0
20090504,0.122,0.18,0.122,0.13,3070,0
20090505,0.13,0.17,0.13,0.17,150,0
20090506,0.13,0.19,0.12,0.17,622,0
20090507,0.13,0.17,0.13,0.17,70,0
20090508,0.131,0.17,0.13,0.141,1301,0
20090511,0.13,0.17,0.13,0.15,2001,0
20090512,0.119,0.16,0.119,0.15,10,0
20090513,0.122,0.16,0.122,0.15,232,0
20090514,0.12,0.15,0.11,0.11,100,0
20090515,0.155,0.155,0.131,0.131,100,0
20090518,0.099,0.155,0.099,0.15,71,0
20090519,0.111,0.15,0.111,0.15,146,0
20090520,0.11,0.15,0.11,0.15,44,0
20090521,0.109,0.15,0.109,0.11,100,0
20090522,0.11,0.15,0.11,0.15,669,0
20090525,0.11,0.15,0.11,0.11,8800,0
20090526,0.07,0.15,0.07,0.11,860,0
20090527,0.07,0.145,0.07,0.11,99,0
20090528,0.07,0.145,0.07,0.111,782,0
20090529,0.071,0.12,0.071,0.111,45,0
20090602,0.071,0.12,0.071,0.115,266,0
20090603,0.075,0.12,0.075,0.116,232,0
20090604,0.077,0.12,0.076,0.115,160,0
20090605,0.075,0.115,0.064,0.114,2318,0
20090608,0.074,0.114,0.074,0.11,1000,0
20090609,0.07,0.11,0.07,0.11,86,0
20090610,0.07,0.15,0.07,0.095,6676,0
20090611,0.056,0.11,0.055,0.1,1095,0
20090612,0.11,0.11,0.06,0.1,10000,0
20090615,0.06,0.11,0.06,0.1,300,0
20090618,0.06,0.12,0.06,0.098,304,0
20090619,0.06,0.11,0.06,0.098,113,0
20090622,0.06,0.13,0.06,0.125,4314,0
20090623,0.08,0.13,0.08,0.1,768,0
20090624,0.08,0.13,0.06,0.11,100,0
20090625,0.08,0.13,0.06,0.12,18280,0
20090626,0.08,0.125,0.06,0.06,2370,0
20090629,0.08,0.08,0.06,0.06,7541,0
20090630,0.08,0.08,0.06,0.075,2030,0
20090702,0.109,0.112,0.09,0.103,860,0
20090703,0.114,0.114,0.07,0.114,6800,0
20090706,0.112,0.123,0.09,0.123,11590,0
20090707,0.13,0.131,0.09,0.131,1159,0
20090708,0.129,0.139,0.09,0.139,3000,0
20090709,0.132,0.139,0.09,0.12,1520,0
20090714,0.13,0.139,0.13,0.131,280,0
20090715,0.131,0.141,0.125,0.131,20452,0
20090716,0.131,0.139,0.125,0.131,1508,0
20090717,0.151,0.18,0.125,0.17,12022,0
20090720,0.152,0.19,0.14,0.18,500,0
20090721,0.171,0.19,0.15,0.189,950,0
20090722,0.189,0.189,0.16,0.189,2500,0
20090723,0.151,0.189,0.151,0.189,2500,0
20090724,0.168,0.189,0.16,0.17,139,0
20090727,0.189,0.191,0.17,0.189,13656,0
20090728,0.189,0.198,0.1,0.169,2115,0
20090729,0.169,0.189,0.15,0.15,65,0
20090730,0.152,0.189,0.152,0.159,152,0
20090731,0.169,0.189,0.1,0.18,1342,0
20090803,0.172,0.189,0.15,0.18,750,0
20090804,0.179,0.189,0.1,0.1,175,0
20090805,0.18,0.18,0.11,0.11,455,0
20090806,0.161,0.161,0.12,0.16,130,0
20090807,0.16,0.16,0.14,0.14,301,0
20090810,0.12,0.15,0.12,0.126,500,0
20090812,0.11,0.125,0.096,0.106,563,0
20090813,0.125,0.154,0.086,0.086,1880,0
20090814,0.09,0.125,0.08,0.096,4757,0
20090817,0.1,0.155,0.092,0.155,41424,0
20090818,0.13,0.169,0.11,0.14,9500,0
20090819,0.129,0.19,0.129,0.15,16365,0
20090820,0.121,0.2,0.121,0.18,20010,0
20090821,0.179,0.19,0.14,0.17,85,0
20090824,0.182,0.19,0.15,0.15,8,0
20090825,0.183,0.191,0.18,0.191,158,0
20090826,0.188,0.191,0.171,0.172,5645,0
20090827,0.159,0.191,0.159,0.176,73,0
20090828,0.172,0.191,0.172,0.176,1000,0
20090902,0.191,0.191,0.19,0.191,95,0
20090904,0.192,0.195,0.181,0.181,1200,0
20090907,0.195,0.2,0.191,0.2,22020,0
20090908,0.196,0.2,0.195,0.197,2220,0
20090909,0.195,0.2,0.19,0.2,8734,0
20090910,0.198,0.198,0.187,0.197,5834,0
20090911,0.197,0.197,0.197,0.197,2278,0
20090914,0.195,0.197,0.195,0.197,150,0
20090916,0.147,0.197,0.147,0.167,6041,0
20090917,0.167,0.195,0.1,0.1,12613,0
20090918,0.14,0.14,0.12,0.12,200,0
20090921,0.133,0.141,0.131,0.141,15318,0
20090922,0.142,0.167,0.13,0.141,204,0
20090923,0.136,0.141,0.136,0.141,510,0
20090924,0.14,0.141,0.14,0.141,5000,0
20090925,0.142,0.165,0.13,0.13,800,0
20090928,0.142,0.159,0.13,0.149,15100,0
20090929,0.115,0.149,0.115,0.144,5175,0
20090930,0.144,0.15,0.129,0.129,3800,0
20091001,0.129,0.149,0.129,0.129,20,0
20091002,0.149,0.149,0.119,0.119,217,0
20091005,0.129,0.187,0.119,0.187,20184,0
20091006,0.129,0.189,0.129,0.187,1165,0
20091007,0.187,0.189,0.119,0.13,13847,0
20091008,0.131,0.189,0.129,0.15,30468,0
20091009,0.129,0.218,0.129,0.218,15386,0
20091012,0.151,0.19,0.13,0.19,11300,0
20091013,0.158,0.19,0.13,0.13,7680,0
20091014,0.162,0.19,0.13,0.19,181,0
20091015,0.19,0.19,0.13,0.15,201,0
20091016,0.15,0.19,0.13,0.18,386,0
20091019,0.15,0.19,0.13,0.18,400,0
20091020,0.19,0.19,0.13,0.151,17,0
20091021,0.18,0.18,0.111,0.15,39177,0
20091022,0.13,0.18,0.105,0.178,12854,0
20091023,0.116,0.18,0.113,0.113,2080,0
20091026,0.124,0.124,0.123,0.123,5154,0
20091027,0.133,0.165,0.13,0.14,50,0
20091028,0.133,0.16,0.11,0.134,3186,0
20091029,0.15,0.17,0.123,0.136,10769,0
20091030,0.13,0.148,0.13,0.148,86,0
20091102,0.146,0.146,0.11,0.11,2186,0
20091103,0.111,0.17,0.09,0.17,3141,0
20091104,0.12,0.169,0.11,0.16,4960,0
20091105,0.112,0.16,0.11,0.12,250,0
20091106,0.11,0.145,0.11,0.12,1820,0
20091109,0.126,0.13,0.11,0.13,805,0
20091110,0.123,0.125,0.11,0.125,255,0
20091111,0.125,0.16,0.123,0.125,13417,0
20091112,0.123,0.157,0.09,0.131,11925,0
20091113,0.13,0.133,0.12,0.131,312,0
20091116,0.132,0.156,0.09,0.131,2750,0
20091117,0.13,0.161,0.125,0.142,21076,0
20091118,0.14,0.175,0.125,0.15,1599,0
20091119,0.14,0.155,0.1,0.155,7393,0
20091120,0.13,0.14,0.125,0.14,500,0
20091123,0.131,0.14,0.125,0.13,547,0
20091124,0.129,0.133,0.125,0.133,40,0
20091125,0.131,0.133,0.12,0.12,1012,0
20091126,0.129,0.133,0.125,0.133,120,0
20091127,0.13,0.134,0.125,0.13,1410,0
20091130,0.132,0.133,0.125,0.133,219,0
20091201,0.131,0.15,0.12,0.15,879,0
20091202,0.13,0.15,0.12,0.12,300,0
20091203,0.121,0.134,0.117,0.117,2647,0
20091204,0.125,0.134,0.125,0.134,34,0
20091207,0.13,0.134,0.125,0.134,3800,0
20091208,0.132,0.134,0.1,0.134,155,0
20091210,0.134,0.134,0.1,0.134,2739,0
20091211,0.133,0.135,0.13,0.134,3720,0
20091214,0.135,0.135,0.13,0.134,350,0
20091215,0.134,0.134,0.1,0.1,86,0
20091216,0.133,0.134,0.13,0.134,1120,0
20091217,0.132,0.134,0.1,0.1,990,0
20091218,0.133,0.134,0.13,0.134,1296,0
20091221,0.133,0.134,0.1,0.133,1110,0
20091222,0.133,0.134,0.13,0.134,100,0
20091223,0.133,0.133,0.1,0.1,8040,0
20091228,0.131,0.133,0.1,0.13,749,0
20091229,0.13,0.131,0.1,0.1,738,0
20091230,0.13,0.131,0.13,0.131,455,0
20100104,0.13,0.13,0.1,0.13,8255,0
20100105,0.1,0.13,0.1,0.119,2164,0
20100107,0.118,0.13,0.118,0.121,20,0
20100108,0.119,0.13,0.115,0.115,90,0
20100111,0.126,0.13,0.125,0.126,170,0
20100112,0.125,0.13,0.115,0.115,2162,0
20100113,0.125,0.13,0.116,0.126,1055,0
20100114,0.125,0.13,0.125,0.127,3323,0
20100115,0.125,0.13,0.125,0.126,1375,0
20100118,0.126,0.13,0.125,0.126,330,0
20100119,0.125,0.129,0.125,0.129,1436,0
20100120,0.125,0.14,0.125,0.126,1614,0
20100121,0.126,0.126,0.1,0.126,3017,0
20100122,0.125,0.126,0.115,0.126,1287,0
20100125,0.125,0.126,0.1,0.126,620,0
20100126,0.124,0.126,0.124,0.126,1168,0
20100127,0.124,0.126,0.12,0.126,212,0
20100128,0.125,0.187,0.1,0.155,3329,0
20100129,0.125,0.149,0.1,0.126,6308,0
