Date,Open,High,Low,Close,Volume,OpenInt
20090406,10.26,10.38,9.8,10.02,2853,0
20090407,10,10.22,10,10,2034,0
20090408,10,10.22,9.8,10,3661,0
20090409,10,10.5,10,10.48,785,0
20090414,10.48,10.58,10.2,10.26,895,0
20090415,10.26,10.3,10,10,4689,0
20090416,10,10.52,10,10.52,2915,0
20090417,10.52,10.52,10.2,10.48,3896,0
20090420,10.48,10.48,10.2,10.4,2709,0
20090421,10.2,10.4,10.08,10.2,2465,0
20090422,10.2,10.3,10.1,10.2,1250,0
20090423,10.2,10.2,9.4,9.56,8584,0
20090424,9.6,9.62,8.8,9.02,15527,0
20090427,8.98,9.08,8.62,8.82,2240,0
20090428,8.8,9.1,8.66,9.1,2533,0
20090429,9.1,9.78,8.82,9.78,3112,0
20090430,9.78,9.78,9.2,9.68,4166,0
20090504,9.7,9.8,9.3,9.62,2429,0
20090505,9.76,9.96,9.56,9.96,3221,0
20090506,9.96,9.96,9.5,9.5,4178,0
20090507,9.6,10.1,9.1,9.7,9746,0
20090508,9.8,10,9.46,9.8,1826,0
20090511,9.8,10,9.68,9.68,3575,0
20090512,9.7,10.28,9.7,10.16,4810,0
20090513,10.02,10.34,10,10.12,3663,0
20090514,10,10.16,9.8,9.98,3892,0
20090515,10.1,10.16,9.82,9.86,3095,0
20090518,9.82,10.1,9.8,9.98,1352,0
20090519,9.9,10.08,9.9,9.98,2560,0
20090520,9.9,10.1,9.9,10,465,0
20090521,10.1,10.1,9.92,9.94,924,0
20090522,10.04,10.1,9.92,9.94,1995,0
20090525,10,10.1,9.9,10.02,2194,0
20090526,10,10.22,10,10.1,1160,0
20090527,10.1,10.38,10.1,10.24,2998,0
20090528,10.14,10.32,10.1,10.26,3003,0
20090529,10.2,10.38,10,10.2,2337,0
20090601,10.1,10.62,10.02,10.62,1307,0
20090602,10.62,10.8,10.28,10.8,1943,0
20090603,10.8,11.4,10.5,11.2,12188,0
20090604,11.5,11.96,10.8,11.84,12788,0
20090605,11.94,11.94,11.4,11.54,2941,0
20090608,11.54,11.54,10.78,10.78,4962,0
20090609,10.78,11.3,10.4,10.4,3593,0
20090610,10.4,10.8,10.4,10.74,3255,0
20090611,10.76,10.76,10.4,10.7,2261,0
20090612,10.7,10.82,10.5,10.82,2840,0
20090615,10.8,10.9,10.5,10.62,522,0
20090616,10.6,10.86,10.48,10.5,1360,0
20090617,10.5,10.86,10.44,10.64,748,0
20090618,10.64,10.82,10.02,10.82,6913,0
20090619,10.82,10.82,10.36,10.48,677,0
20090622,10.3,10.48,9.86,9.86,2462,0
20090623,9.88,10,8.8,9.5,11039,0
20090624,9.5,9.8,9.22,9.8,3825,0
20090625,9.8,9.8,9.1,9.26,5688,0
20090626,9.36,9.6,9.2,9.6,1648,0
20090629,9.6,9.6,9.1,9.4,1738,0
20090630,9.24,10.2,9.24,9.64,2367,0
20090701,10,10,9.6,9.94,1963,0
20090702,10,10,9.1,9.4,4193,0
20090703,9.4,9.96,9.02,9.3,3700,0
20090706,9.2,9.38,8.8,8.96,3261,0
20090707,8.96,9.58,8.7,9.02,6303,0
20090708,9.02,9.2,8.72,8.84,2750,0
20090709,8.8,8.8,8.6,8.8,5105,0
20090710,8.7,8.8,8.56,8.74,952,0
20090713,8.62,9.2,8.6,9.02,3414,0
20090714,9,9.08,8.6,9.08,2656,0
20090715,9.08,9.08,8.4,8.62,8530,0
20090716,9,9,8.4,8.54,3643,0
20090717,8.42,8.68,8.22,8.48,3165,0
20090720,8.4,10.5,8.4,9.94,56213,0
20090721,9.76,10.6,9.76,10,38418,0
20090722,10.02,10.4,9.6,9.8,10491,0
20090723,9.8,10.3,9.7,9.92,4024,0
20090724,9.9,10,9.6,9.66,5646,0
20090727,9.6,9.88,9.3,9.56,11046,0
20090728,9.56,9.7,8.9,9.08,12266,0
20090729,8.9,9.4,8.82,9.02,5721,0
20090730,9,9.46,9,9.38,3965,0
20090731,9.46,9.46,8.9,8.96,2259,0
20090803,8.94,9.7,8.76,9.38,4179,0
20090804,9.3,9.7,9,9.32,4023,0
20090805,9,9.32,8.9,9.04,6197,0
20090806,9.04,9.38,8.8,9,2653,0
20090807,9,9.1,8.66,9.02,5931,0
20090810,8.78,9.58,8.74,9,10336,0
20090811,9,9.3,8.9,9.28,9511,0
20090812,9.5,10.7,9.24,9.96,27970,0
20090813,9.96,10.46,9.96,10.14,7376,0
20090814,10.14,10.2,9.8,10.02,7538,0
20090817,10,10.02,9.4,9.58,12655,0
20090818,9.6,9.86,9.5,9.54,7805,0
20090819,9.54,9.9,8.9,9.16,8713,0
20090820,9.2,9.28,8.8,9.06,10272,0
20090821,9,10,8.8,9.82,26497,0
20090824,9.8,10,9.1,9.46,16611,0
20090825,9.46,9.7,9,9.32,41083,0
20090826,9.32,9.52,9.2,9.42,11242,0
20090827,9.42,9.42,8.8,8.96,13058,0
20090828,9.02,9.28,8.9,8.9,4968,0
20090831,9.08,9.7,8.92,9.22,30201,0
20090901,9.22,9.7,9.22,9.32,12492,0
20090902,9.54,9.68,9.32,9.66,7476,0
20090903,9.4,9.66,9.32,9.54,4020,0
20090904,9.62,9.7,9.22,9.22,4656,0
20090907,9.22,9.56,9,9.4,2437,0
20090908,9.14,9.5,9.14,9.34,3436,0
20090909,9.3,9.6,9.22,9.3,2855,0
20090910,9.3,9.5,9.2,9.4,4460,0
20090911,9.36,9.5,9.16,9.3,3792,0
20090914,9.3,9.36,9.16,9.28,2302,0
20090915,9.16,9.36,9.1,9.2,3896,0
20090916,9.12,9.36,9,9.28,2886,0
20090917,9.3,9.34,8.84,8.9,9503,0
20090918,9.22,9.24,8.7,8.8,14458,0
20090921,8.82,9.14,8.56,8.8,11408,0
20090922,8.6,8.82,7.4,8.42,51310,0
20090923,8.36,8.5,8.04,8.2,6297,0
20090924,8.22,8.4,8.1,8.16,2034,0
20090925,8.22,8.26,8,8,7623,0
20090928,8.12,8.12,7.82,7.96,12905,0
20090929,8.04,8.2,7.7,8.06,7465,0
20090930,8.26,8.26,7.8,8.1,4704,0
20091001,8.32,8.32,7.82,7.96,2802,0
20091002,7.78,8.18,7.78,8.04,2404,0
20091005,8.2,8.28,7.8,7.94,2501,0
20091006,7.98,8.18,7.74,7.9,6335,0
20091007,7.92,8,7.4,7.74,16740,0
20091008,7.84,7.84,7.58,7.7,5407,0
20091009,7.86,7.9,7.6,7.82,4150,0
20091012,7.88,7.94,7.5,7.6,4799,0
20091013,7.52,7.7,7.3,7.42,11399,0
20091014,7.32,7.42,7.14,7.4,4428,0
20091015,7.4,7.4,7.32,7.4,6009,0
20091016,7.5,7.5,7.1,7.4,3433,0
20091019,7.4,7.4,6.9,7.12,20502,0
20091020,7.22,7.48,7.02,7.3,10826,0
20091021,7.46,7.46,7,7.12,12379,0
20091022,7.26,7.26,6.96,7.02,4811,0
20091023,7.06,7.2,7.02,7.1,6841,0
20091026,7.08,7.28,7.02,7.02,2455,0
20091027,7.12,7.12,6.66,6.82,8247,0
20091028,6.9,7,6.58,6.58,6715,0
20091029,6.68,6.68,6.44,6.6,8501,0
20091030,6.5,6.8,6.48,6.6,4467,0
20091102,6.68,6.68,6.44,6.64,1995,0
20091103,6.72,7.08,6.52,6.52,2259,0
20091104,6.5,6.98,6.5,6.88,3539,0
20091105,6.98,7.4,6.68,7.32,9273,0
20091106,7.4,8.28,7.06,8,38042,0
20091109,8.3,8.36,7.7,8.3,17368,0
20091110,7.94,8.22,7.7,7.8,4809,0
20091111,7.9,7.96,7.5,7.76,4661,0
20091112,7.64,7.9,6.98,7.28,13756,0
20091113,7.1,7.68,7.08,7.2,30010,0
20091116,7.44,7.44,7.04,7.2,9445,0
20091117,7.1,7.32,6.96,7.12,10888,0
20091118,7.14,7.4,6.92,7.24,30800,0
20091119,7.14,7.54,7.14,7.34,22440,0
20091120,7.26,7.4,7,7.2,6387,0
20091123,7.2,7.4,7.02,7.12,7302,0
20091124,7.22,7.4,7.1,7.18,11430,0
20091125,7,7.42,7,7.42,13875,0
20091126,7.28,7.42,7,7.3,25160,0
20091127,7.2,7.4,7,7.2,9397,0
