Date,Open,High,Low,Close,Volume,OpenInt
20090409,10,10.15,10,10.15,94,0
20090424,10,10.1,10,10.1,80,0
20090427,10,11.2,10,10.25,404,0
20090507,10.25,10.5,10.25,10.5,30,0
20090512,10.5,11,10.25,10.48,532,0
20090520,10.5,10.6,10.5,10.6,60,0
20090526,10.5,11,10.5,10.5,4,0
20090528,10,10.5,10,10,52,0
20090603,10,10,10,10,300,0
20090604,10,11.05,10,10.25,50,0
20090611,10,10.25,10,10.25,268,0
20090612,10,10.6,10,10.05,82,0
20090619,10,10.75,10,10.75,200,0
20090713,10,10,10,10,96,0
20090723,10,10.5,10,10.25,196,0
20090810,9.5,10.5,9.5,10.48,32,0
20090814,10,10.5,9.71,10.25,226,0
20090818,9.8,10,9.71,9.71,100,0
20090819,9.71,10,9.71,9.71,204,0
20090902,9.9,9.9,9.9,9.9,36,0
20090922,10,10,9.8,9.8,10,0
20091008,9,10.05,9,10.05,900,0
20091009,9.9,10,9.9,10,413,0
20091019,9.9,10.1,9.5,9.5,87,0
20091020,9.9,10.1,9.9,10.1,174,0
20091103,10,10.1,9.8,9.8,60,0
20091104,10,10.1,9.6,9.8,92,0
20091105,10,10,9.8,9.8,4041,0
20091113,9.8,10,9.5,9.85,960,0
20091116,9.45,9.64,9.36,9.36,16,0
20091119,9.36,9.64,9,9.36,1506,0
20091120,9.36,9.36,9,9.1,888,0
20091124,8.8,9.1,8.8,9.1,655,0
20091125,8.8,9,8.8,9,895,0
20091202,9.36,9.36,9.36,9.36,1,0
20091207,9.3,9.6,9.3,9.3,75,0
20091211,9.3,9.3,8.58,8.58,1,0
20091216,9.2,9.3,9.2,9.2,100,0
20091229,9.2,9.2,9.2,9.2,273,0
20091230,9.2,10.2,9.2,10.2,471,0
20100121,9.3,9.3,9.3,9.3,200,0
20100128,9.3,9.3,9.3,9.3,503,0
20100215,9.02,9.02,9.02,9.02,120,0
20100218,9.02,9.03,9.02,9.025,72,0
20100222,9.02,9.03,9.02,9.03,148,0
20100223,9.02,9.03,9,9.02,1000,0
20100225,9.02,9.02,8.8,8.8,8234,0
20100303,8.7,8.91,8.7,8.91,200,0
20100308,8.91,8.96,8.91,8.91,1485,0
20100309,8.91,9.05,8.91,9.05,500,0
20100319,9.1,9.15,9.1,9.1,1021,0
20100323,9.15,9.175,9.15,9.175,100,0
20100408,9.2,9.4,9.2,9.22,400,0
20100409,9.22,9.5,9.22,9.22,157,0
20100414,10,10,10,10,56,0
20100415,10,10,10,10,790,0
20100416,10,10,9.101,10,360,0
20100420,10,10,10,10,94,0
20100422,9.22,9.3,9,9,400,0
20100423,9.22,10,9.22,10,792,0
20100426,10,10,10,10,12,0
20100429,10,10,9,10,12,0
20100503,10,10,9.5,10,330,0
20100505,10,10,10,10,505,0
20100511,10,10,9,10,1800,0
20100512,10,10,9.8,10,117,0
20100517,9.8,10.46,9.8,10.45,897,0
20100526,10.45,10.45,10.45,10.45,127,0
20100528,10.45,10.45,10.45,10.45,100,0
20100602,10.6,10.6,10.45,10.45,470,0
20100604,10.45,10.45,10.45,10.45,50,0
20100615,10.45,10.56,10.35,10.56,3000,0
20100621,10.8,10.8,10.45,10.45,450,0
20100622,10.45,10.6,10.45,10.45,500,0
20100623,10.45,11,10.4,11,220,0
20100624,11,11,10.4,11,200,0
20100628,11,11,11,11,360,0
20100630,11,11.5,10.875,10.875,602,0
20100707,10.5,11.5,10.45,10.725,200,0
20100712,10.45,10.7,10.45,10.7,160,0
20100714,10.45,10.7,10.45,10.7,104,0
20100716,10.45,11,10.45,11,220,0
20100719,11,11,11,11,1039,0
20100720,11,11,11,11,50,0
20100722,11,11,11,11,68,0
20100723,11,11,10.2,10.2,200,0
20100802,11,11,10.45,11,80,0
20100804,11,11.075,11,11,511,0
20100809,11,11.075,11,11,532,0
20100811,11,11.05,11,11,80,0
20100819,12.5,13.5,11,13.5,4293,0
20100820,13,13.5,13,13.25,450,0
20100823,13,13.25,13,13.25,653,0
20100824,13,13.25,13,13.25,240,0
20100902,13,13.5,13,13.5,90,0
20100903,13,13.5,13,13.25,13,0
20100906,13,13.25,13,13.025,100,0
20100907,13,13.05,13,13.05,59,0
20100910,13,13.05,13,13,50,0
20100914,12.1,13,12.1,12.55,16,0
20100916,13,13.05,12.1,13.05,916,0
20100920,13,13.3,13,13.3,400,0
20100921,13.1,13.3,13,13.3,100,0
20100923,13,13.1,13,13.1,1381,0
20100928,13,13.3,13,13.15,836,0
20100930,13,13.4,13,13.4,248,0
20101001,13.3,13.4,13,13,48,0
20101004,13.3,13.4,13,13,40,0
20101006,13,13.65,13,13.65,88,0
20101015,13.4,13.5,13,13.5,200,0
20101019,13.5,13.55,13.5,13.55,40,0
20101020,13.5,15,13.5,13.575,200,0
20101021,13.5,13.95,13.5,13.825,677,0
20101025,13.95,13.95,13.3,13.625,1000,0
20101027,13.5,13.625,13.3,13.625,56,0
20101029,13.3,13.35,13.3,13.35,4,0
20101104,13.3,13.625,13.3,13.625,458,0
20101105,13.3,13.625,13,13.625,800,0
20101111,13.3,14,13.3,13.65,507,0
20101118,13.5,13.5,13.35,13.405,100,0
20101119,13.31,13.63,13.31,13.63,20,0
20101122,13.31,13.63,13.31,13.63,100,0
20101123,13.31,13.63,13.31,13.63,100,0
20101124,13.31,13.63,13.3,13.625,1050,0
20101125,13.3,13.625,12.67,13.625,224,0
20101129,13.3,13.63,13,13.63,200,0
20101130,13.31,13.9,13.3,13.65,3392,0
20101201,14,14,13.3,13.665,618,0
20101206,13.33,13.7,13.33,13.7,160,0
20101207,13.33,13.7,13.3,13.65,3190,0
20101209,13.32,13.66,13.32,13.66,140,0
20101210,13.33,14.7,13.32,14.7,9468,0
20101213,13.33,14.7,13.33,14.7,1000,0
20101214,13.5,14.7,13.5,14.7,400,0
20101222,13.5,14.5,13.5,14.45,4075,0
20101227,13.5,14.2,13.5,14.2,2,0
20110105,13.5,14,13.49,14,120,0
20110112,13.5,14.43,13.5,14,688,0
20110113,13.5,14,13.5,14,719,0
20110128,13.5,14.5,13.5,14.5,1905,0
20110131,14.5,14.5,13.5,14.5,3,0
20110201,14.5,14.625,14.5,14.625,160,0
20110202,14.5,14.625,14.1,14.625,24,0
20110207,14.5,14.625,14.5,14.5,160,0
20110209,14.5,14.5,14.4,14.4,295,0
20110217,13.7,14.9,13.7,14.7,500,0
20110218,14.5,14.9,13.7,14.9,1198,0
20110302,14.9,14.95,13.61,14.95,40,0
20110303,14.95,15.2,13.15,15.2,382,0
20110308,15.2,15.25,14.9,15.25,280,0
20110315,15,15.2,14.9,15.2,108,0
20110316,15.2,15.2,14.4,15.2,688,0
20110317,15.2,15.2,13.77,14.45,1382,0
20110318,13.5,14.9,13.5,14.45,130,0
20110325,13.5,14.45,13.5,14.45,350,0
20110328,13.5,14.6,13.5,14.6,270,0
20110330,14.6,14.6,13.5,14.6,10,0
20110401,13.5,14.5,13.5,14.5,120,0
20110412,13.665,14.45,13.5,14.45,12,0
20110413,14.45,14.45,13.5,14.45,40,0
20110414,13.4,13.8,13.4,13.8,50,0
20110415,13.8,14,13.5,13.975,120,0
20110419,14.025,14.025,13.5,13.5,222,0
20110420,14.5,14.75,13.5,14.75,1050,0
20110427,14.25,14.75,14,14.75,550,0
20110502,14,15.5,14,14.75,3,0
20110503,14,14.75,14,14.75,300,0
20110504,14.75,15.25,14,15.25,220,0
20110505,15.25,15.25,14,14.025,48,0
20110506,14.4,15.25,14,15.25,150,0
20110513,15.25,16,14,14.5,147,0
20110516,14.41,14.5,14,14.5,176,0
20110517,14,15.25,14,15.25,150,0
20110518,14.41,15.25,14,14.955,717,0
20110523,14.955,14.955,14,14.7,7,0
20110525,15.3,15.3,12.345,14.15,1401,0
20110530,15.3,15.565,14.5,15.165,242,0
20110531,15.3,15.3,14.5,14.76,140,0
20110603,14.76,14.76,14.37,14.73,230,0
20110606,14.37,15.465,14.36,15.19,150,0
20110607,15.19,15.95,14.5,15.95,1187,0
20110608,15.95,15.95,14.5,15.18,417,0
20110610,14.725,15.57,14.45,15.57,230,0
20110613,15.5,15.9,15.5,15.9,4,0
20110614,15.51,15.9,15.51,15.51,370,0
20110615,15.51,15.51,15.22,15.23,100,0
20110616,14.86,15.51,14.86,14.87,8,0
20110620,14.88,15.51,14.515,14.875,300,0
20110622,14.885,15.235,14.51,15.235,500,0
20110623,15.235,15.235,14.85,14.865,10,0
20110624,14.5,14.865,14.48,14.5,4,0
20110627,14.5,15.885,14.13,14.145,947,0
20110628,15.17,15.89,15.17,15.17,20,0
20110629,15.5,16.195,15.48,15.5,25,0
20110704,16.195,16.195,15.275,15.425,100,0
20110705,15.275,15.995,14.53,14.55,10,0
20110706,15.275,15.61,14.53,14.55,212,0
20110708,15.3,15.3,14.5,14.55,20,0
20110715,14.55,14.55,13.195,13.855,750,0
20110719,13.84,13.84,12.565,12.565,100,0
20110720,13.25,14.575,13.23,13.25,60,0
20110803,14.575,14.7,13.86,13.88,16,0
20110805,14,14,13.98,14,200,0
20110808,13.625,14,13.23,13.25,400,0
20110809,13.25,14,13.23,13.25,255,0
20110810,13.625,14,13.23,13.25,20,0
20110815,13.625,14,13.23,13.25,1280,0
20110817,13.32,14.665,13.32,13.335,7,0
20110819,14.665,16,13.95,13.965,37,0
20110831,13.64,13.91,13.62,13.91,12,0
20110901,13.25,13.91,13.23,13.65,1,0
20110902,13.25,14.05,13.23,14.05,500,0
20110907,13.38,14.05,13.25,13.91,280,0
20110913,14,14.285,13.23,14.285,4,0
20110915,14,14.29,13.23,14.29,117,0
20110920,13.25,14,13.23,13.91,121,0
20111012,13.595,13.595,13.55,13.57,30,0
20111013,13.265,13.265,13.22,13.24,16,0
20111017,13.24,13.75,12.9,13.24,200,0
20111019,13.24,13.575,12.9,13.575,100,0
20111021,13.255,13.255,13.21,13.255,8,0
20111025,13.255,13.255,13.21,13.23,8,0
20111028,13.23,13.89,12.89,13.89,120,0
20111031,13.525,13.78,12.89,13.78,200,0
20111103,12.905,13.55,12.89,12.9,144,0
20111110,13.23,13.58,13.23,13.58,40,0
20111114,13.58,13.58,13.23,13.58,60,0
20111115,13.25,13.275,13.23,13.26,8,0
20111117,13.275,13.275,12.975,12.975,500,0
20111121,13.325,13.325,12.98,13,39,0
20111122,12.71,12.71,12.67,12.685,36,0
20111123,12.4,13.19,12.36,13.19,250,0
20111128,12.99,12.99,12.66,12.79,340,0
20111129,12.7,13.28,12.655,12.99,1,0
20111209,12.675,12.85,12.5,12.85,100,0
20111213,12.7,13,12.5,12.8,280,0
20111215,12.55,12.8,12.382,12.385,100,0
20111216,12.08,12.8,11.815,11.98,12,0
20111220,11.815,12.8,11.815,12,572,0
20111221,11.715,12.8,9.3,11.078,700,0
20111222,11.078,12.8,10.99,11.631,90,0
20120111,11.36,11.36,11.24,11.35,70,0
20120116,11.5,12.075,11.33,12.065,200,0
20120117,11.78,12.3,11.68,12.3,100,0
20120120,12,12.065,11.9,12,4,0
20120124,12.065,12.065,11.9,12,120,0
20120125,11.705,12.065,11.605,11.715,12,0
20120203,11.705,11.71,11.605,11.71,12,0
20120206,11.71,11.71,11.4,11.5,400,0
20120207,11.5,12.08,11.4,12.08,500,0
20120214,12.08,12.105,11.98,12.105,2,0
20120215,12.08,12.105,11.98,12.09,400,0
20120227,12.7,12.8,12.095,12.6,580,0
20120228,12.195,12.61,12.095,12.61,16,0
20120309,12.5,12.61,12.2,12.35,8,0
20120312,12.35,12.5,11.95,12.35,19,0
20120326,12.05,12.5,11.95,12.35,20,0
20120327,12.35,13.4,11.95,13.4,476,0
20120404,12.955,13.28,12.5,13,320,0
20120405,13.317,13.6,12.5,13.28,240,0
20120417,12.955,13.28,12.5,13.28,6,0
20120419,12.953,13.59,12.5,12.95,380,0
20120424,12.955,12.955,12.315,12.35,58,0
20120425,12.35,12.5,11.95,12.35,200,0
20120427,12.05,12.5,11.95,12.01,791,0
20120503,12.01,12.01,11.425,11.425,730,0
20120504,11.145,12.505,11.045,12.505,1739,0
20120507,12.505,13.6,11.91,13.285,366,0
20120508,12.95,13.285,12.635,13,8,0
20120509,12.683,13,12.585,13,40,0
20120510,13,13,12.585,12.685,12,0
20120515,12.374,13.6,12.275,13.6,600,0
20120516,13.6,13.6,12.65,12.944,56,0
20120522,12.7,13.12,12.7,12.795,80,0
20120531,12.488,13.112,12.488,13.11,140,0
20120611,13.11,13.11,12.69,12.795,8,0
20120613,12.48,13.435,12.38,13.435,200,0
20120615,13.435,13.48,13.005,13.435,100,0
20120621,13.104,13.76,13.005,13.37,310,0
20120622,13.045,13.698,12.945,13.595,150,0
20120627,13.27,13.6,13.17,13.27,200,0
20120704,12.944,13.591,12.845,13.59,290,0
20120706,13.595,13.925,13.16,13.925,150,0
20120709,13.925,13.925,13.46,13.8,10,0
20120712,14.5,14.65,14.4,14.5,103,0
20120720,13.475,13.5,12.74,12.74,400,0
20120723,12.74,13,11.815,11.815,310,0
20120727,11.9,12.2,11.325,11.325,193,0
20120731,11.61,11.94,11.225,11.94,184,0
20120802,11.32,11.9,11.15,11.165,637,0
20120807,11.11,12.01,11.01,12.01,626,0
20120822,11.37,12.229,11.27,12.155,270,0
20120830,11.858,12.155,11.569,11.655,496,0
20120904,11.35,11.94,11.27,11.94,170,0
20120907,11.545,12.45,11.545,12.4,212,0
20120912,12,12.1,11.785,11.805,210,0
20120913,11.805,11.805,11.415,11.655,2,0
20120917,11.655,11.655,11.27,11.65,388,0
20120919,11.27,11.655,11.27,11.655,200,0
20121004,11.45,11.735,11.35,11.485,150,0
20121012,11.35,12.36,11.35,12.36,340,0
