Date,Open,High,Low,Close,Volume,OpenInt
20000114,63.7393,71.9237,62.4992,69.89,3871,0
20000117,72.4201,75.297,71.0808,71.18,625,0
20000118,72.4203,74.4044,66.7656,67.46,605,0
20000119,67.3151,67.96,65.9758,67.96,222,0
20000120,68.2,70.432,66.96,66.96,524,0
20000121,69.445,71.4292,66.32,66.32,282,0
20000124,68.4499,71.7236,67.6563,70.93,262,0
20000125,69.44,69.44,64.48,64.48,605,0
20000126,66.962,69.2932,66.3667,68.45,383,0
20000127,67.956,67.956,64.9799,67.46,564,0
20000128,66.2656,67.456,64.48,64.48,181,0
20000131,65.4264,66.9641,63.6903,64.98,383,0
20000201,64.728,65.72,63.24,63.24,202,0
20000203,63.738,66.9621,63.3412,63.49,222,0
20000204,66.712,66.96,64.48,66.96,181,0
20000207,67.4602,67.4602,64.484,64.98,282,0
20000208,64.9836,67.96,64.9836,67.96,323,0
20000209,66.5175,69.4441,66.5175,67.46,383,0
20000210,67.456,68.448,65.968,68.2,141,0
20000211,69.44,85.312,69.44,81.84,3085,0
20000214,100.0987,106.6463,89.2853,101.19,3972,0
20000215,102.6768,103.7185,84.324,84.82,1431,0
20000216,91.7701,95.2425,88.1489,90.53,524,0
20000217,121.5283,147.0741,109.1275,146.33,5786,0
20000218,157.2421,185.5159,136.4087,156.25,7338,0
20000221,151.2863,155.2545,138.8858,143.35,1734,0
20000222,133.9265,133.9265,118.0537,123.51,2016,0
20000223,119.0489,136.4102,117.8088,133.93,1572,0
20000224,148.8127,163.694,138.9911,140.38,2197,0
20000225,144.0988,150.7953,128.9696,133.93,1028,0
20000228,133.9266,135.9107,116.5658,121.03,706,0
20000229,124.0061,125.1965,122.022,122.27,222,0
20000301,123.9611,124.5068,109.8735,115.33,947,0
20000302,109.8184,128.9646,99.2036,122.07,2056,0
20000303,123.5118,127.48,119.2955,127.48,948,0
20000306,128.9721,128.9721,121.0353,127.98,564,0
20000307,124.01,124.01,105.6565,124.01,665,0
20000308,119.5463,123.5146,112.6017,116.57,726,0
20000309,117.0641,117.8082,113.0959,115.08,121,0
20000310,113.0984,115.5786,107.5427,109.13,564,0
20000314,98.9594,109.1281,98.0169,107.64,403,0
20000315,107.8899,114.0905,105.7073,109.13,403,0
20000316,116.0681,116.5642,109.1239,112.1,564,0
20000317,123.4634,124.009,106.7966,110.12,423,0
20000320,114.0898,117.5621,111.6592,116.57,282,0
20000321,114.0387,114.0387,110.12,110.12,141,0
20000322,113.4458,113.4458,106.65,106.65,363,0
20000323,111.5567,111.5567,103.1242,106.15,202,0
20000324,106.6483,109.1285,101.6879,102.68,161,0
20000327,103.1758,105.16,101.1917,105.16,202,0
20000328,106.6505,108.6347,99.2098,101.69,363,0
20000329,100.6984,100.6984,94.2497,96.73,645,0
20000330,94.2458,94.2458,85.3172,91.22,585,0
20000331,84.3786,96.7303,84.3289,94.25,484,0
20000403,94.242,97.9621,90.7699,93.25,222,0
20000404,90.7782,90.7782,86.8097,89.29,181,0
20000405,89.2903,89.2903,85.3218,86.81,141,0
20000406,84.3294,91.2742,84.3294,89.29,383,0
20000407,91.77,91.77,86.8095,91.77,222,0
20000410,93.1509,93.1509,88.29,88.29,161,0
20000411,87.298,88.29,86.306,88.29,101,0
20000412,85.5658,88.79,85.5658,88.79,60,0
20000413,88.292,90.2761,87.3,87.3,161,0
20000414,88.5381,89.2821,85.81,85.81,81,0
20000417,84.3287,96.73,84.3287,96.73,504,0
20000418,104.162,110.1141,99.2019,103.17,746,0
20000419,103.1713,103.1713,97.0703,99.6,121,0
20000420,98.8548,101.2357,98.21,98.21,242,0
20000425,96.8212,99.2021,95.73,95.73,121,0
20000426,94.25,96.7303,92.613,94.25,161,0
20000428,94.643,94.643,91.27,91.27,20,0
20000502,93.7542,93.7542,90.7779,91.77,222,0
20000503,88.2982,88.2982,82.9408,86.81,605,0
20000504,87.794,87.794,84.322,85.81,161,0
20000505,86.8032,87.2,85.8111,87.2,20,0
20000508,86.7545,86.7545,83.828,84.82,20,0
20000510,82.8896,84.3281,82.84,82.84,20,0
20000511,81.9976,82.3449,80.3607,81.7,161,0
20000512,82.6395,83.83,82.3419,83.83,121,0
20000515,81.842,83.1813,80.85,80.85,101,0
20000516,81.8497,84.33,81.8497,84.33,101,0
20000517,84.33,84.33,83.8339,84.33,40,0
20000518,81.8449,81.8449,79.8608,79.96,40,0
20000519,79.858,81.4453,78.37,78.37,101,0
20000522,78.7194,81.2987,74.9,74.9,484,0
20000523,76.7808,81.592,76.7808,78.12,343,0
20000524,76.7808,76.7808,73.408,74.4,181,0
20000525,75.8962,76.5907,74.16,74.16,101,0
20000526,72.9116,75.59,72.9116,75.59,40,0
20000530,75.8936,77.3321,75.1495,76.34,141,0
20000601,75.45,75.45,75.45,75.45,40,0
20000602,74.4016,75.84,73.4095,75.84,101,0
20000605,73.4161,73.4161,71.9279,72.92,81,0
20000606,71.92,71.92,67.704,69.44,464,0
20000607,69.44,69.44,66.96,66.96,60,0
20000608,67.46,69.4441,67.46,67.46,101,0
20000609,69.4432,69.84,68.4511,69.84,141,0
20000613,71.92,74.4,70.928,71.92,262,0
20000614,74.4,75.64,73.408,75.64,282,0
20000615,75.8384,75.8384,73.16,73.16,161,0
20000616,74.4082,74.4082,72.92,72.92,60,0
20000620,72.912,72.912,68.448,69.44,423,0
20000621,67.952,68.448,66.96,66.96,81,0
20000622,68.448,69.44,66.96,69.44,121,0
20000623,69.442,69.938,67.954,68.45,81,0
20000626,69.444,69.444,67.7079,68.7,60,0
20000627,67.952,67.952,66.96,66.96,20,0
20000628,66.968,66.968,66.72,66.72,20,0
20000629,65.726,67.2142,64.4859,65.23,101,0
20000630,64.9846,66.4232,58.2877,60.52,685,0
20000703,74.1564,86.1603,67.0632,73.71,2339,0
20000704,73.6579,76.138,73.6579,75.89,262,0
20000705,73.8583,76.2393,73.4119,74.9,121,0
20000706,74.403,74.403,68.5004,68.55,121,0
20000710,70.2374,74.9,70.2374,74.9,262,0
20000711,76.3425,76.3425,73.9118,75.4,141,0
20000712,74.9019,76.39,74.4058,76.39,101,0
20000714,75.894,78.8702,73.513,76.39,222,0
20000717,74.4,78.368,74.4,76.88,181,0
20000718,76.5824,76.88,74.4,76.88,202,0
20000719,76.8867,76.8867,73.96,73.96,101,0
