Date,Open,High,Low,Close,Volume,OpenInt
20150803,2.154,2.154,2.154,2.154,10,0
20150805,2.15,2.151,2.15,2.151,1,0
20150807,2.15,2.155,2.15,2.155,150,0
20150810,2.155,2.155,2.155,2.155,400,0
20150813,2.15,2.155,2.15,2.155,20,0
20150814,2.2,2.2,2.2,2.2,6,0
20150818,2.8,3,2.8,3,2470,0
20150820,2.858,2.994,2.858,2.994,110,0
20150821,2.852,2.987,2.852,2.987,200,0
20150826,2.582,2.582,2.459,2.459,1,0
20150828,2.231,2.87,1.49,2.87,5403,0
20150831,2.4,2.4,2.4,2.4,990,0
20150902,2.178,2.178,2.085,2.085,120,0
20150907,1.81,1.812,1.81,1.812,29,0
20150909,1.81,1.815,1.81,1.815,19,0
20150917,1.565,1.639,1.565,1.639,500,0
20150918,1.64,3,1.64,2.999,4300,0
20150921,3,3,3,3,350,0
20150922,2.858,2.858,2.484,2.484,320,0
20150925,2.147,2.147,2.078,2.078,5,0
20150928,1.98,1.98,1.886,1.886,400,0
20150930,1.95,2.21,1.95,2.15,2100,0
20151001,2.049,2.248,2.049,2.248,911,0
20151002,2.36,2.5,2.36,2.5,1000,0
20151005,2.393,2.55,2.192,2.55,2657,0
20151007,2.5,2.5,2.5,2.5,1648,0
20151009,2.325,2.325,2.246,2.246,2,0
20151012,2.168,2.168,2.1,2.1,1,0
20151013,2.01,2.01,2.01,2.01,8,0
20151019,1.95,2.07,1.95,2.07,12,0
20151023,1.95,1.98,1.95,1.98,54,0
20151102,1.85,1.855,1.85,1.855,4,0
20151103,1.85,1.881,1.85,1.881,6,0
20151104,1.85,1.855,1.85,1.855,200,0
20151105,1.85,1.855,1.85,1.855,135,0
20151106,1.85,1.851,1.85,1.851,10,0
20151110,1.85,1.855,1.85,1.855,44,0
20151111,1.85,1.855,1.85,1.852,132,0
20151118,1.857,1.857,1.857,1.857,510,0
20151127,1.85,1.851,1.85,1.851,60,0
20151201,1.85,1.851,1.85,1.851,160,0
20151202,1.85,1.852,1.85,1.852,5,0
20151203,1.85,1.851,1.85,1.851,240,0
20151209,1.85,1.851,1.85,1.851,50,0
20151214,1.85,1.85,1.85,1.85,200,0
20151215,1.85,1.851,1.85,1.851,2,0
20151218,1.85,1.91,1.85,1.91,12,0
20151221,1.9,1.91,1.9,1.91,88,0
20151222,1.9,1.99,1.9,1.9,1014,0
20151229,1.85,1.851,1.85,1.851,6,0
20160105,1.68,1.68,1.6,1.6,14,0
20160106,1.6,2.7,1.6,2.7,597,0
20160107,2.572,2.572,2,2,2,0
20160113,1.647,1.725,1.643,1.643,600,0
20160118,1.61,1.615,1.61,1.615,300,0
20160125,1.392,1.392,1.326,1.326,20,0
20160126,1.6,2.4,1.6,2,853,0
20160127,1.905,1.996,1.905,1.996,500,0
20160129,1.811,1.811,1.725,1.725,10,0
