Date,Open,High,Low,Close,Volume,OpenInt
20090406,0.78,0.79,0.71,0.785,4310,0
20090407,0.79,0.79,0.74,0.75,3500,0
20090408,0.75,0.774,0.71,0.774,100,0
20090409,0.77,0.78,0.73,0.78,8300,0
20090414,0.78,0.78,0.71,0.74,100,0
20090415,0.78,0.78,0.74,0.75,2000,0
20090416,0.78,0.78,0.75,0.75,13700,0
20090417,0.75,0.76,0.75,0.75,300,0
20090420,0.76,0.9,0.75,0.75,65,0
20090421,0.75,0.785,0.75,0.75,1000,0
20090422,0.75,0.778,0.75,0.76,1080,0
20090423,0.76,0.76,0.59,0.75,8,0
20090424,0.75,0.75,0.75,0.75,3100,0
20090427,0.75,0.75,0.71,0.71,1000,0
20090428,0.75,0.77,0.71,0.72,500,0
20090429,0.77,0.78,0.74,0.74,4500,0
20090430,0.78,0.8,0.73,0.73,9000,0
20090504,0.74,0.8,0.701,0.8,5600,0
20090505,0.8,0.8,0.749,0.75,1900,0
20090506,0.75,0.788,0.71,0.788,4504,0
20090507,0.79,0.79,0.7,0.74,43700,0
20090508,0.74,0.74,0.7,0.739,7575,0
20090511,0.74,0.74,0.7,0.7,2500,0
20090512,0.7,0.738,0.69,0.738,6700,0
20090513,0.74,0.74,0.7,0.73,1200,0
20090514,0.73,0.74,0.701,0.74,3000,0
20090515,0.74,0.753,0.71,0.753,100,0
20090518,0.75,0.789,0.71,0.789,500,0
20090519,0.79,0.79,0.75,0.789,3200,0
20090520,0.79,0.79,0.75,0.788,200,0
20090522,0.78,0.78,0.75,0.755,2500,0
20090525,0.76,0.76,0.75,0.754,420,0
20090526,0.75,0.788,0.75,0.788,400,0
20090528,0.78,0.78,0.75,0.78,3300,0
20090529,0.78,0.78,0.74,0.74,500,0
20090601,0.78,0.82,0.74,0.799,1200,0
20090602,0.8,0.8,0.75,0.77,1800,0
20090604,0.77,0.79,0.77,0.79,40754,0
20090605,0.79,0.79,0.75,0.77,2350,0
20090608,0.79,0.79,0.75,0.79,5000,0
20090609,0.79,0.819,0.75,0.819,23007,0
20090610,0.82,0.82,0.79,0.79,4000,0
20090611,0.79,0.83,0.79,0.83,500,0
20090612,0.83,0.831,0.8,0.8,500,0
20090616,0.8,0.831,0.77,0.812,11226,0
20090617,0.81,0.811,0.79,0.79,400,0
20090618,0.81,0.81,0.79,0.79,6000,0
20090622,0.8,0.86,0.79,0.86,5,0
20090624,0.79,0.83,0.79,0.79,100,0
20090625,0.79,0.801,0.79,0.79,400,0
20090630,0.79,0.84,0.79,0.8,200,0
20090701,0.84,0.84,0.8,0.81,2000,0
20090702,0.81,0.81,0.8,0.8,3200,0
20090703,0.8,0.801,0.732,0.755,19564,0
20090706,0.76,0.8,0.76,0.8,1000,0
20090708,0.81,0.844,0.77,0.844,2268,0
20090710,0.81,0.81,0.8,0.806,589,0
20090713,0.81,0.81,0.8,0.81,41,0
20090715,0.8,0.801,0.8,0.801,3000,0
20090716,0.8,0.801,0.8,0.801,2000,0
20090717,0.8,0.801,0.8,0.801,1000,0
