Date,Open,High,Low,Close,Volume,OpenInt
20000314,64.72,72.516,64.72,71.519,10568346,0
20000315,69.706,69.752,64.176,66.207,6459248,0
20000316,66.389,66.389,63.37,63.724,4472934,0
20000317,65.99,67.34,63.951,64.811,2294881,0
20000320,65.264,67.893,64.223,66.995,2044895,0
20000321,65.283,66.488,63.361,63.724,2310878,0
20000322,64.359,64.712,59.011,61.548,4767487,0
20000323,62.544,63.18,55.448,56.372,2682324,0
20000324,57.288,59.101,56.662,58.104,1094486,0
20000327,57.922,58.738,56.02,56.426,817803,0
20000328,57.787,58.793,56.744,57.976,928455,0
20000329,58.113,59.282,57.152,57.47,1123611,0
20000330,54.388,55.294,51.85,53.027,2087149,0
20000331,49.991,53.835,48.495,51.531,1751664,0
20000403,53.48,54.106,50.852,52.122,902418,0
20000404,49.873,51.776,49.873,49.873,1994038,0
20000405,49.854,50.308,44.87,46.737,2179265,0
20000406,49.854,55.973,49.854,53.027,1690987,0
20000407,55.747,56.426,52.574,54.115,1120964,0
20000410,56.199,56.862,54.705,56.381,822105,0
20000411,54.096,57.052,52.666,55.756,1349215,0
20000412,58.467,59.726,56.653,57.56,1493513,0
20000413,55.565,57.831,54.568,57.831,1568423,0
20000414,57.334,57.985,54.388,54.388,1423241,0
20000417,49.946,57.016,49.946,56.618,1510726,0
20000418,59.816,60.189,57.47,58.013,1415297,0
20000419,60.098,61.639,58.828,61.538,1096582,0
20000420,59.826,62.436,59.654,62.41,802029,0
20000425,59.962,62.3,59.282,61.91,547407,0
20000426,62.909,67.168,62.372,66.488,1532569,0
20000427,68.12,68.12,60.098,63.043,2135468,0
20000428,66.625,70.975,66.261,68.89,2266638,0
20000502,70.921,71.057,69.116,69.615,883885,0
20000503,68.619,69.425,67.232,68.165,733630,0
20000504,66.488,67.532,65.717,66.081,634342,0
20000505,66.171,66.579,64.359,66.579,733519,0
20000510,68.89,68.89,61.775,62.454,1392350,0
20000511,61.902,64.676,60.324,63.996,1156708,0
20000512,65.264,69.207,64.267,68.528,1104746,0
20000515,67.803,69.481,67.095,67.893,604775,0
20000516,68.89,71.156,68.256,69.752,1294386,0
20000517,70.322,70.322,67.532,67.532,565059,0
20000518,66.987,68.12,66.625,67.168,678360,0
20000519,67.258,67.349,63.088,63.814,1206574,0
20000522,63.679,64.086,59.554,60.758,942356,0
20000523,62.001,63.062,61.73,61.874,473385,0
20000524,59.826,59.826,56.835,57.106,1476637,0
20000525,59.372,61.004,59.282,60.57,781068,0
20000526,58.828,61.838,58.013,60.035,553146,0
20000529,60.733,63.171,60.733,61.657,271166,0
20000530,62.909,62.998,61.094,61.412,420981,0
20000531,63.452,64.349,62.318,62.318,1323952,0
20000601,60.96,64.086,60.96,63.27,496442,0
20000602,63.905,69.343,63.633,68.347,1213522,0
20000605,69.343,70.704,67.73,69.798,1357821,0
20000606,68.836,69.481,65.01,69.199,1074849,0
20000607,67.975,73.404,67.532,73.241,2118148,0
20000608,73.332,77.593,73.015,77.048,3376901,0
20000609,77.048,77.547,72.97,76.06,2429472,0
20000612,76.232,77.32,75.96,76.414,445583,0
20000613,75.417,76.052,73.603,74.328,1309942,0
20000614,75.689,76.731,73.513,74.347,2587560,0
20000615,74.601,74.683,71.429,72.063,2319262,0
20000616,72.153,72.153,69.571,72.153,3175457,0
20000619,72.97,75.689,72.516,75.689,4091445,0
20000620,76.821,81.037,76.596,77.955,4966506,0
20000621,77.501,79.994,76.143,79.768,2905062,0
20000622,79.768,81.762,79.578,80.602,1816202,0
20000623,80.402,82.106,78.67,81.581,2358425,0
20000626,81.581,81.581,78.907,78.997,1775714,0
20000627,80.221,84.844,78.272,83.665,3137949,0
