Date,Open,High,Low,Close,Volume,OpenInt
20161010,36,36.055,35.425,35.75,4079130,0
20161011,35.8,36.6,35.735,36.6,2089749,0
20161012,36.6,37.145,36.6,36.985,1262692,0
20161013,37,37.17,36.655,37,3714541,0
20161014,37,37.9,37,37.465,993097,0
20161017,37.55,37.755,37.4,37.71,846232,0
20161018,37.81,38.73,37.615,38.25,1421436,0
20161019,38.435,38.435,37.665,37.745,972433,0
20161020,37.885,38.11,37.26,37.78,10408627,0
20161021,37.85,37.875,37.305,37.77,604051,0
20161024,38.095,38.625,37.29,37.4,346392,0
20161025,37.9,37.915,37.205,37.5,449883,0
20161026,37.455,37.5,37.105,37.5,267873,0
20161027,37.5,37.5,36.9,37,554221,0
20161028,37,37.2,36.025,36.51,411866,0
20161031,36.55,36.885,36.175,36.175,319636,0
20161101,36.33,36.43,34.63,34.81,392450,0
20161102,34.81,34.99,33.57,34.1,476146,0
20161103,34.1,34.805,33.93,34.375,323175,0
20161104,34.39,35.01,34.26,34.755,300650,0
20161107,35.24,35.495,34.8,34.9,153979,0
20161108,34.795,35.34,34.43,34.89,293946,0
20161109,34.5,35.07,33.765,33.765,523250,0
20161110,33.99,33.99,31.03,32.75,993483,0
20161111,30.25,32.085,30.12,31.725,866771,0
20161114,32.48,32.77,31.18,31.3,421845,0
20161115,31.4,31.575,30.63,31.25,622930,0
20161116,31.565,32.2,31.565,31.975,451044,0
20161117,31.985,33.07,31.31,32.715,483603,0
20161118,32.82,32.88,31.9,32.12,227976,0
20161121,32.55,32.73,31.96,32.08,172421,0
20161122,32.275,32.385,31.79,32.165,344672,0
20161123,32.295,33.39,31.975,32.635,471959,0
20161124,32.7,33.195,32.525,32.675,128571,0
20161125,32.71,33.885,32.71,33.54,167019,0
20161128,33.77,34.005,33.265,33.7,339077,0
20161129,33.555,34.06,33.155,33.56,186589,0
20161130,33.625,33.99,33.08,33.315,1014446,0
20161201,33.245,33.33,31.2,31.48,314412,0
20161202,31.5,31.6,30.94,31.085,509865,0
20161205,31.2,31.705,30.82,30.82,476526,0
20161206,31.05,31.695,30.81,31.115,384503,0
20161207,31.415,31.735,30.995,31.36,420202,0
20161208,31.25,31.9,31.185,31.4,515177,0
20161209,31.45,31.92,31.17,31.29,344306,0
20161212,31.45,31.645,31.03,31.2,344275,0
20161213,31.205,31.3,31.05,31.11,375572,0
20161214,31.1,31.69,31.03,31.2,393382,0
20161215,31.2,31.3,30.55,30.85,586797,0
20161216,30.85,31.48,30.7,31.06,3278515,0
20161219,31.27,31.95,31,31.92,573712,0
20161220,31.92,32.245,31.7,32.165,384559,0
20161221,32.25,32.78,32.12,32.45,358206,0
20161222,32.325,32.555,32,32.49,296272,0
20161223,32.555,32.565,32.315,32.435,142642,0
20161227,32.595,32.75,32.4,32.695,128620,0
20161228,32.615,32.76,32.3,32.325,207056,0
20161229,32.3,32.8,31.94,32.795,207643,0
20161230,32.87,33.4,32.785,33.01,249014,0
20170102,33.305,33.53,33.12,33.33,184706,0
20170103,33.47,33.47,31.87,32.075,528816,0
20170104,32.15,32.24,31.03,31.5,529866,0
20170105,31.635,32.195,31.5,32.195,370788,0
20170106,32.265,32.265,31.62,31.79,377203,0
20170109,31.94,32,31.61,31.61,321647,0
20170110,31.77,31.78,31.37,31.5,360978,0
20170111,31.51,31.51,30.9,31.05,800417,0
20170112,31.1,31.135,30.92,30.95,718801,0
20170113,31.1,31.25,30.985,31.09,434898,0
20170116,31.035,31.16,30.9,30.935,553948,0
20170117,30.955,31.13,30.82,31,695819,0
20170118,31.15,31.175,30.975,31,627489,0
20170119,31.05,31.675,30.92,31.45,611378,0
20170120,31.45,31.72,31.365,31.555,286510,0
20170123,31.6,32.185,31.58,32,550557,0
20170124,32.1,32.39,31.82,32.295,445190,0
20170125,32.45,32.6,31.88,31.88,808543,0
20170126,32.1,32.56,32,32.17,545688,0
20170127,32.215,32.37,32,32.03,338354,0
20170130,32.04,32.04,31.4,31.63,439822,0
20170131,31.77,32.225,31.605,31.685,529646,0
20170201,31.915,32.035,31.6,31.61,338690,0
20170202,31.64,31.695,31.31,31.585,485231,0
20170203,31.765,32.35,31.59,32.27,491761,0
20170206,32.365,32.445,32,32,503567,0
20170207,32.05,32.78,31.965,32.63,557764,0
20170208,32.63,33.425,32.565,32.99,624129,0
20170209,33.19,33.19,32.68,32.975,686132,0
20170210,33.15,33.38,32.65,33.35,601331,0
20170213,33.45,33.95,33.43,33.625,380471,0
20170214,33.68,33.975,33.52,33.63,306471,0
20170215,33.91,33.91,33.48,33.76,280478,0
20170216,33.655,33.91,33.35,33.815,259965,0
20170217,33.9,33.98,33.7,33.905,220737,0
20170220,34,34.18,33.82,34.035,296704,0
20170221,34.07,34.23,33.515,33.78,449679,0
20170222,33.85,34.04,33.67,33.985,278897,0
20170223,34.05,34.1,33.755,33.91,304436,0
20170224,33.9,34.085,33.325,33.815,325507,0
20170227,33.925,33.945,33.455,33.915,260052,0
20170228,34.035,34.035,33.715,33.9,389782,0
20170301,34.035,34.24,33.93,34,343945,0
20170302,33.925,34.26,33.925,34.185,244975,0
20170303,34.045,34.27,33.835,33.91,233566,0
20170306,33.87,34.225,33.735,34.19,194848,0
20170307,34.24,34.24,33.87,34,267931,0
20170308,33.85,33.995,33.305,33.705,318937,0
20170309,33.67,33.98,33.535,33.93,317332,0
20170310,33.99,34,33.525,33.525,271251,0
20170313,33.88,34,32.2,33.425,784011,0
20170314,34.755,36.18,34,34.865,2552300,0
20170315,34.955,34.955,34,34.35,748421,0
20170316,34.74,35.15,34.37,34.795,423355,0
20170317,34.715,34.72,33.935,34.395,1054940,0
20170320,34.4,34.895,34.28,34.39,305821,0
20170321,34.75,34.925,34.4,34.6,524851,0
20170322,34.48,34.85,34.46,34.77,387773,0
20170323,34.86,35.485,34.68,35.235,574136,0
