Date,Open,High,Low,Close,Volume,OpenInt
20161123,7.65,8.1,7.5,7.5,15255,0
20161124,7.7,7.7,7.65,7.65,1723,0
20161125,7.75,7.75,7.6,7.6,9450,0
20161128,7.7,7.7,7.42,7.69,2540,0
20161129,7.44,7.89,7.1,7.59,112374,0
20161130,8.15,8.349,7.85,7.89,123575,0
20161201,7.99,7.99,7.79,7.9,17302,0
20161202,7.8,7.85,7.6,7.794,15344,0
20161205,7.777,7.82,7.5,7.799,25410,0
20161206,7.556,7.95,7.55,7.95,34508,0
20161207,7.95,8.399,7.9,8.39,32263,0
20161208,8.4,9.18,8.25,8.4,36004,0
20161209,8.5,8.969,8.5,8.8,30203,0
20161212,8.8,8.8,8.3,8.55,21705,0
20161213,8.55,8.79,8.55,8.6,8180,0
20161214,8.55,8.699,8.55,8.699,4616,0
20161215,8.42,8.688,8.4,8.4,6507,0
20161216,8.5,8.68,7.6,7.989,36830,0
20161219,8.18,8.18,7.791,8.019,3375,0
20161220,8.05,8.051,7.62,7.885,30070,0
20161221,7.99,8,7.7,7.7,19052,0
20161222,7.9,7.9,7.41,7.525,31815,0
20161223,7.5,7.849,7.5,7.664,3317,0
20161227,7.75,7.89,7.67,7.67,3610,0
20161228,7.829,7.83,7.598,7.79,7598,0
20161229,7.835,7.835,7.601,7.8,2508,0
20161230,7.8,7.8,7.8,7.8,2389,0
20170102,7.8,7.89,7.62,7.62,5870,0
20170103,7.6,7.849,7.5,7.849,5837,0
20170104,7.525,7.9,7.48,7.86,24928,0
20170105,7.8,7.8,7.6,7.779,6607,0
20170106,7.6,7.8,7.5,7.73,21995,0
20170109,7.75,7.799,7.72,7.799,11282,0
20170110,7.89,8.2,7.74,8.169,52851,0
20170111,8.1,8.1,7.75,7.875,47368,0
20170112,7.99,8.159,7.896,8.12,20468,0
20170113,8.16,8.3,8.16,8.3,7747,0
20170116,8.4,8.44,8.25,8.42,18563,0
20170117,8.48,8.5,8.399,8.4,8499,0
20170118,8.579,8.61,8.45,8.61,9227,0
20170119,8.65,8.789,8.55,8.789,2400,0
20170120,8.8,8.8,8.61,8.639,23735,0
20170123,8.76,8.789,8.612,8.789,21641,0
20170124,8.85,9.5,8.786,9.4,47422,0
20170125,9.5,9.5,9.32,9.5,8553,0
20170126,9.69,9.69,9.451,9.6,7457,0
20170127,9.55,9.6,9.321,9.55,28527,0
20170130,9.5,9.6,8.55,8.691,70606,0
20170131,8.9,9.108,8.69,8.72,6538,0
20170201,9.15,9.29,8.9,9.29,13318,0
20170202,9.33,9.62,9.32,9.5,14777,0
20170203,9.64,10.02,9.63,9.753,35342,0
20170206,10.2,10.9,9.79,9.8,73490,0
20170207,9.65,9.8,8.8,9.1,61678,0
20170208,9.222,9.8,9.222,9.73,14942,0
20170209,9.73,9.9,9.37,9.9,17193,0
20170210,9.491,9.83,9.491,9.75,7599,0
20170213,9.8,9.849,9.6,9.69,8192,0
20170214,9.77,9.9,9.601,9.8,20071,0
20170215,9.7,10.39,9.662,10.39,67687,0
20170216,10.39,10.4,10.21,10.38,11416,0
20170217,10.38,10.38,9.97,10.38,11662,0
20170220,10.4,10.4,10.095,10.295,5163,0
20170221,10.17,10.19,10.02,10.19,4972,0
20170222,10.19,10.19,10.04,10.12,3770,0
20170223,9.99,10.28,9.99,9.99,4230,0
20170224,10,10,9.802,9.85,5712,0
20170227,10,10.195,9.85,10,2969,0
20170228,10,10,9.69,9.69,8389,0
20170301,9.85,9.85,9.69,9.72,1500,0
20170302,9.65,9.65,9.602,9.602,1835,0
20170303,9.899,10,9.899,10,4169,0
20170306,10,10.14,9.78,9.78,1740,0
20170307,9.779,10.1,9.61,9.805,13117,0
20170308,9.651,9.651,9.61,9.61,1600,0
20170309,9.85,9.85,9.751,9.751,225,0
20170310,9.979,10.06,9.901,10.06,3467,0
20170313,10,10.05,9.943,10,2920,0
20170314,10,10.3,10,10.3,9843,0
20170315,10.1,10.125,10.025,10.025,8002,0
20170316,10,10,10,10,10000,0
20170317,10.1,10.1,10.1,10.1,400,0
20170320,10.1,10.15,10.1,10.15,2030,0
20170321,10.1,10.15,9.85,9.85,2568,0
20170322,9.851,9.851,9.75,9.75,5237,0
20170323,9.9,9.9,9.9,9.9,200,0
