Date,Open,High,Low,Close,Volume,OpenInt
20000106,20.939,21.466,20.939,21.466,2124,0
20000110,21.994,21.994,21.994,21.994,266,0
20000112,20.486,20.486,20.486,20.486,531,0
20000113,20.335,20.713,20.335,20.637,1061,0
20000118,20.561,20.713,19.959,19.959,797,0
20000120,20.561,20.675,20.561,20.675,398,0
20000124,20.035,20.335,19.885,19.885,1327,0
20000125,19.659,19.659,19.583,19.583,1992,0
20000126,20.11,20.335,20.11,20.328,5044,0
20000127,20.524,20.524,19.13,19.507,1061,0
20000128,19.207,19.734,19.207,19.734,1193,0
20000131,20.411,20.411,20.411,20.411,132,0
20000201,20.713,20.713,20.335,20.335,1193,0
20000203,20.939,23.499,20.939,23.349,12481,0
20000204,22.972,23.047,22.294,22.746,1327,0
20000207,22.294,22.369,21.768,21.768,797,0
20000209,24.101,24.101,21.926,22.218,3053,0
20000210,21.768,22.972,21.768,22.972,3319,0
20000211,22.144,22.595,21.473,22.595,4648,0
20000214,22.595,22.595,22.218,22.218,1327,0
20000215,21.617,21.617,20.788,20.788,2655,0
20000216,22.407,22.407,21.089,21.104,3584,0
20000217,21.541,21.76,21.541,21.76,531,0
20000223,20.335,20.335,20.335,20.335,132,0
20000224,20.261,20.975,19.959,20.975,2655,0
20000225,20.561,20.561,20.561,20.561,266,0
20000228,20.524,20.863,20.185,20.713,1327,0
20000229,21.164,21.466,20.788,21.466,1992,0
20000303,21.842,21.842,20.035,20.035,2789,0
20000307,19.959,19.959,19.959,19.959,132,0
20000308,20.185,21.089,19.357,21.089,2124,0
20000309,20.411,20.411,20.261,20.261,1061,0
20000310,20.335,21.013,20.335,20.335,1327,0
20000314,21.013,21.013,21.013,21.013,531,0
20000317,21.39,21.466,21.278,21.466,1992,0
20000320,21.097,21.097,21.097,21.097,132,0
20000321,21.089,21.089,21.089,21.089,266,0
20000322,20.863,20.863,20.863,20.863,266,0
20000323,21.473,22.595,21.473,22.218,2920,0
20000324,22.444,22.444,22.144,22.144,1992,0
20000327,22.444,22.444,21.692,21.842,1327,0
20000328,21.466,21.466,19.583,19.959,6903,0
20000329,20.713,20.713,20.411,20.713,2655,0
20000330,20.939,20.939,20.185,20.185,398,0
20000403,21.013,21.089,21.013,21.089,531,0
20000405,21.082,21.082,20.719,20.719,398,0
20000410,20.335,20.486,20.335,20.486,1061,0
20000412,20.261,20.261,20.261,20.261,930,0
20000417,20.335,20.335,19.959,19.959,2124,0
20000418,19.959,20.713,19.959,20.713,1461,0
20000419,20.561,20.561,20.561,20.561,132,0
20000420,20.351,20.351,20.185,20.335,1193,0
20000425,20.713,20.713,20.713,20.713,132,0
20000427,20.335,20.335,20.335,20.335,132,0
20000502,19.997,20.005,19.997,19.997,398,0
20000504,20.486,20.637,20.035,20.043,1992,0
20000505,20.335,20.486,20.335,20.486,2124,0
20000510,20.486,20.713,20.117,20.117,266,0
20000511,20.335,20.335,20.043,20.043,398,0
20000512,20.261,20.261,19.885,19.885,930,0
20000516,20.261,20.261,20.261,20.261,797,0
20000517,20.043,20.043,20.043,20.043,132,0
20000519,20.637,21.082,20.637,21.082,3319,0
20000522,21.466,21.842,21.466,21.692,4250,0
20000523,22.294,22.746,22.294,22.746,2655,0
20000524,22.068,22.068,21.768,21.842,1859,0
20000529,21.089,21.089,21.089,21.089,531,0
20000531,20.713,21.466,20.713,21.089,3452,0
20000601,21.383,21.383,21.383,21.383,531,0
20000602,21.097,21.097,21.097,21.097,266,0
20000605,21.692,21.76,21.39,21.39,266,0
20000607,21.466,21.466,21.089,21.089,132,0
20000612,21.842,21.842,21.842,21.842,398,0
20000614,22.218,22.218,21.692,21.842,2789,0
20000615,21.842,21.842,21.39,21.39,1193,0
20000616,21.315,21.315,20.901,20.901,7701,0
20000619,21.466,21.73,21.466,21.73,132,0
20000621,21.835,21.835,21.089,21.089,9425,0
20000622,21.458,21.458,21.089,21.315,1859,0
20000623,21.842,21.842,20.939,21.805,8496,0
20000626,21.91,21.918,21.097,21.097,3850,0
20000627,21.692,21.842,21.24,21.617,2655,0
20000629,21.768,21.842,21.39,21.842,132,0
20000630,21.466,21.654,21.466,21.466,664,0
20000703,21.654,21.842,21.541,21.842,1193,0
20000704,21.692,22.52,21.39,21.842,17923,0
20000705,21.466,21.768,21.466,21.768,797,0
20000706,21.692,21.692,21.247,21.247,398,0
20000710,21.39,21.466,21.39,21.466,531,0
20000711,21.466,21.768,21.466,21.692,2523,0
20000712,21.548,21.654,21.089,21.089,2391,0
20000714,20.705,21.051,20.261,20.713,11551,0
20000717,21.013,21.089,20.713,20.713,1992,0
