Date,Open,High,Low,Close,Volume,OpenInt
20041108,6.13333,6.15,5.95333,6.02667,402300,0
20041109,6.06333,6.13333,6,6.13333,90600,0
20041110,6.22,6.55,6.22,6.55,168900,0
20041111,6.58333,6.6,6.34,6.45667,59100,0
20041112,6.48333,6.49,6.35,6.41667,25200,0
20041115,6.44,6.44,6.33333,6.4,18300,0
20041116,6.41667,6.76667,6.38333,6.73333,83700,0
20041117,6.7,6.83333,6.61667,6.78333,34200,0
20041118,6.79667,6.81333,6.75,6.81333,18300,0
20041119,6.83333,6.83333,6.66667,6.78333,17700,0
20041122,6.79333,6.79333,6.53333,6.72333,16800,0
20041123,6.78333,6.81,6.56667,6.66667,50100,0
20041124,6.66667,6.81667,6.58667,6.71667,18000,0
20041125,6.71667,6.71667,6.6,6.66667,27900,0
20041126,6.66667,6.66667,6.62,6.66667,12600,0
20041129,6.65,6.73333,6.62,6.7,16800,0
20041130,6.73333,6.96333,6.65,6.93333,42900,0
20041201,7.03333,7.15,6.95,7.05,37200,0
20041202,7.08333,7.15,7.02,7.02,14700,0
20041203,7.1,7.16667,7.03333,7.03333,12300,0
20041206,7.09,7.09,6.85333,7.04667,15000,0
20041207,7.05,7.05,6.91667,7.05,4800,0
20041208,6.93333,7.01667,6.9,6.9,7200,0
20041209,6.9,6.96667,6.83333,6.9,5400,0
20041210,6.9,7.05,6.9,7,17100,0
20041213,7,7.06667,6.88333,6.93333,6300,0
20041214,7.01667,7.06667,6.93667,7.03333,1800,0
20041215,7.03333,7.03333,6.83333,6.96,8700,0
20041216,6.96,6.96,6.73333,6.76667,6000,0
20041217,6.8,6.8,6.50333,6.8,18900,0
20041220,6.76333,6.86333,6.52,6.55,12300,0
20041221,6.53333,6.65,6.53333,6.65,8400,0
20041222,6.66667,6.7,6.66667,6.7,900,0
20041223,6.83333,6.83333,6.61667,6.76667,6900,0
20041227,6.66667,6.66667,6.61667,6.66667,3000,0
20041228,6.64667,6.73333,6.56667,6.56667,3600,0
20041229,6.56667,6.75,6.5,6.66667,17100,0
20041230,6.58333,6.66333,6.5,6.63333,9300,0
20050103,6.63333,6.66667,6.53667,6.65,3600,0
20050104,6.65,6.65,6.5,6.63333,14100,0
20050105,6.53333,6.6,6.5,6.6,17100,0
20050106,6.53333,6.6,6.21,6.49333,18600,0
20050107,6.45,6.53333,6.38333,6.49,6600,0
20050110,6.45,6.47,6.33333,6.41667,8400,0
20050111,6.36667,6.39667,6.23333,6.23333,8400,0
20050112,6.23333,6.29667,6,6.29667,24900,0
20050113,6.13667,6.46667,6.03333,6.46667,27600,0
20050114,6.33333,6.6,6.33333,6.56667,27600,0
20050117,6.56667,6.63333,6.5,6.63,20100,0
20050118,6.66,6.76667,6.63333,6.7,12900,0
20050119,6.7,6.73,6.63333,6.7,8700,0
20050120,6.63667,6.7,6.63,6.68,9900,0
20050121,6.66667,6.73333,6.56667,6.7,17700,0
20050124,6.63333,6.83333,6.56667,6.74667,88500,0
20050125,6.58333,7.03333,6.58333,6.99,63900,0
20050126,6.98333,7.06667,6.83333,7.06667,20100,0
20050127,7.06667,7.07,6.86667,7.06667,9900,0
20050128,7.06667,7.06667,6.89,6.96667,12900,0
20050131,6.98333,7,6.90667,6.93333,12600,0
20050201,7.05,7.05,6.85,6.93333,15000,0
20050202,7,7.1,6.95,6.95,5700,0
20050203,6.95,7.1,6.95,7.03333,4200,0
20050204,7,7.2,7,7.2,15900,0
20050207,7.33,7.49,7.33,7.48667,61200,0
20050208,7.7,7.78333,7.66667,7.75,118200,0
20050209,7.8,7.81667,7.67333,7.71667,44100,0
20050210,7.7,7.93333,7.7,7.93333,27300,0
20050211,7.77333,8,7.77333,7.96333,11400,0
20050214,8.00333,8.23333,8.00333,8.13333,33600,0
20050215,8.21667,8.21667,7.98333,8.05,43200,0
20050216,8.00333,8.08333,7.96667,8.06,25500,0
20050217,8,8,7.78333,7.94667,7200,0
20050218,7.93333,7.93333,7.85,7.92667,2700,0
20050221,7.96667,7.96667,7.67667,7.75,21300,0
20050222,7.76667,7.79667,7.67,7.73,5700,0
20050223,7.66667,7.75,7.66667,7.70333,27900,0
20050224,7.76333,7.91667,7.68667,7.91667,3900,0
20050225,7.9,8,7.9,7.93333,7500,0
20050228,8,8,7.83333,7.96667,3900,0
20050301,7.86667,7.86667,7.30333,7.66667,30300,0
20050302,7.74667,7.74667,7.45,7.60667,9900,0
20050303,7.6,7.85,7.6,7.83333,19500,0
20050304,7.83333,8.09667,7.8,8.09667,15300,0
20050307,8.09667,8.09667,7.7,7.93333,15600,0
20050308,7.96667,8.03333,7.86667,8,9300,0
20050309,8,8.43333,7.96667,8.31667,44700,0
20050310,8.38333,8.53333,8.33333,8.53333,14400,0
20050311,8.59667,9.16333,8.56667,8.88,125700,0
20050314,9.05,9.05,8.79,8.99667,39600,0
20050315,9.08333,9.26667,9,9.17667,25200,0
20050316,9.03333,9.15,8.86333,8.86333,10200,0
20050317,8.76667,8.76667,8.33333,8.45,25500,0
20050318,8.50333,8.62667,8.45333,8.56667,7500,0
20050321,8.45,9.11667,8.45,9.06333,32400,0
20050322,9.1,9.14,8.8,9.06667,23100,0
20050323,8.96667,8.96667,8.83333,8.83333,15000,0
20050324,8.83333,8.91667,8.7,8.91667,6900,0
20050329,8.9,8.9,8.75,8.78333,5100,0
20050330,8.70333,8.70333,8.43333,8.58333,12000,0
20050331,8.65,8.65,8.46667,8.5,8700,0
20050401,8.43667,8.5,8.16667,8.46667,39900,0
20050404,8.5,8.5,8.36667,8.36667,8400,0
20050405,8.36667,8.36667,8.28333,8.28333,10500,0
20050406,8.3,8.46667,8.25,8.4,8400,0
20050407,8.46333,8.48,8.4,8.48,900,0
20050408,8.48333,8.5,8.46667,8.49667,6300,0
20050411,8.55,8.55,8.38333,8.49667,17700,0
20050412,8.93333,9,8.53333,8.83333,53100,0
20050413,8.83333,9.16667,8.83333,9.13333,24000,0
20050414,9.11667,9.56667,8.96667,9.33333,39300,0
20050415,9.33333,9.36667,8.75333,8.82333,54900,0
20050418,8.78333,8.78333,8.25333,8.56333,37500,0
20050419,8.6,8.76333,8.57333,8.57333,15300,0
20050420,8.66667,8.74667,8.26667,8.53333,11700,0
20050421,8.63,8.9,8.53333,8.9,22200,0
20050422,8.92667,9.25,8.92667,9.13333,38700,0
20050425,9.13333,9.5,9.13333,9.46667,32400,0
20050426,9.36667,9.55,9.36667,9.55,11100,0
20050427,9.46667,10.1,9.46667,9.8,38100,0
20050428,9.75,9.81667,9.18333,9.26667,30300,0
20050429,9.35,9.98333,9.21667,9.98333,26400,0
20050502,10,10.08333,9.83333,10,10200,0
20050503,10,10,9.56667,9.83,10500,0
20050504,9.83333,9.83333,9.66667,9.83333,1200,0
20050505,9.73333,9.73333,9.66667,9.66667,1800,0
20050506,9.83,10,9.76667,10,8400,0
20050509,10.09667,10.23333,9.95,10.23333,16800,0
20050510,10.33333,11,10.33333,10.66667,39600,0
20050511,10.93333,11.16667,10.68667,11.16333,29400,0
20050512,11.3,11.3,10.55,11.06667,30300,0
20050513,11.03333,11.98,10.93333,11.66667,20100,0
20050516,11.86667,12.12,11.66667,11.83333,4200,0
20050517,12,12.6,12,12.16667,30900,0
20050518,12,12.3,11,11.66,61800,0
20050519,11.66,12.03333,11.66,11.83333,8400,0
20050520,11.66667,11.7,11,11.5,15300,0
20050523,11.46667,11.55,11.01,11.35,15300,0
20050524,11.45,11.45,11.16667,11.16667,1500,0
20050525,11.16667,11.38,11.16667,11.2,1800,0
20050526,11.16667,11.33333,11.16667,11.33333,1200,0
20050527,11.42333,11.6,11.42333,11.53333,6600,0
20050530,11.66667,12.23333,11.66333,12.13333,12300,0
20050531,12.2,13,12.1,12.5,24000,0
20050601,12.5,12.66667,12.33333,12.6,5400,0
20050602,12.68,12.68,12.5,12.66333,9000,0
20050603,12.66333,13.16667,12.6,12.66667,10200,0
20050606,12.7,12.7,12.33333,12.58333,2700,0
20050607,12.5,12.5,12.16667,12.26667,3300,0
20050608,12,12.13333,11.8,12.03333,14100,0
20050609,12.16667,12.2,12,12.16667,3900,0
20050610,12.16667,12.33,12,12,7200,0
20050613,12,12.01667,10.87,11.33333,49200,0
20050614,11.17333,11.58333,11.17333,11.56667,11700,0
20050615,11.5,11.73,11.5,11.56667,10200,0
20050616,11.66667,12,11.6,11.98333,17700,0
20050617,12.06667,12.06667,11.73333,11.73333,7500,0
20050620,11.66667,11.78333,11.63333,11.78333,3300,0
20050621,11.66667,11.66667,11.43333,11.63333,13200,0
20050622,11.5,11.56667,11.5,11.5,8700,0
20050623,11.56667,11.56667,10.51667,10.86667,77700,0
20050624,10.85,11.3,10.85,11.16667,32100,0
20050627,11.16667,11.16667,11.01333,11.03333,4800,0
20050628,11.1,11.23333,11.03333,11.23333,3000,0
20050629,11.3,11.3,11.11667,11.11667,3000,0
20050630,11.13333,11.25,11.05333,11.25,17400,0
20050701,11.16667,11.16667,11.06667,11.11667,8100,0
20050704,11.5,11.62667,11.36667,11.58333,60900,0
20050705,11.65,11.65,11.46667,11.63333,59100,0
20050706,11.80333,12.33333,11.80333,12.32,55800,0
20050707,12.5,13.16667,12,12.57333,27300,0
20050708,12.66667,13.16667,12.66667,13,30000,0
20050711,13.16667,13.46333,12.98333,13.33,27900,0
20050712,13.33333,13.61667,13.20333,13.31667,9000,0
20050713,13.61667,13.63333,13.33333,13.33333,23400,0
20050714,13.35,13.5,13.30333,13.30333,10800,0
20050715,13.43333,13.5,13.16667,13.41,8100,0
20050718,13.21667,13.41667,13.21333,13.33333,7200,0
20050719,13.2,13.26667,12.55,12.8,14400,0
20050720,12.91667,12.96667,12.91667,12.96667,1200,0
20050721,13,13.33333,12.73333,13.13333,14700,0
20050722,13.00333,13.14667,12.71667,13,4500,0
20050725,12.9,13.65,12.9,13.65,29700,0
20050726,13.55333,13.55333,13.17667,13.17667,900,0
20050727,13.13333,13.4,13.13333,13.33333,2100,0
20050728,13.55,13.55,13.43333,13.46667,3900,0
20050729,13.6,13.83333,13.44333,13.71667,18300,0
20050801,13.61667,13.87333,13.34,13.45667,6900,0
20050802,13.66667,13.69,13.35333,13.66667,18300,0
20050803,14.18333,14.66667,14.03333,14.66667,74700,0
20050804,14.4,14.8,14.33333,14.71667,20700,0
20050805,14.53333,14.73333,14.35,14.66667,73200,0
20050808,14.66667,15.49667,14.63333,15.1,19500,0
20050809,15.60667,16.33333,15.38333,16.06667,33600,0
20050810,16.00333,16.26333,15.33333,15.89667,21000,0
20050811,15.6,15.6,15.05667,15.5,10500,0
20050812,15.6,16.33333,15.6,16.17333,16200,0
20050815,16.23333,16.83,16.16667,16.76,20400,0
20050816,16.56667,17.12,16.55333,16.83667,15900,0
20050817,16.81667,17.16333,16.81667,16.99667,10500,0
20050818,16.99667,17.08333,16.55,16.55,34800,0
20050819,16.35,16.96333,16.14,16.56667,24300,0
20050822,16.78333,17.66333,16.78333,17.66333,30600,0
20050823,17.78667,18.22667,17.67333,17.9,36000,0
20050824,18.21667,18.21667,17.48667,17.67,6900,0
20050825,17.66667,17.66667,16.97333,17.41333,38400,0
20050826,17.41333,18.16333,17.20333,17.70333,23100,0
20050829,17.53667,18.14667,17.33333,17.73667,47100,0
20050830,17.65667,18.15,17.65667,17.8,5400,0
20050831,17.36667,17.85,17.16667,17.85,45600,0
20050901,17.5,17.6,17.16667,17.4,21000,0
20050902,17.18333,17.53333,17.18333,17.53333,11400,0
20050905,17.76333,18.25,17.71,18.11333,9300,0
20050906,18.31667,20.49667,18.31667,19.96667,23100,0
20050907,19.96333,20,19.70333,19.75,4800,0
20050908,20,20,18.93333,19.33333,11700,0
20050909,19.6,19.66667,19.25,19.31667,13500,0
20050912,19.33333,20.33333,19.33333,20.33333,71400,0
20050913,20.33333,21.66667,20.33333,21.66667,20400,0
20050914,21.66667,21.95667,21.34,21.91667,45600,0
20050915,21.91667,22.18,21.67333,22.18,16800,0
20050916,22.46667,22.53333,21.90333,22.33,6300,0
20050919,21.66667,21.66667,20.00333,21.47333,24600,0
20050920,21.56333,21.99,19.84,19.86667,20700,0
20050921,19.99667,21.16667,19,20.93,35100,0
20050922,20.99667,21.18333,20.86667,21.18333,8100,0
20050923,21.29667,21.66667,20.93333,20.93333,8400,0
20050926,20.83333,20.83333,20.08333,20.08333,9600,0
20050927,20.08333,20.09667,19.43333,19.81,18300,0
20050928,19.83333,20,19.66667,19.99333,5100,0
20050929,19.84333,20.16333,19.34667,19.51667,11100,0
20050930,19.4,20,19.26667,20,35700,0
20051003,19.58333,19.86333,19.33333,19.33333,3300,0
20051004,19.33667,19.34333,19.26667,19.30333,15300,0
20051005,19.13333,19.16,18.22,19,69900,0
20051006,19.12333,19.3,18.83333,19.18333,13800,0
20051007,19,19.2,19,19.18,3300,0
20051010,19.18667,19.33,18.93667,19.06667,9600,0
20051011,19.00667,19.26333,19.00667,19.16667,3900,0
20051012,19.16333,19.16667,19,19.16667,1200,0
20051013,18.66667,19.56667,18.43333,19,20700,0
20051014,19.13333,19.13333,18.66667,18.98333,4500,0
20051017,18.60333,19.5,18.60333,19.32,13500,0
20051018,19.51333,19.51333,19,19,9000,0
20051019,18.9,19.36333,18.27,19.10667,37800,0
20051020,19.30667,20.96667,19.12,20.96667,11100,0
20051021,20.99667,22.91667,20.26667,20.4,30900,0
20051024,19.86667,20.66667,19.86667,20.23333,5100,0
20051025,20.66,20.99667,20.33333,20.89667,5100,0
20051026,20.66333,20.73333,20.31667,20.31667,600,0
20051027,20.5,20.5,19.54667,20,3900,0
20051028,19.66667,19.99333,19.28333,19.99333,8100,0
20051031,19.58,19.66667,18.98667,19.33,10500,0
20051101,19.33,19.43333,19.16333,19.33333,2100,0
20051102,19.03333,19.17,18.85333,19,11700,0
20051103,18.86667,19.66667,18.83333,19.6,17400,0
20051104,19.66667,19.79667,19.17333,19.79667,35400,0
20051107,19.67,19.96333,19.67,19.96333,2100,0
20051108,19.83333,19.83333,19.66667,19.66667,4500,0
20051109,19.73333,20.53667,19.66333,20.36667,84000,0
20051110,20.8,21.16667,20.66667,21,21900,0
20051111,20.99667,21.33333,20.66667,20.83333,22500,0
20051114,20.73333,20.79667,20.5,20.71667,1800,0
20051115,20.73,20.73,20.16667,20.66,300,0
20051116,20.63333,20.83333,20.48333,20.83333,6900,0
